# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-08-07 12:52:36 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04198000 Sandusky River near Fremont OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04198000
#            TS   parameter     statistic     Description
#        109523       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109523_00060_00003	109523_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04198000	1923-10-01	106	A
USGS	04198000	1923-10-02	106	A
USGS	04198000	1923-10-03	106	A
USGS	04198000	1923-10-04	106	A
USGS	04198000	1923-10-05	106	A
USGS	04198000	1923-10-06	106	A
USGS	04198000	1923-10-07	106	A
USGS	04198000	1923-10-08	106	A
USGS	04198000	1923-10-09	106	A
USGS	04198000	1923-10-10	106	A
USGS	04198000	1923-10-11	106	A
USGS	04198000	1923-10-12	106	A
USGS	04198000	1923-10-13	106	A
USGS	04198000	1923-10-14	106	A
USGS	04198000	1923-10-15	106	A
USGS	04198000	1923-10-16	106	A
USGS	04198000	1923-10-17	106	A
USGS	04198000	1923-10-18	106	A
USGS	04198000	1923-10-19	106	A
USGS	04198000	1923-10-20	106	A
USGS	04198000	1923-10-21	106	A
USGS	04198000	1923-10-22	106	A
USGS	04198000	1923-10-23	106	A
USGS	04198000	1923-10-24	106	A
USGS	04198000	1923-10-25	106	A
USGS	04198000	1923-10-26	106	A
USGS	04198000	1923-10-27	106	A
USGS	04198000	1923-10-28	106	A
USGS	04198000	1923-10-29	106	A
USGS	04198000	1923-10-30	106	A
USGS	04198000	1923-10-31	106	A
USGS	04198000	1923-11-01	291	A
USGS	04198000	1923-11-02	291	A
USGS	04198000	1923-11-03	291	A
USGS	04198000	1923-11-04	291	A
USGS	04198000	1923-11-05	291	A
USGS	04198000	1923-11-06	291	A
USGS	04198000	1923-11-07	291	A
USGS	04198000	1923-11-08	263	A
USGS	04198000	1923-11-09	250	A
USGS	04198000	1923-11-10	202	A
USGS	04198000	1923-11-11	179	A
USGS	04198000	1923-11-12	152	A
USGS	04198000	1923-11-13	117	A
