# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-09-11 19:29:50 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04215500 CAZENOVIA CREEK AT EBENEZER NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04215500
#            TS   parameter     statistic     Description
#        105559       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105559_00060_00003	105559_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04215500	1940-06-24	1040	A
USGS	04215500	1940-06-25	372	A
USGS	04215500	1940-06-26	150	A
USGS	04215500	1940-06-27	102	A
USGS	04215500	1940-06-28	82.0	A
USGS	04215500	1940-06-29	165	A
USGS	04215500	1940-06-30	82.0	A
USGS	04215500	1940-07-01	295	A
USGS	04215500	1940-07-02	130	A
USGS	04215500	1940-07-03	80.0	A
USGS	04215500	1940-07-04	74.0	A
USGS	04215500	1940-07-05	66.0	A
USGS	04215500	1940-07-06	54.0	A
USGS	04215500	1940-07-07	47.0	A
USGS	04215500	1940-07-08	40.0	A
USGS	04215500	1940-07-09	35.0	A
USGS	04215500	1940-07-10	47.0	A
USGS	04215500	1940-07-11	38.0	A
USGS	04215500	1940-07-12	42.0	A
USGS	04215500	1940-07-13	45.0	A
USGS	04215500	1940-07-14	47.0	A
USGS	04215500	1940-07-15	41.0	A
USGS	04215500	1940-07-16	82.0	A
USGS	04215500	1940-07-17	91.0	A
USGS	04215500	1940-07-18	55.0	A
USGS	04215500	1940-07-19	39.0	A
USGS	04215500	1940-07-20	36.0	A
USGS	04215500	1940-07-21	38.0	A
USGS	04215500	1940-07-22	35.0	A
USGS	04215500	1940-07-23	30.0	A
USGS	04215500	1940-07-24	30.0	A
USGS	04215500	1940-07-25	26.0	A
USGS	04215500	1940-07-26	20.0	A
USGS	04215500	1940-07-27	23.0	A
USGS	04215500	1940-07-28	24.0	A
USGS	04215500	1940-07-29	23.0	A
USGS	04215500	1940-07-30	35.0	A
USGS	04215500	1940-07-31	37.0	A
USGS	04215500	1940-08-01	22.0	A
USGS	04215500	1940-08-02	17.0	A
USGS	04215500	1940-08-03	15.0	A
USGS	04215500	1940-08-04	14.0	A
USGS	04215500	1940-08-05	15.0	A
USGS	04215500	1940-08-06	58.0	A
USGS	04215500	1940-08-07	49.0	A
USGS	04215500	1940-08-08	26.0	A
USGS	04215500	1940-08-09	20.0	A
USGS	04215500	1940-08-10	18.0	A
USGS	04215500	1940-08-11	15.0	A
USGS	04215500	1940-08-12	14.0	A
USGS	04215500	1940-08-13	30.0	A
USGS	04215500	1940-08-14	55.0	A
USGS	04215500	1940-08-15	33.0	A
USGS	04215500	1940-08-16	22.0	A
USGS	04215500	1940-08-17	18.0	A
USGS	04215500	1940-08-18	16.0	A
USGS	04215500	1940-08-19	60.0	A
USGS	04215500	1940-08-20	45.0	A
USGS	04215500	1940-08-21	29.0	A
USGS	04215500	1940-08-22	25.0	A
USGS	04215500	1940-08-23	25.0	A
USGS	04215500	1940-08-24	18.0	A
USGS	04215500	1940-08-25	18.0	A
USGS	04215500	1940-08-26	20.0	A
USGS	04215500	1940-08-27	18.0	A
USGS	04215500	1940-08-28	22.0	A
USGS	04215500	1940-08-29	39.0	A
USGS	04215500	1940-08-30	30.0	A
USGS	04215500	1940-08-31	25.0	A
USGS	04215500	1940-09-01	81.0	A
USGS	04215500	1940-09-02	45.0	A
USGS	04215500	1940-09-03	29.0	A
USGS	04215500	1940-09-04	22.0	A
USGS	04215500	1940-09-05	19.0	A
USGS	04215500	1940-09-06	17.0	A
USGS	04215500	1940-09-07	16.0	A
USGS	04215500	1940-09-08	18.0	A
USGS	04215500	1940-09-09	17.0	A
USGS	04215500	1940-09-10	23.0	A
USGS	04215500	1940-09-11	28.0	A
USGS	04215500	1940-09-12	24.0	A
USGS	04215500	1940-09-13	21.0	A
USGS	04215500	1940-09-14	22.0	A
USGS	04215500	1940-09-15	24.0	A
USGS	04215500	1940-09-16	57.0	A
USGS	04215500	1940-09-17	42.0	A
USGS	04215500	1940-09-18	28.0	A
USGS	04215500	1940-09-19	22.0	A
USGS	04215500	1940-09-20	20.0	A
USGS	04215500	1940-09-21	22.0	A
USGS	04215500	1940-09-22	32.0	A
USGS	04215500	1940-09-23	28.0	A
USGS	04215500	1940-09-24	29.0	A
USGS	04215500	1940-09-25	967	A
USGS	04215500	1940-09-26	156	A
USGS	04215500	1940-09-27	63.0	A
USGS	04215500	1940-09-28	44.0	A
USGS	04215500	1940-09-29	35.0	A
USGS	04215500	1940-09-30	31.0	A
USGS	04215500	1940-10-01	28.0	A
USGS	04215500	1940-10-02	25.0	A
