    Daily Discharge (m3/s) (PARAM = 1) 
 ID,PARAM,Date,Value,SYM 
02DB005,1,1952/04/01,79.90,E
02DB005,1,1952/04/02,114.00,E
02DB005,1,1952/04/03,118.00,E
02DB005,1,1952/04/04,115.00,E
02DB005,1,1952/04/05,117.00,E
02DB005,1,1952/04/06,108.00,E
02DB005,1,1952/04/07,91.70,E
02DB005,1,1952/04/08,90.30,E
02DB005,1,1952/04/09,100.00,E
02DB005,1,1952/04/10,131.00,E
02DB005,1,1952/04/11,117.00,E
02DB005,1,1952/04/12,106.00,E
02DB005,1,1952/04/13,101.00,E
02DB005,1,1952/04/14,90.60,E
02DB005,1,1952/04/15,88.90,E
02DB005,1,1952/04/16,93.70,
02DB005,1,1952/04/17,98.80,
02DB005,1,1952/04/18,97.70,
02DB005,1,1952/04/19,85.80,
02DB005,1,1952/04/20,65.10,
02DB005,1,1952/04/21,62.60,
02DB005,1,1952/04/22,54.10,
02DB005,1,1952/04/23,48.10,
02DB005,1,1952/04/24,44.70,
02DB005,1,1952/04/25,42.80,
02DB005,1,1952/04/26,40.80,
02DB005,1,1952/04/27,36.20,
02DB005,1,1952/04/28,36.20,
02DB005,1,1952/04/29,34.50,
02DB005,1,1952/04/30,31.70,
02DB005,1,1952/05/01,30.00,
02DB005,1,1952/05/02,29.40,
02DB005,1,1952/05/03,28.90,
02DB005,1,1952/05/04,27.40,
02DB005,1,1952/05/05,26.40,
02DB005,1,1952/05/06,25.40,
02DB005,1,1952/05/07,24.40,
02DB005,1,1952/05/08,26.40,
02DB005,1,1952/05/09,29.40,
02DB005,1,1952/05/10,32.80,
02DB005,1,1952/05/11,27.90,
02DB005,1,1952/05/12,35.10,
02DB005,1,1952/05/13,29.40,
02DB005,1,1952/05/14,28.30,
02DB005,1,1952/05/15,34.50,
02DB005,1,1952/05/16,30.00,
02DB005,1,1952/05/17,29.40,
02DB005,1,1952/05/18,25.40,
02DB005,1,1952/05/19,27.90,
02DB005,1,1952/05/20,26.90,
02DB005,1,1952/05/21,28.90,
02DB005,1,1952/05/22,34.00,
02DB005,1,1952/05/23,38.80,
02DB005,1,1952/05/24,40.20,
02DB005,1,1952/05/25,38.20,
02DB005,1,1952/05/26,38.20,
02DB005,1,1952/05/27,40.20,
02DB005,1,1952/05/28,38.20,
02DB005,1,1952/05/29,34.00,
02DB005,1,1952/05/30,31.10,
02DB005,1,1952/05/31,35.10,
02DB005,1,1952/06/01,38.80,
02DB005,1,1952/06/02,36.80,
02DB005,1,1952/06/03,33.40,
02DB005,1,1952/06/04,38.80,
02DB005,1,1952/06/05,38.20,
02DB005,1,1952/06/06,38.80,
02DB005,1,1952/06/07,39.60,
02DB005,1,1952/06/08,37.70,
02DB005,1,1952/06/09,37.70,
02DB005,1,1952/06/10,37.70,
02DB005,1,1952/06/11,39.60,
02DB005,1,1952/06/12,38.80,
02DB005,1,1952/06/13,37.70,
02DB005,1,1952/06/14,36.20,
02DB005,1,1952/06/15,34.50,
02DB005,1,1952/06/16,34.50,
02DB005,1,1952/06/17,36.80,
02DB005,1,1952/06/18,36.20,
02DB005,1,1952/06/19,35.10,
02DB005,1,1952/06/20,33.40,
02DB005,1,1952/06/21,34.50,
02DB005,1,1952/06/22,32.80,
02DB005,1,1952/06/23,34.00,
02DB005,1,1952/06/24,31.70,
02DB005,1,1952/06/25,31.70,
02DB005,1,1952/06/26,32.30,
02DB005,1,1952/06/27,33.40,
02DB005,1,1952/06/28,32.80,
02DB005,1,1952/06/29,32.30,
02DB005,1,1952/06/30,30.60,
02DB005,1,1952/07/01,30.00,
02DB005,1,1952/07/02,31.70,
02DB005,1,1952/07/03,30.00,
02DB005,1,1952/07/04,34.00,
02DB005,1,1952/07/05,32.80,
02DB005,1,1952/07/06,31.10,
02DB005,1,1952/07/07,30.00,
02DB005,1,1952/07/08,29.40,
02DB005,1,1952/07/09,28.60,
02DB005,1,1952/07/10,27.00,
02DB005,1,1952/07/11,24.50,
02DB005,1,1952/07/12,26.00,
02DB005,1,1952/07/13,23.10,
02DB005,1,1952/07/14,22.60,
02DB005,1,1952/07/15,28.90,
02DB005,1,1952/07/16,28.90,
02DB005,1,1952/07/17,27.50,
02DB005,1,1952/07/18,27.00,
02DB005,1,1952/07/19,26.50,
02DB005,1,1952/07/20,25.50,
02DB005,1,1952/07/21,23.10,
02DB005,1,1952/07/22,23.10,
02DB005,1,1952/07/23,30.60,
02DB005,1,1952/07/24,31.70,
02DB005,1,1952/07/25,29.70,
02DB005,1,1952/07/26,27.90,
02DB005,1,1952/07/27,25.40,
02DB005,1,1952/07/28,31.10,
02DB005,1,1952/07/29,28.30,
02DB005,1,1952/07/30,28.90,
02DB005,1,1952/07/31,27.40,
02DB005,1,1952/08/01,26.90,
02DB005,1,1952/08/02,26.90,
02DB005,1,1952/08/03,25.90,
02DB005,1,1952/08/04,25.40,
02DB005,1,1952/08/05,25.90,
02DB005,1,1952/08/06,25.90,
02DB005,1,1952/08/07,25.40,
02DB005,1,1952/08/08,25.40,
02DB005,1,1952/08/09,24.90,
02DB005,1,1952/08/10,27.90,
02DB005,1,1952/08/11,28.90,
02DB005,1,1952/08/12,34.50,
02DB005,1,1952/08/13,35.10,
02DB005,1,1952/08/14,32.30,
02DB005,1,1952/08/15,31.10,
02DB005,1,1952/08/16,30.00,
02DB005,1,1952/08/17,27.90,
02DB005,1,1952/08/18,25.40,
02DB005,1,1952/08/19,25.90,
02DB005,1,1952/08/20,31.10,
02DB005,1,1952/08/21,44.20,
02DB005,1,1952/08/22,45.30,
02DB005,1,1952/08/23,34.50,
02DB005,1,1952/08/24,32.80,
02DB005,1,1952/08/25,25.40,
02DB005,1,1952/08/26,25.90,
02DB005,1,1952/08/27,24.90,
02DB005,1,1952/08/28,24.90,
02DB005,1,1952/08/29,26.40,
02DB005,1,1952/08/30,24.90,
02DB005,1,1952/08/31,24.00,
02DB005,1,1952/09/01,23.50,
02DB005,1,1952/09/02,24.00,
02DB005,1,1952/09/03,25.40,
02DB005,1,1952/09/04,25.90,
02DB005,1,1952/09/05,25.90,
02DB005,1,1952/09/06,24.90,
02DB005,1,1952/09/07,24.90,
02DB005,1,1952/09/08,24.40,
