# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:58:34 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04027000 BAD RIVER NEAR ODANAH, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04027000
#            TS   parameter     statistic     Description
#        152304       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152304_00060_00003	152304_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04027000	2000-01-01	200	A:e
USGS	04027000	2000-01-02	190	A:e
USGS	04027000	2000-01-03	190	A:e
USGS	04027000	2000-01-04	190	A:e
USGS	04027000	2000-01-05	180	A:e
USGS	04027000	2000-01-06	170	A:e
USGS	04027000	2000-01-07	180	A:e
USGS	04027000	2000-01-08	190	A:e
USGS	04027000	2000-01-09	200	A:e
USGS	04027000	2000-01-10	200	A:e
USGS	04027000	2000-01-11	200	A:e
USGS	04027000	2000-01-12	190	A:e
USGS	04027000	2000-01-13	170	A:e
USGS	04027000	2000-01-14	180	A:e
USGS	04027000	2000-01-15	180	A:e
USGS	04027000	2000-01-16	170	A:e
USGS	04027000	2000-01-17	160	A:e
USGS	04027000	2000-01-18	170	A:e
USGS	04027000	2000-01-19	160	A:e
USGS	04027000	2000-01-20	150	A:e
USGS	04027000	2000-01-21	140	A:e
USGS	04027000	2000-01-22	140	A:e
USGS	04027000	2000-01-23	150	A:e
