# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:58:41 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04044724 AU TRAIN RIVER AT FOREST LAKE, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04044724
#            TS   parameter     statistic     Description
#         70271       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70271_00060_00003	70271_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04044724	2000-01-01	47.0	A
USGS	04044724	2000-01-02	47.0	A
USGS	04044724	2000-01-03	52.0	A
USGS	04044724	2000-01-04	62.0	A
USGS	04044724	2000-01-05	67.0	A
USGS	04044724	2000-01-06	68.0	A
USGS	04044724	2000-01-07	68.0	A
USGS	04044724	2000-01-08	68.0	A
USGS	04044724	2000-01-09	67.0	A
USGS	04044724	2000-01-10	67.0	A
USGS	04044724	2000-01-11	67.0	A
USGS	04044724	2000-01-12	67.0	A
USGS	04044724	2000-01-13	67.0	A
USGS	04044724	2000-01-14	67.0	A
USGS	04044724	2000-01-15	67.0	A
USGS	04044724	2000-01-16	67.0	A
USGS	04044724	2000-01-17	67.0	A
USGS	04044724	2000-01-18	67.0	A
USGS	04044724	2000-01-19	66.0	A
USGS	04044724	2000-01-20	78.0	A
USGS	04044724	2000-01-21	88.0	A
USGS	04044724	2000-01-22	88.0	A
USGS	04044724	2000-01-23	88.0	A
USGS	04044724	2000-01-24	88.0	A
USGS	04044724	2000-01-25	88.0	A
USGS	04044724	2000-01-26	89.0	A
USGS	04044724	2000-01-27	89.0	A
USGS	04044724	2000-01-28	89.0	A
