# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:58:56 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04067500 MENOMINEE RIVER NEAR MC ALLISTER, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04067500
#            TS   parameter     statistic     Description
#        152384       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152384_00060_00003	152384_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04067500	2000-01-01	2000	A:e
USGS	04067500	2000-01-02	1700	A:e
USGS	04067500	2000-01-03	1700	A:e
USGS	04067500	2000-01-04	1800	A:e
USGS	04067500	2000-01-05	2100	A:e
USGS	04067500	2000-01-06	2100	A:e
USGS	04067500	2000-01-07	2200	A:e
USGS	04067500	2000-01-08	2200	A:e
USGS	04067500	2000-01-09	2300	A:e
USGS	04067500	2000-01-10	2500	A:e
USGS	04067500	2000-01-11	2400	A:e
USGS	04067500	2000-01-12	2400	A:e
USGS	04067500	2000-01-13	2400	A:e
USGS	04067500	2000-01-14	2400	A:e
USGS	04067500	2000-01-15	2400	A:e
USGS	04067500	2000-01-16	2300	A:e
USGS	04067500	2000-01-17	2300	A:e
USGS	04067500	2000-01-18	2300	A:e
USGS	04067500	2000-01-19	2300	A:e
USGS	04067500	2000-01-20	2400	A:e
USGS	04067500	2000-01-21	2400	A:e
USGS	04067500	2000-01-22	2400	A:e
USGS	04067500	2000-01-23	2300	A:e
