# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:59:07 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04072150 DUCK CREEK NEAR HOWARD, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04072150
#            TS   parameter     statistic     Description
#        152443       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152443_00060_00003	152443_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04072150	2000-01-01	0.94	A:e
USGS	04072150	2000-01-02	0.94	A:e
USGS	04072150	2000-01-03	0.94	A:e
USGS	04072150	2000-01-04	0.94	A:e
USGS	04072150	2000-01-05	0.94	A:e
USGS	04072150	2000-01-06	0.94	A:e
USGS	04072150	2000-01-07	0.64	A
USGS	04072150	2000-01-08	0.28	A
USGS	04072150	2000-01-09	0.18	A
USGS	04072150	2000-01-10	1.10	A
USGS	04072150	2000-01-11	0.98	A:e
USGS	04072150	2000-01-12	1.00	A:e
USGS	04072150	2000-01-13	1.00	A:e
USGS	04072150	2000-01-14	1.00	A:e
USGS	04072150	2000-01-15	1.00	A:e
USGS	04072150	2000-01-16	1.00	A:e
USGS	04072150	2000-01-17	1.00	A:e
USGS	04072150	2000-01-18	1.00	A:e
USGS	04072150	2000-01-19	0.96	A:e
USGS	04072150	2000-01-20	0.94	A:e
USGS	04072150	2000-01-21	0.92	A:e
USGS	04072150	2000-01-22	0.92	A:e
USGS	04072150	2000-01-23	0.92	A:e
USGS	04072150	2000-01-24	0.94	A:e
USGS	04072150	2000-01-25	0.94	A:e
USGS	04072150	2000-01-26	0.94	A:e
USGS	04072150	2000-01-27	0.92	A:e
USGS	04072150	2000-01-28	0.92	A:e
USGS	04072150	2000-01-29	0.80	A:e
USGS	04072150	2000-01-30	0.80	A:e
USGS	04072150	2000-01-31	0.80	A:e
USGS	04072150	2000-02-01	0.86	A:e
USGS	04072150	2000-02-02	0.90	A:e
USGS	04072150	2000-02-03	0.92	A:e
USGS	04072150	2000-02-04	0.98	A:e
USGS	04072150	2000-02-05	1.00	A:e
USGS	04072150	2000-02-06	1.00	A:e
USGS	04072150	2000-02-07	1.00	A:e
USGS	04072150	2000-02-08	1.10	A:e
USGS	04072150	2000-02-09	1.10	A:e
USGS	04072150	2000-02-10	1.10	A:e
USGS	04072150	2000-02-11	1.10	A:e
USGS	04072150	2000-02-12	1.10	A:e
USGS	04072150	2000-02-13	1.10	A:e
USGS	04072150	2000-02-14	1.10	A:e
USGS	04072150	2000-02-15	1.10	A:e
USGS	04072150	2000-02-16	1.00	A:e
USGS	04072150	2000-02-17	1.00	A:e
USGS	04072150	2000-02-18	1.00	A:e
USGS	04072150	2000-02-19	1.00	A:e
USGS	04072150	2000-02-20	1.00	A:e
USGS	04072150	2000-02-21	1.00	A:e
USGS	04072150	2000-02-22	1.00	A:e
USGS	04072150	2000-02-23	1.50	A:e
USGS	04072150	2000-02-24	8.00	A:e
USGS	04072150	2000-02-25	46.0	A:e
USGS	04072150	2000-02-26	80.0	A:e
USGS	04072150	2000-02-27	160	A:e
USGS	04072150	2000-02-28	150	A:e
USGS	04072150	2000-02-29	130	A:e
USGS	04072150	2000-03-01	90.0	A:e
USGS	04072150	2000-03-02	70.0	A:e
USGS	04072150	2000-03-03	45.0	A:e
USGS	04072150	2000-03-04	30.0	A:e
USGS	04072150	2000-03-05	25.0	A:e
USGS	04072150	2000-03-06	21.0	A:e
USGS	04072150	2000-03-07	17.0	A:e
USGS	04072150	2000-03-08	15.0	A:e
USGS	04072150	2000-03-09	14.0	A:e
USGS	04072150	2000-03-10	13.0	A:e
USGS	04072150	2000-03-11	12.0	A:e
USGS	04072150	2000-03-12	11.0	A:e
USGS	04072150	2000-03-13	9.90	A
USGS	04072150	2000-03-14	8.80	A
USGS	04072150	2000-03-15	7.90	A
USGS	04072150	2000-03-16	7.10	A
USGS	04072150	2000-03-17	6.40	A
USGS	04072150	2000-03-18	6.20	A
USGS	04072150	2000-03-19	6.40	A
USGS	04072150	2000-03-20	7.50	A
USGS	04072150	2000-03-21	8.10	A
USGS	04072150	2000-03-22	8.50	A
USGS	04072150	2000-03-23	7.90	A
USGS	04072150	2000-03-24	7.90	A
USGS	04072150	2000-03-25	7.80	A
USGS	04072150	2000-03-26	7.80	A
USGS	04072150	2000-03-27	8.40	A
USGS	04072150	2000-03-28	7.70	A
USGS	04072150	2000-03-29	7.60	A
USGS	04072150	2000-03-30	7.00	A
USGS	04072150	2000-03-31	6.60	A
USGS	04072150	2000-04-01	5.90	A
USGS	04072150	2000-04-02	5.60	A
USGS	04072150	2000-04-03	5.60	A
USGS	04072150	2000-04-04	5.40	A
USGS	04072150	2000-04-05	5.30	A
USGS	04072150	2000-04-06	5.10	A
USGS	04072150	2000-04-07	4.80	A
USGS	04072150	2000-04-08	4.40	A
USGS	04072150	2000-04-09	4.30	A
USGS	04072150	2000-04-10	4.30	A
USGS	04072150	2000-04-11	4.00	A
USGS	04072150	2000-04-12	3.60	A
USGS	04072150	2000-04-13	3.50	A
USGS	04072150	2000-04-14	3.40	A
USGS	04072150	2000-04-15	3.00	A
USGS	04072150	2000-04-16	3.40	A
USGS	04072150	2000-04-17	3.50	A
USGS	04072150	2000-04-18	3.50	A
USGS	04072150	2000-04-19	3.60	A
USGS	04072150	2000-04-20	20.0	A
USGS	04072150	2000-04-21	51.0	A
USGS	04072150	2000-04-22	79.0	A
USGS	04072150	2000-04-23	54.0	A
USGS	04072150	2000-04-24	32.0	A
USGS	04072150	2000-04-25	21.0	A
USGS	04072150	2000-04-26	15.0	A
USGS	04072150	2000-04-27	11.0	A
USGS	04072150	2000-04-28	10.0	A
USGS	04072150	2000-04-29	9.90	A
USGS	04072150	2000-04-30	9.10	A
USGS	04072150	2000-05-01	8.40	A
USGS	04072150	2000-05-02	7.20	A
USGS	04072150	2000-05-03	6.30	A
USGS	04072150	2000-05-04	5.60	A
USGS	04072150	2000-05-05	4.80	A
USGS	04072150	2000-05-06	4.20	A
USGS	04072150	2000-05-07	3.90	A
USGS	04072150	2000-05-08	3.60	A
USGS	04072150	2000-05-09	3.00	A
USGS	04072150	2000-05-10	2.60	A
USGS	04072150	2000-05-11	2.80	A
USGS	04072150	2000-05-12	6.60	A
USGS	04072150	2000-05-13	9.00	A
USGS	04072150	2000-05-14	10.0	A
USGS	04072150	2000-05-15	8.10	A
USGS	04072150	2000-05-16	13.0	A
USGS	04072150	2000-05-17	20.0	A
USGS	04072150	2000-05-18	145	A
USGS	04072150	2000-05-19	274	A
USGS	04072150	2000-05-20	181	A
USGS	04072150	2000-05-21	91.0	A
USGS	04072150	2000-05-22	56.0	A
USGS	04072150	2000-05-23	39.0	A
USGS	04072150	2000-05-24	28.0	A
USGS	04072150	2000-05-25	20.0	A
USGS	04072150	2000-05-26	14.0	A
USGS	04072150	2000-05-27	11.0	A
USGS	04072150	2000-05-28	13.0	A
USGS	04072150	2000-05-29	15.0	A
USGS	04072150	2000-05-30	16.0	A
USGS	04072150	2000-05-31	17.0	A
USGS	04072150	2000-06-01	28.0	A
USGS	04072150	2000-06-02	184	A
USGS	04072150	2000-06-03	239	A
USGS	04072150	2000-06-04	136	A
USGS	04072150	2000-06-05	100	A
USGS	04072150	2000-06-06	102	A
USGS	04072150	2000-06-07	85.0	A
USGS	04072150	2000-06-08	55.0	A
USGS	04072150	2000-06-09	39.0	A
USGS	04072150	2000-06-10	29.0	A
USGS	04072150	2000-06-11	20.0	A
USGS	04072150	2000-06-12	15.0	A
USGS	04072150	2000-06-13	16.0	A
USGS	04072150	2000-06-14	18.0	A
USGS	04072150	2000-06-15	17.0	A
USGS	04072150	2000-06-16	28.0	A
USGS	04072150	2000-06-17	37.0	A
USGS	04072150	2000-06-18	38.0	A
USGS	04072150	2000-06-19	30.0	A
USGS	04072150	2000-06-20	25.0	A
USGS	04072150	2000-06-21	24.0	A
USGS	04072150	2000-06-22	29.0	A
USGS	04072150	2000-06-23	30.0	A
USGS	04072150	2000-06-24	22.0	A
USGS	04072150	2000-06-25	16.0	A
USGS	04072150	2000-06-26	14.0	A
USGS	04072150	2000-06-27	15.0	A
USGS	04072150	2000-06-28	13.0	A
USGS	04072150	2000-06-29	14.0	A
USGS	04072150	2000-06-30	12.0	A
USGS	04072150	2000-07-01	8.80	A
USGS	04072150	2000-07-02	6.70	A
USGS	04072150	2000-07-03	5.70	A
USGS	04072150	2000-07-04	4.70	A
USGS	04072150	2000-07-05	4.10	A
USGS	04072150	2000-07-06	3.70	A
USGS	04072150	2000-07-07	3.00	A
USGS	04072150	2000-07-08	194	A
USGS	04072150	2000-07-09	214	A
USGS	04072150	2000-07-10	151	A
USGS	04072150	2000-07-11	84.0	A
USGS	04072150	2000-07-12	45.0	A
USGS	04072150	2000-07-13	25.0	A
USGS	04072150	2000-07-14	16.0	A
USGS	04072150	2000-07-15	11.0	A
USGS	04072150	2000-07-16	7.10	A
USGS	04072150	2000-07-17	5.00	A
USGS	04072150	2000-07-18	3.60	A
USGS	04072150	2000-07-19	2.90	A
USGS	04072150	2000-07-20	2.30	A
USGS	04072150	2000-07-21	2.00	A
USGS	04072150	2000-07-22	1.70	A
