# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:55 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04102500 PAW PAW RIVER AT RIVERSIDE, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04102500
#            TS   parameter     statistic     Description
#         70432       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70432_00060_00003	70432_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04102500	2000-01-01	270	A:e
USGS	04102500	2000-01-02	273	A
USGS	04102500	2000-01-03	302	A
USGS	04102500	2000-01-04	314	A
USGS	04102500	2000-01-05	325	A
USGS	04102500	2000-01-06	332	A
USGS	04102500	2000-01-07	325	A
USGS	04102500	2000-01-08	311	A
USGS	04102500	2000-01-09	304	A
USGS	04102500	2000-01-10	341	A
USGS	04102500	2000-01-11	359	A
USGS	04102500	2000-01-12	353	A
USGS	04102500	2000-01-13	352	A
USGS	04102500	2000-01-14	338	A
USGS	04102500	2000-01-15	317	A
USGS	04102500	2000-01-16	301	A
USGS	04102500	2000-01-17	287	A
USGS	04102500	2000-01-18	270	A:e
USGS	04102500	2000-01-19	260	A:e
USGS	04102500	2000-01-20	250	A:e
USGS	04102500	2000-01-21	270	A:e
USGS	04102500	2000-01-22	280	A:e
USGS	04102500	2000-01-23	280	A:e
USGS	04102500	2000-01-24	270	A:e
USGS	04102500	2000-01-25	260	A:e
USGS	04102500	2000-01-26	260	A:e
USGS	04102500	2000-01-27	250	A:e
USGS	04102500	2000-01-28	250	A:e
USGS	04102500	2000-01-29	240	A:e
USGS	04102500	2000-01-30	250	A:e
USGS	04102500	2000-01-31	260	A:e
USGS	04102500	2000-02-01	260	A:e
USGS	04102500	2000-02-02	260	A:e
USGS	04102500	2000-02-03	250	A:e
USGS	04102500	2000-02-04	260	A:e
USGS	04102500	2000-02-05	270	A:e
USGS	04102500	2000-02-06	260	A:e
USGS	04102500	2000-02-07	260	A:e
USGS	04102500	2000-02-08	260	A:e
USGS	04102500	2000-02-09	260	A:e
USGS	04102500	2000-02-10	250	A:e
USGS	04102500	2000-02-11	270	A:e
USGS	04102500	2000-02-12	277	A
USGS	04102500	2000-02-13	281	A
USGS	04102500	2000-02-14	278	A
USGS	04102500	2000-02-15	274	A
USGS	04102500	2000-02-16	273	A
USGS	04102500	2000-02-17	274	A
USGS	04102500	2000-02-18	273	A
USGS	04102500	2000-02-19	276	A
USGS	04102500	2000-02-20	280	A
USGS	04102500	2000-02-21	281	A
USGS	04102500	2000-02-22	290	A
USGS	04102500	2000-02-23	352	A
USGS	04102500	2000-02-24	404	A
USGS	04102500	2000-02-25	457	A
USGS	04102500	2000-02-26	484	A
USGS	04102500	2000-02-27	498	A
USGS	04102500	2000-02-28	514	A
USGS	04102500	2000-02-29	506	A
USGS	04102500	2000-03-01	479	A
USGS	04102500	2000-03-02	450	A
USGS	04102500	2000-03-03	409	A
USGS	04102500	2000-03-04	375	A
USGS	04102500	2000-03-05	355	A
USGS	04102500	2000-03-06	336	A
USGS	04102500	2000-03-07	321	A
USGS	04102500	2000-03-08	316	A
USGS	04102500	2000-03-09	315	A
USGS	04102500	2000-03-10	312	A
USGS	04102500	2000-03-11	301	A
USGS	04102500	2000-03-12	294	A
USGS	04102500	2000-03-13	289	A
USGS	04102500	2000-03-14	287	A
USGS	04102500	2000-03-15	289	A
USGS	04102500	2000-03-16	314	A
USGS	04102500	2000-03-17	331	A
USGS	04102500	2000-03-18	338	A
USGS	04102500	2000-03-19	334	A
