# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:59:09 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04126740 PLATTE RIVER AT HONOR, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04126740
#            TS   parameter     statistic     Description
#         70643       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70643_00060_00003	70643_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04126740	2000-01-01	100	A
USGS	04126740	2000-01-02	102	A
USGS	04126740	2000-01-03	103	A
USGS	04126740	2000-01-04	105	A
USGS	04126740	2000-01-05	102	A
USGS	04126740	2000-01-06	101	A
USGS	04126740	2000-01-07	100	A
USGS	04126740	2000-01-08	100	A
USGS	04126740	2000-01-09	100	A
USGS	04126740	2000-01-10	106	A
USGS	04126740	2000-01-11	112	A
USGS	04126740	2000-01-12	104	A
USGS	04126740	2000-01-13	102	A
USGS	04126740	2000-01-14	101	A
USGS	04126740	2000-01-15	101	A
USGS	04126740	2000-01-16	100	A
USGS	04126740	2000-01-17	104	A
USGS	04126740	2000-01-18	103	A
USGS	04126740	2000-01-19	103	A
USGS	04126740	2000-01-20	103	A
USGS	04126740	2000-01-21	102	A
USGS	04126740	2000-01-22	102	A
USGS	04126740	2000-01-23	103	A
USGS	04126740	2000-01-24	102	A
USGS	04126740	2000-01-25	103	A
USGS	04126740	2000-01-26	102	A
USGS	04126740	2000-01-27	104	A
USGS	04126740	2000-01-28	102	A
USGS	04126740	2000-01-29	102	A:e
USGS	04126740	2000-01-30	102	A
USGS	04126740	2000-01-31	102	A
USGS	04126740	2000-02-01	102	A
USGS	04126740	2000-02-02	101	A
USGS	04126740	2000-02-03	102	A
USGS	04126740	2000-02-04	101	A
USGS	04126740	2000-02-05	101	A
USGS	04126740	2000-02-06	101	A
USGS	04126740	2000-02-07	101	A
USGS	04126740	2000-02-08	100	A
USGS	04126740	2000-02-09	101	A
USGS	04126740	2000-02-10	102	A
USGS	04126740	2000-02-11	102	A
USGS	04126740	2000-02-12	101	A
USGS	04126740	2000-02-13	102	A
USGS	04126740	2000-02-14	102	A
USGS	04126740	2000-02-15	101	A
USGS	04126740	2000-02-16	101	A
USGS	04126740	2000-02-17	99.0	A
USGS	04126740	2000-02-18	101	A
USGS	04126740	2000-02-19	100	A
USGS	04126740	2000-02-20	100	A
USGS	04126740	2000-02-21	100	A
USGS	04126740	2000-02-22	105	A
USGS	04126740	2000-02-23	114	A
USGS	04126740	2000-02-24	120	A
USGS	04126740	2000-02-25	125	A
USGS	04126740	2000-02-26	149	A
USGS	04126740	2000-02-27	162	A
USGS	04126740	2000-02-28	128	A
USGS	04126740	2000-02-29	121	A
USGS	04126740	2000-03-01	122	A
USGS	04126740	2000-03-02	117	A
USGS	04126740	2000-03-03	115	A
USGS	04126740	2000-03-04	114	A
USGS	04126740	2000-03-05	112	A
USGS	04126740	2000-03-06	111	A
USGS	04126740	2000-03-07	111	A
USGS	04126740	2000-03-08	112	A
USGS	04126740	2000-03-09	117	A
USGS	04126740	2000-03-10	111	A
USGS	04126740	2000-03-11	109	A
USGS	04126740	2000-03-12	109	A
USGS	04126740	2000-03-13	108	A
USGS	04126740	2000-03-14	108	A
USGS	04126740	2000-03-15	108	A
USGS	04126740	2000-03-16	107	A
USGS	04126740	2000-03-17	104	A
USGS	04126740	2000-03-18	104	A
USGS	04126740	2000-03-19	104	A
USGS	04126740	2000-03-20	106	A
USGS	04126740	2000-03-21	105	A
USGS	04126740	2000-03-22	104	A
USGS	04126740	2000-03-23	103	A
USGS	04126740	2000-03-24	104	A
USGS	04126740	2000-03-25	103	A
USGS	04126740	2000-03-26	101	A
USGS	04126740	2000-03-27	114	A
USGS	04126740	2000-03-28	105	A
USGS	04126740	2000-03-29	102	A
USGS	04126740	2000-03-30	100	A
USGS	04126740	2000-03-31	99.0	A
USGS	04126740	2000-04-01	99.0	A
USGS	04126740	2000-04-02	98.0	A
USGS	04126740	2000-04-03	98.0	A
USGS	04126740	2000-04-04	98.0	A
USGS	04126740	2000-04-05	98.0	A
USGS	04126740	2000-04-06	98.0	A
USGS	04126740	2000-04-07	98.0	A
USGS	04126740	2000-04-08	97.0	A
USGS	04126740	2000-04-09	98.0	A
USGS	04126740	2000-04-10	98.0	A
USGS	04126740	2000-04-11	97.0	A
USGS	04126740	2000-04-12	95.0	A
USGS	04126740	2000-04-13	97.0	A
USGS	04126740	2000-04-14	96.0	A
USGS	04126740	2000-04-15	94.0	A
USGS	04126740	2000-04-16	95.0	A
USGS	04126740	2000-04-17	96.0	A
USGS	04126740	2000-04-18	94.0	A
USGS	04126740	2000-04-19	94.0	A
USGS	04126740	2000-04-20	104	A
USGS	04126740	2000-04-21	104	A
USGS	04126740	2000-04-22	99.0	A
USGS	04126740	2000-04-23	96.0	A
USGS	04126740	2000-04-24	93.0	A
USGS	04126740	2000-04-25	92.0	A
USGS	04126740	2000-04-26	92.0	A
USGS	04126740	2000-04-27	91.0	A
USGS	04126740	2000-04-28	91.0	A
USGS	04126740	2000-04-29	90.0	A
USGS	04126740	2000-04-30	89.0	A
USGS	04126740	2000-05-01	94.0	A
USGS	04126740	2000-05-02	91.0	A
USGS	04126740	2000-05-03	90.0	A
USGS	04126740	2000-05-04	90.0	A
USGS	04126740	2000-05-05	89.0	A
USGS	04126740	2000-05-06	88.0	A
USGS	04126740	2000-05-07	94.0	A
USGS	04126740	2000-05-08	91.0	A
USGS	04126740	2000-05-09	91.0	A
USGS	04126740	2000-05-10	90.0	A
USGS	04126740	2000-05-11	94.0	A
USGS	04126740	2000-05-12	97.0	A
USGS	04126740	2000-05-13	97.0	A
USGS	04126740	2000-05-14	92.0	A
USGS	04126740	2000-05-15	91.0	A
USGS	04126740	2000-05-16	101	A
USGS	04126740	2000-05-17	100	A
USGS	04126740	2000-05-18	126	A
USGS	04126740	2000-05-19	105	A
USGS	04126740	2000-05-20	99.0	A
USGS	04126740	2000-05-21	96.0	A
USGS	04126740	2000-05-22	99.0	A
