# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:48 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04165500 CLINTON RIVER AT MORAVIAN DRIVE AT MT. CLEMENS, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04165500
#            TS   parameter     statistic     Description
#         71108       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	71108_00060_00003	71108_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04165500	2000-01-01	218	A
USGS	04165500	2000-01-02	219	A
USGS	04165500	2000-01-03	316	A
USGS	04165500	2000-01-04	614	A
USGS	04165500	2000-01-05	348	A
USGS	04165500	2000-01-06	235	A
USGS	04165500	2000-01-07	176	A
USGS	04165500	2000-01-08	186	A
USGS	04165500	2000-01-09	359	A
USGS	04165500	2000-01-10	734	A
USGS	04165500	2000-01-11	655	A
USGS	04165500	2000-01-12	427	A
USGS	04165500	2000-01-13	324	A
USGS	04165500	2000-01-14	259	A
USGS	04165500	2000-01-15	270	A:e
USGS	04165500	2000-01-16	230	A:e
USGS	04165500	2000-01-17	230	A:e
USGS	04165500	2000-01-18	220	A:e
USGS	04165500	2000-01-19	220	A:e
USGS	04165500	2000-01-20	230	A:e
USGS	04165500	2000-01-21	210	A:e
USGS	04165500	2000-01-22	210	A:e
USGS	04165500	2000-01-23	220	A:e
USGS	04165500	2000-01-24	220	A:e
USGS	04165500	2000-01-25	200	A:e
USGS	04165500	2000-01-26	180	A:e
USGS	04165500	2000-01-27	170	A:e
USGS	04165500	2000-01-28	160	A:e
USGS	04165500	2000-01-29	160	A:e
USGS	04165500	2000-01-30	170	A:e
USGS	04165500	2000-01-31	180	A:e
USGS	04165500	2000-02-01	180	A:e
USGS	04165500	2000-02-02	180	A:e
USGS	04165500	2000-02-03	190	A:e
USGS	04165500	2000-02-04	200	A:e
USGS	04165500	2000-02-05	200	A:e
USGS	04165500	2000-02-06	190	A:e
USGS	04165500	2000-02-07	190	A:e
USGS	04165500	2000-02-08	180	A:e
USGS	04165500	2000-02-09	190	A:e
USGS	04165500	2000-02-10	220	A:e
USGS	04165500	2000-02-11	200	A:e
USGS	04165500	2000-02-12	180	A:e
USGS	04165500	2000-02-13	160	A:e
USGS	04165500	2000-02-14	160	A:e
USGS	04165500	2000-02-15	160	A:e
USGS	04165500	2000-02-16	170	A:e
USGS	04165500	2000-02-17	170	A:e
USGS	04165500	2000-02-18	170	A:e
USGS	04165500	2000-02-19	180	A:e
USGS	04165500	2000-02-20	180	A:e
USGS	04165500	2000-02-21	200	A:e
USGS	04165500	2000-02-22	217	A
USGS	04165500	2000-02-23	671	A
USGS	04165500	2000-02-24	848	A
USGS	04165500	2000-02-25	1190	A
USGS	04165500	2000-02-26	973	A
USGS	04165500	2000-02-27	1100	A
USGS	04165500	2000-02-28	1010	A
USGS	04165500	2000-02-29	829	A
USGS	04165500	2000-03-01	686	A
USGS	04165500	2000-03-02	548	A
USGS	04165500	2000-03-03	486	A
USGS	04165500	2000-03-04	429	A
USGS	04165500	2000-03-05	383	A
USGS	04165500	2000-03-06	356	A
USGS	04165500	2000-03-07	321	A
USGS	04165500	2000-03-08	308	A
USGS	04165500	2000-03-09	297	A
USGS	04165500	2000-03-10	279	A
USGS	04165500	2000-03-11	262	A
USGS	04165500	2000-03-12	226	A
USGS	04165500	2000-03-13	230	A
USGS	04165500	2000-03-14	219	A
USGS	04165500	2000-03-15	289	A
USGS	04165500	2000-03-16	540	A
USGS	04165500	2000-03-17	324	A
USGS	04165500	2000-03-18	265	A
USGS	04165500	2000-03-19	241	A
USGS	04165500	2000-03-20	508	A
USGS	04165500	2000-03-21	588	A
USGS	04165500	2000-03-22	374	A
USGS	04165500	2000-03-23	308	A
USGS	04165500	2000-03-24	280	A
USGS	04165500	2000-03-25	243	A
USGS	04165500	2000-03-26	196	A
USGS	04165500	2000-03-27	274	A
USGS	04165500	2000-03-28	253	A
USGS	04165500	2000-03-29	220	A:e
