# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:01:16 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04177000 Ottawa River at University of Toledo, Toledo OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04177000
#            TS   parameter     statistic     Description
#        109388       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109388_00060_00003	109388_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04177000	2000-01-01	4.50	A:e
USGS	04177000	2000-01-02	9.00	A
USGS	04177000	2000-01-03	26.0	A
USGS	04177000	2000-01-04	23.0	A
USGS	04177000	2000-01-05	10.0	A
USGS	04177000	2000-01-06	8.20	A
USGS	04177000	2000-01-07	9.00	A
USGS	04177000	2000-01-08	7.80	A
USGS	04177000	2000-01-09	8.20	A
USGS	04177000	2000-01-10	16.0	A
USGS	04177000	2000-01-11	13.0	A
USGS	04177000	2000-01-12	9.20	A
USGS	04177000	2000-01-13	8.00	A:e
USGS	04177000	2000-01-14	7.40	A:e
USGS	04177000	2000-01-15	6.80	A:e
USGS	04177000	2000-01-16	6.40	A:e
USGS	04177000	2000-01-17	6.00	A:e
USGS	04177000	2000-01-18	5.80	A:e
USGS	04177000	2000-01-19	5.60	A:e
USGS	04177000	2000-01-20	5.20	A:e
USGS	04177000	2000-01-21	5.20	A:e
USGS	04177000	2000-01-22	5.00	A:e
USGS	04177000	2000-01-23	4.80	A:e
USGS	04177000	2000-01-24	4.60	A:e
USGS	04177000	2000-01-25	4.60	A:e
USGS	04177000	2000-01-26	4.60	A:e
USGS	04177000	2000-01-27	4.60	A:e
USGS	04177000	2000-01-28	4.50	A:e
USGS	04177000	2000-01-29	4.50	A:e
USGS	04177000	2000-01-30	4.50	A:e
USGS	04177000	2000-01-31	4.50	A:e
USGS	04177000	2000-02-01	5.00	A:e
USGS	04177000	2000-02-02	6.00	A:e
USGS	04177000	2000-02-03	8.00	A:e
USGS	04177000	2000-02-04	10.0	A:e
USGS	04177000	2000-02-05	8.00	A:e
USGS	04177000	2000-02-06	7.00	A:e
USGS	04177000	2000-02-07	6.00	A:e
USGS	04177000	2000-02-08	7.00	A:e
USGS	04177000	2000-02-09	8.00	A:e
USGS	04177000	2000-02-10	41.0	A
USGS	04177000	2000-02-11	45.0	A
USGS	04177000	2000-02-12	15.0	A:e
USGS	04177000	2000-02-13	13.0	A:e
USGS	04177000	2000-02-14	12.0	A:e
USGS	04177000	2000-02-15	11.0	A:e
