# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:01:17 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04193500 Maumee River at Waterville OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04193500
#            TS   parameter     statistic     Description
#        109477       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109477_00060_00003	109477_00060_00003_cd	
5s	15s	20d	14n	10s	
USGS	04193500	2000-01-01	520	A:e	
USGS	04193500	2000-01-02	500	A:e	
USGS	04193500	2000-01-03	700	A:e	
USGS	04193500	2000-01-04	908	A	
USGS	04193500	2000-01-05	1070	A	
USGS	04193500	2000-01-06	1120	A	
USGS	04193500	2000-01-07	2170	A	
USGS	04193500	2000-01-08	1580	A	
USGS	04193500	2000-01-09	1470	A	
USGS	04193500	2000-01-10	1440	A	
USGS	04193500	2000-01-11	1650	A	
USGS	04193500	2000-01-12	822	A	
USGS	04193500	2000-01-13	700	A:e	
USGS	04193500	2000-01-14	620	A:e	
USGS	04193500	2000-01-15	580	A:e	
USGS	04193500	2000-01-16	540	A:e	
USGS	04193500	2000-01-17	510	A:e	
USGS	04193500	2000-01-18	490	A:e	
USGS	04193500	2000-01-19	460	A:e	
USGS	04193500	2000-01-20	440	A:e	
USGS	04193500	2000-01-21	420	A:e	
USGS	04193500	2000-01-22	400	A:e	
USGS	04193500	2000-01-23	380	A:e	
USGS	04193500	2000-01-24	370	A:e	
USGS	04193500	2000-01-25	350	A:e	
USGS	04193500	2000-01-26	340	A:e	
USGS	04193500	2000-01-27	330	A:e	
USGS	04193500	2000-01-28	320	A:e	
USGS	04193500	2000-01-29	310	A:e	
USGS	04193500	2000-01-30	305	A:e	
