# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:01:22 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04199500 Vermilion River near Vermilion OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04199500
#            TS   parameter     statistic     Description
#        109535       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109535_00060_00003	109535_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04199500	2000-11-01	17.0	A:e
USGS	04199500	2000-11-02	16.0	A
USGS	04199500	2000-11-03	17.0	A
USGS	04199500	2000-11-04	16.0	A
USGS	04199500	2000-11-05	17.0	A
USGS	04199500	2000-11-06	19.0	A
USGS	04199500	2000-11-07	21.0	A
USGS	04199500	2000-11-08	20.0	A
USGS	04199500	2000-11-09	21.0	A
USGS	04199500	2000-11-10	55.0	A
USGS	04199500	2000-11-11	166	A
USGS	04199500	2000-11-12	121	A
USGS	04199500	2000-11-13	81.0	A
USGS	04199500	2000-11-14	57.0	A
USGS	04199500	2000-11-15	44.0	A
USGS	04199500	2000-11-16	37.0	A
USGS	04199500	2000-11-17	32.0	A
USGS	04199500	2000-11-18	29.0	A
USGS	04199500	2000-11-19	25.0	A
USGS	04199500	2000-11-20	23.0	A
USGS	04199500	2000-11-21	24.0	A
USGS	04199500	2000-11-22	27.0	A
USGS	04199500	2000-11-23	22.0	A
USGS	04199500	2000-11-24	23.0	A
USGS	04199500	2000-11-25	20.0	A
USGS	04199500	2000-11-26	20.0	A
USGS	04199500	2000-11-27	24.0	A
USGS	04199500	2000-11-28	32.0	A
USGS	04199500	2000-11-29	49.0	A
USGS	04199500	2000-11-30	50.0	A
USGS	04199500	2000-12-01	76.0	A
USGS	04199500	2000-12-02	95.0	A
USGS	04199500	2000-12-03	80.0	A:e
USGS	04199500	2000-12-04	60.0	A:e
USGS	04199500	2000-12-05	40.0	A:e
USGS	04199500	2000-12-06	36.0	A:e
USGS	04199500	2000-12-07	34.0	A:e
USGS	04199500	2000-12-08	32.0	A:e
USGS	04199500	2000-12-09	31.0	A:e
USGS	04199500	2000-12-10	30.0	A:e
USGS	04199500	2000-12-11	30.0	A:e
USGS	04199500	2000-12-12	200	A:e
USGS	04199500	2000-12-13	400	A:e
USGS	04199500	2000-12-14	290	A:e
USGS	04199500	2000-12-15	1500	A:e
USGS	04199500	2000-12-16	370	A:e
USGS	04199500	2000-12-17	1300	A:e
USGS	04199500	2000-12-18	900	A:e
USGS	04199500	2000-12-19	400	A:e
USGS	04199500	2000-12-20	240	A:e
USGS	04199500	2000-12-21	190	A:e
USGS	04199500	2000-12-22	170	A:e
USGS	04199500	2000-12-23	150	A:e
USGS	04199500	2000-12-24	130	A:e
USGS	04199500	2000-12-25	120	A:e
USGS	04199500	2000-12-26	110	A:e
USGS	04199500	2000-12-27	96.0	A:e
USGS	04199500	2000-12-28	86.0	A:e
USGS	04199500	2000-12-29	78.0	A:e
USGS	04199500	2000-12-30	74.0	A:e
USGS	04199500	2000-12-31	68.0	A:e
USGS	04199500	2001-01-01	64.0	A:e
USGS	04199500	2001-01-02	60.0	A:e
USGS	04199500	2001-01-03	56.0	A:e
USGS	04199500	2001-01-04	52.0	A:e
USGS	04199500	2001-01-05	50.0	A:e
USGS	04199500	2001-01-06	66.0	A:e
USGS	04199500	2001-01-07	50.0	A:e
USGS	04199500	2001-01-08	45.0	A:e
USGS	04199500	2001-01-09	41.0	A:e
USGS	04199500	2001-01-10	37.0	A:e
USGS	04199500	2001-01-11	34.0	A:e
USGS	04199500	2001-01-12	32.0	A:e
USGS	04199500	2001-01-13	30.0	A:e
USGS	04199500	2001-01-14	28.0	A:e
USGS	04199500	2001-01-15	27.0	A:e
USGS	04199500	2001-01-16	200	A:e
USGS	04199500	2001-01-17	400	A:e
USGS	04199500	2001-01-18	280	A:e
USGS	04199500	2001-01-19	190	A:e
USGS	04199500	2001-01-20	130	A:e
USGS	04199500	2001-01-21	88.0	A:e
USGS	04199500	2001-01-22	64.0	A:e
USGS	04199500	2001-01-23	52.0	A:e
USGS	04199500	2001-01-24	40.0	A:e
USGS	04199500	2001-01-25	34.0	A:e
USGS	04199500	2001-01-26	30.0	A:e
USGS	04199500	2001-01-27	27.0	A:e
USGS	04199500	2001-01-28	24.0	A:e
USGS	04199500	2001-01-29	22.0	A:e
USGS	04199500	2001-01-30	20.0	A:e
USGS	04199500	2001-01-31	1000	A:e
USGS	04199500	2001-02-01	900	A:e
USGS	04199500	2001-02-02	760	A:e
USGS	04199500	2001-02-03	500	A:e
USGS	04199500	2001-02-04	290	A:e
USGS	04199500	2001-02-05	210	A:e
USGS	04199500	2001-02-06	180	A:e
USGS	04199500	2001-02-07	140	A:e
