# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:33 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04215000 CAYUGA CREEK NEAR LANCASTER NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04215000
#            TS   parameter     statistic     Description
#        105558       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=04215000&ts_ids=105558]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105558_00060_00003	105558_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04215000	2000-01-01	80.0	A:e
USGS	04215000	2000-01-02	150	A:e
USGS	04215000	2000-01-03	690	A:e
USGS	04215000	2000-01-04	1040	A
USGS	04215000	2000-01-05	365	A
USGS	04215000	2000-01-06	166	A
USGS	04215000	2000-01-07	140	A
USGS	04215000	2000-01-08	108	A
USGS	04215000	2000-01-09	106	A
USGS	04215000	2000-01-10	165	A
USGS	04215000	2000-01-11	263	A
USGS	04215000	2000-01-12	188	A
USGS	04215000	2000-01-13	104	A
USGS	04215000	2000-01-14	75.0	A:e
USGS	04215000	2000-01-15	70.0	A:e
USGS	04215000	2000-01-16	65.0	A:e
USGS	04215000	2000-01-17	60.0	A:e
USGS	04215000	2000-01-18	54.0	A
USGS	04215000	2000-01-19	54.0	A:e
USGS	04215000	2000-01-20	52.0	A:e
USGS	04215000	2000-01-21	52.0	A:e
USGS	04215000	2000-01-22	52.0	A:e
USGS	04215000	2000-01-23	50.0	A:e
USGS	04215000	2000-01-24	50.0	A:e
USGS	04215000	2000-01-25	48.0	A:e
USGS	04215000	2000-01-26	46.0	A:e
USGS	04215000	2000-01-27	44.0	A:e
USGS	04215000	2000-01-28	44.0	A:e
USGS	04215000	2000-01-29	42.0	A
USGS	04215000	2000-01-30	42.0	A
USGS	04215000	2000-01-31	44.0	A:e
USGS	04215000	2000-02-01	45.0	A:e
