# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:31 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04218518 ELLICOTT CREEK BELOW WILLIAMSVILLE NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 04218518
#            TS   parameter     statistic     Description
#        105573       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105573_00060_00003	105573_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04218518	2000-01-01	79.0	A
USGS	04218518	2000-01-02	78.0	A
USGS	04218518	2000-01-03	189	A
USGS	04218518	2000-01-04	460	A
USGS	04218518	2000-01-05	619	A
USGS	04218518	2000-01-06	268	A
USGS	04218518	2000-01-07	162	A
USGS	04218518	2000-01-08	125	A
USGS	04218518	2000-01-09	115	A
USGS	04218518	2000-01-10	127	A
USGS	04218518	2000-01-11	205	A
USGS	04218518	2000-01-12	213	A
USGS	04218518	2000-01-13	157	A
USGS	04218518	2000-01-14	90.0	A:e
USGS	04218518	2000-01-15	85.0	A:e
USGS	04218518	2000-01-16	80.0	A:e
USGS	04218518	2000-01-17	75.0	A:e
USGS	04218518	2000-01-18	72.0	A:e
USGS	04218518	2000-01-19	70.0	A:e
USGS	04218518	2000-01-20	70.0	A:e
USGS	04218518	2000-01-21	70.0	A:e
USGS	04218518	2000-01-22	68.0	A:e
USGS	04218518	2000-01-23	65.0	A:e
USGS	04218518	2000-01-24	65.0	A:e
USGS	04218518	2000-01-25	60.0	A:e
USGS	04218518	2000-01-26	58.0	A:e
USGS	04218518	2000-01-27	56.0	A
USGS	04218518	2000-01-28	65.0	A
USGS	04218518	2000-01-29	56.0	A
USGS	04218518	2000-01-30	52.0	A
USGS	04218518	2000-01-31	52.0	A
USGS	04218518	2000-02-01	52.0	A
USGS	04218518	2000-02-02	54.0	A
USGS	04218518	2000-02-03	52.0	A:e
USGS	04218518	2000-02-04	52.0	A:e
USGS	04218518	2000-02-05	50.0	A:e
USGS	04218518	2000-02-06	50.0	A:e
USGS	04218518	2000-02-07	50.0	A:e
USGS	04218518	2000-02-08	50.0	A:e
USGS	04218518	2000-02-09	50.0	A:e
USGS	04218518	2000-02-10	55.0	A:e
USGS	04218518	2000-02-11	65.0	A:e
USGS	04218518	2000-02-12	81.0	A
USGS	04218518	2000-02-13	85.0	A
USGS	04218518	2000-02-14	83.0	A
USGS	04218518	2000-02-15	71.0	A
USGS	04218518	2000-02-16	69.0	A
USGS	04218518	2000-02-17	65.0	A
USGS	04218518	2000-02-18	71.0	A
USGS	04218518	2000-02-19	69.0	A
USGS	04218518	2000-02-20	65.0	A
USGS	04218518	2000-02-21	62.0	A
USGS	04218518	2000-02-22	70.0	A
USGS	04218518	2000-02-23	185	A
USGS	04218518	2000-02-24	543	A
USGS	04218518	2000-02-25	1230	A
USGS	04218518	2000-02-26	1320	A
USGS	04218518	2000-02-27	637	A
USGS	04218518	2000-02-28	366	A
USGS	04218518	2000-02-29	226	A
USGS	04218518	2000-03-01	156	A
USGS	04218518	2000-03-02	143	A
USGS	04218518	2000-03-03	158	A
USGS	04218518	2000-03-04	146	A
USGS	04218518	2000-03-05	142	A
USGS	04218518	2000-03-06	132	A
USGS	04218518	2000-03-07	112	A
USGS	04218518	2000-03-08	99.0	A
USGS	04218518	2000-03-09	106	A
USGS	04218518	2000-03-10	150	A
USGS	04218518	2000-03-11	205	A
USGS	04218518	2000-03-12	138	A
USGS	04218518	2000-03-13	129	A
USGS	04218518	2000-03-14	181	A
USGS	04218518	2000-03-15	323	A
USGS	04218518	2000-03-16	328	A
USGS	04218518	2000-03-17	316	A
USGS	04218518	2000-03-18	265	A
USGS	04218518	2000-03-19	201	A
USGS	04218518	2000-03-20	235	A
USGS	04218518	2000-03-21	215	A
USGS	04218518	2000-03-22	143	A
USGS	04218518	2000-03-23	119	A
USGS	04218518	2000-03-24	107	A
USGS	04218518	2000-03-25	97.0	A
USGS	04218518	2000-03-26	93.0	A
USGS	04218518	2000-03-27	87.0	A
USGS	04218518	2000-03-28	81.0	A
USGS	04218518	2000-03-29	88.0	A
USGS	04218518	2000-03-30	97.0	A
USGS	04218518	2000-03-31	97.0	A
USGS	04218518	2000-04-01	82.0	A
USGS	04218518	2000-04-02	78.0	A
USGS	04218518	2000-04-03	92.0	A
USGS	04218518	2000-04-04	441	A
USGS	04218518	2000-04-05	613	A
USGS	04218518	2000-04-06	278	A
USGS	04218518	2000-04-07	168	A
USGS	04218518	2000-04-08	617	A
USGS	04218518	2000-04-09	1420	A
USGS	04218518	2000-04-10	559	A
USGS	04218518	2000-04-11	253	A
USGS	04218518	2000-04-12	230	A
USGS	04218518	2000-04-13	286	A
USGS	04218518	2000-04-14	213	A
USGS	04218518	2000-04-15	142	A
USGS	04218518	2000-04-16	118	A
USGS	04218518	2000-04-17	105	A
USGS	04218518	2000-04-18	106	A
USGS	04218518	2000-04-19	111	A
USGS	04218518	2000-04-20	164	A
USGS	04218518	2000-04-21	535	A
USGS	04218518	2000-04-22	596	A
USGS	04218518	2000-04-23	435	A
USGS	04218518	2000-04-24	289	A
USGS	04218518	2000-04-25	192	A
USGS	04218518	2000-04-26	138	A
USGS	04218518	2000-04-27	120	A
USGS	04218518	2000-04-28	108	A
USGS	04218518	2000-04-29	101	A
USGS	04218518	2000-04-30	93.0	A
USGS	04218518	2000-05-01	93.0	A
USGS	04218518	2000-05-02	95.0	A
USGS	04218518	2000-05-03	111	A
USGS	04218518	2000-05-04	95.0	A
USGS	04218518	2000-05-05	84.0	A
USGS	04218518	2000-05-06	77.0	A
USGS	04218518	2000-05-07	56.0	A
USGS	04218518	2000-05-08	54.0	A
USGS	04218518	2000-05-09	65.0	A
USGS	04218518	2000-05-10	108	A
USGS	04218518	2000-05-11	138	A
USGS	04218518	2000-05-12	271	A
USGS	04218518	2000-05-13	697	A
USGS	04218518	2000-05-14	536	A
USGS	04218518	2000-05-15	216	A
USGS	04218518	2000-05-16	114	A
USGS	04218518	2000-05-17	102	A
USGS	04218518	2000-05-18	219	A
USGS	04218518	2000-05-19	597	A
USGS	04218518	2000-05-20	484	A
USGS	04218518	2000-05-21	287	A
USGS	04218518	2000-05-22	174	A
USGS	04218518	2000-05-23	137	A
USGS	04218518	2000-05-24	127	A
USGS	04218518	2000-05-25	163	A
USGS	04218518	2000-05-26	129	A
USGS	04218518	2000-05-27	102	A
USGS	04218518	2000-05-28	85.0	A
USGS	04218518	2000-05-29	76.0	A
USGS	04218518	2000-05-30	70.0	A
USGS	04218518	2000-05-31	56.0	A
USGS	04218518	2000-06-01	52.0	A
USGS	04218518	2000-06-02	58.0	A
USGS	04218518	2000-06-03	56.0	A
USGS	04218518	2000-06-04	54.0	A
USGS	04218518	2000-06-05	54.0	A
USGS	04218518	2000-06-06	82.0	A
USGS	04218518	2000-06-07	94.0	A
USGS	04218518	2000-06-08	69.0	A
USGS	04218518	2000-06-09	130	A
USGS	04218518	2000-06-10	141	A
USGS	04218518	2000-06-11	130	A
USGS	04218518	2000-06-12	115	A
USGS	04218518	2000-06-13	212	A
USGS	04218518	2000-06-14	410	A
USGS	04218518	2000-06-15	471	A
USGS	04218518	2000-06-16	337	A
USGS	04218518	2000-06-17	270	A
USGS	04218518	2000-06-18	316	A
USGS	04218518	2000-06-19	150	A
USGS	04218518	2000-06-20	103	A
USGS	04218518	2000-06-21	78.0	A
USGS	04218518	2000-06-22	90.0	A
USGS	04218518	2000-06-23	92.0	A
USGS	04218518	2000-06-24	69.0	A
USGS	04218518	2000-06-25	293	A
USGS	04218518	2000-06-26	388	A
USGS	04218518	2000-06-27	203	A
USGS	04218518	2000-06-28	193	A
USGS	04218518	2000-06-29	97.0	A
USGS	04218518	2000-06-30	98.0	A
USGS	04218518	2000-07-01	90.0	A
USGS	04218518	2000-07-02	71.0	A
USGS	04218518	2000-07-03	69.0	A
USGS	04218518	2000-07-04	67.0	A
USGS	04218518	2000-07-05	76.0	A
USGS	04218518	2000-07-06	67.0	A
USGS	04218518	2000-07-07	54.0	A
USGS	04218518	2000-07-08	49.0	A
USGS	04218518	2000-07-09	70.0	A
USGS	04218518	2000-07-10	67.0	A
USGS	04218518	2000-07-11	62.0	A
USGS	04218518	2000-07-12	53.0	A
USGS	04218518	2000-07-13	44.0	A
USGS	04218518	2000-07-14	47.0	A
USGS	04218518	2000-07-15	55.0	A
USGS	04218518	2000-07-16	80.0	A
USGS	04218518	2000-07-17	163	A
USGS	04218518	2000-07-18	109	A
USGS	04218518	2000-07-19	73.0	A
USGS	04218518	2000-07-20	60.0	A
USGS	04218518	2000-07-21	74.0	A
USGS	04218518	2000-07-22	112	A
USGS	04218518	2000-07-23	79.0	A
USGS	04218518	2000-07-24	64.0	A
USGS	04218518	2000-07-25	54.0	A
USGS	04218518	2000-07-26	49.0	A
USGS	04218518	2000-07-27	47.0	A
USGS	04218518	2000-07-28	46.0	A
USGS	04218518	2000-07-29	46.0	A
USGS	04218518	2000-07-30	51.0	A
USGS	04218518	2000-07-31	91.0	A
USGS	04218518	2000-08-01	156	A
USGS	04218518	2000-08-02	473	A
USGS	04218518	2000-08-03	323	A
USGS	04218518	2000-08-04	461	A
USGS	04218518	2000-08-05	273	A
USGS	04218518	2000-08-06	109	A
USGS	04218518	2000-08-07	211	A
USGS	04218518	2000-08-08	512	A
USGS	04218518	2000-08-09	238	A
USGS	04218518	2000-08-10	122	A
USGS	04218518	2000-08-11	110	A
USGS	04218518	2000-08-12	205	A
USGS	04218518	2000-08-13	122	A
USGS	04218518	2000-08-14	88.0	A
USGS	04218518	2000-08-15	72.0	A
USGS	04218518	2000-08-16	63.0	A
USGS	04218518	2000-08-17	57.0	A
USGS	04218518	2000-08-18	53.0	A
USGS	04218518	2000-08-19	49.0	A
USGS	04218518	2000-08-20	48.0	A
USGS	04218518	2000-08-21	46.0	A
USGS	04218518	2000-08-22	43.0	A
USGS	04218518	2000-08-23	68.0	A
USGS	04218518	2000-08-24	65.0	A
USGS	04218518	2000-08-25	58.0	A
USGS	04218518	2000-08-26	44.0	A
USGS	04218518	2000-08-27	38.0	A
USGS	04218518	2000-08-28	36.0	A
USGS	04218518	2000-08-29	35.0	A
USGS	04218518	2000-08-30	33.0	A
USGS	04218518	2000-08-31	32.0	A
USGS	04218518	2000-09-01	31.0	A
USGS	04218518	2000-09-02	29.0	A
USGS	04218518	2000-09-03	28.0	A
USGS	04218518	2000-09-04	28.0	A
USGS	04218518	2000-09-05	27.0	A
USGS	04218518	2000-09-06	28.0	A
USGS	04218518	2000-09-07	28.0	A
USGS	04218518	2000-09-08	28.0	A
USGS	04218518	2000-09-09	40.0	A
USGS	04218518	2000-09-10	30.0	A
USGS	04218518	2000-09-11	44.0	A
USGS	04218518	2000-09-12	63.0	A
USGS	04218518	2000-09-13	60.0	A
USGS	04218518	2000-09-14	72.0	A
USGS	04218518	2000-09-15	81.0	A
USGS	04218518	2000-09-16	100	A
USGS	04218518	2000-09-17	60.0	A
USGS	04218518	2000-09-18	44.0	A
USGS	04218518	2000-09-19	39.0	A
USGS	04218518	2000-09-20	35.0	A
USGS	04218518	2000-09-21	44.0	A
USGS	04218518	2000-09-22	38.0	A
USGS	04218518	2000-09-23	220	A
USGS	04218518	2000-09-24	666	A
USGS	04218518	2000-09-25	452	A
USGS	04218518	2000-09-26	161	A
USGS	04218518	2000-09-27	99.0	A
USGS	04218518	2000-09-28	78.0	A
USGS	04218518	2000-09-29	53.0	A
USGS	04218518	2000-09-30	54.0	A
USGS	04218518	2000-10-01	48.0	A
USGS	04218518	2000-10-02	44.0	A
USGS	04218518	2000-10-03	39.0	A
USGS	04218518	2000-10-04	48.0	A
USGS	04218518	2000-10-05	57.0	A
USGS	04218518	2000-10-06	69.0	A
USGS	04218518	2000-10-07	92.0	A
USGS	04218518	2000-10-08	98.0	A
USGS	04218518	2000-10-09	92.0	A
USGS	04218518	2000-10-10	77.0	A
USGS	04218518	2000-10-11	60.0	A
USGS	04218518	2000-10-12	44.0	A
USGS	04218518	2000-10-13	47.0	A
USGS	04218518	2000-10-14	33.0	A
USGS	04218518	2000-10-15	29.0	A
USGS	04218518	2000-10-16	29.0	A
USGS	04218518	2000-10-17	28.0	A
USGS	04218518	2000-10-18	35.0	A
USGS	04218518	2000-10-19	44.0	A
USGS	04218518	2000-10-20	42.0	A
USGS	04218518	2000-10-21	43.0	A
USGS	04218518	2000-10-22	44.0	A
USGS	04218518	2000-10-23	42.0	A
USGS	04218518	2000-10-24	40.0	A
USGS	04218518	2000-10-25	28.0	A
USGS	04218518	2000-10-26	28.0	A
USGS	04218518	2000-10-27	28.0	A
USGS	04218518	2000-10-28	40.0	A
USGS	04218518	2000-10-29	35.0	A
USGS	04218518	2000-10-30	38.0	A
USGS	04218518	2000-10-31	41.0	A
USGS	04218518	2000-11-01	34.0	A
USGS	04218518	2000-11-02	27.0	A
USGS	04218518	2000-11-03	26.0	A
USGS	04218518	2000-11-04	26.0	A
USGS	04218518	2000-11-05	25.0	A
USGS	04218518	2000-11-06	25.0	A
USGS	04218518	2000-11-07	32.0	A
USGS	04218518	2000-11-08	38.0	A
USGS	04218518	2000-11-09	34.0	A
USGS	04218518	2000-11-10	48.0	A
USGS	04218518	2000-11-11	39.0	A
USGS	04218518	2000-11-12	60.0	A
USGS	04218518	2000-11-13	53.0	A
USGS	04218518	2000-11-14	56.0	A
USGS	04218518	2000-11-15	79.0	A
USGS	04218518	2000-11-16	79.0	A
USGS	04218518	2000-11-17	93.0	A
USGS	04218518	2000-11-18	87.0	A
USGS	04218518	2000-11-19	89.0	A
USGS	04218518	2000-11-20	100	A
USGS	04218518	2000-11-21	107	A
USGS	04218518	2000-11-22	93.0	A
USGS	04218518	2000-11-23	93.0	A
USGS	04218518	2000-11-24	85.0	A:e
USGS	04218518	2000-11-25	81.0	A
USGS	04218518	2000-11-26	138	A
USGS	04218518	2000-11-27	641	A
USGS	04218518	2000-11-28	658	A
USGS	04218518	2000-11-29	373	A
USGS	04218518	2000-11-30	267	A
USGS	04218518	2000-12-01	214	A
USGS	04218518	2000-12-02	151	A
USGS	04218518	2000-12-03	104	A
USGS	04218518	2000-12-04	95.0	A
USGS	04218518	2000-12-05	87.0	A
USGS	04218518	2000-12-06	87.0	A
