time,date,hour,precip [mm/day],sub6645 [m3/s],sub6645 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,23.2097,
1,2000-01-02,00:00:00.00,2.2645,11.6142,9.3
2,2000-01-03,00:00:00.00,0.948082,0.0551388,9.2
3,2000-01-04,00:00:00.00,0.287145,0.158587,9.1
4,2000-01-05,00:00:00.00,0.253307,0.263583,9.05
5,2000-01-06,00:00:00.00,3.47786,0.30992,9
6,2000-01-07,00:00:00.00,5.1706,0.317711,8.93
7,2000-01-08,00:00:00.00,1.38231,0.316307,8.85
8,2000-01-09,00:00:00.00,2.78133,0.314646,8.8
9,2000-01-10,00:00:00.00,0.376231,0.31289,8.72
10,2000-01-11,00:00:00.00,3.17892,0.334873,8.65
11,2000-01-12,00:00:00.00,0.426501,0.444635,8.6
12,2000-01-13,00:00:00.00,0.192894,0.626159,8.55
13,2000-01-14,00:00:00.00,0.318322,0.633076,8.53
14,2000-01-15,00:00:00.00,1.30454,0.455449,8.5
15,2000-01-16,00:00:00.00,3.94294,0.338023,8.48
16,2000-01-17,00:00:00.00,0.292056,0.309877,8.48
17,2000-01-18,00:00:00.00,5.60723,0.308507,8.47
18,2000-01-19,00:00:00.00,5.11346,0.307101,8.46
19,2000-01-20,00:00:00.00,0.197195,0.305759,8.46
20,2000-01-21,00:00:00.00,0.176708,0.304349,8.45
21,2000-01-22,00:00:00.00,0.214969,0.303056,8.44
22,2000-01-23,00:00:00.00,3.58125,0.302073,8.43
23,2000-01-24,00:00:00.00,1.98919,0.301269,8.42
24,2000-01-25,00:00:00.00,0.295086,0.300494,8.41
25,2000-01-26,00:00:00.00,0.18871,0.299687,8.4
26,2000-01-27,00:00:00.00,0.232085,0.298855,8.39
27,2000-01-28,00:00:00.00,0.166548,0.298027,8.37
28,2000-01-29,00:00:00.00,0.167128,0.297115,8.35
29,2000-01-30,00:00:00.00,0.156042,0.295861,8.34
30,2000-01-31,00:00:00.00,0.275028,0.294069,8.32
31,2000-02-01,00:00:00.00,0.403158,0.291807,8.3
32,2000-02-02,00:00:00.00,0.117386,0.289354,8.29
33,2000-02-03,00:00:00.00,2.29115,0.286987,8.28
34,2000-02-04,00:00:00.00,1.58637,0.28476,8.27
35,2000-02-05,00:00:00.00,0.168098,0.282488,8.26
36,2000-02-06,00:00:00.00,0.11124,0.280077,8.25
37,2000-02-07,00:00:00.00,0.218561,0.277578,8.24
38,2000-02-08,00:00:00.00,0.0769381,0.275028,8.23
39,2000-02-09,00:00:00.00,1.19015,0.272466,8.22
40,2000-02-10,00:00:00.00,0.598166,0.269991,8.21
41,2000-02-11,00:00:00.00,0.184042,0.267512,8.2
42,2000-02-12,00:00:00.00,0.0799758,0.265068,8.19
43,2000-02-13,00:00:00.00,0.065549,0.263182,8.18
44,2000-02-14,00:00:00.00,0.137874,0.261897,8.17
45,2000-02-15,00:00:00.00,0.273893,0.260774,8.16
46,2000-02-16,00:00:00.00,0.168906,0.259587,8.15
47,2000-02-17,00:00:00.00,0.0697265,0.258161,8.14
48,2000-02-18,00:00:00.00,0.142468,0.25655,8.13
49,2000-02-19,00:00:00.00,0.100976,0.255097,8.12
50,2000-02-20,00:00:00.00,0.249622,0.253738,8.11
51,2000-02-21,00:00:00.00,0.207542,0.252019,8.1
52,2000-02-22,00:00:00.00,0.237401,0.249716,8.14
53,2000-02-23,00:00:00.00,0.249444,0.246767,8.2
54,2000-02-24,00:00:00.00,0.230488,0.243067,8.35
55,2000-02-25,00:00:00.00,2.41008,0.263061,8.5
56,2000-02-26,00:00:00.00,1.47745,0.386787,9
57,2000-02-27,00:00:00.00,4.64529,0.704201,11.6
58,2000-02-28,00:00:00.00,1.64316,1.13407,16.1
59,2000-02-29,00:00:00.00,0.212544,1.46834,16.6
60,2000-03-01,00:00:00.00,0.116885,1.265,16.8
61,2000-03-02,00:00:00.00,0.329982,0.676091,16.8
62,2000-03-03,00:00:00.00,0.125808,0.333361,16.6
63,2000-03-04,00:00:00.00,0.139474,0.253507,16.4
64,2000-03-05,00:00:00.00,0.0584745,0.248106,15.8
65,2000-03-06,00:00:00.00,0.112204,0.242041,15.3
66,2000-03-07,00:00:00.00,0.178721,0.235552,14.2
67,2000-03-08,00:00:00.00,1.71385,0.234262,13.7
68,2000-03-09,00:00:00.00,4.85113,0.265352,14.1
69,2000-03-10,00:00:00.00,3.78323,0.361739,14.8
70,2000-03-11,00:00:00.00,0.0682325,0.463089,15.5
71,2000-03-12,00:00:00.00,0.668339,0.42973,14.9
72,2000-03-13,00:00:00.00,0.0699441,0.306009,14.3
73,2000-03-14,00:00:00.00,1.32212,0.233245,13.7
74,2000-03-15,00:00:00.00,0.126657,0.215111,12.9
75,2000-03-16,00:00:00.00,0.366428,0.211861,12.6
76,2000-03-17,00:00:00.00,0.0967782,0.208881,11.5
77,2000-03-18,00:00:00.00,0.164591,0.206339,10.9
78,2000-03-19,00:00:00.00,1.3272,0.204008,10.8
79,2000-03-20,00:00:00.00,0.283708,0.201575,10.5
80,2000-03-21,00:00:00.00,0.296862,0.198698,10.3
81,2000-03-22,00:00:00.00,1.97168,0.195746,10.3
82,2000-03-23,00:00:00.00,0.475183,0.195156,10.7
83,2000-03-24,00:00:00.00,0.479503,0.197322,12
84,2000-03-25,00:00:00.00,6.13529,0.268287,14.1
85,2000-03-26,00:00:00.00,6.72025,0.665039,21.1
86,2000-03-27,00:00:00.00,3.004,1.52296,30.4
87,2000-03-28,00:00:00.00,14.9765,2.16698,32.6
88,2000-03-29,00:00:00.00,0.591254,2.14394,31.7
89,2000-03-30,00:00:00.00,0.191905,1.94263,29.3
90,2000-03-31,00:00:00.00,0.0804189,1.45986,27.4
91,2000-04-01,00:00:00.00,0.138765,0.730147,26.3
92,2000-04-02,00:00:00.00,0.481315,0.997801,26.2
93,2000-04-03,00:00:00.00,0.273441,4.62875,27.2
94,2000-04-04,00:00:00.00,9.22425,12.612,31
95,2000-04-05,00:00:00.00,0.0277999,17.7738,33.8
96,2000-04-06,00:00:00.00,3.36374,13.6853,33
97,2000-04-07,00:00:00.00,2.96732,6.14505,33
98,2000-04-08,00:00:00.00,0.219223,1.97496,32
99,2000-04-09,00:00:00.00,0.546937,0.936456,31.1
100,2000-04-10,00:00:00.00,2.48744,0.838961,30.7
101,2000-04-11,00:00:00.00,0.375696,0.823743,30.3
102,2000-04-12,00:00:00.00,0.644434,0.80861,30.2
103,2000-04-13,00:00:00.00,0.0580468,0.794272,29.8
104,2000-04-14,00:00:00.00,1.77049,0.783794,29.8
105,2000-04-15,00:00:00.00,0.56467,0.788525,29.8
106,2000-04-16,00:00:00.00,0.437642,0.807602,30.2
107,2000-04-17,00:00:00.00,0.0442344,0.799194,30
108,2000-04-18,00:00:00.00,0.0264863,0.758545,29.8
109,2000-04-19,00:00:00.00,0.1797,0.725185,30.1
110,2000-04-20,00:00:00.00,0.0390695,0.704381,31
111,2000-04-21,00:00:00.00,0.0172262,0.686426,32.7
112,2000-04-22,00:00:00.00,0.00894819,0.667572,33.9
113,2000-04-23,00:00:00.00,1.44028,1.38872,36.6
114,2000-04-24,00:00:00.00,0.0152242,4.84311,39.2
115,2000-04-25,00:00:00.00,0.0162544,10.538,43.2
116,2000-04-26,00:00:00.00,0.016594,10.855,46.3
117,2000-04-27,00:00:00.00,0.432287,5.46544,47.7
118,2000-04-28,00:00:00.00,1.91154,1.89682,49.1
119,2000-04-29,00:00:00.00,4.31593,1.12811,50.6
120,2000-04-30,00:00:00.00,0.0237832,1.4224,50.5
121,2000-05-01,00:00:00.00,2.82782,1.88017,49.6
122,2000-05-02,00:00:00.00,0.506273,1.93507,50
123,2000-05-03,00:00:00.00,0.0476979,1.59891,51
124,2000-05-04,00:00:00.00,0.172703,1.31296,50.5
125,2000-05-05,00:00:00.00,0.603391,1.12405,50.9
126,2000-05-06,00:00:00.00,4.79185,1.0455,51.8
127,2000-05-07,00:00:00.00,0.658998,1.09005,52.2
128,2000-05-08,00:00:00.00,0.29372,1.21354,59.2
129,2000-05-09,00:00:00.00,50.0566,2.40875,68.8
130,2000-05-10,00:00:00.00,0.0580588,7.93825,83.9
131,2000-05-11,00:00:00.00,0.104281,17.2224,85.3
132,2000-05-12,00:00:00.00,2.36735,17.8649,81.5
133,2000-05-13,00:00:00.00,4.96349,9.32942,80.8
134,2000-05-14,00:00:00.00,7.30603,4.1543,86.9
135,2000-05-15,00:00:00.00,0.527159,4.2098,92
136,2000-05-16,00:00:00.00,0.112882,5.60011,92.6
137,2000-05-17,00:00:00.00,0.0200273,5.20375,89.2
138,2000-05-18,00:00:00.00,0.049177,3.65487,86.3
139,2000-05-19,00:00:00.00,0.337807,2.75891,83.9
140,2000-05-20,00:00:00.00,0.0924897,2.5522,81.4
141,2000-05-21,00:00:00.00,0.114302,2.53461,77.9
142,2000-05-22,00:00:00.00,0.61872,2.51482,75.4
143,2000-05-23,00:00:00.00,2.64172,2.49227,73
144,2000-05-24,00:00:00.00,5.37685,2.52965,71.2
145,2000-05-25,00:00:00.00,1.6034,2.77903,70.8
146,2000-05-26,00:00:00.00,0.0984737,3.19822,70.5
147,2000-05-27,00:00:00.00,0.0909647,3.23628,68.3
148,2000-05-28,00:00:00.00,0.0793773,2.8632,65.4
149,2000-05-29,00:00:00.00,0.0555344,2.60344,62.2
150,2000-05-30,00:00:00.00,0.119094,2.52587,59.5
151,2000-05-31,00:00:00.00,2.81297,2.51314,57.9
152,2000-06-01,00:00:00.00,0.00488615,2.52814,58.4
153,2000-06-02,00:00:00.00,3.1418,2.57258,58.2
154,2000-06-03,00:00:00.00,3.17351,2.59506,64
