time,date,hour,precip [mm/day],sub6655 [m3/s],sub6655 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,3.04939,3.12687,
2,2000-01-03,00:00:00.00,5.22292,6.25759,
3,2000-01-04,00:00:00.00,0.444452,6.27601,
4,2000-01-05,00:00:00.00,5.15223,6.31872,
5,2000-01-06,00:00:00.00,0.709776,6.39119,
6,2000-01-07,00:00:00.00,5.00995,6.50152,
7,2000-01-08,00:00:00.00,1.54816,6.66282,
8,2000-01-09,00:00:00.00,2.79615,6.86851,
9,2000-01-10,00:00:00.00,0.449555,7.0793,
10,2000-01-11,00:00:00.00,8.21172,7.29129,
11,2000-01-12,00:00:00.00,3.79134,7.56455,
12,2000-01-13,00:00:00.00,0.41102,7.92079,
13,2000-01-14,00:00:00.00,0.267869,8.31518,
14,2000-01-15,00:00:00.00,0.301138,8.69965,
15,2000-01-16,00:00:00.00,5.91859,9.09102,
16,2000-01-17,00:00:00.00,2.01925,9.52772,
17,2000-01-18,00:00:00.00,0.96255,9.85232,
18,2000-01-19,00:00:00.00,3.28357,9.75894,
19,2000-01-20,00:00:00.00,0.725509,9.38854,
20,2000-01-21,00:00:00.00,0.25584,9.04638,
21,2000-01-22,00:00:00.00,0.226141,8.75211,
22,2000-01-23,00:00:00.00,0.678015,8.50586,
23,2000-01-24,00:00:00.00,3.26155,8.30978,
24,2000-01-25,00:00:00.00,0.913431,8.18461,
25,2000-01-26,00:00:00.00,0.42076,8.14828,
26,2000-01-27,00:00:00.00,0.238139,8.16097,
27,2000-01-28,00:00:00.00,0.245572,8.17731,
28,2000-01-29,00:00:00.00,0.347167,8.1937,
29,2000-01-30,00:00:00.00,0.219888,8.21018,
30,2000-01-31,00:00:00.00,0.434998,8.22674,
31,2000-02-01,00:00:00.00,1.89539,8.24321,
32,2000-02-02,00:00:00.00,0.337349,8.25941,
33,2000-02-03,00:00:00.00,0.250192,8.2752,
34,2000-02-04,00:00:00.00,0.873154,8.29046,
35,2000-02-05,00:00:00.00,0.216065,8.30506,
36,2000-02-06,00:00:00.00,1.41293,8.31904,
37,2000-02-07,00:00:00.00,0.670617,8.33261,
38,2000-02-08,00:00:00.00,0.251467,8.34598,
39,2000-02-09,00:00:00.00,0.522651,8.35929,
40,2000-02-10,00:00:00.00,3.80797,8.3725,
41,2000-02-11,00:00:00.00,0.2808,8.38547,
42,2000-02-12,00:00:00.00,0.19269,8.39811,
43,2000-02-13,00:00:00.00,0.648473,8.41035,
44,2000-02-14,00:00:00.00,0.891732,8.42218,
45,2000-02-15,00:00:00.00,0.37345,8.43369,
46,2000-02-16,00:00:00.00,1.64969,8.445,
47,2000-02-17,00:00:00.00,0.942855,8.45633,
48,2000-02-18,00:00:00.00,0.252323,8.46791,
49,2000-02-19,00:00:00.00,0.33132,8.47969,
50,2000-02-20,00:00:00.00,0.318735,8.49151,
51,2000-02-21,00:00:00.00,0.587979,8.50328,
52,2000-02-22,00:00:00.00,0.544821,8.51484,
53,2000-02-23,00:00:00.00,0.406449,8.52599,
54,2000-02-24,00:00:00.00,0.673893,8.57971,
55,2000-02-25,00:00:00.00,2.16878,8.82214,
56,2000-02-26,00:00:00.00,0.451113,9.42957,
57,2000-02-27,00:00:00.00,3.93345,10.6203,
58,2000-02-28,00:00:00.00,3.11057,12.6216,
59,2000-02-29,00:00:00.00,2.80568,15.4524,
60,2000-03-01,00:00:00.00,1.14403,19.0324,
61,2000-03-02,00:00:00.00,7.13129,23.0125,
62,2000-03-03,00:00:00.00,0.159135,26.5835,
63,2000-03-04,00:00:00.00,0.239166,29.1171,
64,2000-03-05,00:00:00.00,0.901327,29.7946,
65,2000-03-06,00:00:00.00,0.189237,28.2417,
66,2000-03-07,00:00:00.00,0.166395,25.7826,
67,2000-03-08,00:00:00.00,1.05754,23.6222,
68,2000-03-09,00:00:00.00,3.37314,21.8021,
69,2000-03-10,00:00:00.00,8.18039,20.1271,
70,2000-03-11,00:00:00.00,0.121474,18.8052,
71,2000-03-12,00:00:00.00,0.144853,18.0472,
72,2000-03-13,00:00:00.00,0.148778,17.6416,
73,2000-03-14,00:00:00.00,0.866723,17.3959,
74,2000-03-15,00:00:00.00,2.38072,17.2539,
75,2000-03-16,00:00:00.00,3.7708,17.1572,
76,2000-03-17,00:00:00.00,0.141938,17.0296,
77,2000-03-18,00:00:00.00,0.171358,16.8828,
78,2000-03-19,00:00:00.00,0.290227,16.7682,
