time,date,hour,precip [mm/day],sub6658 [m3/s],sub6658 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,3.76,4.58891,
2,2000-01-03,00:00:00.00,9.85581,9.10377,
3,2000-01-04,00:00:00.00,0.429735,8.95604,
4,2000-01-05,00:00:00.00,7.842,8.80987,
5,2000-01-06,00:00:00.00,0.572527,8.66707,
6,2000-01-07,00:00:00.00,10.062,8.5284,
7,2000-01-08,00:00:00.00,2.4157,8.39356,
8,2000-01-09,00:00:00.00,2.99003,8.26244,
9,2000-01-10,00:00:00.00,0.433971,8.13488,
10,2000-01-11,00:00:00.00,10.0645,8.01076,
11,2000-01-12,00:00:00.00,4.697,7.89008,
12,2000-01-13,00:00:00.00,0.560922,7.77274,
13,2000-01-14,00:00:00.00,0.207265,7.65878,
14,2000-01-15,00:00:00.00,0.432529,7.54812,
15,2000-01-16,00:00:00.00,6.78051,7.44045,
16,2000-01-17,00:00:00.00,1.50994,7.33539,
17,2000-01-18,00:00:00.00,1.24406,7.233,
18,2000-01-19,00:00:00.00,5.84216,7.13339,
19,2000-01-20,00:00:00.00,0.567662,7.0363,
20,2000-01-21,00:00:00.00,0.339952,6.94161,
21,2000-01-22,00:00:00.00,0.374268,6.84933,
22,2000-01-23,00:00:00.00,1.02227,6.75937,
23,2000-01-24,00:00:00.00,5.9106,6.67161,
24,2000-01-25,00:00:00.00,0.820356,6.58586,
25,2000-01-26,00:00:00.00,0.713702,6.50209,
26,2000-01-27,00:00:00.00,0.289741,6.4203,
27,2000-01-28,00:00:00.00,0.212716,6.34048,
28,2000-01-29,00:00:00.00,0.209472,6.26252,
29,2000-01-30,00:00:00.00,0.252152,6.18623,
30,2000-01-31,00:00:00.00,0.431564,6.11154,
31,2000-02-01,00:00:00.00,2.41502,6.03847,
32,2000-02-02,00:00:00.00,0.254004,5.96702,
33,2000-02-03,00:00:00.00,0.763724,5.89717,
34,2000-02-04,00:00:00.00,2.68061,5.82888,
35,2000-02-05,00:00:00.00,0.206586,5.76205,
36,2000-02-06,00:00:00.00,1.51939,5.69662,
37,2000-02-07,00:00:00.00,0.315855,5.63254,
38,2000-02-08,00:00:00.00,0.216954,5.56976,
39,2000-02-09,00:00:00.00,0.284116,5.50827,
40,2000-02-10,00:00:00.00,3.90849,5.44804,
41,2000-02-11,00:00:00.00,1.27431,5.38901,
42,2000-02-12,00:00:00.00,0.370212,5.33119,
43,2000-02-13,00:00:00.00,0.67394,5.27457,
44,2000-02-14,00:00:00.00,1.16587,5.21906,
45,2000-02-15,00:00:00.00,0.490704,5.16463,
46,2000-02-16,00:00:00.00,3.70188,5.11125,
47,2000-02-17,00:00:00.00,1.59029,5.0589,
48,2000-02-18,00:00:00.00,0.308549,5.00752,
49,2000-02-19,00:00:00.00,0.42399,4.95713,
50,2000-02-20,00:00:00.00,0.347551,4.90768,
51,2000-02-21,00:00:00.00,0.547649,4.85913,
52,2000-02-22,00:00:00.00,0.523116,4.81147,
