time,date,hour,precip [mm/day],sub6520 [m3/s],sub6520 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,16.9851,
1,2000-01-02,00:00:00.00,2.05097,11.4598,7.85
2,2000-01-03,00:00:00.00,7.7717,5.91125,7.8
3,2000-01-04,00:00:00.00,0.385735,5.86227,7.75
4,2000-01-05,00:00:00.00,6.49836,5.80824,7.7
5,2000-01-06,00:00:00.00,0.328739,5.752,7.68
6,2000-01-07,00:00:00.00,3.32786,5.69652,7.66
7,2000-01-08,00:00:00.00,1.21819,5.64169,7.64
8,2000-01-09,00:00:00.00,1.4893,5.58752,7.62
9,2000-01-10,00:00:00.00,0.553111,5.5341,7.6
10,2000-01-11,00:00:00.00,7.01571,5.48145,7.58
11,2000-01-12,00:00:00.00,2.8552,5.42962,7.55
12,2000-01-13,00:00:00.00,0.442437,5.37859,7.54
13,2000-01-14,00:00:00.00,0.185066,5.32864,7.52
14,2000-01-15,00:00:00.00,0.139766,5.27995,7.5
15,2000-01-16,00:00:00.00,4.16304,5.23222,7.4
16,2000-01-17,00:00:00.00,1.67018,5.18494,7.25
17,2000-01-18,00:00:00.00,0.887897,5.1381,7.1
18,2000-01-19,00:00:00.00,3.1214,5.09219,6.95
19,2000-01-20,00:00:00.00,0.722974,5.04722,6.8
20,2000-01-21,00:00:00.00,0.271707,5.00297,6.7
21,2000-01-22,00:00:00.00,0.203241,4.9595,6.55
22,2000-01-23,00:00:00.00,0.746037,4.91684,6.45
23,2000-01-24,00:00:00.00,3.1645,4.87486,6.35
24,2000-01-25,00:00:00.00,0.416008,4.8334,6.25
25,2000-01-26,00:00:00.00,0.741388,4.79245,6.2
26,2000-01-27,00:00:00.00,0.259851,4.75215,6
27,2000-01-28,00:00:00.00,0.238891,4.71258,5.9
28,2000-01-29,00:00:00.00,0.121563,4.67365,5.8
29,2000-01-30,00:00:00.00,0.179357,4.63513,5.7
30,2000-01-31,00:00:00.00,0.36399,4.59691,5.6
31,2000-02-01,00:00:00.00,1.71579,4.55915,5.55
32,2000-02-02,00:00:00.00,0.280712,4.52193,5.45
33,2000-02-03,00:00:00.00,0.298905,4.48532,5.35
34,2000-02-04,00:00:00.00,1.85067,4.4494,5.25
35,2000-02-05,00:00:00.00,0.234398,4.41405,5.1
36,2000-02-06,00:00:00.00,1.10539,4.37916,5.05
37,2000-02-07,00:00:00.00,0.385661,4.34471,5
38,2000-02-08,00:00:00.00,0.267803,4.31061,4.95
39,2000-02-09,00:00:00.00,0.266886,4.27693,4.9
40,2000-02-10,00:00:00.00,2.70979,4.2437,4.85
41,2000-02-11,00:00:00.00,1.30887,4.21088,4.8
42,2000-02-12,00:00:00.00,0.395845,4.17861,4.75
43,2000-02-13,00:00:00.00,0.456791,4.14695,4.65
44,2000-02-14,00:00:00.00,1.14815,4.11574,4.6
45,2000-02-15,00:00:00.00,0.327349,4.0849,4.58
46,2000-02-16,00:00:00.00,3.03997,4.05449,4.55
47,2000-02-17,00:00:00.00,1.5753,4.02444,4.5
48,2000-02-18,00:00:00.00,0.199118,3.99472,4.4
49,2000-02-19,00:00:00.00,0.381365,3.96542,4.38
50,2000-02-20,00:00:00.00,0.310741,3.93652,4.3
51,2000-02-21,00:00:00.00,0.464122,3.90791,4.28
52,2000-02-22,00:00:00.00,0.438394,3.87966,4.31
53,2000-02-23,00:00:00.00,0.676751,3.85171,4.37
54,2000-02-24,00:00:00.00,0.7295,3.82399,4.39
55,2000-02-25,00:00:00.00,1.66163,3.79667,4.41
56,2000-02-26,00:00:00.00,0.778905,3.89725,4.5
57,2000-02-27,00:00:00.00,8.07107,5.76331,5.3
58,2000-02-28,00:00:00.00,5.55721,12.5339,5.9
59,2000-02-29,00:00:00.00,1.55328,17.7503,6.5
60,2000-03-01,00:00:00.00,0.982356,14.0072,7.8
61,2000-03-02,00:00:00.00,3.91523,8.40044,9
62,2000-03-03,00:00:00.00,0.234772,6.70524,10.2
63,2000-03-04,00:00:00.00,0.2152,6.60277,10.7
64,2000-03-05,00:00:00.00,0.425392,6.44748,10.8
65,2000-03-06,00:00:00.00,0.150109,6.32605,10.9
66,2000-03-07,00:00:00.00,0.128323,6.24997,10.9
67,2000-03-08,00:00:00.00,2.34699,7.89713,11.5
68,2000-03-09,00:00:00.00,2.97904,18.4043,13
69,2000-03-10,00:00:00.00,5.69651,35.2828,17
70,2000-03-11,00:00:00.00,0.0525397,35.2242,21
71,2000-03-12,00:00:00.00,0.133654,21.3819,31
72,2000-03-13,00:00:00.00,0.134464,15.2405,30
73,2000-03-14,00:00:00.00,0.152154,14.6919,29
74,2000-03-15,00:00:00.00,1.96349,14.4214,28
75,2000-03-16,00:00:00.00,3.88635,14.1527,27
