time,date,hour,precip [mm/day],sub6521 [m3/s],sub6521 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,1.85681,257.422,
2,2000-01-03,00:00:00.00,10.2168,411.233,
3,2000-01-04,00:00:00.00,0.511826,262.326,
4,2000-01-05,00:00:00.00,8.89911,191.815,
5,2000-01-06,00:00:00.00,0.275888,150.631,
6,2000-01-07,00:00:00.00,2.56685,123.723,
7,2000-01-08,00:00:00.00,0.730962,104.911,
8,2000-01-09,00:00:00.00,0.813108,91.0535,
9,2000-01-10,00:00:00.00,0.559993,80.3039,
10,2000-01-11,00:00:00.00,7.97257,72.152,
11,2000-01-12,00:00:00.00,2.60873,67.4618,
12,2000-01-13,00:00:00.00,0.394013,64.8465,
13,2000-01-14,00:00:00.00,0.254586,60.6264,
14,2000-01-15,00:00:00.00,0.234281,55.1095,
15,2000-01-16,00:00:00.00,4.41495,50.5255,
16,2000-01-17,00:00:00.00,1.56974,46.9304,
17,2000-01-18,00:00:00.00,0.7627,43.9008,
18,2000-01-19,00:00:00.00,3.05561,41.2511,
19,2000-01-20,00:00:00.00,0.438257,38.911,
20,2000-01-21,00:00:00.00,0.227107,36.8297,
21,2000-01-22,00:00:00.00,0.214964,34.967,
22,2000-01-23,00:00:00.00,0.460302,33.2911,
23,2000-01-24,00:00:00.00,3.76289,31.7759,
24,2000-01-25,00:00:00.00,0.321756,30.399,
25,2000-01-26,00:00:00.00,0.536857,29.1419,
26,2000-01-27,00:00:00.00,0.205317,27.9899,
27,2000-01-28,00:00:00.00,0.235241,26.9311,
28,2000-01-29,00:00:00.00,0.144577,25.955,
29,2000-01-30,00:00:00.00,0.244994,25.0521,
30,2000-01-31,00:00:00.00,0.360048,24.2137,
31,2000-02-01,00:00:00.00,1.18473,23.4325,
32,2000-02-02,00:00:00.00,0.218005,22.7032,
33,2000-02-03,00:00:00.00,0.306814,22.021,
34,2000-02-04,00:00:00.00,2.04392,21.3823,
35,2000-02-05,00:00:00.00,0.153899,20.7831,
36,2000-02-06,00:00:00.00,0.741708,20.2197,
37,2000-02-07,00:00:00.00,0.270932,19.6884,
38,2000-02-08,00:00:00.00,0.234467,19.1861,
39,2000-02-09,00:00:00.00,0.230742,18.7103,
40,2000-02-10,00:00:00.00,1.4708,18.2592,
41,2000-02-11,00:00:00.00,1.89822,17.8307,
42,2000-02-12,00:00:00.00,0.564226,17.4234,
43,2000-02-13,00:00:00.00,0.563334,17.0366,
44,2000-02-14,00:00:00.00,0.973779,16.6691,
45,2000-02-15,00:00:00.00,0.237008,16.3188,
46,2000-02-16,00:00:00.00,3.64692,15.9844,
47,2000-02-17,00:00:00.00,2.23624,15.6648,
48,2000-02-18,00:00:00.00,0.266845,15.3587,
49,2000-02-19,00:00:00.00,0.485855,15.0653,
50,2000-02-20,00:00:00.00,0.340032,14.7841,
51,2000-02-21,00:00:00.00,0.283396,14.5141,
52,2000-02-22,00:00:00.00,0.310182,14.2541,
53,2000-02-23,00:00:00.00,0.74732,14.0039,
54,2000-02-24,00:00:00.00,0.860912,13.763,
55,2000-02-25,00:00:00.00,2.65366,13.5794,
56,2000-02-26,00:00:00.00,2.17215,13.6414,
57,2000-02-27,00:00:00.00,8.44905,14.1847,
58,2000-02-28,00:00:00.00,13.861,15.91,
59,2000-02-29,00:00:00.00,0.76977,20.1139,
60,2000-03-01,00:00:00.00,0.597113,24.4475,
61,2000-03-02,00:00:00.00,4.48875,24.1191,
62,2000-03-03,00:00:00.00,0.386515,21.5565,
63,2000-03-04,00:00:00.00,0.0927021,20.7866,
64,2000-03-05,00:00:00.00,0.335095,20.3249,
65,2000-03-06,00:00:00.00,0.106719,19.408,
66,2000-03-07,00:00:00.00,0.152381,18.9237,
67,2000-03-08,00:00:00.00,1.19182,20.0922,
68,2000-03-09,00:00:00.00,1.77308,25.8649,
69,2000-03-10,00:00:00.00,7.40379,38.5758,
70,2000-03-11,00:00:00.00,0.186954,50.1589,
71,2000-03-12,00:00:00.00,0.163245,49.0342,
72,2000-03-13,00:00:00.00,0.104172,41.3752,
73,2000-03-14,00:00:00.00,0.127754,37.0868,
74,2000-03-15,00:00:00.00,1.02386,35.1989,
75,2000-03-16,00:00:00.00,3.76201,33.8361,
76,2000-03-17,00:00:00.00,0.0727394,32.5897,
77,2000-03-18,00:00:00.00,0.087453,31.4453,
78,2000-03-19,00:00:00.00,0.161877,30.3868,
79,2000-03-20,00:00:00.00,0.169861,29.4014,
80,2000-03-21,00:00:00.00,2.28839,28.5495,
81,2000-03-22,00:00:00.00,0.11104,28.0439,
82,2000-03-23,00:00:00.00,2.07553,27.7573,
83,2000-03-24,00:00:00.00,0.0902611,28.1161,
84,2000-03-25,00:00:00.00,0.252472,32.3871,
85,2000-03-26,00:00:00.00,2.46723,39.1301,
86,2000-03-27,00:00:00.00,0.480423,39.9743,
87,2000-03-28,00:00:00.00,4.08505,36.184,
88,2000-03-29,00:00:00.00,0.860423,34.3628,
89,2000-03-30,00:00:00.00,0.719799,34.1388,
90,2000-03-31,00:00:00.00,0.0527569,33.2265,
91,2000-04-01,00:00:00.00,0.137899,31.6004,
92,2000-04-02,00:00:00.00,1.95053,30.2924,
93,2000-04-03,00:00:00.00,0.0353081,29.2797,
94,2000-04-04,00:00:00.00,3.78384,28.4605,
95,2000-04-05,00:00:00.00,0.598583,28.0514,
96,2000-04-06,00:00:00.00,0.563734,27.8776,
97,2000-04-07,00:00:00.00,12.7139,27.8307,
98,2000-04-08,00:00:00.00,0.0446621,29.9818,
99,2000-04-09,00:00:00.00,0.0514358,33.7096,
100,2000-04-10,00:00:00.00,0.371257,33.7911,
101,2000-04-11,00:00:00.00,0.141206,30.8834,
102,2000-04-12,00:00:00.00,0.0916828,28.9211,
103,2000-04-13,00:00:00.00,0.841086,27.8769,
104,2000-04-14,00:00:00.00,0.715856,27.0533,
105,2000-04-15,00:00:00.00,5.08737,26.3924,
106,2000-04-16,00:00:00.00,6.13589,26.4777,
107,2000-04-17,00:00:00.00,0.373888,27.8217,
108,2000-04-18,00:00:00.00,0.0862121,29.0167,
109,2000-04-19,00:00:00.00,0.71667,28.2545,
110,2000-04-20,00:00:00.00,0.313247,26.5564,
111,2000-04-21,00:00:00.00,1.28727,25.3996,
112,2000-04-22,00:00:00.00,0.277097,24.6442,
113,2000-04-23,00:00:00.00,0.490512,23.9889,
114,2000-04-24,00:00:00.00,0.0130416,23.3607,
115,2000-04-25,00:00:00.00,0.00901394,22.7501,
116,2000-04-26,00:00:00.00,0.0132445,22.1542,
117,2000-04-27,00:00:00.00,0.194351,21.5752,
118,2000-04-28,00:00:00.00,0.281693,21.0153,
119,2000-04-29,00:00:00.00,0.753988,20.475,
120,2000-04-30,00:00:00.00,0.140601,19.9559,
121,2000-05-01,00:00:00.00,0.00739927,19.4594,
122,2000-05-02,00:00:00.00,3.32374,19.0142,
123,2000-05-03,00:00:00.00,0.104633,18.7172,
124,2000-05-04,00:00:00.00,0.0350915,18.5107,
125,2000-05-05,00:00:00.00,7.20835,18.2536,
126,2000-05-06,00:00:00.00,4.51795,18.41,
127,2000-05-07,00:00:00.00,0.660309,19.0104,
128,2000-05-08,00:00:00.00,1.69385,18.8877,
129,2000-05-09,00:00:00.00,8.70143,18.1758,
130,2000-05-10,00:00:00.00,0.869685,18.3267,
131,2000-05-11,00:00:00.00,0.572678,19.1395,
132,2000-05-12,00:00:00.00,1.84943,18.9437,
133,2000-05-13,00:00:00.00,17.7392,18.3046,
134,2000-05-14,00:00:00.00,5.76598,19.8552,
135,2000-05-15,00:00:00.00,1.83618,23.1481,
136,2000-05-16,00:00:00.00,0.0454115,24.0063,
137,2000-05-17,00:00:00.00,0.0223246,22.0146,
138,2000-05-18,00:00:00.00,0.101015,20.2773,
139,2000-05-19,00:00:00.00,2.25801,19.4362,
140,2000-05-20,00:00:00.00,0.0482938,18.9143,
141,2000-05-21,00:00:00.00,0.0824147,18.4478,
142,2000-05-22,00:00:00.00,0.0234311,17.9982,
143,2000-05-23,00:00:00.00,0.668153,17.5591,
144,2000-05-24,00:00:00.00,5.47804,17.2109,
145,2000-05-25,00:00:00.00,3.2831,17.1994,
146,2000-05-26,00:00:00.00,0.270855,17.3845,
147,2000-05-27,00:00:00.00,0.0426538,17.0981,
148,2000-05-28,00:00:00.00,0.0203891,16.4285,
149,2000-05-29,00:00:00.00,0.0272419,15.9042,
150,2000-05-30,00:00:00.00,0.211481,15.5224,
151,2000-05-31,00:00:00.00,7.06218,15.2454,
152,2000-06-01,00:00:00.00,2.12569,15.2548,
153,2000-06-02,00:00:00.00,4.02079,15.4311,
154,2000-06-03,00:00:00.00,11.4791,15.3975,
155,2000-06-04,00:00:00.00,0.579951,15.8461,
156,2000-06-05,00:00:00.00,3.0797,16.8787,
157,2000-06-06,00:00:00.00,0.525412,16.7556,
158,2000-06-07,00:00:00.00,0.931631,15.6273,
159,2000-06-08,00:00:00.00,0.102701,14.8804,
160,2000-06-09,00:00:00.00,0.314864,14.4996,
161,2000-06-10,00:00:00.00,4.38197,14.207,
162,2000-06-11,00:00:00.00,12.0402,14.1451,
163,2000-06-12,00:00:00.00,8.0729,14.9477,
164,2000-06-13,00:00:00.00,0.0597584,16.5307,
165,2000-06-14,00:00:00.00,0.427361,17.1576,
166,2000-06-15,00:00:00.00,0.790544,16.2042,
167,2000-06-16,00:00:00.00,7.6027,15.1645,
168,2000-06-17,00:00:00.00,3.76651,15.0395,
169,2000-06-18,00:00:00.00,0.742917,15.3935,
170,2000-06-19,00:00:00.00,0.0157357,15.1986,
171,2000-06-20,00:00:00.00,0.58816,14.5222,
172,2000-06-21,00:00:00.00,6.65484,14.0623,
173,2000-06-22,00:00:00.00,6.73952,13.9857,
174,2000-06-23,00:00:00.00,2.14854,14.2441,
175,2000-06-24,00:00:00.00,0.177378,14.3842,
176,2000-06-25,00:00:00.00,5.12632,14.0272,
177,2000-06-26,00:00:00.00,0.144975,13.5449,
178,2000-06-27,00:00:00.00,11.7505,13.4272,
179,2000-06-28,00:00:00.00,0.0751185,13.9849,
180,2000-06-29,00:00:00.00,0.0715558,14.864,
181,2000-06-30,00:00:00.00,5.04666,14.7663,
182,2000-07-01,00:00:00.00,0.63172,13.9709,
183,2000-07-02,00:00:00.00,0.655204,13.5657,
184,2000-07-03,00:00:00.00,4.311,13.3137,
185,2000-07-04,00:00:00.00,0.0524193,13.1067,
186,2000-07-05,00:00:00.00,0.2769,13.0382,
187,2000-07-06,00:00:00.00,0.0387182,12.8184,
188,2000-07-07,00:00:00.00,0.727994,12.4418,
189,2000-07-08,00:00:00.00,0.260153,12.136,
190,2000-07-09,00:00:00.00,0.905787,11.9001,
191,2000-07-10,00:00:00.00,9.11677,11.7576,
192,2000-07-11,00:00:00.00,0.256526,11.922,
193,2000-07-12,00:00:00.00,0.181175,12.2627,
194,2000-07-13,00:00:00.00,0.18591,12.1237,
195,2000-07-14,00:00:00.00,1.64924,11.5932,
196,2000-07-15,00:00:00.00,2.49529,11.2192,
197,2000-07-16,00:00:00.00,3.22886,11.0043,
198,2000-07-17,00:00:00.00,0.792542,10.8492,
199,2000-07-18,00:00:00.00,0.11179,10.7139,
200,2000-07-19,00:00:00.00,0.0449863,10.5446,
201,2000-07-20,00:00:00.00,1.16161,10.3479,
202,2000-07-21,00:00:00.00,3.43225,10.1772,
203,2000-07-22,00:00:00.00,4.17637,10.0766,
204,2000-07-23,00:00:00.00,0.0921383,10.0669,
205,2000-07-24,00:00:00.00,0.109162,10.0352,
206,2000-07-25,00:00:00.00,0.0516579,9.85456,
207,2000-07-26,00:00:00.00,0.00263173,9.61384,
208,2000-07-27,00:00:00.00,0.0187158,9.42872,
209,2000-07-28,00:00:00.00,1.89666,9.28286,
210,2000-07-29,00:00:00.00,0.8343,9.14716,
211,2000-07-30,00:00:00.00,0.137789,9.0155,
212,2000-07-31,00:00:00.00,0.0588409,8.88749,
213,2000-08-01,00:00:00.00,3.62203,8.76632,
214,2000-08-02,00:00:00.00,10.437,8.72062,
215,2000-08-03,00:00:00.00,5.90443,8.93793,
216,2000-08-04,00:00:00.00,0.0436639,9.34923,
217,2000-08-05,00:00:00.00,0.0787197,9.40344,
218,2000-08-06,00:00:00.00,0.0505107,9.0127,
219,2000-08-07,00:00:00.00,1.14949,8.64811,
220,2000-08-08,00:00:00.00,9.1486,8.50454,
221,2000-08-09,00:00:00.00,5.60285,8.63925,
222,2000-08-10,00:00:00.00,2.1834,8.96508,
223,2000-08-11,00:00:00.00,0.811782,9.01452,
224,2000-08-12,00:00:00.00,0.0203571,8.68615,
225,2000-08-13,00:00:00.00,0.157432,8.3701,
226,2000-08-14,00:00:00.00,7.73376,8.24148,
227,2000-08-15,00:00:00.00,1.00413,8.34609,
228,2000-08-16,00:00:00.00,6.83545,8.58147,
229,2000-08-17,00:00:00.00,0.101817,8.60954,
230,2000-08-18,00:00:00.00,0.232286,8.44648,
231,2000-08-19,00:00:00.00,0.311435,8.24472,
232,2000-08-20,00:00:00.00,0.0450622,8.02532,
233,2000-08-21,00:00:00.00,0.3591,7.87309,
234,2000-08-22,00:00:00.00,0.0774375,7.76822,
235,2000-08-23,00:00:00.00,5.71685,7.69852,
236,2000-08-24,00:00:00.00,0.66687,7.72752,
237,2000-08-25,00:00:00.00,0.0668015,7.81447,
238,2000-08-26,00:00:00.00,0.0694993,7.73935,
239,2000-08-27,00:00:00.00,10.9503,7.59514,
240,2000-08-28,00:00:00.00,0.0473313,7.76482,
241,2000-08-29,00:00:00.00,0.159588,8.13935,
242,2000-08-30,00:00:00.00,0.926892,8.08952,
243,2000-08-31,00:00:00.00,0.14394,7.68056,
244,2000-09-01,00:00:00.00,1.34553,7.42256,
245,2000-09-02,00:00:00.00,15.9853,7.41157,
246,2000-09-03,00:00:00.00,0.60569,7.83391,
247,2000-09-04,00:00:00.00,36.2765,8.88737,
248,2000-09-05,00:00:00.00,0.00839242,10.8562,
249,2000-09-06,00:00:00.00,0.820516,13.2325,
250,2000-09-07,00:00:00.00,8.2295e-308,13.1562,
251,2000-09-08,00:00:00.00,1.06647,11.0483,
252,2000-09-09,00:00:00.00,0.387149,9.87935,
253,2000-09-10,00:00:00.00,0.0299146,9.57617,
254,2000-09-11,00:00:00.00,6.89281,9.51509,
255,2000-09-12,00:00:00.00,5.96607,9.80105,
256,2000-09-13,00:00:00.00,4.55945,10.4927,
257,2000-09-14,00:00:00.00,0.130399,10.9341,
258,2000-09-15,00:00:00.00,2.39103,10.7092,
259,2000-09-16,00:00:00.00,1.58469,10.1969,
260,2000-09-17,00:00:00.00,0.0547841,9.81507,
261,2000-09-18,00:00:00.00,0.0197831,9.6161,
262,2000-09-19,00:00:00.00,0.345739,9.46255,
263,2000-09-20,00:00:00.00,0.0317977,9.31468,
264,2000-09-21,00:00:00.00,7.84723,9.26154,
265,2000-09-22,00:00:00.00,4.34095,9.58319,
266,2000-09-23,00:00:00.00,0.218411,10.2733,
267,2000-09-24,00:00:00.00,5.08129,10.5925,
268,2000-09-25,00:00:00.00,0.174682,10.404,
269,2000-09-26,00:00:00.00,0.139021,10.2784,
270,2000-09-27,00:00:00.00,0.275654,10.0511,
271,2000-09-28,00:00:00.00,0.283058,9.64783,
272,2000-09-29,00:00:00.00,0.140028,9.38379,
273,2000-09-30,00:00:00.00,0.0879418,9.23805,
274,2000-10-01,00:00:00.00,0.211456,9.11748,
275,2000-10-02,00:00:00.00,0.443502,8.99942,
276,2000-10-03,00:00:00.00,7.18538,8.96526,
277,2000-10-04,00:00:00.00,0.187008,9.25937,
278,2000-10-05,00:00:00.00,0.127978,9.74481,
279,2000-10-06,00:00:00.00,0.0811477,9.69119,
280,2000-10-07,00:00:00.00,2.90636,9.22478,
281,2000-10-08,00:00:00.00,3.21909,9.10165,
282,2000-10-09,00:00:00.00,0.0962065,9.36985,
283,2000-10-10,00:00:00.00,0.0851623,9.54563,
284,2000-10-11,00:00:00.00,0.525819,9.31206,
285,2000-10-12,00:00:00.00,0.105115,8.95371,
286,2000-10-13,00:00:00.00,0.0669502,8.74244,
287,2000-10-14,00:00:00.00,4.14903,8.66274,
288,2000-10-15,00:00:00.00,14.157,8.95923,
289,2000-10-16,00:00:00.00,0.153401,10.1465,
290,2000-10-17,00:00:00.00,0.164726,11.5314,
291,2000-10-18,00:00:00.00,0.107998,11.3747,
292,2000-10-19,00:00:00.00,0.970125,10.2164,
293,2000-10-20,00:00:00.00,0.21509,9.57979,
294,2000-10-21,00:00:00.00,0.51413,9.38043,
295,2000-10-22,00:00:00.00,0.0558405,9.26384,
296,2000-10-23,00:00:00.00,0.0975485,9.14957,
297,2000-10-24,00:00:00.00,1.44166,9.03854,
298,2000-10-25,00:00:00.00,0.317849,8.93287,
299,2000-10-26,00:00:00.00,0.138673,8.83156,
300,2000-10-27,00:00:00.00,0.705785,8.72881,
301,2000-10-28,00:00:00.00,5.20472,8.6836,
302,2000-10-29,00:00:00.00,0.199699,8.87679,
303,2000-10-30,00:00:00.00,0.223709,9.21007,
304,2000-10-31,00:00:00.00,0.626387,9.15366,
305,2000-11-01,00:00:00.00,0.0867119,8.77523,
306,2000-11-02,00:00:00.00,0.118606,8.52872,
307,2000-11-03,00:00:00.00,0.42756,8.40978,
308,2000-11-04,00:00:00.00,0.263801,8.31693,
309,2000-11-05,00:00:00.00,0.910486,8.23276,
310,2000-11-06,00:00:00.00,0.267001,8.17655,
311,2000-11-07,00:00:00.00,0.133834,8.13739,
312,2000-11-08,00:00:00.00,1.03743,8.06317,
313,2000-11-09,00:00:00.00,1.49816,7.99322,
314,2000-11-10,00:00:00.00,20.7866,8.35054,
315,2000-11-11,00:00:00.00,10.7483,10.3203,
316,2000-11-12,00:00:00.00,0.221444,13.908,
317,2000-11-13,00:00:00.00,0.240969,15.6351,
318,2000-11-14,00:00:00.00,15.0611,14.3434,
319,2000-11-15,00:00:00.00,5.31329,14.2116,
320,2000-11-16,00:00:00.00,0.145062,16.7221,
321,2000-11-17,00:00:00.00,7.38774,18.0638,
322,2000-11-18,00:00:00.00,0.313238,17.4273,
323,2000-11-19,00:00:00.00,2.21905,17.1696,
324,2000-11-20,00:00:00.00,2.99983,16.6877,
325,2000-11-21,00:00:00.00,10.6057,15.6661,
326,2000-11-22,00:00:00.00,0.535817,15.1388,
327,2000-11-23,00:00:00.00,2.70596,15.004,
328,2000-11-24,00:00:00.00,0.838939,14.7979,
329,2000-11-25,00:00:00.00,1.9478,14.4948,
330,2000-11-26,00:00:00.00,0.105393,14.2884,
331,2000-11-27,00:00:00.00,3.30445,14.2273,
332,2000-11-28,00:00:00.00,0.155311,14.3977,
333,2000-11-29,00:00:00.00,0.228627,14.6786,
334,2000-11-30,00:00:00.00,0.37496,14.5292,
335,2000-12-01,00:00:00.00,0.948788,14.0334,
336,2000-12-02,00:00:00.00,0.202643,13.6832,
337,2000-12-03,00:00:00.00,0.291445,13.4707,
338,2000-12-04,00:00:00.00,0.498545,13.2897,
339,2000-12-05,00:00:00.00,1.88513,13.1309,
340,2000-12-06,00:00:00.00,2.89272,13.0441,
341,2000-12-07,00:00:00.00,1.55731,13.0002,
342,2000-12-08,00:00:00.00,0.405253,12.8558,
343,2000-12-09,00:00:00.00,0.73226,12.6301,
344,2000-12-10,00:00:00.00,0.170893,12.4417,
345,2000-12-11,00:00:00.00,5.29381,12.2887,
346,2000-12-12,00:00:00.00,0.985657,12.1453,
347,2000-12-13,00:00:00.00,0.807459,12.0054,
348,2000-12-14,00:00:00.00,0.641193,11.8696,
349,2000-12-15,00:00:00.00,2.64512,11.7382,
350,2000-12-16,00:00:00.00,0.614048,11.6104,
351,2000-12-17,00:00:00.00,6.76583,11.5583,
352,2000-12-18,00:00:00.00,0.533189,11.8036,
353,2000-12-19,00:00:00.00,0.537259,12.2213,
354,2000-12-20,00:00:00.00,2.77569,12.1668,
355,2000-12-21,00:00:00.00,0.178699,11.725,
356,2000-12-22,00:00:00.00,5.43702,11.4347,
357,2000-12-23,00:00:00.00,1.70599,11.291,
358,2000-12-24,00:00:00.00,1.63537,11.1776,
359,2000-12-25,00:00:00.00,2.36729,11.067,
360,2000-12-26,00:00:00.00,1.37743,10.9596,
361,2000-12-27,00:00:00.00,0.570428,10.8551,
362,2000-12-28,00:00:00.00,0.340568,10.7533,
363,2000-12-29,00:00:00.00,0.349538,10.6539,
364,2000-12-30,00:00:00.00,0.393533,10.5569,
365,2000-12-31,00:00:00.00,0.455068,10.4624,
366,2001-01-01,00:00:00.00,0.359837,10.37,
367,2001-01-02,00:00:00.00,0.250763,10.2796,3.21
368,2001-01-03,00:00:00.00,0.404477,10.1912,3.17
369,2001-01-04,00:00:00.00,1.77982,10.1047,3.12
370,2001-01-05,00:00:00.00,1.59123,10.0196,3.08
371,2001-01-06,00:00:00.00,6.22188,9.93746,3
372,2001-01-07,00:00:00.00,0.301587,9.86325,3
373,2001-01-08,00:00:00.00,0.991191,9.7946,2.96
374,2001-01-09,00:00:00.00,0.224844,9.71802,2.91
375,2001-01-10,00:00:00.00,0.675483,9.635,2.89
376,2001-01-11,00:00:00.00,0.111262,9.55646,3.5
377,2001-01-12,00:00:00.00,0.396414,9.4815,3.3
378,2001-01-13,00:00:00.00,0.426696,9.40746,3.05
379,2001-01-14,00:00:00.00,0.778386,9.33448,2.84
380,2001-01-15,00:00:00.00,0.717678,9.26316,2.8
381,2001-01-16,00:00:00.00,5.90873,9.21523,2.9
382,2001-01-17,00:00:00.00,1.24139,9.25549,3.2
383,2001-01-18,00:00:00.00,0.572037,9.34742,3.23
384,2001-01-19,00:00:00.00,1.19923,9.29686,3.21
385,2001-01-20,00:00:00.00,0.469591,9.12856,3.1
386,2001-01-21,00:00:00.00,0.211188,9.00828,2.95
387,2001-01-22,00:00:00.00,0.334858,8.93477,2.85
388,2001-01-23,00:00:00.00,0.389225,8.87112,2.78
389,2001-01-24,00:00:00.00,0.8289,8.80833,2.74
390,2001-01-25,00:00:00.00,0.376112,8.74633,2.72
391,2001-01-26,00:00:00.00,0.293987,8.68526,2.7
392,2001-01-27,00:00:00.00,1.31959,8.62498,2.68
393,2001-01-28,00:00:00.00,1.13018,8.56526,2.66
394,2001-01-29,00:00:00.00,0.303154,8.50633,2.65
395,2001-01-30,00:00:00.00,0.219111,8.44845,2.66
396,2001-01-31,00:00:00.00,9.95975,8.39133,2.68
397,2001-02-01,00:00:00.00,1.82537,8.33463,2.75
398,2001-02-02,00:00:00.00,1.50908,8.27854,3
399,2001-02-03,00:00:00.00,1.09893,8.22338,3.17
400,2001-02-04,00:00:00.00,0.1392,8.16918,3.22
401,2001-02-05,00:00:00.00,1.775,8.11605,3.19
402,2001-02-06,00:00:00.00,2.66475,8.06384,3.05
403,2001-02-07,00:00:00.00,0.575719,8.01202,2.96
404,2001-02-08,00:00:00.00,0.641188,7.96047,2.82
405,2001-02-09,00:00:00.00,0.991122,7.90939,2.7
406,2001-02-10,00:00:00.00,16.2544,7.85875,2.63
407,2001-02-11,00:00:00.00,1.20638,7.8084,2.59
408,2001-02-12,00:00:00.00,0.0968825,7.75867,2.56
409,2001-02-13,00:00:00.00,2.07717,7.71026,2.6
410,2001-02-14,00:00:00.00,0.159337,7.66302,2.76
411,2001-02-15,00:00:00.00,0.716586,7.61601,2.8
412,2001-02-16,00:00:00.00,0.179542,7.56877,2.74
413,2001-02-17,00:00:00.00,0.44253,7.52174,2.6
414,2001-02-18,00:00:00.00,0.149645,7.47552,2.5
415,2001-02-19,00:00:00.00,0.192337,7.43013,2.45
416,2001-02-20,00:00:00.00,3.60636,7.38539,2.42
417,2001-02-21,00:00:00.00,0.271401,7.34103,2.58
418,2001-02-22,00:00:00.00,0.0344253,7.29686,2.8
419,2001-02-23,00:00:00.00,1.75414,7.25333,2.9
420,2001-02-24,00:00:00.00,0.22418,7.21081,3
421,2001-02-25,00:00:00.00,1.18733,7.16897,3.1
422,2001-02-26,00:00:00.00,24.2132,7.63404,3.18
423,2001-02-27,00:00:00.00,0.516155,10.1823,3.27
424,2001-02-28,00:00:00.00,0.118921,14.0452,3.38
425,2001-03-01,00:00:00.00,0.421926,14.4147,3.41
426,2001-03-02,00:00:00.00,0.290045,11.8071,3.41
427,2001-03-03,00:00:00.00,0.32324,10.3707,3.38
428,2001-03-04,00:00:00.00,0.722687,10.0694,3.25
429,2001-03-05,00:00:00.00,3.16819,9.98626,3.12
430,2001-03-06,00:00:00.00,4.65921,9.90393,3.02
431,2001-03-07,00:00:00.00,0.160695,9.82298,2.96
432,2001-03-08,00:00:00.00,0.108098,9.74299,2.92
433,2001-03-09,00:00:00.00,2.38945,9.66321,2.9
434,2001-03-10,00:00:00.00,0.338232,9.58393,2.89
435,2001-03-11,00:00:00.00,0.624526,9.5058,2.92
436,2001-03-12,00:00:00.00,2.21823,9.42831,3
437,2001-03-13,00:00:00.00,4.79381,9.35089,3.2
438,2001-03-14,00:00:00.00,5.84412,9.36334,3.4
439,2001-03-15,00:00:00.00,0.84561,9.73565,3.54
440,2001-03-16,00:00:00.00,0.0485237,10.3191,3.5
441,2001-03-17,00:00:00.00,0.0410098,10.3117,3.43
442,2001-03-18,00:00:00.00,0.0204759,9.81421,3.41
443,2001-03-19,00:00:00.00,0.0334913,9.50924,3.8
444,2001-03-20,00:00:00.00,0.0839824,9.39086,5.4
445,2001-03-21,00:00:00.00,0.0575994,9.30796,7.75
446,2001-03-22,00:00:00.00,0.104065,9.22501,7.45
447,2001-03-23,00:00:00.00,0.0482118,9.14231,7.34
448,2001-03-24,00:00:00.00,0.430365,9.05936,7.15
449,2001-03-25,00:00:00.00,2.38728,8.97616,7
