time,date,hour,precip [mm/day],sub6527 [m3/s],sub6527 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,2.15873,29.4411,
2,2000-01-03,00:00:00.00,11.5021,59.4398,
3,2000-01-04,00:00:00.00,0.412941,59.8381,
4,2000-01-05,00:00:00.00,11.2464,59.3159,
5,2000-01-06,00:00:00.00,0.211497,58.6048,
6,2000-01-07,00:00:00.00,1.65439,57.9222,
7,2000-01-08,00:00:00.00,0.442119,57.2649,
8,2000-01-09,00:00:00.00,1.36678,56.631,
9,2000-01-10,00:00:00.00,0.420823,56.0199,
10,2000-01-11,00:00:00.00,3.67713,55.9699,
11,2000-01-12,00:00:00.00,2.36643,57.1247,
12,2000-01-13,00:00:00.00,0.446334,57.2626,
13,2000-01-14,00:00:00.00,0.239154,55.7949,
14,2000-01-15,00:00:00.00,0.208756,54.7644,
15,2000-01-16,00:00:00.00,4.47716,54.1723,
16,2000-01-17,00:00:00.00,3.75727,53.6556,
17,2000-01-18,00:00:00.00,0.516584,53.1561,
18,2000-01-19,00:00:00.00,0.600399,52.6746,
19,2000-01-20,00:00:00.00,0.450236,52.2098,
20,2000-01-21,00:00:00.00,0.290492,51.76,
21,2000-01-22,00:00:00.00,0.145122,51.3248,
22,2000-01-23,00:00:00.00,0.172901,50.9038,
23,2000-01-24,00:00:00.00,2.86361,50.4956,
24,2000-01-25,00:00:00.00,0.36566,50.0987,
25,2000-01-26,00:00:00.00,0.69138,49.7128,
26,2000-01-27,00:00:00.00,0.460494,49.3385,
27,2000-01-28,00:00:00.00,0.217275,48.9756,
28,2000-01-29,00:00:00.00,0.188605,48.6236,
29,2000-01-30,00:00:00.00,0.257136,48.2807,
30,2000-01-31,00:00:00.00,0.40328,47.9452,
31,2000-02-01,00:00:00.00,1.00249,47.6169,
32,2000-02-02,00:00:00.00,0.716292,47.2966,
33,2000-02-03,00:00:00.00,0.182331,46.9848,
34,2000-02-04,00:00:00.00,0.580329,46.682,
35,2000-02-05,00:00:00.00,0.259367,46.387,
36,2000-02-06,00:00:00.00,1.3193,46.0989,
37,2000-02-07,00:00:00.00,0.321429,45.8164,
38,2000-02-08,00:00:00.00,0.504146,45.5386,
39,2000-02-09,00:00:00.00,0.298075,45.2667,
40,2000-02-10,00:00:00.00,3.95941,45.0002,
41,2000-02-11,00:00:00.00,0.980985,44.7383,
42,2000-02-12,00:00:00.00,1.06563,44.4832,
43,2000-02-13,00:00:00.00,0.352954,44.235,
44,2000-02-14,00:00:00.00,1.62141,43.9914,
45,2000-02-15,00:00:00.00,0.267303,43.752,
46,2000-02-16,00:00:00.00,1.71803,43.5177,
47,2000-02-17,00:00:00.00,2.33571,43.2869,
48,2000-02-18,00:00:00.00,0.115765,43.0596,
49,2000-02-19,00:00:00.00,0.327286,42.8379,
50,2000-02-20,00:00:00.00,0.332017,42.6198,
51,2000-02-21,00:00:00.00,0.35661,42.4039,
52,2000-02-22,00:00:00.00,0.404403,42.1915,
53,2000-02-23,00:00:00.00,0.704189,41.9816,
54,2000-02-24,00:00:00.00,0.727323,41.7744,
55,2000-02-25,00:00:00.00,2.40347,42.9726,
56,2000-02-26,00:00:00.00,1.45634,49.3782,
57,2000-02-27,00:00:00.00,3.64324,64.641,
58,2000-02-28,00:00:00.00,14.5539,88.417,
59,2000-02-29,00:00:00.00,1.01823,94.5392,
60,2000-03-01,00:00:00.00,0.996932,79.8634,
61,2000-03-02,00:00:00.00,5.80006,72.0856,
62,2000-03-03,00:00:00.00,2.36087,72.8327,
63,2000-03-04,00:00:00.00,0.124039,72.4586,
64,2000-03-05,00:00:00.00,1.09431,69.7145,
65,2000-03-06,00:00:00.00,0.156105,68.1261,
66,2000-03-07,00:00:00.00,0.173977,67.048,
67,2000-03-08,00:00:00.00,1.09019,66.0408,
68,2000-03-09,00:00:00.00,1.56821,65.0812,
69,2000-03-10,00:00:00.00,6.39873,64.1676,
70,2000-03-11,00:00:00.00,0.196954,63.2914,
71,2000-03-12,00:00:00.00,0.227619,62.4509,
72,2000-03-13,00:00:00.00,0.254998,61.6441,
73,2000-03-14,00:00:00.00,0.251291,60.8686,
74,2000-03-15,00:00:00.00,1.72785,60.2605,
75,2000-03-16,00:00:00.00,3.95414,59.9449,
76,2000-03-17,00:00:00.00,0.183724,59.3295,
77,2000-03-18,00:00:00.00,0.173292,58.4158,
78,2000-03-19,00:00:00.00,0.220414,57.7112,
79,2000-03-20,00:00:00.00,0.20045,57.0813,
80,2000-03-21,00:00:00.00,1.09457,56.47,
81,2000-03-22,00:00:00.00,0.165406,57.651,
82,2000-03-23,00:00:00.00,0.386689,62.2943,
83,2000-03-24,00:00:00.00,0.209422,62.6686,
84,2000-03-25,00:00:00.00,0.233488,58.8115,
85,2000-03-26,00:00:00.00,1.6187,57.4613,
86,2000-03-27,00:00:00.00,0.856867,56.9559,
87,2000-03-28,00:00:00.00,2.97028,56.6501,
88,2000-03-29,00:00:00.00,2.92076,57.0121,
89,2000-03-30,00:00:00.00,2.99605,57.4807,
90,2000-03-31,00:00:00.00,0.195417,57.3446,
91,2000-04-01,00:00:00.00,0.109285,56.4208,
92,2000-04-02,00:00:00.00,0.461749,55.2587,
93,2000-04-03,00:00:00.00,0.113093,54.5809,
94,2000-04-04,00:00:00.00,1.48724,54.032,
95,2000-04-05,00:00:00.00,2.72196,53.6641,
96,2000-04-06,00:00:00.00,0.150015,53.6307,
97,2000-04-07,00:00:00.00,5.48894,53.8795,
98,2000-04-08,00:00:00.00,0.107502,55.0424,
99,2000-04-09,00:00:00.00,0.324553,54.8278,
100,2000-04-10,00:00:00.00,0.536727,53.103,
101,2000-04-11,00:00:00.00,0.187076,52.3269,
102,2000-04-12,00:00:00.00,0.280937,51.8463,
103,2000-04-13,00:00:00.00,1.12936,51.3809,
104,2000-04-14,00:00:00.00,0.587831,50.9304,
105,2000-04-15,00:00:00.00,4.68234,50.8393,
106,2000-04-16,00:00:00.00,8.58571,52.6088,
107,2000-04-17,00:00:00.00,0.289402,55.8244,
108,2000-04-18,00:00:00.00,0.0371227,55.3267,
109,2000-04-19,00:00:00.00,0.176212,52.5023,
110,2000-04-20,00:00:00.00,0.212879,51.5091,
111,2000-04-21,00:00:00.00,0.36252,51.0289,
