time,date,hour,precip [mm/day],sub6531 [m3/s],sub6531 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,42.4709,
1,2000-01-02,00:00:00.00,1.008,21.2356,57.1
2,2000-01-03,00:00:00.00,22.9346,0.0388751,56
3,2000-01-04,00:00:00.00,3.85128,0.218512,55.5
4,2000-01-05,00:00:00.00,18.4656,0.587168,55.6
5,2000-01-06,00:00:00.00,0.249762,1.15174,55.2
6,2000-01-07,00:00:00.00,0.964421,1.90505,53.9
7,2000-01-08,00:00:00.00,2.03981,2.80357,52.6
8,2000-01-09,00:00:00.00,0.352344,3.76853,51.5
9,2000-01-10,00:00:00.00,0.537065,4.24126,51
10,2000-01-11,00:00:00.00,7.76558,4.11514,51.1
11,2000-01-12,00:00:00.00,6.50858,3.65569,54.7
12,2000-01-13,00:00:00.00,0.572452,2.97419,57.9
13,2000-01-14,00:00:00.00,0.220627,2.3829,59.1
14,2000-01-15,00:00:00.00,0.241052,1.97418,58.5
15,2000-01-16,00:00:00.00,3.2037,1.80191,57.5
16,2000-01-17,00:00:00.00,4.08781,1.85342,55.5
17,2000-01-18,00:00:00.00,0.499524,1.81035,53.5
18,2000-01-19,00:00:00.00,0.273798,1.53403,51.5
19,2000-01-20,00:00:00.00,0.41346,1.2099,50
20,2000-01-21,00:00:00.00,0.484945,0.909741,48.1
21,2000-01-22,00:00:00.00,0.0601178,0.64896,46.3
22,2000-01-23,00:00:00.00,0.141991,0.437776,45
23,2000-01-24,00:00:00.00,4.39479,0.302258,43.5
24,2000-01-25,00:00:00.00,1.07814,0.248806,41.8
25,2000-01-26,00:00:00.00,0.340899,0.235122,40
26,2000-01-27,00:00:00.00,0.184446,0.226932,38.5
27,2000-01-28,00:00:00.00,0.344003,0.21936,37
28,2000-01-29,00:00:00.00,0.240189,0.212097,35.5
29,2000-01-30,00:00:00.00,0.33409,0.204736,34
30,2000-01-31,00:00:00.00,0.430695,0.197211,33
31,2000-02-01,00:00:00.00,2.10923,0.189756,31.8
32,2000-02-02,00:00:00.00,1.21515,0.182502,30.7
33,2000-02-03,00:00:00.00,0.23831,0.175292,29.8
34,2000-02-04,00:00:00.00,1.03398,0.167736,28.5
35,2000-02-05,00:00:00.00,0.365935,0.159521,27.3
36,2000-02-06,00:00:00.00,2.48481,0.150717,26.2
37,2000-02-07,00:00:00.00,0.223829,0.141688,25
38,2000-02-08,00:00:00.00,1.18647,0.132766,23.9
39,2000-02-09,00:00:00.00,0.494868,0.124179,22.8
40,2000-02-10,00:00:00.00,3.58812,0.115907,22.1
41,2000-02-11,00:00:00.00,3.36357,0.107787,21.7
42,2000-02-12,00:00:00.00,3.40857,0.0996762,21.4
43,2000-02-13,00:00:00.00,0.303359,0.0916175,21.1
44,2000-02-14,00:00:00.00,3.2106,0.0838807,21.3
45,2000-02-15,00:00:00.00,0.334982,0.0767376,21.3
46,2000-02-16,00:00:00.00,2.05641,0.0703882,21.3
47,2000-02-17,00:00:00.00,7.57398,0.0648757,22.1
48,2000-02-18,00:00:00.00,0.4574,0.0600971,22.2
49,2000-02-19,00:00:00.00,0.518139,0.0558376,22.3
50,2000-02-20,00:00:00.00,0.191771,0.0518686,22.5
51,2000-02-21,00:00:00.00,1.11139,0.0480526,22.9
52,2000-02-22,00:00:00.00,0.338081,0.044286,23
53,2000-02-23,00:00:00.00,0.617457,0.0405743,22.9
54,2000-02-24,00:00:00.00,1.50994,0.0375695,22.9
55,2000-02-25,00:00:00.00,6.08135,0.225346,23.3
56,2000-02-26,00:00:00.00,6.23628,1.23859,27.4
57,2000-02-27,00:00:00.00,2.54842,3.80745,33.7
58,2000-02-28,00:00:00.00,11.4536,8.50315,55.1
59,2000-02-29,00:00:00.00,1.4187,15.374,71.5
60,2000-03-01,00:00:00.00,1.19919,23.9784,84.2
61,2000-03-02,00:00:00.00,4.00207,33.7847,99
62,2000-03-03,00:00:00.00,4.21761,41.8468,113
63,2000-03-04,00:00:00.00,0.0928297,45.3518,117
64,2000-03-05,00:00:00.00,0.269771,42.5993,116
65,2000-03-06,00:00:00.00,0.111583,34.5771,112
66,2000-03-07,00:00:00.00,0.0617902,25.5546,107
67,2000-03-08,00:00:00.00,1.05441,17.6572,102
68,2000-03-09,00:00:00.00,0.408559,11.2961,97.2
