time,date,hour,precip [mm/day],sub6548 [m3/s],sub6548 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,15.8043,
1,2000-01-02,00:00:00.00,0.403768,7.92852,13.2
2,2000-01-03,00:00:00.00,17.5391,0.552363,13.7
3,2000-01-04,00:00:00.00,11.4239,2.15558,20.1
4,2000-01-05,00:00:00.00,14.038,2.39518,29.8
5,2000-01-06,00:00:00.00,0.513225,1.52931,33.7
6,2000-01-07,00:00:00.00,1.07308,1.11095,28.9
7,2000-01-08,00:00:00.00,1.86394,0.517828,23.3
8,2000-01-09,00:00:00.00,0.321659,0.341056,20
9,2000-01-10,00:00:00.00,0.142908,0.340781,18.5
10,2000-01-11,00:00:00.00,5.62388,1.06787,18.5
11,2000-01-12,00:00:00.00,3.8145,3.70497,23.8
12,2000-01-13,00:00:00.00,1.91179,3.95119,26.7
13,2000-01-14,00:00:00.00,2.71191,1.44934,22.3
14,2000-01-15,00:00:00.00,0.412472,0.574358,18.4
15,2000-01-16,00:00:00.00,1.84266,0.540016,18.3
16,2000-01-17,00:00:00.00,1.39136,0.544724,16.6
17,2000-01-18,00:00:00.00,0.854095,0.549464,14.8
18,2000-01-19,00:00:00.00,1.72225,0.554853,14.3
19,2000-01-20,00:00:00.00,2.28385,0.56074,13.5
20,2000-01-21,00:00:00.00,4.12511,0.566606,12.9
21,2000-01-22,00:00:00.00,0.509988,0.572631,12.1
22,2000-01-23,00:00:00.00,0.722558,0.579179,11.6
23,2000-01-24,00:00:00.00,5.38916,0.586059,11.3
24,2000-01-25,00:00:00.00,1.75072,0.592831,11
25,2000-01-26,00:00:00.00,1.3783,0.599685,10.7
26,2000-01-27,00:00:00.00,0.619632,0.606866,10.4
27,2000-01-28,00:00:00.00,0.417417,0.614356,9.92
28,2000-01-29,00:00:00.00,0.274786,0.622114,9.36
29,2000-01-30,00:00:00.00,0.238718,0.629858,9.1
30,2000-01-31,00:00:00.00,0.913262,0.637494,8.87
31,2000-02-01,00:00:00.00,1.09544,0.64516,8.72
32,2000-02-02,00:00:00.00,2.33013,0.653054,8.55
33,2000-02-03,00:00:00.00,0.621029,0.661254,8.29
34,2000-02-04,00:00:00.00,2.59462,0.669751,8.21
35,2000-02-05,00:00:00.00,0.809787,0.678426,8.07
36,2000-02-06,00:00:00.00,2.57282,0.68729,7.84
37,2000-02-07,00:00:00.00,0.387337,0.696335,7.69
38,2000-02-08,00:00:00.00,0.608257,0.705326,7.52
39,2000-02-09,00:00:00.00,0.3572,0.714184,7.25
40,2000-02-10,00:00:00.00,1.89695,0.723098,7.14
41,2000-02-11,00:00:00.00,7.5981,0.732806,7.07
42,2000-02-12,00:00:00.00,3.2723,0.743162,7.02
43,2000-02-13,00:00:00.00,0.507964,0.753566,6.83
44,2000-02-14,00:00:00.00,7.1223,0.764022,6.76
45,2000-02-15,00:00:00.00,0.798084,0.774586,6.69
46,2000-02-16,00:00:00.00,3.12757,0.785306,6.57
47,2000-02-17,00:00:00.00,6.91162,0.79589,6.55
48,2000-02-18,00:00:00.00,0.28577,0.806365,6.42
49,2000-02-19,00:00:00.00,4.17044,0.817203,6.34
50,2000-02-20,00:00:00.00,0.579557,0.828257,6.25
51,2000-02-21,00:00:00.00,1.52734,0.839237,6.2
52,2000-02-22,00:00:00.00,0.68091,0.850297,6.14
53,2000-02-23,00:00:00.00,0.534715,0.861232,6.13
54,2000-02-24,00:00:00.00,3.02158,1.91344,7.28
55,2000-02-25,00:00:00.00,12.8212,7.86453,12.1
56,2000-02-26,00:00:00.00,6.56014,16.9572,35.4
57,2000-02-27,00:00:00.00,1.29042,17.0641,51.4
58,2000-02-28,00:00:00.00,11.1784,11.0439,59.1
59,2000-02-29,00:00:00.00,1.53156,10.2008,50.6
60,2000-03-01,00:00:00.00,1.14774,10.4729,35.6
61,2000-03-02,00:00:00.00,6.92916,9.78006,29.6
62,2000-03-03,00:00:00.00,2.35383,11.0223,29.9
63,2000-03-04,00:00:00.00,0.0643651,11.5843,28.1
64,2000-03-05,00:00:00.00,0.153678,10.7206,26.1
65,2000-03-06,00:00:00.00,0.0414087,10.4051,24.9
66,2000-03-07,00:00:00.00,0.0464925,10.4567,23.2
67,2000-03-08,00:00:00.00,0.183065,10.4504,21.7
68,2000-03-09,00:00:00.00,1.41235,10.35,20.6
69,2000-03-10,00:00:00.00,5.8033,10.534,20.1
70,2000-03-11,00:00:00.00,0.553613,11.284,19.8
71,2000-03-12,00:00:00.00,0.14342,11.4662,18.4
72,2000-03-13,00:00:00.00,0.138262,10.9565,17.7
