time,date,hour,precip [mm/day],sub6550 [m3/s],sub6550 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,9.47702,
1,2000-01-02,00:00:00.00,0.413679,5.34261,6.8
2,2000-01-03,00:00:00.00,10.4769,2.04693,8.5
3,2000-01-04,00:00:00.00,8.02001,2.69227,20.2
4,2000-01-05,00:00:00.00,9.9297,3.24427,17.9
5,2000-01-06,00:00:00.00,0.472522,3.69012,15
6,2000-01-07,00:00:00.00,0.691152,2.51371,13
7,2000-01-08,00:00:00.00,1.47716,1.63174,11.8
8,2000-01-09,00:00:00.00,0.192899,1.62071,10.8
9,2000-01-10,00:00:00.00,0.184582,1.61035,10.7
10,2000-01-11,00:00:00.00,4.6984,2.22935,12.2
11,2000-01-12,00:00:00.00,2.68664,3.08195,16.9
12,2000-01-13,00:00:00.00,1.64476,2.80971,15.5
13,2000-01-14,00:00:00.00,2.30842,2.05847,13.2
14,2000-01-15,00:00:00.00,0.418936,1.80408,11.6
15,2000-01-16,00:00:00.00,1.13103,1.79383,11.3
16,2000-01-17,00:00:00.00,0.9348,1.78138,9.65
17,2000-01-18,00:00:00.00,0.452432,1.76965,8.91
18,2000-01-19,00:00:00.00,1.64437,1.76072,8.96
19,2000-01-20,00:00:00.00,1.64196,1.75184,8.35
20,2000-01-21,00:00:00.00,3.32437,1.74191,7.95
21,2000-01-22,00:00:00.00,0.601185,1.7329,7.6
22,2000-01-23,00:00:00.00,0.629502,1.72507,7.44
23,2000-01-24,00:00:00.00,3.9509,1.71641,7.73
24,2000-01-25,00:00:00.00,1.45476,1.70669,7.59
25,2000-01-26,00:00:00.00,0.794665,1.6974,7.05
26,2000-01-27,00:00:00.00,0.368956,1.68865,6.8
27,2000-01-28,00:00:00.00,0.283179,1.68026,6.65
28,2000-01-29,00:00:00.00,0.392627,1.6717,6.55
29,2000-01-30,00:00:00.00,0.27471,1.66234,6.65
30,2000-01-31,00:00:00.00,0.813364,1.65246,6.69
31,2000-02-01,00:00:00.00,0.916904,1.64289,6.75
32,2000-02-02,00:00:00.00,2.41236,1.63388,6.64
33,2000-02-03,00:00:00.00,0.7167,1.62518,6.36
34,2000-02-04,00:00:00.00,2.05284,1.61662,6.41
35,2000-02-05,00:00:00.00,0.66575,1.60812,6.32
36,2000-02-06,00:00:00.00,2.01139,1.59955,6.21
37,2000-02-07,00:00:00.00,0.342768,1.59078,6.04
38,2000-02-08,00:00:00.00,0.51324,1.58211,5.73
39,2000-02-09,00:00:00.00,0.222014,1.57352,5.58
40,2000-02-10,00:00:00.00,1.61791,1.58984,5.55
41,2000-02-11,00:00:00.00,6.11531,1.60112,5.89
42,2000-02-12,00:00:00.00,2.62674,1.57167,6.07
43,2000-02-13,00:00:00.00,0.45789,1.54775,5.86
44,2000-02-14,00:00:00.00,6.35944,1.54008,5.63
45,2000-02-15,00:00:00.00,1.51901,1.53248,5.49
46,2000-02-16,00:00:00.00,2.49248,1.52491,5.45
47,2000-02-17,00:00:00.00,5.51961,1.51729,5.56
48,2000-02-18,00:00:00.00,0.34205,1.5098,5.39
49,2000-02-19,00:00:00.00,4.23108,1.50247,5.13
50,2000-02-20,00:00:00.00,0.635412,1.49521,5.02
51,2000-02-21,00:00:00.00,1.3653,1.48801,5.04
52,2000-02-22,00:00:00.00,0.473877,1.48089,5.02
53,2000-02-23,00:00:00.00,0.244815,1.47379,5.24
54,2000-02-24,00:00:00.00,2.11524,3.92878,11.3
55,2000-02-25,00:00:00.00,10.5659,12.8392,20.7
56,2000-02-26,00:00:00.00,6.56077,20.4023,33
57,2000-02-27,00:00:00.00,0.480973,18.9503,30.8
58,2000-02-28,00:00:00.00,7.57536,15.4494,29.5
59,2000-02-29,00:00:00.00,1.94533,12.8147,25.5
60,2000-03-01,00:00:00.00,1.76521,10.0325,21.7
61,2000-03-02,00:00:00.00,6.0164,10.268,18.9
62,2000-03-03,00:00:00.00,1.66055,11.37,16.9
63,2000-03-04,00:00:00.00,0.0397887,10.1871,14.8
64,2000-03-05,00:00:00.00,0.337747,8.99135,14
65,2000-03-06,00:00:00.00,0.0749884,8.66617,12.9
66,2000-03-07,00:00:00.00,0.0900749,8.48343,11.4
67,2000-03-08,00:00:00.00,0.0908753,8.30087,10.5
68,2000-03-09,00:00:00.00,0.0787207,8.11486,9.97
69,2000-03-10,00:00:00.00,4.33017,8.25742,9.74
70,2000-03-11,00:00:00.00,0.487804,8.35527,9.31
71,2000-03-12,00:00:00.00,0.199483,7.9714,8.57
72,2000-03-13,00:00:00.00,0.197205,7.64832,8.04
73,2000-03-14,00:00:00.00,1.93586,7.57648,7.67
74,2000-03-15,00:00:00.00,2.15259,7.613,7.44
75,2000-03-16,00:00:00.00,3.53897,7.84145,7.89
76,2000-03-17,00:00:00.00,3.11849,7.84871,9.51
77,2000-03-18,00:00:00.00,0.493762,7.4169,8.83
78,2000-03-19,00:00:00.00,0.128678,7.10654,8.19
79,2000-03-20,00:00:00.00,6.0671,7.56644,7.82
80,2000-03-21,00:00:00.00,1.0134,7.97898,9.07
81,2000-03-22,00:00:00.00,0.155992,7.46782,8.89
82,2000-03-23,00:00:00.00,0.239948,6.97374,8.51
83,2000-03-24,00:00:00.00,0.166201,6.81053,8.15
84,2000-03-25,00:00:00.00,0.186165,6.68344,7.89
85,2000-03-26,00:00:00.00,1.57196,6.57507,7.58
86,2000-03-27,00:00:00.00,0.0234119,6.47043,7.27
87,2000-03-28,00:00:00.00,8.08435,6.95001,7.31
88,2000-03-29,00:00:00.00,1.35321,7.32037,7.47
89,2000-03-30,00:00:00.00,7.02437,7.59821,8.27
90,2000-03-31,00:00:00.00,0.146777,7.83046,9.77
91,2000-04-01,00:00:00.00,0.107656,7.10378,10.2
92,2000-04-02,00:00:00.00,0.0100298,6.52872,9.62
93,2000-04-03,00:00:00.00,1.50278,6.43388,9.06
94,2000-04-04,00:00:00.00,0.710801,6.34176,8.68
95,2000-04-05,00:00:00.00,1.50333,6.22657,8.36
96,2000-04-06,00:00:00.00,0.883424,6.11848,8.08
97,2000-04-07,00:00:00.00,2.69255,6.07056,7.89
98,2000-04-08,00:00:00.00,3.47186,6.19667,7.76
99,2000-04-09,00:00:00.00,6.57925,6.62289,8.2
100,2000-04-10,00:00:00.00,0.755925,6.69947,8.43
101,2000-04-11,00:00:00.00,0.48902,6.19261,8.67
102,2000-04-12,00:00:00.00,0.610945,5.86658,8.55
103,2000-04-13,00:00:00.00,0.0236605,5.77379,9.54
104,2000-04-14,00:00:00.00,0.00823709,5.68147,11.6
105,2000-04-15,00:00:00.00,0.00839831,5.59071,14.1
106,2000-04-16,00:00:00.00,0.0589151,5.50347,14.1
107,2000-04-17,00:00:00.00,0.032885,5.42027,13.1
108,2000-04-18,00:00:00.00,0.034409,5.34017,11.9
109,2000-04-19,00:00:00.00,0.0241673,5.26245,10.5
110,2000-04-20,00:00:00.00,0.135682,5.1869,9.65
111,2000-04-21,00:00:00.00,14.5596,5.8842,11.8
112,2000-04-22,00:00:00.00,10.6634,7.83007,33.3
113,2000-04-23,00:00:00.00,0.115184,8.28461,28.1
114,2000-04-24,00:00:00.00,6.372e-308,6.68454,23.9
115,2000-04-25,00:00:00.00,0.0284552,5.78872,20.5
116,2000-04-26,00:00:00.00,0.137895,5.68943,17.8
117,2000-04-27,00:00:00.00,0.00461525,5.59865,15.9
118,2000-04-28,00:00:00.00,0.244704,5.51244,14.5
119,2000-04-29,00:00:00.00,0.0515819,5.42949,13.6
120,2000-04-30,00:00:00.00,0.00403724,5.3492,12.4
121,2000-05-01,00:00:00.00,0.0137188,5.2713,11.5
122,2000-05-02,00:00:00.00,1.41303,5.19558,10.7
123,2000-05-03,00:00:00.00,0.0817021,5.1219,10
124,2000-05-04,00:00:00.00,0.114268,5.05016,9.34
125,2000-05-05,00:00:00.00,0.0182986,4.98029,8.78
126,2000-05-06,00:00:00.00,0.515489,4.91221,8.38
127,2000-05-07,00:00:00.00,0.803008,4.84587,8.04
128,2000-05-08,00:00:00.00,1.61567,4.78118,7.87
129,2000-05-09,00:00:00.00,4.02584,4.71894,7.74
130,2000-05-10,00:00:00.00,13.0229,4.90697,7.84
131,2000-05-11,00:00:00.00,13.9162,6.35118,12
132,2000-05-12,00:00:00.00,0.644916,7.13417,13.6
133,2000-05-13,00:00:00.00,6.9716,6.21264,16.7
134,2000-05-14,00:00:00.00,8.1504,6.37788,22.7
135,2000-05-15,00:00:00.00,0.0405548,6.65677,23.2
136,2000-05-16,00:00:00.00,0.00248481,5.82348,21.1
137,2000-05-17,00:00:00.00,0.825043,5.31166,18.9
138,2000-05-18,00:00:00.00,0.0751695,5.22769,17
139,2000-05-19,00:00:00.00,20.064,7.29456,22.6
140,2000-05-20,00:00:00.00,0.146417,8.93512,22.6
141,2000-05-21,00:00:00.00,0.00497401,7.20044,20.4
142,2000-05-22,00:00:00.00,0.0456789,5.88038,18.1
143,2000-05-23,00:00:00.00,0.106989,5.78049,16.3
144,2000-05-24,00:00:00.00,1.81144,5.68795,15.5
145,2000-05-25,00:00:00.00,1.09252,5.60001,16.6
146,2000-05-26,00:00:00.00,0.763558,5.51489,15.8
