time,date,hour,precip [mm/day],sub6552 [m3/s],sub6552 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,64.3121,
1,2000-01-02,00:00:00.00,0.505721,32.1574,39.5
2,2000-01-03,00:00:00.00,10.57,1.38993,43.4
3,2000-01-04,00:00:00.00,12.1988,6.75708,72
4,2000-01-05,00:00:00.00,12.3046,11.1753,140
5,2000-01-06,00:00:00.00,0.406355,13.3164,170
6,2000-01-07,00:00:00.00,0.810132,9.2294,137
7,2000-01-08,00:00:00.00,1.28003,1.84239,105
8,2000-01-09,00:00:00.00,0.567559,0.22101,86
9,2000-01-10,00:00:00.00,0.216825,0.1775,70.3
10,2000-01-11,00:00:00.00,4.75725,1.35037,76.8
11,2000-01-12,00:00:00.00,2.10054,5.49818,137
12,2000-01-13,00:00:00.00,1.69923,5.89153,116
13,2000-01-14,00:00:00.00,3.80374,1.92172,94
14,2000-01-15,00:00:00.00,0.43263,0.355244,71.5
15,2000-01-16,00:00:00.00,1.39829,0.184285,64
16,2000-01-17,00:00:00.00,0.541107,0.155112,69
17,2000-01-18,00:00:00.00,0.385601,0.12399,60
18,2000-01-19,00:00:00.00,1.60811,0.105985,53
19,2000-01-20,00:00:00.00,1.81699,0.0974723,57.5
20,2000-01-21,00:00:00.00,3.41922,0.0864869,55
21,2000-01-22,00:00:00.00,0.748721,0.0755485,46
22,2000-01-23,00:00:00.00,0.607803,0.0695203,39
23,2000-01-24,00:00:00.00,3.13111,0.0652848,41
24,2000-01-25,00:00:00.00,0.715832,0.0575631,42
25,2000-01-26,00:00:00.00,0.877435,0.0495348,41.5
26,2000-01-27,00:00:00.00,0.38678,0.0439899,39.5
27,2000-01-28,00:00:00.00,0.205161,0.0395918,38.5
28,2000-01-29,00:00:00.00,0.247488,0.0363755,38
29,2000-01-30,00:00:00.00,0.212253,0.0324673,37.3
30,2000-01-31,00:00:00.00,1.08455,0.0270859,36.8
31,2000-02-01,00:00:00.00,0.988896,0.0216563,35.8
32,2000-02-02,00:00:00.00,2.36521,0.0176023,35
33,2000-02-03,00:00:00.00,0.492962,0.0150129,34.5
34,2000-02-04,00:00:00.00,2.97927,0.0131927,33.8
35,2000-02-05,00:00:00.00,0.770681,0.0116601,33.2
36,2000-02-06,00:00:00.00,2.02572,0.0103431,32.1
37,2000-02-07,00:00:00.00,0.354746,0.00924481,30.7
38,2000-02-08,00:00:00.00,0.390059,0.00832635,29.9
39,2000-02-09,00:00:00.00,0.358461,0.00766751,29.1
40,2000-02-10,00:00:00.00,1.31296,0.00716947,29.3
41,2000-02-11,00:00:00.00,7.41188,0.00684925,30
42,2000-02-12,00:00:00.00,2.07742,0.00666353,32.1
43,2000-02-13,00:00:00.00,0.33463,0.00654326,30.8
44,2000-02-14,00:00:00.00,6.48064,0.00645814,30.1
45,2000-02-15,00:00:00.00,0.994496,0.00638574,29.8
46,2000-02-16,00:00:00.00,2.07038,0.00632682,30.3
47,2000-02-17,00:00:00.00,5.20026,0.00627537,31
48,2000-02-18,00:00:00.00,0.230651,0.00623087,31.4
49,2000-02-19,00:00:00.00,4.59358,0.00620416,30.7
50,2000-02-20,00:00:00.00,0.661155,0.0061896,30.2
51,2000-02-21,00:00:00.00,1.45324,0.00617868,29.6
52,2000-02-22,00:00:00.00,0.548259,0.00617076,28.8
53,2000-02-23,00:00:00.00,0.441145,0.00616479,27.8
54,2000-02-24,00:00:00.00,1.49636,11.1137,30
55,2000-02-25,00:00:00.00,11.1444,71.4655,74
56,2000-02-26,00:00:00.00,4.98356,153.631,205
57,2000-02-27,00:00:00.00,0.572375,132.188,260
58,2000-02-28,00:00:00.00,9.08449,48.057,330
59,2000-02-29,00:00:00.00,0.823709,20.6904,288
60,2000-03-01,00:00:00.00,0.638343,15.8316,226
61,2000-03-02,00:00:00.00,5.22886,7.92872,170
62,2000-03-03,00:00:00.00,1.42874,10.8453,151
63,2000-03-04,00:00:00.00,0.0827047,10.6673,125
64,2000-03-05,00:00:00.00,0.141133,5.75001,103
65,2000-03-06,00:00:00.00,0.117437,4.58093,94
66,2000-03-07,00:00:00.00,0.211417,4.68599,84.6
67,2000-03-08,00:00:00.00,0.210916,4.64592,76.3
68,2000-03-09,00:00:00.00,0.206286,4.45393,70.6
69,2000-03-10,00:00:00.00,5.27391,4.6841,68.6
70,2000-03-11,00:00:00.00,0.843425,5.62708,68.6
71,2000-03-12,00:00:00.00,0.243916,5.58645,66.1
72,2000-03-13,00:00:00.00,0.55873,4.66899,59.9
73,2000-03-14,00:00:00.00,1.64487,4.44212,54.2
74,2000-03-15,00:00:00.00,2.3681,4.46105,50.6
75,2000-03-16,00:00:00.00,2.7145,5.34892,51.9
76,2000-03-17,00:00:00.00,4.47469,7.90197,64
77,2000-03-18,00:00:00.00,0.516969,7.71443,72.6
