time,date,hour,precip [mm/day],sub6487 [m3/s],sub6487 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,63.302,
1,2000-01-02,00:00:00.00,0.403074,32.2515,29
2,2000-01-03,00:00:00.00,3.98841,2.01645,27.7
3,2000-01-04,00:00:00.00,12.7802,4.60111,33.5
4,2000-01-05,00:00:00.00,12.8363,10.4563,42
5,2000-01-06,00:00:00.00,0.34902,20.7448,62.3
6,2000-01-07,00:00:00.00,0.478853,22.1099,50
7,2000-01-08,00:00:00.00,0.462638,13.1751,43
8,2000-01-09,00:00:00.00,0.415354,9.03663,36.3
9,2000-01-10,00:00:00.00,1.09333,9.22995,33.8
10,2000-01-11,00:00:00.00,3.58643,10.5676,33.7
11,2000-01-12,00:00:00.00,0.526628,14.3515,42.4
12,2000-01-13,00:00:00.00,0.81445,16.202,51.6
13,2000-01-14,00:00:00.00,3.94611,14.4584,51.7
14,2000-01-15,00:00:00.00,0.254594,13.7442,29.1
15,2000-01-16,00:00:00.00,0.74985,14.2098,30.8
16,2000-01-17,00:00:00.00,0.121628,14.7445,35.9
17,2000-01-18,00:00:00.00,0.310894,15.2831,24.9
18,2000-01-19,00:00:00.00,0.901202,15.828,22.7
19,2000-01-20,00:00:00.00,1.07541,16.379,26.4
20,2000-01-21,00:00:00.00,2.43089,16.932,27.8
21,2000-01-22,00:00:00.00,0.243856,17.4856,25.4
22,2000-01-23,00:00:00.00,0.216608,18.0409,23.5
23,2000-01-24,00:00:00.00,1.33099,18.5966,24
24,2000-01-25,00:00:00.00,0.32297,19.1481,24.5
25,2000-01-26,00:00:00.00,0.492842,19.6949,25.2
26,2000-01-27,00:00:00.00,0.382784,20.2381,24.2
27,2000-01-28,00:00:00.00,0.286583,20.7767,23.8
28,2000-01-29,00:00:00.00,0.193364,21.3098,23.6
29,2000-01-30,00:00:00.00,0.76253,21.8348,23.8
30,2000-01-31,00:00:00.00,1.27279,22.348,23.8
31,2000-02-01,00:00:00.00,0.726908,22.8479,23.6
32,2000-02-02,00:00:00.00,1.04698,23.3356,24
33,2000-02-03,00:00:00.00,0.261057,23.8125,23
34,2000-02-04,00:00:00.00,2.55321,24.2781,22
35,2000-02-05,00:00:00.00,0.871458,24.73,22
36,2000-02-06,00:00:00.00,0.817243,25.167,21.7
37,2000-02-07,00:00:00.00,0.260096,25.5887,20.2
38,2000-02-08,00:00:00.00,0.205308,25.9952,20
39,2000-02-09,00:00:00.00,0.280979,26.387,19.5
40,2000-02-10,00:00:00.00,0.825295,26.7633,19.3
41,2000-02-11,00:00:00.00,7.68719,27.1231,18.5
42,2000-02-12,00:00:00.00,1.58545,27.4659,18
43,2000-02-13,00:00:00.00,0.157053,27.7935,17.7
44,2000-02-14,00:00:00.00,5.69894,28.1072,18.1
45,2000-02-15,00:00:00.00,2.25006,28.4059,18.3
46,2000-02-16,00:00:00.00,0.817466,28.6886,19.5
47,2000-02-17,00:00:00.00,3.87235,28.9549,19.6
48,2000-02-18,00:00:00.00,0.161348,29.2055,19
49,2000-02-19,00:00:00.00,6.58828,29.4419,18.9
50,2000-02-20,00:00:00.00,0.340218,29.664,19
51,2000-02-21,00:00:00.00,0.861202,29.8708,19.1
52,2000-02-22,00:00:00.00,0.320277,30.0617,19.5
53,2000-02-23,00:00:00.00,0.469625,30.2354,26
54,2000-02-24,00:00:00.00,0.408965,40.1555,40
55,2000-02-25,00:00:00.00,7.43583,97.967,52
56,2000-02-26,00:00:00.00,5.04931,165.606,223
57,2000-02-27,00:00:00.00,0.160714,171.045,300
58,2000-02-28,00:00:00.00,6.52043,146.33,261
59,2000-02-29,00:00:00.00,0.455624,136.369,206
60,2000-03-01,00:00:00.00,0.379089,129.707,137
61,2000-03-02,00:00:00.00,4.05767,117.917,92.9
62,2000-03-03,00:00:00.00,0.246968,113.322,78.7
63,2000-03-04,00:00:00.00,0.0365263,108.77,72.5
64,2000-03-05,00:00:00.00,0.090647,100.228,60
65,2000-03-06,00:00:00.00,0.0556819,93.4423,50.4
66,2000-03-07,00:00:00.00,0.114277,88.2846,46
67,2000-03-08,00:00:00.00,0.107044,83.8872,42.5
68,2000-03-09,00:00:00.00,0.0232637,80.0496,41.3
69,2000-03-10,00:00:00.00,5.54432,77.9246,44.2
70,2000-03-11,00:00:00.00,0.437631,79.8557,48.8
71,2000-03-12,00:00:00.00,0.710062,79.8137,47.7
72,2000-03-13,00:00:00.00,1.11751,75.3015,42.8
73,2000-03-14,00:00:00.00,0.533756,71.7699,38.5
