time,date,hour,precip [mm/day],sub6606 [m3/s],sub6606 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.189,
1,2000-01-02,00:00:00.00,0.500424,184.46,1.14
2,2000-01-03,00:00:00.00,5.23947,198.405,1.21
3,2000-01-04,00:00:00.00,9.67612,26.2649,1.64
4,2000-01-05,00:00:00.00,17.8098,21.8519,1.9
5,2000-01-06,00:00:00.00,0.313292,17.6866,1.58
6,2000-01-07,00:00:00.00,0.362371,11.3937,1.44
7,2000-01-08,00:00:00.00,0.738633,8.68828,1.4
8,2000-01-09,00:00:00.00,0.340975,7.08706,1.31
9,2000-01-10,00:00:00.00,0.158252,6.03223,1.37
10,2000-01-11,00:00:00.00,7.54111,6.39454,2.53
11,2000-01-12,00:00:00.00,0.928162,6.5379,7.63
12,2000-01-13,00:00:00.00,0.296724,5.52145,5.07
13,2000-01-14,00:00:00.00,3.27835,4.90181,2.68
14,2000-01-15,00:00:00.00,0.223765,4.45238,1.6
15,2000-01-16,00:00:00.00,0.857677,4.09889,1.66
16,2000-01-17,00:00:00.00,0.797519,3.81382,1.77
17,2000-01-18,00:00:00.00,0.208463,3.58008,1.2
18,2000-01-19,00:00:00.00,0.49179,3.3856,1.08
19,2000-01-20,00:00:00.00,0.363729,3.22108,0.98
20,2000-01-21,00:00:00.00,4.56937,3.08026,0.94
21,2000-01-22,00:00:00.00,0.0436472,2.95896,0.89
22,2000-01-23,00:00:00.00,0.0497955,2.85368,0.84
23,2000-01-24,00:00:00.00,2.11348,2.76103,0.85
24,2000-01-25,00:00:00.00,0.248091,2.67885,0.9
25,2000-01-26,00:00:00.00,0.357204,2.60582,0.95
26,2000-01-27,00:00:00.00,0.237825,2.54053,0.88
27,2000-01-28,00:00:00.00,0.296139,2.48208,0.83
28,2000-01-29,00:00:00.00,0.296546,2.42937,0.84
29,2000-01-30,00:00:00.00,0.624275,2.38115,0.85
30,2000-01-31,00:00:00.00,0.557721,2.33674,0.89
31,2000-02-01,00:00:00.00,3.12092,2.37043,0.94
32,2000-02-02,00:00:00.00,0.602238,2.37054,1.01
33,2000-02-03,00:00:00.00,0.151885,2.29599,0.96
34,2000-02-04,00:00:00.00,1.93075,2.25791,0.93
35,2000-02-05,00:00:00.00,0.212134,2.22263,0.91
36,2000-02-06,00:00:00.00,0.687601,2.18977,0.9
37,2000-02-07,00:00:00.00,0.0959996,2.15892,0.89
38,2000-02-08,00:00:00.00,0.210032,2.13,0.88
39,2000-02-09,00:00:00.00,0.255367,2.1028,0.85
40,2000-02-10,00:00:00.00,0.593223,2.07739,0.95
41,2000-02-11,00:00:00.00,7.94524,2.05343,0.9
42,2000-02-12,00:00:00.00,2.69037,2.03074,0.88
43,2000-02-13,00:00:00.00,0.262632,2.00935,0.86
44,2000-02-14,00:00:00.00,5.56738,1.989,0.87
45,2000-02-15,00:00:00.00,5.19889,1.96957,0.89
46,2000-02-16,00:00:00.00,0.345441,1.95081,0.9
47,2000-02-17,00:00:00.00,4.95902,2.01505,1.01
48,2000-02-18,00:00:00.00,0.0724597,2.03784,0.95
49,2000-02-19,00:00:00.00,6.03975,1.97631,0.96
50,2000-02-20,00:00:00.00,0.120155,1.95514,0.99
51,2000-02-21,00:00:00.00,1.06253,1.9348,1.02
52,2000-02-22,00:00:00.00,0.196151,1.91505,1.06
53,2000-02-23,00:00:00.00,0.324935,1.89566,1.11
54,2000-02-24,00:00:00.00,1.24925,10.2456,1.81
55,2000-02-25,00:00:00.00,6.62277,16.2922,3.41
56,2000-02-26,00:00:00.00,10.2879,14.4167,33.4
57,2000-02-27,00:00:00.00,0.199333,12.5305,12.1
58,2000-02-28,00:00:00.00,3.26666,9.64792,8.39
59,2000-02-29,00:00:00.00,0.438992,8.21654,5.21
60,2000-03-01,00:00:00.00,0.43663,6.83462,2.89
61,2000-03-02,00:00:00.00,3.2712,6.35898,2.35
62,2000-03-03,00:00:00.00,0.361104,5.94155,2.25
63,2000-03-04,00:00:00.00,0.0590347,5.2349,1.93
64,2000-03-05,00:00:00.00,0.177713,4.78015,1.84
65,2000-03-06,00:00:00.00,0.0370736,4.42161,1.8
66,2000-03-07,00:00:00.00,0.0146605,4.13183,1.75
67,2000-03-08,00:00:00.00,0.158944,3.89154,1.74
68,2000-03-09,00:00:00.00,0.107959,3.68765,1.84
69,2000-03-10,00:00:00.00,9.76205,4.58703,2.37
70,2000-03-11,00:00:00.00,0.103455,5.02278,2.47
71,2000-03-12,00:00:00.00,0.366723,4.31321,1.86
72,2000-03-13,00:00:00.00,3.20583,4.37378,1.88
73,2000-03-14,00:00:00.00,0.0938529,4.33006,1.78
74,2000-03-15,00:00:00.00,1.93493,4.04394,1.91
75,2000-03-16,00:00:00.00,2.18845,4.01928,2.35
76,2000-03-17,00:00:00.00,3.93768,4.2177,3.21
77,2000-03-18,00:00:00.00,0.0161274,4.16758,2.53
78,2000-03-19,00:00:00.00,0.0834016,3.82224,1.97
79,2000-03-20,00:00:00.00,2.80715,3.84522,1.84
80,2000-03-21,00:00:00.00,2.59801,3.98116,1.96
81,2000-03-22,00:00:00.00,0.0736711,3.82992,2.07
82,2000-03-23,00:00:00.00,0.42045,3.58399,2.12
83,2000-03-24,00:00:00.00,0.201003,3.42628,2.2
84,2000-03-25,00:00:00.00,0.172407,3.28705,2.31
85,2000-03-26,00:00:00.00,2.75474,3.31089,2.37
86,2000-03-27,00:00:00.00,0.182169,3.28295,2.4
87,2000-03-28,00:00:00.00,3.76904,3.41162,2.15
88,2000-03-29,00:00:00.00,1.24531,3.47216,2.06
89,2000-03-30,00:00:00.00,4.24794,3.6364,2.13
90,2000-03-31,00:00:00.00,0.26916,3.74218,2.06
91,2000-04-01,00:00:00.00,0.0556418,3.42058,1.88
92,2000-04-02,00:00:00.00,0,3.27354,1.8
93,2000-04-03,00:00:00.00,0.79045,3.1453,1.8
94,2000-04-04,00:00:00.00,0.434089,3.03319,1.87
95,2000-04-05,00:00:00.00,2.60869,3.03745,2.44
96,2000-04-06,00:00:00.00,0.0788666,3.00405,2.7
97,2000-04-07,00:00:00.00,1.24849,2.86966,2.14
98,2000-04-08,00:00:00.00,4.88401,3.14014,2.05
99,2000-04-09,00:00:00.00,15.4078,5.27786,5.08
100,2000-04-10,00:00:00.00,0.106646,6.11371,4.48
101,2000-04-11,00:00:00.00,0.364723,4.89306,3.07
102,2000-04-12,00:00:00.00,2.04465,4.63713,2.41
103,2000-04-13,00:00:00.00,0.144187,4.39395,2.39
104,2000-04-14,00:00:00.00,1.73964,4.03883,2.34
105,2000-04-15,00:00:00.00,0.023911,3.78786,2.18
106,2000-04-16,00:00:00.00,0.149904,3.57336,2.15
107,2000-04-17,00:00:00.00,0.0116083,3.3904,2.08
108,2000-04-18,00:00:00.00,0.00429613,3.23331,1.9
109,2000-04-19,00:00:00.00,0.217964,3.09742,1.84
110,2000-04-20,00:00:00.00,0.22157,2.97762,1.75
111,2000-04-21,00:00:00.00,18.0663,5.07196,2.26
112,2000-04-22,00:00:00.00,16.4253,8.88503,13.5
113,2000-04-23,00:00:00.00,2.22499,9.16625,10.4
114,2000-04-24,00:00:00.00,0.00462074,7.16096,5.42
