time,date,hour,precip [mm/day],sub6607 [m3/s],sub6607 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.490252,183.337,
2,2000-01-03,00:00:00.00,8.48504,193.023,
3,2000-01-04,00:00:00.00,10.0978,17.3429,
4,2000-01-05,00:00:00.00,19.71,17.3311,
5,2000-01-06,00:00:00.00,0.194582,14.952,
6,2000-01-07,00:00:00.00,0.125958,9.12371,
7,2000-01-08,00:00:00.00,0.863652,7.00966,
8,2000-01-09,00:00:00.00,0.182914,5.92048,
9,2000-01-10,00:00:00.00,0.76173,5.344,
10,2000-01-11,00:00:00.00,9.45252,7.08868,
11,2000-01-12,00:00:00.00,0.476502,7.81406,
12,2000-01-13,00:00:00.00,0.278404,6.17036,
13,2000-01-14,00:00:00.00,4.16395,5.43109,
14,2000-01-15,00:00:00.00,0.264052,4.95818,
15,2000-01-16,00:00:00.00,1.0969,4.63576,
16,2000-01-17,00:00:00.00,2.16006,4.40553,
17,2000-01-18,00:00:00.00,0.115548,4.23633,
18,2000-01-19,00:00:00.00,0.249213,4.10937,
19,2000-01-20,00:00:00.00,0.735552,4.01155,
20,2000-01-21,00:00:00.00,5.73719,3.93458,
21,2000-01-22,00:00:00.00,0.0362025,3.87343,
22,2000-01-23,00:00:00.00,0.010636,3.82431,
23,2000-01-24,00:00:00.00,2.56957,3.78347,
24,2000-01-25,00:00:00.00,0.234364,3.74867,
25,2000-01-26,00:00:00.00,0.627824,3.71887,
26,2000-01-27,00:00:00.00,0.208443,3.69304,
27,2000-01-28,00:00:00.00,0.101534,3.67063,
28,2000-01-29,00:00:00.00,0.209276,3.65087,
29,2000-01-30,00:00:00.00,0.736045,3.63257,
30,2000-01-31,00:00:00.00,0.800842,3.61498,
31,2000-02-01,00:00:00.00,5.81818,3.99799,
32,2000-02-02,00:00:00.00,0.836618,4.21918,
33,2000-02-03,00:00:00.00,0.139403,3.99002,
34,2000-02-04,00:00:00.00,1.07882,3.88537,
35,2000-02-05,00:00:00.00,0.221181,3.80293,
36,2000-02-06,00:00:00.00,0.98238,3.73651,
37,2000-02-07,00:00:00.00,0.121945,3.68182,
38,2000-02-08,00:00:00.00,0.20553,3.63622,
