time,date,hour,precip [mm/day],sub6618 [m3/s],sub6618 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,10.3125,
1,2000-01-02,00:00:00.00,0.346395,9.84485,6.77
2,2000-01-03,00:00:00.00,8.09524,9.28478,7.1
3,2000-01-04,00:00:00.00,5.24509,9.22779,8.34
4,2000-01-05,00:00:00.00,30.1492,9.62453,11.1
5,2000-01-06,00:00:00.00,0.216473,10.8522,11.7
6,2000-01-07,00:00:00.00,0.174893,12.818,10.3
7,2000-01-08,00:00:00.00,1.13573,14.5239,9.96
8,2000-01-09,00:00:00.00,0.225816,14.3465,9.67
9,2000-01-10,00:00:00.00,0.529896,12.8451,9.52
10,2000-01-11,00:00:00.00,11.9868,11.7139,10.4
11,2000-01-12,00:00:00.00,0.460091,11.4061,12.8
12,2000-01-13,00:00:00.00,0.320809,11.9456,12.3
13,2000-01-14,00:00:00.00,0.198952,12.66,11.5
14,2000-01-15,00:00:00.00,0.0741669,12.574,10.8
15,2000-01-16,00:00:00.00,1.14843,11.8232,10.1
16,2000-01-17,00:00:00.00,3.74413,11.1392,9.5
17,2000-01-18,00:00:00.00,0.178791,10.6726,8.8
18,2000-01-19,00:00:00.00,0.15355,10.3821,8.1
19,2000-01-20,00:00:00.00,0.338654,10.1422,7.51
20,2000-01-21,00:00:00.00,5.6722,9.9143,7.15
21,2000-01-22,00:00:00.00,0.205404,9.69693,6.95
22,2000-01-23,00:00:00.00,0.140828,9.48915,6.78
23,2000-01-24,00:00:00.00,1.80788,9.2903,6.58
24,2000-01-25,00:00:00.00,0.781021,9.09983,6.48
25,2000-01-26,00:00:00.00,1.36828,8.91705,6.35
26,2000-01-27,00:00:00.00,0.769862,8.74117,6.28
27,2000-01-28,00:00:00.00,0.276731,8.57169,6.15
28,2000-01-29,00:00:00.00,0.131087,8.40856,6.04
29,2000-01-30,00:00:00.00,0.299555,8.25178,5.98
30,2000-01-31,00:00:00.00,0.347922,8.10106,5.94
31,2000-02-01,00:00:00.00,6.77182,7.96433,6.02
32,2000-02-02,00:00:00.00,0.932999,7.86652,6.2
33,2000-02-03,00:00:00.00,0.157083,7.82277,6.1
34,2000-02-04,00:00:00.00,0.306893,7.79172,6
35,2000-02-05,00:00:00.00,0.163435,7.67769,5.92
36,2000-02-06,00:00:00.00,1.34037,7.49503,5.84
37,2000-02-07,00:00:00.00,0.0638147,7.32437,5.78
38,2000-02-08,00:00:00.00,0.289677,7.18156,5.74
39,2000-02-09,00:00:00.00,0.0893241,7.06118,5.7
40,2000-02-10,00:00:00.00,1.25265,6.95107,5.64
41,2000-02-11,00:00:00.00,4.09678,6.85578,5.62
42,2000-02-12,00:00:00.00,3.61831,6.78051,5.61
43,2000-02-13,00:00:00.00,0.580748,6.7115,5.6
44,2000-02-14,00:00:00.00,3.56565,6.61616,5.59
45,2000-02-15,00:00:00.00,6.57647,6.49881,5.58
46,2000-02-16,00:00:00.00,0.109463,6.38681,5.64
47,2000-02-17,00:00:00.00,5.61716,6.30413,5.75
48,2000-02-18,00:00:00.00,0.353267,6.30356,5.85
49,2000-02-19,00:00:00.00,3.82036,6.4114,6.01
50,2000-02-20,00:00:00.00,0.338453,6.54013,6.1
51,2000-02-21,00:00:00.00,0.475259,6.48292,6.2
52,2000-02-22,00:00:00.00,0.235858,6.26813,6.35
53,2000-02-23,00:00:00.00,0.292551,6.07341,6.5
54,2000-02-24,00:00:00.00,0.456326,5.93552,6.7
55,2000-02-25,00:00:00.00,3.06745,5.98899,8
56,2000-02-26,00:00:00.00,10.5419,6.82822,20.3
57,2000-02-27,00:00:00.00,0.951019,9.41948,21
58,2000-02-28,00:00:00.00,4.41832,13.8871,19
59,2000-02-29,00:00:00.00,3.31295,17.8242,21.7
60,2000-03-01,00:00:00.00,0.842451,18.6121,22.9
61,2000-03-02,00:00:00.00,4.18908,17.0243,23.7
62,2000-03-03,00:00:00.00,1.45966,15.2161,23.7
63,2000-03-04,00:00:00.00,0.0339259,14.1543,22.7
64,2000-03-05,00:00:00.00,0.0337043,13.7584,21.5
65,2000-03-06,00:00:00.00,0.307963,13.4242,19.8
66,2000-03-07,00:00:00.00,0.0808781,12.9188,18.4
67,2000-03-08,00:00:00.00,0.329457,12.4312,17.3
68,2000-03-09,00:00:00.00,0.120705,12.0414,16.6
69,2000-03-10,00:00:00.00,7.05339,11.7758,16.5
70,2000-03-11,00:00:00.00,0.371968,11.7061,16.4
71,2000-03-12,00:00:00.00,1.31831,11.8904,15.8
72,2000-03-13,00:00:00.00,3.69772,12.1488,15.3
73,2000-03-14,00:00:00.00,0.00846705,12.1057,14.3
74,2000-03-15,00:00:00.00,1.85614,11.8902,13.9
75,2000-03-16,00:00:00.00,4.42594,11.7914,14.1
76,2000-03-17,00:00:00.00,5.54204,11.7486,15.5
77,2000-03-18,00:00:00.00,0.22778,11.9343,15.6
78,2000-03-19,00:00:00.00,0.308639,12.3719,15.1
79,2000-03-20,00:00:00.00,0.150275,12.5677,14.9
80,2000-03-21,00:00:00.00,0.909979,12.195,14.9
81,2000-03-22,00:00:00.00,0.500722,11.5713,14.8
82,2000-03-23,00:00:00.00,0.264785,11.0719,14.6
83,2000-03-24,00:00:00.00,0.185263,10.7349,14.5
84,2000-03-25,00:00:00.00,0.0364398,10.4897,14.3
85,2000-03-26,00:00:00.00,1.1927,10.263,14.1
86,2000-03-27,00:00:00.00,0.345912,10.0387,13.7
87,2000-03-28,00:00:00.00,3.2718,9.8293,13.2
88,2000-03-29,00:00:00.00,11.9814,9.74745,13.3
89,2000-03-30,00:00:00.00,3.04743,10.0734,13.8
90,2000-03-31,00:00:00.00,0.938581,10.9773,13.5
91,2000-04-01,00:00:00.00,0.0431407,11.9886,13
92,2000-04-02,00:00:00.00,0.000623739,12.1116,12.5
93,2000-04-03,00:00:00.00,0.942271,11.3825,12.3
94,2000-04-04,00:00:00.00,1.02767,10.6087,12.3
95,2000-04-05,00:00:00.00,7.16968,10.1292,13
96,2000-04-06,00:00:00.00,0.00624174,10.0439,13.6
