time,date,hour,precip [mm/day],sub6675 [m3/s],sub6675 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.320182,9.37423,
2,2000-01-03,00:00:00.00,8.42331,19.486,
3,2000-01-04,00:00:00.00,2.95869,23.2074,
4,2000-01-05,00:00:00.00,23.0071,30.1733,
5,2000-01-06,00:00:00.00,0.197134,48.6815,
6,2000-01-07,00:00:00.00,0.237761,55.2975,
7,2000-01-08,00:00:00.00,1.0664,38.3129,
8,2000-01-09,00:00:00.00,0.229871,28.6363,
9,2000-01-10,00:00:00.00,0.494899,27.7915,
10,2000-01-11,00:00:00.00,9.54498,29.9461,
11,2000-01-12,00:00:00.00,0.540297,40.5234,
12,2000-01-13,00:00:00.00,0.260153,44.7801,
13,2000-01-14,00:00:00.00,0.126753,36.2069,
14,2000-01-15,00:00:00.00,0.247426,31.0538,
15,2000-01-16,00:00:00.00,1.09703,30.3201,
16,2000-01-17,00:00:00.00,5.14904,29.8588,
17,2000-01-18,00:00:00.00,0.266573,29.3913,
18,2000-01-19,00:00:00.00,0.277462,28.933,
19,2000-01-20,00:00:00.00,0.288057,28.5008,
20,2000-01-21,00:00:00.00,4.68781,28.0837,
21,2000-01-22,00:00:00.00,0.474252,27.6727,
22,2000-01-23,00:00:00.00,0.311598,27.2717,
23,2000-01-24,00:00:00.00,1.41784,26.8824,
24,2000-01-25,00:00:00.00,1.18404,26.4959,
25,2000-01-26,00:00:00.00,1.36953,26.1074,
26,2000-01-27,00:00:00.00,0.855873,25.7228,
27,2000-01-28,00:00:00.00,0.168309,25.3495,
28,2000-01-29,00:00:00.00,0.178528,24.9916,
29,2000-01-30,00:00:00.00,0.192012,24.6466,
30,2000-01-31,00:00:00.00,0.232639,24.3036,
31,2000-02-01,00:00:00.00,5.21714,24.1487,
32,2000-02-02,00:00:00.00,0.862621,24.6161,
33,2000-02-03,00:00:00.00,0.0888577,24.6218,
34,2000-02-04,00:00:00.00,0.173175,23.6803,
35,2000-02-05,00:00:00.00,0.157175,23.004,
36,2000-02-06,00:00:00.00,2.18532,22.6689,
37,2000-02-07,00:00:00.00,0.134539,22.3533,
38,2000-02-08,00:00:00.00,0.443433,22.0359,
39,2000-02-09,00:00:00.00,0.239714,21.7229,
40,2000-02-10,00:00:00.00,2.2085,21.5621,
41,2000-02-11,00:00:00.00,3.91591,21.8739,
42,2000-02-12,00:00:00.00,4.64085,21.8409,
43,2000-02-13,00:00:00.00,0.190209,21.0966,
44,2000-02-14,00:00:00.00,3.21784,20.5508,
45,2000-02-15,00:00:00.00,6.67624,20.262,
46,2000-02-16,00:00:00.00,0.152173,19.9918,
47,2000-02-17,00:00:00.00,6.44155,20.0515,
48,2000-02-18,00:00:00.00,0.104827,21.1645,
49,2000-02-19,00:00:00.00,2.10742,21.4775,
50,2000-02-20,00:00:00.00,0.341183,20.162,
51,2000-02-21,00:00:00.00,0.483089,19.2905,
52,2000-02-22,00:00:00.00,0.258842,18.9996,
53,2000-02-23,00:00:00.00,0.269848,18.7442,
54,2000-02-24,00:00:00.00,1.03654,18.4958,
55,2000-02-25,00:00:00.00,3.22315,18.5647,
56,2000-02-26,00:00:00.00,9.84619,23.1549,
57,2000-02-27,00:00:00.00,0.837897,43.4615,
58,2000-02-28,00:00:00.00,3.18057,82.0267,
59,2000-02-29,00:00:00.00,2.76792,133.655,
60,2000-03-01,00:00:00.00,0.751964,139.28,
61,2000-03-02,00:00:00.00,3.21869,95.2413,
62,2000-03-03,00:00:00.00,1.66277,74.2528,
63,2000-03-04,00:00:00.00,0.0939533,72.4465,
64,2000-03-05,00:00:00.00,0.073267,68.2965,
65,2000-03-06,00:00:00.00,0.239842,64.1838,
66,2000-03-07,00:00:00.00,0.0446606,61.7042,
67,2000-03-08,00:00:00.00,0.340998,59.7526,
68,2000-03-09,00:00:00.00,0.498099,57.8842,
69,2000-03-10,00:00:00.00,4.95791,56.7892,
70,2000-03-11,00:00:00.00,0.24252,58.0385,
