time,date,hour,precip [mm/day],sub6691 [m3/s],sub6691 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,52.0329,
1,2000-01-02,00:00:00.00,0.477406,1883.28,8
2,2000-01-03,00:00:00.00,8.19159,2138.27,6.6
3,2000-01-04,00:00:00.00,1.94574,441.796,7
4,2000-01-05,00:00:00.00,29.7301,309.127,12.5
5,2000-01-06,00:00:00.00,0.192358,297.915,45.6
6,2000-01-07,00:00:00.00,0.139099,244.501,58.2
7,2000-01-08,00:00:00.00,1.26628,165.386,39
8,2000-01-09,00:00:00.00,0.201672,127.005,27.2
9,2000-01-10,00:00:00.00,0.29554,103.731,21.7
10,2000-01-11,00:00:00.00,13.9752,101.193,19.4
11,2000-01-12,00:00:00.00,1.37179,118.387,98.3
12,2000-01-13,00:00:00.00,0.302401,114.065,186
13,2000-01-14,00:00:00.00,0.0740604,91.192,120
14,2000-01-15,00:00:00.00,0.252242,77.9101,81.5
15,2000-01-16,00:00:00.00,0.77952,68.92,50.2
16,2000-01-17,00:00:00.00,9.29964,61.9189,24.7
17,2000-01-18,00:00:00.00,0.227539,56.2806,19.3
18,2000-01-19,00:00:00.00,0.307877,51.6528,15.7
19,2000-01-20,00:00:00.00,0.406857,47.7957,12.6
20,2000-01-21,00:00:00.00,3.66204,44.5319,10.2
21,2000-01-22,00:00:00.00,0.77058,41.7349,8.4
22,2000-01-23,00:00:00.00,0.0591965,39.3137,7.3
23,2000-01-24,00:00:00.00,0.800209,37.1992,6.5
24,2000-01-25,00:00:00.00,1.34575,35.3336,5.85
25,2000-01-26,00:00:00.00,2.15591,33.6718,5.4
26,2000-01-27,00:00:00.00,2.55644,32.1826,5
27,2000-01-28,00:00:00.00,0.214666,30.8442,4.78
28,2000-01-29,00:00:00.00,0.276129,29.6378,4.53
29,2000-01-30,00:00:00.00,0.140071,28.5438,4.38
30,2000-01-31,00:00:00.00,0.126171,27.54,4.2
31,2000-02-01,00:00:00.00,4.70268,26.6101,4.18
32,2000-02-02,00:00:00.00,1.33861,25.7488,4.05
33,2000-02-03,00:00:00.00,0.045602,24.9524,3.93
34,2000-02-04,00:00:00.00,0.505198,24.2169,3.82
35,2000-02-05,00:00:00.00,0.188772,23.5366,3.76
36,2000-02-06,00:00:00.00,2.92063,22.9021,3.65
37,2000-02-07,00:00:00.00,0.169996,22.3052,3.58
38,2000-02-08,00:00:00.00,0.842964,21.7414,3.5
39,2000-02-09,00:00:00.00,0.203623,21.2097,3.42
40,2000-02-10,00:00:00.00,3.95223,20.7073,3.38
41,2000-02-11,00:00:00.00,2.64552,20.2276,3.32
42,2000-02-12,00:00:00.00,7.78168,19.7724,3.27
43,2000-02-13,00:00:00.00,0.165465,19.3439,3.22
44,2000-02-14,00:00:00.00,2.91788,18.9379,3.2
45,2000-02-15,00:00:00.00,10.456,18.55,3.17
46,2000-02-16,00:00:00.00,0.1915,18.177,3.13
47,2000-02-17,00:00:00.00,7.36046,17.8173,3.1
48,2000-02-18,00:00:00.00,0.125598,17.4705,3.07
49,2000-02-19,00:00:00.00,1.40075,17.1418,3.04
50,2000-02-20,00:00:00.00,0.382613,16.8295,3.02
51,2000-02-21,00:00:00.00,0.296381,16.5256,3
52,2000-02-22,00:00:00.00,0.21896,16.2276,2.99
53,2000-02-23,00:00:00.00,0.361414,15.9359,2.99
54,2000-02-24,00:00:00.00,0.413456,15.6492,2.98
55,2000-02-25,00:00:00.00,2.2605,15.8454,3.2
56,2000-02-26,00:00:00.00,8.3946,19.6298,3.8
57,2000-02-27,00:00:00.00,0.518171,26.5799,9.63
58,2000-02-28,00:00:00.00,2.70223,44.2808,77.2
59,2000-02-29,00:00:00.00,3.86924,98.91,295
60,2000-03-01,00:00:00.00,1.34383,136.687,360
61,2000-03-02,00:00:00.00,2.64715,146.596,319
62,2000-03-03,00:00:00.00,1.66422,172.404,265
63,2000-03-04,00:00:00.00,0.0925221,161.537,203
64,2000-03-05,00:00:00.00,0.0238123,124.099,122
65,2000-03-06,00:00:00.00,0.273293,102.791,95.4
66,2000-03-07,00:00:00.00,0.0213279,88.9887,77.1
67,2000-03-08,00:00:00.00,0.337242,78.6811,73.4
68,2000-03-09,00:00:00.00,0.207998,96.121,79.1
69,2000-03-10,00:00:00.00,4.99662,153.034,112
70,2000-03-11,00:00:00.00,0.273034,166.274,155
71,2000-03-12,00:00:00.00,1.16907,129.006,119
72,2000-03-13,00:00:00.00,4.44405,110.708,81.6
73,2000-03-14,00:00:00.00,0.0320631,107.431,63.6
