time,date,hour,precip [mm/day],sub7166 [m3/s],sub7166 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,2.14043,
1,2000-01-02,00:00:00.00,1.18413,129.971,0.38
2,2000-01-03,00:00:00.00,1.69163,143.002,0.37
3,2000-01-04,00:00:00.00,0.151023,21.6708,0.37
4,2000-01-05,00:00:00.00,0.140942,12.6733,0.37
5,2000-01-06,00:00:00.00,4.95683,8.9343,0.37
6,2000-01-07,00:00:00.00,4.66512,6.88989,0.36
7,2000-01-08,00:00:00.00,2.30705,5.604,0.36
8,2000-01-09,00:00:00.00,1.53834,4.72299,0.36
9,2000-01-10,00:00:00.00,0.328746,4.08297,0.36
10,2000-01-11,00:00:00.00,4.32417,3.59778,0.36
11,2000-01-12,00:00:00.00,0.249625,3.21793,0.35
12,2000-01-13,00:00:00.00,0.216629,2.91296,0.35
13,2000-01-14,00:00:00.00,0.125188,2.66316,0.35
14,2000-01-15,00:00:00.00,2.63841,2.45501,0.35
15,2000-01-16,00:00:00.00,2.3772,2.27893,0.34
16,2000-01-17,00:00:00.00,0.271163,2.12808,0.34
17,2000-01-18,00:00:00.00,5.13551,1.99757,0.34
18,2000-01-19,00:00:00.00,3.09837,1.88356,0.34
19,2000-01-20,00:00:00.00,0.256367,1.78314,0.34
20,2000-01-21,00:00:00.00,0.0754568,1.69415,0.34
21,2000-01-22,00:00:00.00,0.220776,1.6148,0.33
22,2000-01-23,00:00:00.00,4.07622,1.5436,0.33
23,2000-01-24,00:00:00.00,0.612894,1.47937,0.33
24,2000-01-25,00:00:00.00,0.209865,1.42114,0.33
25,2000-01-26,00:00:00.00,0.169404,1.36812,0.33
26,2000-01-27,00:00:00.00,0.133847,1.31964,0.33
27,2000-01-28,00:00:00.00,0.147451,1.27513,0.33
28,2000-01-29,00:00:00.00,0.296987,1.23403,0.32
29,2000-01-30,00:00:00.00,0.0364293,1.19588,0.32
30,2000-01-31,00:00:00.00,0.0502508,1.16039,0.32
31,2000-02-01,00:00:00.00,0.520969,1.1273,0.32
32,2000-02-02,00:00:00.00,0.0342559,1.09644,0.32
33,2000-02-03,00:00:00.00,3.64649,1.06759,0.32
34,2000-02-04,00:00:00.00,2.53841,1.04052,0.32
35,2000-02-05,00:00:00.00,0.0797938,1.01507,0.32
36,2000-02-06,00:00:00.00,0.0510185,0.991102,0.32
37,2000-02-07,00:00:00.00,0.21715,0.968466,0.31
38,2000-02-08,00:00:00.00,0.0492153,0.94702,0.31
39,2000-02-09,00:00:00.00,0.585396,0.926665,0.31
40,2000-02-10,00:00:00.00,0.0709386,0.907256,0.31
41,2000-02-11,00:00:00.00,0.130971,0.888816,0.31
42,2000-02-12,00:00:00.00,0.0570314,0.871444,0.31
43,2000-02-13,00:00:00.00,0.097575,0.855008,0.31
44,2000-02-14,00:00:00.00,0.0894722,0.839376,0.31
45,2000-02-15,00:00:00.00,0.213586,0.824481,0.31
46,2000-02-16,00:00:00.00,0.437746,0.81021,0.31
47,2000-02-17,00:00:00.00,0.0728698,0.796562,0.3
48,2000-02-18,00:00:00.00,0.0820123,0.783564,0.3
49,2000-02-19,00:00:00.00,0.0922254,0.771092,0.3
50,2000-02-20,00:00:00.00,0.168525,0.759022,0.31
51,2000-02-21,00:00:00.00,0.131984,0.747317,0.31
52,2000-02-22,00:00:00.00,0.267329,0.735896,0.34
53,2000-02-23,00:00:00.00,0.24714,0.724631,0.4
54,2000-02-24,00:00:00.00,0.309693,0.713569,0.48
55,2000-02-25,00:00:00.00,2.73846,0.744068,0.58
56,2000-02-26,00:00:00.00,3.43186,0.854993,0.67
57,2000-02-27,00:00:00.00,6.2101,1.03325,0.81
58,2000-02-28,00:00:00.00,0.458933,1.14326,0.97
59,2000-02-29,00:00:00.00,0.150341,1.04588,0.94
60,2000-03-01,00:00:00.00,0.150772,0.929289,0.9
61,2000-03-02,00:00:00.00,0.0698106,0.907142,0.86
62,2000-03-03,00:00:00.00,0.0868388,0.888269,0.82
63,2000-03-04,00:00:00.00,0.210855,0.870112,0.8
64,2000-03-05,00:00:00.00,0.0728414,0.852534,0.78
65,2000-03-06,00:00:00.00,0.108437,1.00066,0.79
66,2000-03-07,00:00:00.00,0.286909,1.61578,0.82
67,2000-03-08,00:00:00.00,2.92645,2.74554,0.86
68,2000-03-09,00:00:00.00,8.65561,3.86079,0.9
69,2000-03-10,00:00:00.00,2.97777,4.04343,0.94
70,2000-03-11,00:00:00.00,0.0352811,3.42537,0.89
71,2000-03-12,00:00:00.00,0.081934,2.93896,0.8
72,2000-03-13,00:00:00.00,0.0943283,2.70531,0.75
73,2000-03-14,00:00:00.00,1.08052,2.51298,0.71
74,2000-03-15,00:00:00.00,0.620899,2.34894,0.67
75,2000-03-16,00:00:00.00,0.866946,2.20758,0.64
76,2000-03-17,00:00:00.00,0.239739,2.08465,0.62
77,2000-03-18,00:00:00.00,0.22293,1.97666,0.59
78,2000-03-19,00:00:00.00,0.677922,1.88076,0.58
79,2000-03-20,00:00:00.00,0.080946,1.79465,0.57
80,2000-03-21,00:00:00.00,0.183041,1.71659,0.58
81,2000-03-22,00:00:00.00,0.482912,1.64547,0.62
82,2000-03-23,00:00:00.00,0.121015,1.58021,0.71
83,2000-03-24,00:00:00.00,0.24637,1.51988,0.84
84,2000-03-25,00:00:00.00,11.7202,2.86197,1.08
85,2000-03-26,00:00:00.00,4.40816,5.35359,2.4
86,2000-03-27,00:00:00.00,3.95065,5.84269,7.9
87,2000-03-28,00:00:00.00,8.37809,5.04911,6.9
88,2000-03-29,00:00:00.00,0.20323,4.6316,6.34
89,2000-03-30,00:00:00.00,0.122927,4.07572,4.08
90,2000-03-31,00:00:00.00,0.0624413,3.71775,4.23
91,2000-04-01,00:00:00.00,0.202164,3.71041,3.53
92,2000-04-02,00:00:00.00,0.605448,3.62265,3.03
93,2000-04-03,00:00:00.00,1.90191,3.28582,3.19
94,2000-04-04,00:00:00.00,9.0884,2.97239,6.16
95,2000-04-05,00:00:00.00,0.040185,2.75721,4.94
96,2000-04-06,00:00:00.00,7.13849,2.57158,3.95
97,2000-04-07,00:00:00.00,2.15623,2.41293,3.49
98,2000-04-08,00:00:00.00,0.0107686,2.27468,2.85
99,2000-04-09,00:00:00.00,1.30303,2.15293,2.76
100,2000-04-10,00:00:00.00,1.35223,2.04458,2.56
101,2000-04-11,00:00:00.00,0.0934187,1.94776,2.17
102,2000-04-12,00:00:00.00,0.744639,1.86072,2.14
103,2000-04-13,00:00:00.00,0.0286625,1.78169,2
104,2000-04-14,00:00:00.00,2.83873,1.75862,2.07
105,2000-04-15,00:00:00.00,1.93867,1.76473,2.02
106,2000-04-16,00:00:00.00,0.822994,1.6947,1.93
107,2000-04-17,00:00:00.00,0.031065,1.60253,2.03
108,2000-04-18,00:00:00.00,0.0317864,1.54406,2.12
109,2000-04-19,00:00:00.00,0.294046,1.49026,2.57
110,2000-04-20,00:00:00.00,0.00115933,1.43994,3.15
111,2000-04-21,00:00:00.00,0.00559257,1.5209,3.09
112,2000-04-22,00:00:00.00,0.0319177,2.21825,2.96
