time,date,hour,precip [mm/day],sub7175 [m3/s],sub7175 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,48.7393,
1,2000-01-02,00:00:00.00,2.51503,302.204,21.2
2,2000-01-03,00:00:00.00,0.349702,503.823,20.8
3,2000-01-04,00:00:00.00,0.294502,417.839,20.2
4,2000-01-05,00:00:00.00,0.301101,358.611,19.7
5,2000-01-06,00:00:00.00,0.879198,313.985,19.3
6,2000-01-07,00:00:00.00,6.04159,278.719,18.9
7,2000-01-08,00:00:00.00,0.611556,250.053,18.7
8,2000-01-09,00:00:00.00,3.71293,226.28,18.3
9,2000-01-10,00:00:00.00,0.40983,206.269,17.8
10,2000-01-11,00:00:00.00,6.64109,189.241,17.4
11,2000-01-12,00:00:00.00,1.87019,174.612,17.1
12,2000-01-13,00:00:00.00,0.291974,161.969,16.8
13,2000-01-14,00:00:00.00,0.256275,150.963,16.5
14,2000-01-15,00:00:00.00,0.340078,141.3,16.1
15,2000-01-16,00:00:00.00,6.14573,132.745,15.7
16,2000-01-17,00:00:00.00,0.833116,125.148,15.5
17,2000-01-18,00:00:00.00,2.9285,118.385,15.4
18,2000-01-19,00:00:00.00,4.0164,112.306,15.2
19,2000-01-20,00:00:00.00,0.434444,106.828,14.9
20,2000-01-21,00:00:00.00,0.193625,101.886,14.7
21,2000-01-22,00:00:00.00,0.205831,97.3994,14.4
22,2000-01-23,00:00:00.00,1.55935,93.3115,14.1
23,2000-01-24,00:00:00.00,3.61116,89.5735,13.9
24,2000-01-25,00:00:00.00,0.904614,86.1456,13.7
25,2000-01-26,00:00:00.00,0.248744,82.9935,13.6
26,2000-01-27,00:00:00.00,0.31604,80.0862,13.4
27,2000-01-28,00:00:00.00,0.336685,77.3933,13.3
28,2000-01-29,00:00:00.00,0.261539,74.8786,13.2
29,2000-01-30,00:00:00.00,0.22388,72.5222,13
30,2000-01-31,00:00:00.00,0.242045,70.3285,12.9
31,2000-02-01,00:00:00.00,1.62285,68.2909,12.8
32,2000-02-02,00:00:00.00,0.322561,66.4015,12.7
33,2000-02-03,00:00:00.00,0.870607,64.6262,12.6
34,2000-02-04,00:00:00.00,1.09951,62.9496,12.4
35,2000-02-05,00:00:00.00,0.213949,61.3707,12.3
36,2000-02-06,00:00:00.00,1.17761,59.8781,12.1
37,2000-02-07,00:00:00.00,0.438121,58.4633,11.9
38,2000-02-08,00:00:00.00,0.188799,57.1421,11.8
39,2000-02-09,00:00:00.00,2.43864,55.8791,11.7
40,2000-02-10,00:00:00.00,2.00496,54.6623,11.5
41,2000-02-11,00:00:00.00,0.225774,53.5501,11.4
42,2000-02-12,00:00:00.00,0.131537,52.5091,11.3
43,2000-02-13,00:00:00.00,0.133498,51.4967,11.2
44,2000-02-14,00:00:00.00,0.162231,50.5337,11.1
45,2000-02-15,00:00:00.00,0.345755,49.623,11.1
46,2000-02-16,00:00:00.00,0.267792,48.7323,11
47,2000-02-17,00:00:00.00,0.103635,47.8832,11
48,2000-02-18,00:00:00.00,0.198501,47.0836,11
49,2000-02-19,00:00:00.00,0.161091,46.294,10.9
50,2000-02-20,00:00:00.00,1.2148,45.5205,10.9
51,2000-02-21,00:00:00.00,0.697448,44.7857,10.9
52,2000-02-22,00:00:00.00,0.351965,44.0436,10.8
53,2000-02-23,00:00:00.00,0.296046,43.3085,10.8
54,2000-02-24,00:00:00.00,0.255455,42.6074,10.8
55,2000-02-25,00:00:00.00,0.94188,41.9463,11.2
56,2000-02-26,00:00:00.00,0.480659,41.3299,11.5
57,2000-02-27,00:00:00.00,2.72322,40.8398,14.5
58,2000-02-28,00:00:00.00,3.6036,40.9026,19.8
59,2000-02-29,00:00:00.00,1.64973,40.9226,19.3
60,2000-03-01,00:00:00.00,0.239295,40.1493,18.8
61,2000-03-02,00:00:00.00,0.706799,39.2774,18.4
62,2000-03-03,00:00:00.00,0.341547,38.6895,18.3
63,2000-03-04,00:00:00.00,0.374279,38.154,18.2
64,2000-03-05,00:00:00.00,0.721123,37.6378,18.4
65,2000-03-06,00:00:00.00,0.229253,37.2368,18.9
66,2000-03-07,00:00:00.00,0.283308,38.5856,20
67,2000-03-08,00:00:00.00,0.412255,48.2611,22
68,2000-03-09,00:00:00.00,5.11614,68.2108,24.6
69,2000-03-10,00:00:00.00,6.53402,83.634,24.4
70,2000-03-11,00:00:00.00,0.192977,82.2439,23
71,2000-03-12,00:00:00.00,0.202809,73.23,22
72,2000-03-13,00:00:00.00,0.125365,67.8984,21
73,2000-03-14,00:00:00.00,0.758408,65.8197,20.6
74,2000-03-15,00:00:00.00,0.457969,64.4136,20
75,2000-03-16,00:00:00.00,0.198144,63.085,19.3
76,2000-03-17,00:00:00.00,0.136682,61.8184,18.9
77,2000-03-18,00:00:00.00,0.197577,60.6087,18.6
78,2000-03-19,00:00:00.00,0.493762,59.4065,18.3
