time,date,hour,precip [mm/day],sub7044 [m3/s],sub7044 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,16.9851,
1,2000-01-02,00:00:00.00,2.05092,119.575,7.85
2,2000-01-03,00:00:00.00,7.77165,194.244,7.8
3,2000-01-04,00:00:00.00,0.385685,149.093,7.75
4,2000-01-05,00:00:00.00,6.49831,120.095,7.7
5,2000-01-06,00:00:00.00,0.328689,99.8221,7.68
6,2000-01-07,00:00:00.00,3.32781,84.9295,7.66
7,2000-01-08,00:00:00.00,1.21814,73.6139,7.64
8,2000-01-09,00:00:00.00,1.48925,64.7865,7.62
9,2000-01-10,00:00:00.00,0.553061,57.747,7.6
10,2000-01-11,00:00:00.00,7.01566,52.8566,7.58
11,2000-01-12,00:00:00.00,2.85515,50.0886,7.55
12,2000-01-13,00:00:00.00,0.442387,46.5091,7.54
13,2000-01-14,00:00:00.00,0.185016,42.1371,7.52
14,2000-01-15,00:00:00.00,0.139716,38.877,7.5
15,2000-01-16,00:00:00.00,4.16299,36.1594,7.4
16,2000-01-17,00:00:00.00,1.67013,33.7863,7.25
17,2000-01-18,00:00:00.00,0.887847,31.7109,7.1
18,2000-01-19,00:00:00.00,3.12135,29.875,6.95
19,2000-01-20,00:00:00.00,0.722924,28.2362,6.8
20,2000-01-21,00:00:00.00,0.271657,26.7708,6.7
21,2000-01-22,00:00:00.00,0.203191,25.4513,6.55
22,2000-01-23,00:00:00.00,0.745987,24.2556,6.45
23,2000-01-24,00:00:00.00,3.16445,23.1636,6.35
24,2000-01-25,00:00:00.00,0.415958,22.165,6.25
25,2000-01-26,00:00:00.00,0.741338,21.2527,6.2
26,2000-01-27,00:00:00.00,0.259801,20.4158,6
27,2000-01-28,00:00:00.00,0.238841,19.6446,5.9
28,2000-01-29,00:00:00.00,0.121513,18.9246,5.8
29,2000-01-30,00:00:00.00,0.179307,18.2506,5.7
30,2000-01-31,00:00:00.00,0.36394,17.6261,5.6
31,2000-02-01,00:00:00.00,1.71574,17.0447,5.55
32,2000-02-02,00:00:00.00,0.280662,16.5042,5.45
33,2000-02-03,00:00:00.00,0.298855,16.0035,5.35
34,2000-02-04,00:00:00.00,1.85062,15.53,5.25
35,2000-02-05,00:00:00.00,0.234348,15.0825,5.1
36,2000-02-06,00:00:00.00,1.10534,14.6601,5.05
37,2000-02-07,00:00:00.00,0.385611,14.256,5
38,2000-02-08,00:00:00.00,0.267753,13.8761,4.95
39,2000-02-09,00:00:00.00,0.266837,13.517,4.9
40,2000-02-10,00:00:00.00,2.70974,13.1719,4.85
41,2000-02-11,00:00:00.00,1.30882,12.8522,4.8
42,2000-02-12,00:00:00.00,0.395795,12.5564,4.75
43,2000-02-13,00:00:00.00,0.456741,12.268,4.65
44,2000-02-14,00:00:00.00,1.1481,11.9892,4.6
45,2000-02-15,00:00:00.00,0.327299,11.7285,4.58
46,2000-02-16,00:00:00.00,3.03992,11.4724,4.55
47,2000-02-17,00:00:00.00,1.57525,11.2238,4.5
48,2000-02-18,00:00:00.00,0.199068,10.9956,4.4
49,2000-02-19,00:00:00.00,0.381315,10.7733,4.38
50,2000-02-20,00:00:00.00,0.310691,10.5541,4.3
51,2000-02-21,00:00:00.00,0.464072,10.349,4.28
52,2000-02-22,00:00:00.00,0.438344,10.1457,4.31
53,2000-02-23,00:00:00.00,0.676702,9.93849,4.37
54,2000-02-24,00:00:00.00,0.72945,9.7423,4.39
55,2000-02-25,00:00:00.00,1.66158,9.62708,4.41
56,2000-02-26,00:00:00.00,0.778856,9.84534,4.5
57,2000-02-27,00:00:00.00,8.07102,12.1281,5.3
58,2000-02-28,00:00:00.00,5.55716,18.2698,5.9
59,2000-02-29,00:00:00.00,1.55323,21.6698,6.5
60,2000-03-01,00:00:00.00,0.982306,18.6336,7.8
61,2000-03-02,00:00:00.00,3.91518,16.0548,9
62,2000-03-03,00:00:00.00,0.234722,16.1525,10.2
63,2000-03-04,00:00:00.00,0.21515,15.8933,10.7
64,2000-03-05,00:00:00.00,0.425342,15.014,10.8
65,2000-03-06,00:00:00.00,0.150059,14.5535,10.9
66,2000-03-07,00:00:00.00,0.128273,14.2752,10.9
