time,date,hour,precip [mm/day],sub7045 [m3/s],sub7045 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,25.1396,
1,2000-01-02,00:00:00.00,1.85681,72.0065,12.8
2,2000-01-03,00:00:00.00,10.2168,120.454,12.7
3,2000-01-04,00:00:00.00,0.511826,118.307,12.6
4,2000-01-05,00:00:00.00,8.89911,110.063,12.5
5,2000-01-06,00:00:00.00,0.275888,101.154,12.4
6,2000-01-07,00:00:00.00,2.56685,92.7498,12.3
7,2000-01-08,00:00:00.00,0.730962,85.2093,12.2
8,2000-01-09,00:00:00.00,0.813109,78.565,12.1
9,2000-01-10,00:00:00.00,0.559993,72.7676,12
10,2000-01-11,00:00:00.00,7.97257,67.7424,12.5
11,2000-01-12,00:00:00.00,2.60873,63.3988,13.7
12,2000-01-13,00:00:00.00,0.394013,59.6472,13.5
13,2000-01-14,00:00:00.00,0.254586,56.2814,13.3
14,2000-01-15,00:00:00.00,0.234281,53.2156,13.1
15,2000-01-16,00:00:00.00,4.41496,50.4122,12.9
16,2000-01-17,00:00:00.00,1.56975,47.8663,12.7
17,2000-01-18,00:00:00.00,0.7627,45.639,12.5
18,2000-01-19,00:00:00.00,3.0556,43.633,12.3
19,2000-01-20,00:00:00.00,0.438257,41.7701,12.1
20,2000-01-21,00:00:00.00,0.227107,40.0851,12
21,2000-01-22,00:00:00.00,0.214965,38.5465,11.9
22,2000-01-23,00:00:00.00,0.460302,37.1165,11.8
23,2000-01-24,00:00:00.00,3.76289,35.759,11.7
24,2000-01-25,00:00:00.00,0.321756,34.4894,11.6
25,2000-01-26,00:00:00.00,0.536858,33.3309,11.5
26,2000-01-27,00:00:00.00,0.205318,32.2736,11.4
27,2000-01-28,00:00:00.00,0.235241,31.2984,11.3
28,2000-01-29,00:00:00.00,0.144577,30.3292,11.2
29,2000-01-30,00:00:00.00,0.244994,29.388,11.1
30,2000-01-31,00:00:00.00,0.360048,28.5285,11
31,2000-02-01,00:00:00.00,1.18473,27.7254,11
32,2000-02-02,00:00:00.00,0.218005,26.9911,10.9
33,2000-02-03,00:00:00.00,0.306814,26.3353,10.8
34,2000-02-04,00:00:00.00,2.04392,25.6958,10.8
35,2000-02-05,00:00:00.00,0.153898,25.0706,10.7
36,2000-02-06,00:00:00.00,0.741708,24.4621,10.7
37,2000-02-07,00:00:00.00,0.270932,23.8466,10.6
38,2000-02-08,00:00:00.00,0.234467,23.273,10.6
39,2000-02-09,00:00:00.00,0.230742,22.7431,10.5
40,2000-02-10,00:00:00.00,1.4708,22.2326,10.5
41,2000-02-11,00:00:00.00,1.89821,21.7993,10.4
42,2000-02-12,00:00:00.00,0.564226,21.4277,10.4
43,2000-02-13,00:00:00.00,0.563334,21.0132,10.3
44,2000-02-14,00:00:00.00,0.973779,20.5891,10.3
45,2000-02-15,00:00:00.00,0.237008,20.2117,10.2
46,2000-02-16,00:00:00.00,3.64691,19.8092,10.2
47,2000-02-17,00:00:00.00,2.23624,19.404,10.1
48,2000-02-18,00:00:00.00,0.266845,19.0799,10.1
49,2000-02-19,00:00:00.00,0.485854,18.7436,10
50,2000-02-20,00:00:00.00,0.340032,18.3821,10
51,2000-02-21,00:00:00.00,0.283396,18.0725,10
52,2000-02-22,00:00:00.00,0.310182,17.7267,10
53,2000-02-23,00:00:00.00,0.74732,17.3293,10.2
54,2000-02-24,00:00:00.00,0.860911,17.1293,10.7
55,2000-02-25,00:00:00.00,2.65366,17.856,11.4
56,2000-02-26,00:00:00.00,2.17215,19.8915,12.2
57,2000-02-27,00:00:00.00,8.44905,22.5772,14
58,2000-02-28,00:00:00.00,13.8609,27.7419,20
59,2000-02-29,00:00:00.00,0.76977,37.3312,31
60,2000-03-01,00:00:00.00,0.597113,44.0941,34
61,2000-03-02,00:00:00.00,4.48875,42.35,36
62,2000-03-03,00:00:00.00,0.386515,38.7813,39
63,2000-03-04,00:00:00.00,0.0927022,37.6557,39
64,2000-03-05,00:00:00.00,0.335096,36.7314,38
65,2000-03-06,00:00:00.00,0.106719,36.7313,36
66,2000-03-07,00:00:00.00,0.152381,38.0168,35
67,2000-03-08,00:00:00.00,1.19182,38.6119,36
68,2000-03-09,00:00:00.00,1.77308,39.5491,38
69,2000-03-10,00:00:00.00,7.40379,41.3475,52
70,2000-03-11,00:00:00.00,0.186954,41.4976,58
71,2000-03-12,00:00:00.00,0.163245,39.6351,61.5
72,2000-03-13,00:00:00.00,0.104172,37.7172,62.5
73,2000-03-14,00:00:00.00,0.127754,36.4106,58
74,2000-03-15,00:00:00.00,1.02386,35.3499,54.4
75,2000-03-16,00:00:00.00,3.76201,34.3676,51.2
76,2000-03-17,00:00:00.00,0.0727395,33.4796,48
77,2000-03-18,00:00:00.00,0.0874532,32.6728,44
78,2000-03-19,00:00:00.00,0.161877,31.8383,41
