time,date,hour,precip [mm/day],sub7051 [m3/s],sub7052 [m3/s],sub7053 [m3/s],sub7053 (observed) [m3/s],sub7053 (res. inflow) [m3/s]
0,2000-01-01,00:00:00.00,---,47.195,18.2249,0,,258.952
1,2000-01-02,00:00:00.00,1.94125,25.0511,9.21746,78.1371,302,183.996
2,2000-01-03,00:00:00.00,17.0344,2.77995,0.161977,127.776,300,89.2965
3,2000-01-04,00:00:00.00,0.996311,2.51084,0.0888976,76.465,299,45.634
4,2000-01-05,00:00:00.00,13.8031,2.2174,0.0477196,37.1262,298,14.8463
5,2000-01-06,00:00:00.00,0.223223,1.94045,0.0250261,14.4344,299,6.10832
6,2000-01-07,00:00:00.00,1.56201,1.66447,0.0110382,6.30325,299,3.73319
7,2000-01-08,00:00:00.00,0.842975,1.38218,0.00406126,3.86412,299,3.30576
8,2000-01-09,00:00:00.00,0.993907,1.11708,0.00475651,3.48248,297,3.72027
9,2000-01-10,00:00:00.00,0.433652,0.888888,0.00508175,3.86963,294,4.32447
10,2000-01-11,00:00:00.00,4.88462,0.691952,0.00590629,4.22461,293,4.41079
11,2000-01-12,00:00:00.00,3.69962,0.510709,0.00948978,4.10676,295,3.96093
12,2000-01-13,00:00:00.00,0.459073,0.401127,0.0165287,3.73291,297,3.51042
13,2000-01-14,00:00:00.00,0.256657,0.359418,0.0260029,3.42511,301,3.27268
14,2000-01-15,00:00:00.00,0.224113,0.343298,0.037455,3.29051,303,3.26078
15,2000-01-16,00:00:00.00,4.25768,0.308019,0.0487848,3.25465,303,3.31606
16,2000-01-17,00:00:00.00,4.73237,0.229529,0.04916,3.18348,302,3.19972
17,2000-01-18,00:00:00.00,0.487375,0.173191,0.038696,3.07064,300,2.99547
18,2000-01-19,00:00:00.00,0.448728,0.155195,0.0282733,2.91989,298,2.79299
19,2000-01-20,00:00:00.00,0.378706,0.123455,0.0199214,2.6399,295,2.43892
20,2000-01-21,00:00:00.00,0.298056,0.0935433,0.0141173,2.2772,293,2.03837
21,2000-01-22,00:00:00.00,0.126981,0.0802884,0.011785,1.94595,290,1.73843
22,2000-01-23,00:00:00.00,0.182685,0.0709803,0.0108722,1.67675,287,1.51995
23,2000-01-24,00:00:00.00,3.44442,0.0373217,0.00921702,1.39814,285,1.26541
24,2000-01-25,00:00:00.00,0.490637,0.00514017,0.00754676,1.12949,283,1.02975
25,2000-01-26,00:00:00.00,0.594035,0.00257894,0.00612603,0.95303,280,0.906175
26,2000-01-27,00:00:00.00,0.389358,0.00246227,0.00502147,0.871212,277,0.855971
27,2000-01-28,00:00:00.00,0.214546,0.00235365,0.00439348,0.859218,275,0.858225
28,2000-01-29,00:00:00.00,0.197681,0.00224335,0.00416048,0.832375,273,0.835665
29,2000-01-30,00:00:00.00,0.261716,0.00212689,0.00402111,0.744504,271,0.747785
30,2000-01-31,00:00:00.00,0.357529,0.00201233,0.00387331,0.628433,269,0.641267
31,2000-02-01,00:00:00.00,1.14757,0.00190199,0.00371319,0.534621,266,0.566563
32,2000-02-02,00:00:00.00,1.0688,0.00178884,0.00352473,0.474945,268,0.513236
33,2000-02-03,00:00:00.00,0.215587,0.00165972,0.00328457,0.463618,271,0.496143
34,2000-02-04,00:00:00.00,0.526229,0.00150797,0.00298262,0.458672,274,0.484233
35,2000-02-05,00:00:00.00,0.260968,0.00134271,0.00264636,0.429177,277,0.452134
36,2000-02-06,00:00:00.00,2.00996,0.001181,0.00232088,0.353689,278,0.38511
37,2000-02-07,00:00:00.00,0.298514,0.00103673,0.00203701,0.233867,280,0.287183
38,2000-02-08,00:00:00.00,0.788295,0.000916536,0.00180797,0.135205,282,0.202148
39,2000-02-09,00:00:00.00,0.313666,0.000815865,0.00162448,0.0721392,283,0.13451
40,2000-02-10,00:00:00.00,4.74419,0.000724793,0.00146363,0.0238507,283,0.0640906
41,2000-02-11,00:00:00.00,1.69791,0.000634842,0.00130289,0,284,0.0159699
42,2000-02-12,00:00:00.00,2.48636,0.00054366,0.00113362,0,286,0.0155156
43,2000-02-13,00:00:00.00,0.267429,0.000456241,0.000965552,0,286,0.0133052
44,2000-02-14,00:00:00.00,2.24357,0.000378709,0.000811945,0,284,0.00447859
45,2000-02-15,00:00:00.00,0.281808,0.000314236,0.000681654,0,282,0.00366275
46,2000-02-16,00:00:00.00,2.12471,0.000263951,0.000580773,0,279,0.00302524
47,2000-02-17,00:00:00.00,4.37079,0.000226197,0.000506138,0,278,0.00254608
48,2000-02-18,00:00:00.00,0.249151,0.000196238,0.000446212,0,276,0.0021713
49,2000-02-19,00:00:00.00,0.289303,0.000170371,0.00039385,0,272,0.00185715
50,2000-02-20,00:00:00.00,0.302667,0.000146979,0.000346191,0,269,0.00158209
51,2000-02-21,00:00:00.00,0.58378,0.000124892,0.000299444,0,265,0.00133097
52,2000-02-22,00:00:00.00,0.378935,0.000104293,0.000253891,0,262,0.0011032
53,2000-02-23,00:00:00.00,0.711431,8.62608e-05,0.000212637,0,258,0.000910733
54,2000-02-24,00:00:00.00,1.11252,0.0228686,0.116038,0,256,0.121811
55,2000-02-25,00:00:00.00,3.73583,0.152881,0.676277,0,255,0.835025
56,2000-02-26,00:00:00.00,2.71413,0.502902,1.89276,0.839496,262,2.8461
57,2000-02-27,00:00:00.00,3.08663,1.18401,3.89687,4.29275,271,8.07876
58,2000-02-28,00:00:00.00,15.3712,2.29636,6.85858,11.8171,304,18.7534
59,2000-02-29,00:00:00.00,0.996412,4.74492,10.5318,24.7864,346,35.8622
60,2000-03-01,00:00:00.00,0.860381,8.67809,13.2696,42.9291,354,56.7821
61,2000-03-02,00:00:00.00,4.19422,12.9597,14.5889,62.4812,336,75.4582
62,2000-03-03,00:00:00.00,3.49356,16.7857,14.6383,78.2357,312,86.9183
63,2000-03-04,00:00:00.00,0.0898844,19.3677,12.8855,86.4206,297,89.1938
64,2000-03-05,00:00:00.00,0.777599,20.1315,9.8319,85.6429,299,82.3023
65,2000-03-06,00:00:00.00,0.117544,19.4789,6.73703,77.3764,305,69.9914
66,2000-03-07,00:00:00.00,0.109017,18.1038,4.52608,65.5253,309,57.2624
67,2000-03-08,00:00:00.00,1.87074,16.2799,2.93521,53.4797,311,45.9857
68,2000-03-09,00:00:00.00,1.2845,14.2742,1.86414,42.8993,307,36.8072
69,2000-03-10,00:00:00.00,4.31726,12.4205,1.41015,34.6028,304,30.2649
70,2000-03-11,00:00:00.00,0.322803,10.9632,1.31864,29.0831,300,26.471
71,2000-03-12,00:00:00.00,0.18506,9.69429,1.13551,25.6979,300,24.0539
72,2000-03-13,00:00:00.00,0.166731,8.48157,0.827501,23.2924,296,22.0395
73,2000-03-14,00:00:00.00,0.368199,7.37849,0.590498,21.3937,291,20.3734
74,2000-03-15,00:00:00.00,2.11334,6.3355,0.40175,19.6747,287,18.7319
75,2000-03-16,00:00:00.00,3.89276,5.35383,0.244228,17.9871,287,17.105
76,2000-03-17,00:00:00.00,0.773487,4.51647,0.145402,16.5213,292,15.8048
77,2000-03-18,00:00:00.00,0.31739,3.82965,0.106477,15.3809,293,14.8478
78,2000-03-19,00:00:00.00,0.398688,3.17239,0.0876897,14.3727,293,13.9079
79,2000-03-20,00:00:00.00,0.379797,2.49612,0.0747014,13.2757,291,12.7962
80,2000-03-21,00:00:00.00,1.9496,1.89396,0.0899494,12.1612,290,11.7665
81,2000-03-22,00:00:00.00,0.236965,1.38239,0.191855,11.1233,289,10.8775
82,2000-03-23,00:00:00.00,0.596711,0.932115,0.393017,10.2081,288,10.0522
83,2000-03-24,00:00:00.00,0.174026,0.63006,0.660622,9.4723,272,9.51002
84,2000-03-25,00:00:00.00,0.347107,0.464797,0.981323,8.96061,239,9.23844
85,2000-03-26,00:00:00.00,1.2152,0.476101,1.29507,8.87508,205,9.29515
86,2000-03-27,00:00:00.00,0.948675,0.529086,1.29655,9.00173,179,9.33293
87,2000-03-28,00:00:00.00,2.50041,0.440295,0.989832,8.85308,162,8.89057
88,2000-03-29,00:00:00.00,2.75168,0.284067,0.684362,8.25249,146,8.10169
89,2000-03-30,00:00:00.00,3.36259,0.16857,0.447094,7.50239,131,7.39464
90,2000-03-31,00:00:00.00,0.1699,0.124574,0.302898,6.99334,119,7.02608
91,2000-04-01,00:00:00.00,0.0979156,0.114276,0.281097,6.62994,109,6.76779
92,2000-04-02,00:00:00.00,0.496674,0.128087,0.355344,6.24312,101,6.45338
93,2000-04-03,00:00:00.00,0.218809,0.139438,0.439848,5.95852,92.9,6.21894
94,2000-04-04,00:00:00.00,0.633588,0.138614,0.475466,5.67474,87.4,5.95213
