time,date,hour,precip [mm/day],sub7057 [m3/s],sub7057 (observed) [m3/s],sub7058 [m3/s]
0,2000-01-01,00:00:00.00,---,26.1105,,3.29305
1,2000-01-02,00:00:00.00,0.60166,21.9592,11.3,1.77658
2,2000-01-03,00:00:00.00,18.8909,8.90434,12.4,0.356354
3,2000-01-04,00:00:00.00,6.04085,2.03793,13.1,0.778503
4,2000-01-05,00:00:00.00,18.1366,4.06463,13.7,0.919822
5,2000-01-06,00:00:00.00,0.280342,4.03726,16.4,0.778605
6,2000-01-07,00:00:00.00,0.782304,4.01769,18.6,0.660447
7,2000-01-08,00:00:00.00,2.09715,3.88863,16.8,0.388057
8,2000-01-09,00:00:00.00,0.330588,3.60395,15.7,0.252733
9,2000-01-10,00:00:00.00,0.481834,3.31266,14.7,0.220662
10,2000-01-11,00:00:00.00,8.54933,3.13798,13.9,0.264323
11,2000-01-12,00:00:00.00,5.94376,3.49457,13.8,0.464502
12,2000-01-13,00:00:00.00,0.726276,3.95797,13.9,0.515316
13,2000-01-14,00:00:00.00,0.224065,3.66681,14,0.349262
14,2000-01-15,00:00:00.00,0.241188,3.20772,13.9,0.277405
15,2000-01-16,00:00:00.00,2.4355,3.02233,9.03,0.266026
16,2000-01-17,00:00:00.00,3.79053,2.81988,4.29,0.244322
17,2000-01-18,00:00:00.00,0.234411,2.64331,3.86,0.237325
18,2000-01-19,00:00:00.00,0.351212,2.53359,3.73,0.250739
19,2000-01-20,00:00:00.00,0.439972,2.40369,3.68,0.253239
20,2000-01-21,00:00:00.00,1.3476,2.28018,3.68,0.251725
21,2000-01-22,00:00:00.00,0.114481,2.21522,3.68,0.256995
22,2000-01-23,00:00:00.00,0.301334,2.1857,3.68,0.261748
23,2000-01-24,00:00:00.00,4.64223,2.12139,3.68,0.259341
24,2000-01-25,00:00:00.00,1.07406,2.04186,3.69,0.251023
25,2000-01-26,00:00:00.00,0.344063,1.97549,3.7,0.244612
26,2000-01-27,00:00:00.00,0.161524,1.9273,3.71,0.248066
27,2000-01-28,00:00:00.00,0.250442,1.92624,3.71,0.258313
28,2000-01-29,00:00:00.00,0.163859,1.93318,3.63,0.265263
29,2000-01-30,00:00:00.00,0.398358,1.89813,3.45,0.253354
30,2000-01-31,00:00:00.00,0.315294,1.81839,3.38,0.231563
31,2000-02-01,00:00:00.00,2.26969,1.74408,3.31,0.223951
32,2000-02-02,00:00:00.00,1.10191,1.67346,3.14,0.224387
33,2000-02-03,00:00:00.00,0.246623,1.6283,3.08,0.234729
34,2000-02-04,00:00:00.00,1.04821,1.60209,3.12,0.247503
35,2000-02-05,00:00:00.00,0.294999,1.57603,3.25,0.254053
36,2000-02-06,00:00:00.00,2.29454,1.51826,3.34,0.246096
37,2000-02-07,00:00:00.00,0.181733,1.41985,3.32,0.233307
38,2000-02-08,00:00:00.00,0.795108,1.3286,3.26,0.232859
39,2000-02-09,00:00:00.00,0.425663,1.25559,3.24,0.234423
40,2000-02-10,00:00:00.00,2.79369,1.16358,3.25,0.236147
41,2000-02-11,00:00:00.00,4.30241,1.1013,3.28,0.238026
42,2000-02-12,00:00:00.00,2.81751,1.13128,3.26,0.240094
43,2000-02-13,00:00:00.00,0.381623,1.1622,3.19,0.242405
44,2000-02-14,00:00:00.00,4.17208,1.1728,3.19,0.244862
45,2000-02-15,00:00:00.00,0.664965,1.18699,3.2,0.247351
46,2000-02-16,00:00:00.00,1.53282,1.15939,3.18,0.249872
47,2000-02-17,00:00:00.00,7.74756,1.11162,3.31,0.252366
48,2000-02-18,00:00:00.00,0.359424,1.14049,3.29,0.254906
49,2000-02-19,00:00:00.00,1.2224,1.17055,3.26,0.257725
50,2000-02-20,00:00:00.00,0.32199,1.14399,3.29,0.260691
51,2000-02-21,00:00:00.00,1.46699,1.10138,3.36,0.26357
52,2000-02-22,00:00:00.00,0.350288,1.01087,3.31,0.266377
53,2000-02-23,00:00:00.00,0.762927,0.843351,3.22,0.26911
54,2000-02-24,00:00:00.00,1.64177,1.03584,3.25,0.276043
55,2000-02-25,00:00:00.00,7.88149,3.09485,3.41,0.751181
56,2000-02-26,00:00:00.00,8.72295,6.99446,4.08,2.65861
57,2000-02-27,00:00:00.00,1.42653,10.2413,4.98,4.0344
58,2000-02-28,00:00:00.00,8.00183,12.5067,7.02,5.06726
59,2000-02-29,00:00:00.00,2.04092,15.115,8.1,6.65778
