time,date,hour,precip [mm/day],sub7066 [m3/s],sub7066 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.62144,
1,2000-01-02,00:00:00.00,0.393417,3.68518,2.36
2,2000-01-03,00:00:00.00,11.5839,3.80628,2.52
3,2000-01-04,00:00:00.00,8.97974,4.4601,4.96
4,2000-01-05,00:00:00.00,16.986,5.52393,6.75
5,2000-01-06,00:00:00.00,0.533819,6.44396,6.66
6,2000-01-07,00:00:00.00,0.405982,6.60961,4.73
7,2000-01-08,00:00:00.00,1.64429,5.82731,3.75
8,2000-01-09,00:00:00.00,0.18913,4.98252,3.31
9,2000-01-10,00:00:00.00,0.191766,4.40947,3.12
10,2000-01-11,00:00:00.00,7.15507,4.14057,3.39
11,2000-01-12,00:00:00.00,2.44693,4.54551,7.57
12,2000-01-13,00:00:00.00,0.535768,5.09294,8.39
13,2000-01-14,00:00:00.00,1.18412,4.94015,6.05
14,2000-01-15,00:00:00.00,0.169517,4.46013,3.23
15,2000-01-16,00:00:00.00,0.92839,4.06652,2.93
16,2000-01-17,00:00:00.00,1.19143,3.78474,2.53
17,2000-01-18,00:00:00.00,0.307544,3.58613,2.04
18,2000-01-19,00:00:00.00,0.706803,3.44041,1.66
19,2000-01-20,00:00:00.00,0.936155,3.31832,1.4
20,2000-01-21,00:00:00.00,2.76748,3.22159,1.2
21,2000-01-22,00:00:00.00,0.494465,3.15238,1.1
22,2000-01-23,00:00:00.00,0.490816,3.09773,1.01
23,2000-01-24,00:00:00.00,3.48942,3.04388,0.96
24,2000-01-25,00:00:00.00,0.781015,2.99737,0.92
25,2000-01-26,00:00:00.00,0.788713,2.96348,0.9
26,2000-01-27,00:00:00.00,0.240849,2.93629,0.87
27,2000-01-28,00:00:00.00,0.125403,2.9157,0.85
28,2000-01-29,00:00:00.00,0.346635,2.89512,0.84
29,2000-01-30,00:00:00.00,0.700296,2.86827,0.82
30,2000-01-31,00:00:00.00,0.220608,2.84177,0.81
31,2000-02-01,00:00:00.00,1.67017,2.82215,0.8
32,2000-02-02,00:00:00.00,1.31464,2.80729,0.79
33,2000-02-03,00:00:00.00,0.331874,2.79747,0.78
34,2000-02-04,00:00:00.00,2.62017,2.78559,0.77
35,2000-02-05,00:00:00.00,0.622471,2.77309,0.76
36,2000-02-06,00:00:00.00,1.899,2.75547,0.75
37,2000-02-07,00:00:00.00,0.325162,2.7364,0.75
38,2000-02-08,00:00:00.00,0.54612,2.72527,0.74
39,2000-02-09,00:00:00.00,0.150695,2.71624,0.73
40,2000-02-10,00:00:00.00,1.28051,2.69945,0.72
41,2000-02-11,00:00:00.00,6.23796,2.68667,0.72
42,2000-02-12,00:00:00.00,2.35745,2.6866,0.71
43,2000-02-13,00:00:00.00,0.328882,2.6808,0.71
44,2000-02-14,00:00:00.00,5.26293,2.66787,0.71
45,2000-02-15,00:00:00.00,1.4079,2.65571,0.7
46,2000-02-16,00:00:00.00,1.3148,2.64032,0.7
47,2000-02-17,00:00:00.00,6.46797,2.62364,0.7
48,2000-02-18,00:00:00.00,0.17058,2.61786,0.7
49,2000-02-19,00:00:00.00,4.08286,2.60966,0.7
50,2000-02-20,00:00:00.00,0.441525,2.59307,0.7
51,2000-02-21,00:00:00.00,1.50176,2.57825,0.7
52,2000-02-22,00:00:00.00,0.389542,2.56026,0.71
53,2000-02-23,00:00:00.00,0.479946,2.53473,0.8
54,2000-02-24,00:00:00.00,1.97037,2.52359,1.5
55,2000-02-25,00:00:00.00,7.79639,3.30023,4
56,2000-02-26,00:00:00.00,9.25017,10.6878,14.9
57,2000-02-27,00:00:00.00,0.271337,22.1316,20.2
58,2000-02-28,00:00:00.00,6.15641,24.4643,19.1
59,2000-02-29,00:00:00.00,1.01965,18.9326,15.8
60,2000-03-01,00:00:00.00,0.911158,13.4163,12
61,2000-03-02,00:00:00.00,3.61841,9.49695,6.44
62,2000-03-03,00:00:00.00,1.55842,7.53512,5.86
63,2000-03-04,00:00:00.00,0.0658103,6.54724,4.64
64,2000-03-05,00:00:00.00,0.0917529,5.67391,4.18
65,2000-03-06,00:00:00.00,0.0678264,4.99777,3.95
66,2000-03-07,00:00:00.00,0.0426257,4.55033,3.68
67,2000-03-08,00:00:00.00,0.169507,4.22593,3.77
68,2000-03-09,00:00:00.00,0.0199796,3.97731,4.13
69,2000-03-10,00:00:00.00,4.4538,3.82772,5.32
70,2000-03-11,00:00:00.00,0.717842,3.87878,5.27
71,2000-03-12,00:00:00.00,0.351061,3.96477,3.91
72,2000-03-13,00:00:00.00,0.249946,3.88973,3.52
73,2000-03-14,00:00:00.00,0.936504,3.75616,3.16
74,2000-03-15,00:00:00.00,2.06345,3.64431,2.94
75,2000-03-16,00:00:00.00,3.22522,3.64641,3.06
76,2000-03-17,00:00:00.00,2.16366,3.82581,3.64
77,2000-03-18,00:00:00.00,0.078455,3.96217,3.53
78,2000-03-19,00:00:00.00,0.114641,3.87931,2.82
79,2000-03-20,00:00:00.00,2.52706,3.71456,2.5
80,2000-03-21,00:00:00.00,1.8274,3.59653,3.7
81,2000-03-22,00:00:00.00,0.150453,3.58658,4.42
82,2000-03-23,00:00:00.00,0.427475,3.80055,3.85
83,2000-03-24,00:00:00.00,0.471843,3.99689,3.57
84,2000-03-25,00:00:00.00,0.137632,3.90252,3.33
85,2000-03-26,00:00:00.00,1.95905,3.729,3.19
86,2000-03-27,00:00:00.00,0.277506,3.64631,3.05
87,2000-03-28,00:00:00.00,3.51966,3.62923,2.86
88,2000-03-29,00:00:00.00,1.9087,3.75101,3.78
89,2000-03-30,00:00:00.00,3.63015,3.93629,6.29
90,2000-03-31,00:00:00.00,0.134602,4.12895,8.06
91,2000-04-01,00:00:00.00,0.0528876,4.21406,6.44
92,2000-04-02,00:00:00.00,0.00831237,4.0131,4.77
93,2000-04-03,00:00:00.00,2.05416,3.78173,4.04
94,2000-04-04,00:00:00.00,0.278427,3.66661,3.78
95,2000-04-05,00:00:00.00,2.3062,3.60629,3.73
96,2000-04-06,00:00:00.00,0.0189109,3.59033,3.97
97,2000-04-07,00:00:00.00,3.10875,3.55008,3.93
98,2000-04-08,00:00:00.00,3.31166,3.5023,3.99
99,2000-04-09,00:00:00.00,10.5369,3.65732,4.17
100,2000-04-10,00:00:00.00,0.134598,4.21286,4.79
101,2000-04-11,00:00:00.00,0.70865,4.81128,4.89
102,2000-04-12,00:00:00.00,1.10979,4.84708,4.44
103,2000-04-13,00:00:00.00,0.112584,4.46157,3.99
104,2000-04-14,00:00:00.00,0.295992,4.06184,3.81
105,2000-04-15,00:00:00.00,0.0615694,3.73211,3.49
106,2000-04-16,00:00:00.00,0.475603,3.50826,3.24
107,2000-04-17,00:00:00.00,0.0741065,3.38983,3.02
108,2000-04-18,00:00:00.00,0.038751,3.30367,2.78
109,2000-04-19,00:00:00.00,0.00661453,3.22238,2.5
110,2000-04-20,00:00:00.00,0.155637,3.13365,2.36
111,2000-04-21,00:00:00.00,18.5682,3.31863,2.39
112,2000-04-22,00:00:00.00,17.2171,5.49201,10.1
113,2000-04-23,00:00:00.00,0.380741,9.86906,14.4
114,2000-04-24,00:00:00.00,0.00192182,11.4156,11
115,2000-04-25,00:00:00.00,0.0302835,9.13077,5.86
116,2000-04-26,00:00:00.00,0.0359825,6.90994,4.09
117,2000-04-27,00:00:00.00,0.0132531,5.60357,3.36
118,2000-04-28,00:00:00.00,0.176115,4.80088,2.98
119,2000-04-29,00:00:00.00,0.0363343,4.23715,2.74
120,2000-04-30,00:00:00.00,0.0576445,3.85458,2.5
121,2000-05-01,00:00:00.00,0.00183935,3.60964,2.3
122,2000-05-02,00:00:00.00,0.748689,3.42294,2.22
123,2000-05-03,00:00:00.00,0.0868156,3.27473,2.65
124,2000-05-04,00:00:00.00,0.339143,3.12544,2.4
125,2000-05-05,00:00:00.00,0.203135,2.9688,2.14
126,2000-05-06,00:00:00.00,0.99589,2.85905,2.32
127,2000-05-07,00:00:00.00,0.0624006,2.77568,2.29
128,2000-05-08,00:00:00.00,2.78283,2.73448,2.14
129,2000-05-09,00:00:00.00,6.94745,2.78768,2.27
130,2000-05-10,00:00:00.00,10.6127,3.20038,3.78
131,2000-05-11,00:00:00.00,22.3506,4.64231,6.7
132,2000-05-12,00:00:00.00,0.14868,7.96381,8.81
133,2000-05-13,00:00:00.00,3.22211,9.80812,9.03
134,2000-05-14,00:00:00.00,11.6888,8.45313,11.9
135,2000-05-15,00:00:00.00,0.236555,7.67208,10.5
136,2000-05-16,00:00:00.00,0.0461807,7.42929,6.33
137,2000-05-17,00:00:00.00,0.786561,6.3579,4.02
138,2000-05-18,00:00:00.00,0.0421965,5.22411,3.98
139,2000-05-19,00:00:00.00,25.2107,4.8818,6.45
140,2000-05-20,00:00:00.00,0.0878091,7.20773,9.39
141,2000-05-21,00:00:00.00,0.00181781,9.46615,6.25
142,2000-05-22,00:00:00.00,0.0047214,8.41716,3.92
143,2000-05-23,00:00:00.00,0.134928,6.54105,3.08
144,2000-05-24,00:00:00.00,4.39038,5.35155,2.68
145,2000-05-25,00:00:00.00,1.78036,4.73039,2.83
146,2000-05-26,00:00:00.00,0.72948,4.37853,2.64
147,2000-05-27,00:00:00.00,0.0625813,4.01652,2.5
148,2000-05-28,00:00:00.00,0.075609,3.65804,2.19
149,2000-05-29,00:00:00.00,0.0260181,3.40282,1.95
150,2000-05-30,00:00:00.00,0.16308,3.21672,1.77
151,2000-05-31,00:00:00.00,0.0823132,3.04504,1.62
152,2000-06-01,00:00:00.00,4.65579,2.95403,1.5
153,2000-06-02,00:00:00.00,0.5568,2.99286,1.45
154,2000-06-03,00:00:00.00,8.90977,3.12497,1.65
155,2000-06-04,00:00:00.00,0.00617915,3.53614,1.93
156,2000-06-05,00:00:00.00,0.226479,3.88783,1.56
157,2000-06-06,00:00:00.00,0.30497,3.73226,1.35
158,2000-06-07,00:00:00.00,0.334606,3.40345,1.23
159,2000-06-08,00:00:00.00,0.00237205,3.1555,1.17
160,2000-06-09,00:00:00.00,0.134427,2.97322,1.12
161,2000-06-10,00:00:00.00,18.511,3.06716,1.07
162,2000-06-11,00:00:00.00,0.246429,4.39079,1.1
163,2000-06-12,00:00:00.00,6.89277,5.82542,1.28
164,2000-06-13,00:00:00.00,0.0317436,5.90905,2.18
165,2000-06-14,00:00:00.00,29.7564,5.90619,1.87
166,2000-06-15,00:00:00.00,1.53284,8.77551,1.85
167,2000-06-16,00:00:00.00,2.53869,11.1685,1.73
168,2000-06-17,00:00:00.00,0.224525,9.34649,1.6
169,2000-06-18,00:00:00.00,0.00848423,6.90728,1.52
170,2000-06-19,00:00:00.00,0.849175,5.47837,1.38
171,2000-06-20,00:00:00.00,0.0753004,4.57317,1.26
172,2000-06-21,00:00:00.00,0.00593675,3.94349,1.15
173,2000-06-22,00:00:00.00,15.2014,3.75099,1.08
174,2000-06-23,00:00:00.00,0.336278,4.72606,1.14
175,2000-06-24,00:00:00.00,0.0204068,5.70438,1.12
176,2000-06-25,00:00:00.00,2.05799,5.30436,1.02
177,2000-06-26,00:00:00.00,57.2716,5.54986,2
178,2000-06-27,00:00:00.00,0.140463,12.5014,5.01
179,2000-06-28,00:00:00.00,1.26944,17.9756,3.16
180,2000-06-29,00:00:00.00,0.00598973,14.1452,2.13
181,2000-06-30,00:00:00.00,6.87752,9.48216,1.7
182,2000-07-01,00:00:00.00,0.0113622,7.40425,1.95
183,2000-07-02,00:00:00.00,0.0233836,6.41046,1.7
184,2000-07-03,00:00:00.00,0.0227968,5.43144,1.41
185,2000-07-04,00:00:00.00,0.295236,4.65481,1.35
186,2000-07-05,00:00:00.00,0.0625997,4.1057,1.38
187,2000-07-06,00:00:00.00,0.0271919,3.71565,1.2
188,2000-07-07,00:00:00.00,0.0292473,3.44208,1.03
189,2000-07-08,00:00:00.00,0.00248967,3.22539,0.93
190,2000-07-09,00:00:00.00,0.00798933,3.04339,0.86
