time,date,hour,precip [mm/day],sub7072 [m3/s],sub7072 (observed) [m3/s],sub7073 [m3/s]
0,2000-01-01,00:00:00.00,---,15.8043,,5.94145
1,2000-01-02,00:00:00.00,0.403739,54.0668,13.2,22.8743
2,2000-01-03,00:00:00.00,17.539,90.1792,13.7,36.4719
3,2000-01-04,00:00:00.00,11.4239,84.6787,20.1,31.4914
4,2000-01-05,00:00:00.00,14.038,76.0558,29.8,27.7102
5,2000-01-06,00:00:00.00,0.513196,68.0781,33.7,24.661
6,2000-01-07,00:00:00.00,1.07305,60.4671,28.9,21.8261
7,2000-01-08,00:00:00.00,1.86391,51.8845,23.3,18.6143
8,2000-01-09,00:00:00.00,0.321631,45.4372,20,16.3635
9,2000-01-10,00:00:00.00,0.142879,40.4534,18.5,14.6344
10,2000-01-11,00:00:00.00,5.62385,38.214,18.5,13.9558
11,2000-01-12,00:00:00.00,3.81447,40.2288,23.8,14.876
12,2000-01-13,00:00:00.00,1.91177,40.247,26.7,14.7954
13,2000-01-14,00:00:00.00,2.71188,36.0061,22.3,13.0409
14,2000-01-15,00:00:00.00,0.412443,32.2925,18.4,11.688
15,2000-01-16,00:00:00.00,1.84263,29.6229,18.3,10.7752
16,2000-01-17,00:00:00.00,1.39133,27.4577,16.6,10.0224
17,2000-01-18,00:00:00.00,0.854066,25.6226,14.8,9.36938
18,2000-01-19,00:00:00.00,1.72222,24.0305,14.3,8.79839
19,2000-01-20,00:00:00.00,2.28382,22.6203,13.5,8.29523
20,2000-01-21,00:00:00.00,4.12508,21.3735,12.9,7.8483
21,2000-01-22,00:00:00.00,0.509959,20.2699,12.1,7.44887
22,2000-01-23,00:00:00.00,0.722529,19.2798,11.6,7.09014
23,2000-01-24,00:00:00.00,5.38913,18.3772,11.3,6.76619
24,2000-01-25,00:00:00.00,1.75069,17.5619,11,6.47193
25,2000-01-26,00:00:00.00,1.37827,16.8237,10.7,6.20359
26,2000-01-27,00:00:00.00,0.619603,16.1487,10.4,5.95805
27,2000-01-28,00:00:00.00,0.417388,15.5305,9.92,5.73257
28,2000-01-29,00:00:00.00,0.274757,14.9553,9.36,5.52481
29,2000-01-30,00:00:00.00,0.238689,14.4225,9.1,5.33255
30,2000-01-31,00:00:00.00,0.913233,13.9301,8.87,5.15395
31,2000-02-01,00:00:00.00,1.09541,13.4927,8.72,4.99227
32,2000-02-02,00:00:00.00,2.3301,13.1224,8.55,4.85046
33,2000-02-03,00:00:00.00,0.621,12.752,8.29,4.70852
34,2000-02-04,00:00:00.00,2.59459,12.3577,8.21,4.56521
35,2000-02-05,00:00:00.00,0.809758,11.9951,8.07,4.43561
36,2000-02-06,00:00:00.00,2.57279,11.6599,7.84,4.31517
37,2000-02-07,00:00:00.00,0.387308,11.3433,7.69,4.20143
38,2000-02-08,00:00:00.00,0.608229,11.0483,7.52,4.09379
39,2000-02-09,00:00:00.00,0.357171,10.7626,7.25,3.99177
40,2000-02-10,00:00:00.00,1.89692,10.5475,7.14,3.92038
41,2000-02-11,00:00:00.00,7.59807,10.4767,7.07,3.90287
42,2000-02-12,00:00:00.00,3.27227,10.3187,7.02,3.82975
43,2000-02-13,00:00:00.00,0.507935,10.0101,6.83,3.70078
44,2000-02-14,00:00:00.00,7.12227,9.75004,6.76,3.60963
45,2000-02-15,00:00:00.00,0.798055,9.53336,6.69,3.53249
46,2000-02-16,00:00:00.00,3.12755,9.32395,6.57,3.45888
47,2000-02-17,00:00:00.00,6.91159,9.12595,6.55,3.38829
48,2000-02-18,00:00:00.00,0.285741,8.95708,6.42,3.32055
49,2000-02-19,00:00:00.00,4.17041,8.78723,6.34,3.25578
50,2000-02-20,00:00:00.00,0.579528,8.60857,6.25,3.19368
51,2000-02-21,00:00:00.00,1.52731,8.44371,6.2,3.13393
52,2000-02-22,00:00:00.00,0.680881,8.27796,6.14,3.0766
53,2000-02-23,00:00:00.00,0.534686,8.107,6.13,3.0216
54,2000-02-24,00:00:00.00,3.02155,9.36892,7.28,3.57501
