time,date,hour,precip [mm/day],sub7074 [m3/s],sub7074 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,9.47703,
1,2000-01-02,00:00:00.00,0.413608,5.25708,6.8
2,2000-01-03,00:00:00.00,10.4768,1.22975,8.5
3,2000-01-04,00:00:00.00,8.01994,0.994666,20.2
4,2000-01-05,00:00:00.00,9.92963,0.762691,17.9
5,2000-01-06,00:00:00.00,0.472451,0.69635,15
6,2000-01-07,00:00:00.00,0.691081,0.392587,13
7,2000-01-08,00:00:00.00,1.47709,0.333007,11.8
8,2000-01-09,00:00:00.00,0.192828,0.302072,10.8
9,2000-01-10,00:00:00.00,0.184511,0.289506,10.7
10,2000-01-11,00:00:00.00,4.69833,0.518277,12.2
11,2000-01-12,00:00:00.00,2.68657,0.585359,16.9
12,2000-01-13,00:00:00.00,1.64469,0.38525,15.5
13,2000-01-14,00:00:00.00,2.30835,0.339855,13.2
14,2000-01-15,00:00:00.00,0.418865,0.331008,11.6
15,2000-01-16,00:00:00.00,1.13096,0.323205,11.3
16,2000-01-17,00:00:00.00,0.934729,0.314252,9.65
17,2000-01-18,00:00:00.00,0.452361,0.318607,8.91
18,2000-01-19,00:00:00.00,1.6443,0.329565,8.96
19,2000-01-20,00:00:00.00,1.64188,0.330273,8.35
20,2000-01-21,00:00:00.00,3.3243,0.330493,7.95
21,2000-01-22,00:00:00.00,0.601114,0.338716,7.6
22,2000-01-23,00:00:00.00,0.629431,0.347171,7.44
23,2000-01-24,00:00:00.00,3.95083,0.345636,7.73
24,2000-01-25,00:00:00.00,1.45469,0.345193,7.59
25,2000-01-26,00:00:00.00,0.794594,0.350718,7.05
26,2000-01-27,00:00:00.00,0.368885,0.356676,6.8
27,2000-01-28,00:00:00.00,0.283108,0.363874,6.65
28,2000-01-29,00:00:00.00,0.392556,0.36545,6.55
29,2000-01-30,00:00:00.00,0.274639,0.362821,6.65
30,2000-01-31,00:00:00.00,0.813293,0.361824,6.69
31,2000-02-01,00:00:00.00,0.916833,0.365754,6.75
32,2000-02-02,00:00:00.00,2.41229,0.37246,6.64
33,2000-02-03,00:00:00.00,0.716629,0.381796,6.36
34,2000-02-04,00:00:00.00,2.05277,0.389186,6.41
35,2000-02-05,00:00:00.00,0.665679,0.395887,6.32
36,2000-02-06,00:00:00.00,2.01132,0.398305,6.21
37,2000-02-07,00:00:00.00,0.342697,0.398774,6.04
38,2000-02-08,00:00:00.00,0.513169,0.40346,5.73
39,2000-02-09,00:00:00.00,0.221943,0.405377,5.58
