time,date,hour,precip [mm/day],sub7153 [m3/s],sub7154 [m3/s],sub7154 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,3.9214,59.2981,
1,2000-01-02,00:00:00.00,0.245052,2.00461,30.313,33
2,2000-01-03,00:00:00.00,1.86189,0.0907257,1.37993,35
3,2000-01-04,00:00:00.00,16.5375,0.120281,1.84262,36.6
4,2000-01-05,00:00:00.00,11.6092,0.249057,3.73369,40.8
5,2000-01-06,00:00:00.00,0.329974,0.559201,8.12936,50.2
6,2000-01-07,00:00:00.00,0.28042,0.993011,14.0913,60.9
7,2000-01-08,00:00:00.00,0.318323,1.21742,17.0462,56.1
8,2000-01-09,00:00:00.00,0.395073,1.06492,14.8514,47
9,2000-01-10,00:00:00.00,2.4591,0.804405,11.2641,33.4
10,2000-01-11,00:00:00.00,3.44484,0.664511,9.51833,28.8
11,2000-01-12,00:00:00.00,0.632294,0.667684,10.1464,36.3
12,2000-01-13,00:00:00.00,0.915941,0.757083,12.4081,41.5
13,2000-01-14,00:00:00.00,4.95542,0.840906,14.3708,42.7
14,2000-01-15,00:00:00.00,0.34946,0.851029,14.3916,41.5
15,2000-01-16,00:00:00.00,0.847303,0.813659,13.3262,37
16,2000-01-17,00:00:00.00,0.147941,0.784127,12.5765,33
17,2000-01-18,00:00:00.00,0.326726,0.773798,12.3079,30
18,2000-01-19,00:00:00.00,0.884141,0.775482,12.3133,26
19,2000-01-20,00:00:00.00,0.949559,0.779279,12.3518,24.5
20,2000-01-21,00:00:00.00,2.40397,0.783035,12.3886,23
21,2000-01-22,00:00:00.00,0.340458,0.786594,12.4228,21.5
22,2000-01-23,00:00:00.00,0.325369,0.789907,12.4537,20.5
23,2000-01-24,00:00:00.00,0.780217,0.792987,12.4815,19.5
24,2000-01-25,00:00:00.00,0.24201,0.795844,12.5064,18.5
25,2000-01-26,00:00:00.00,0.454722,0.798426,12.5276,17.5
26,2000-01-27,00:00:00.00,0.280074,0.800699,12.5445,16.5
27,2000-01-28,00:00:00.00,0.156492,0.802729,12.558,15.7
28,2000-01-29,00:00:00.00,0.162468,0.804565,12.5689,15
29,2000-01-30,00:00:00.00,0.717382,0.806207,12.5772,14.5
30,2000-01-31,00:00:00.00,1.98192,0.807603,12.5823,14
31,2000-02-01,00:00:00.00,0.476707,0.80866,12.5831,13.5
32,2000-02-02,00:00:00.00,0.813403,0.809327,12.5789,13
33,2000-02-03,00:00:00.00,0.188512,0.809633,12.5702,12.5
34,2000-02-04,00:00:00.00,2.5159,0.809677,12.558,12
35,2000-02-05,00:00:00.00,1.25722,0.809542,12.5432,11.7
36,2000-02-06,00:00:00.00,0.584807,0.809213,12.5257,11.5
37,2000-02-07,00:00:00.00,0.25373,0.808626,12.5045,11.3
38,2000-02-08,00:00:00.00,0.204692,0.807759,12.4794,11
39,2000-02-09,00:00:00.00,0.237929,0.806653,12.4509,10.8
40,2000-02-10,00:00:00.00,0.470727,0.805364,12.4198,10.6
41,2000-02-11,00:00:00.00,6.01411,0.803896,12.3862,10.4
42,2000-02-12,00:00:00.00,0.793825,0.802194,12.3496,10.2
43,2000-02-13,00:00:00.00,0.141216,0.800221,12.3099,10.1
44,2000-02-14,00:00:00.00,4.29178,0.798028,12.268,10
45,2000-02-15,00:00:00.00,1.79211,0.795722,12.2247,9.9
46,2000-02-16,00:00:00.00,0.858718,0.793343,12.1803,9.8
47,2000-02-17,00:00:00.00,2.34731,0.790863,12.1345,9.7
48,2000-02-18,00:00:00.00,0.269089,0.788252,12.0868,9.6
49,2000-02-19,00:00:00.00,7.40369,0.785509,12.0374,9.8
