time,date,hour,precip [mm/day],sub7017 [m3/s],sub7017 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,2.23653,
1,2000-01-02,00:00:00.00,0.260733,1.51128,0.23
2,2000-01-03,00:00:00.00,0.704842,0.773672,0.25
3,2000-01-04,00:00:00.00,15.1316,1.15522,0.4
4,2000-01-05,00:00:00.00,15.7173,2.9014,2.05
5,2000-01-06,00:00:00.00,0.229384,4.69498,4.73
6,2000-01-07,00:00:00.00,0.323225,4.30762,2.66
7,2000-01-08,00:00:00.00,0.219838,3.15618,1.12
8,2000-01-09,00:00:00.00,0.156109,2.63315,0.69
9,2000-01-10,00:00:00.00,1.33085,2.34475,0.46
10,2000-01-11,00:00:00.00,3.31866,2.38666,0.59
11,2000-01-12,00:00:00.00,0.387124,2.54498,4.15
12,2000-01-13,00:00:00.00,0.527915,2.34758,7.57
13,2000-01-14,00:00:00.00,5.62258,2.00645,3.82
14,2000-01-15,00:00:00.00,0.204559,1.80658,2.26
15,2000-01-16,00:00:00.00,0.225281,1.65343,1.67
16,2000-01-17,00:00:00.00,0.0814952,1.52732,0.81
17,2000-01-18,00:00:00.00,0.151276,1.42167,0.56
18,2000-01-19,00:00:00.00,0.781651,1.33248,0.45
19,2000-01-20,00:00:00.00,0.593852,1.25615,0.38
20,2000-01-21,00:00:00.00,2.54855,1.1897,0.33
21,2000-01-22,00:00:00.00,0.155745,1.13145,0.3
22,2000-01-23,00:00:00.00,0.250785,1.08027,0.25
23,2000-01-24,00:00:00.00,0.713422,1.03475,0.23
24,2000-01-25,00:00:00.00,0.362927,0.993626,0.22
25,2000-01-26,00:00:00.00,0.608698,0.956438,0.19
26,2000-01-27,00:00:00.00,0.286529,0.922815,0.19
27,2000-01-28,00:00:00.00,0.275343,0.892295,0.17
28,2000-01-29,00:00:00.00,0.208489,0.864497,0.16
29,2000-01-30,00:00:00.00,0.538337,0.838785,0.15
30,2000-01-31,00:00:00.00,1.51809,0.814677,0.14
31,2000-02-01,00:00:00.00,1.74814,0.792024,0.14
32,2000-02-02,00:00:00.00,1.1713,0.770758,0.13
33,2000-02-03,00:00:00.00,0.161529,0.750884,0.13
34,2000-02-04,00:00:00.00,2.29952,0.73227,0.12
35,2000-02-05,00:00:00.00,0.937806,0.714591,0.12
36,2000-02-06,00:00:00.00,0.518986,0.697734,0.11
37,2000-02-07,00:00:00.00,0.2902,0.681695,0.11
38,2000-02-08,00:00:00.00,0.145608,0.666458,0.1
39,2000-02-09,00:00:00.00,1.30224,0.651962,0.1
40,2000-02-10,00:00:00.00,0.204032,0.638064,0.1
41,2000-02-11,00:00:00.00,5.31992,0.624704,0.1
42,2000-02-12,00:00:00.00,2.31395,0.612045,0.09
43,2000-02-13,00:00:00.00,0.169966,0.59996,0.09
44,2000-02-14,00:00:00.00,5.07672,0.588274,0.09
45,2000-02-15,00:00:00.00,6.9231,0.57704,0.09
46,2000-02-16,00:00:00.00,0.172996,0.566242,0.09
47,2000-02-17,00:00:00.00,2.51797,0.555906,0.09
48,2000-02-18,00:00:00.00,0.0759633,0.546048,0.08
49,2000-02-19,00:00:00.00,8.30998,0.536523,0.08
50,2000-02-20,00:00:00.00,0.560062,0.527169,0.08
51,2000-02-21,00:00:00.00,0.25151,0.518055,0.08
