time,date,hour,precip [mm/day],sub7126 [m3/s],sub7126 (observed) [m3/s],sub7128 [m3/s]
0,2000-01-01,00:00:00.00,---,7.58474,,2.64944
1,2000-01-02,00:00:00.00,0.320792,3.79494,2.25,1.32562
2,2000-01-03,00:00:00.00,4.40279,0.191746,2.42,0.0659474
3,2000-01-04,00:00:00.00,9.20303,0.857142,2.9,0.258537
4,2000-01-05,00:00:00.00,13.1897,2.34765,3.63,0.617725
5,2000-01-06,00:00:00.00,0.322817,2.77966,2.92,0.694924
6,2000-01-07,00:00:00.00,0.307139,1.14083,2.75,0.281709
7,2000-01-08,00:00:00.00,0.447455,0.0785382,2.55,0.0212042
8,2000-01-09,00:00:00.00,0.219171,0.0722497,2.4,0.0195395
9,2000-01-10,00:00:00.00,0.215818,0.0719129,2.32,0.0181258
10,2000-01-11,00:00:00.00,4.32516,1.10208,3.95,0.38776
11,2000-01-12,00:00:00.00,0.415863,2.19181,6.27,0.771478
12,2000-01-13,00:00:00.00,0.348019,1.34575,5.75,0.459371
13,2000-01-14,00:00:00.00,2.62528,0.270077,3.62,0.0828562
14,2000-01-15,00:00:00.00,0.140553,0.100504,1.53,0.0312482
15,2000-01-16,00:00:00.00,0.625091,0.0950494,1.65,0.0296004
16,2000-01-17,00:00:00.00,0.117131,0.0878377,1.76,0.0274062
17,2000-01-18,00:00:00.00,0.247082,0.0815522,1.61,0.025483
18,2000-01-19,00:00:00.00,0.736793,0.0782772,1.52,0.0244928
19,2000-01-20,00:00:00.00,0.574368,0.0750476,1.46,0.0235299
20,2000-01-21,00:00:00.00,2.55623,0.0706914,1.41,0.0222206
21,2000-01-22,00:00:00.00,0.116123,0.0674791,1.37,0.0212626
22,2000-01-23,00:00:00.00,0.170158,0.0659065,1.35,0.0207968
23,2000-01-24,00:00:00.00,1.42044,0.0635511,1.39,0.0200658
24,2000-01-25,00:00:00.00,0.279951,0.0597594,1.45,0.0188816
25,2000-01-26,00:00:00.00,0.367372,0.0564288,1.39,0.0178448
26,2000-01-27,00:00:00.00,0.17356,0.0539025,1.36,0.0170661
27,2000-01-28,00:00:00.00,0.31679,0.0521139,1.33,0.0165244
28,2000-01-29,00:00:00.00,0.361029,0.050693,1.31,0.0160833
29,2000-01-30,00:00:00.00,0.296793,0.0479877,1.3,0.015217
30,2000-01-31,00:00:00.00,0.561452,0.0438456,1.32,0.0138907
31,2000-02-01,00:00:00.00,1.09765,0.0398108,1.35,0.0126022
32,2000-02-02,00:00:00.00,0.519445,0.0366071,1.41,0.0115902
33,2000-02-03,00:00:00.00,0.166289,0.0340822,1.37,0.0107964
34,2000-02-04,00:00:00.00,1.82901,0.0318085,1.35,0.010086
35,2000-02-05,00:00:00.00,0.192504,0.0294985,1.41,0.00937687
36,2000-02-06,00:00:00.00,0.604598,0.0271886,1.37,0.00865851
37,2000-02-07,00:00:00.00,0.161203,0.0248482,1.34,0.00791839
38,2000-02-08,00:00:00.00,0.216868,0.0226417,1.32,0.0072214
39,2000-02-09,00:00:00.00,0.177519,0.0207001,1.31,0.00660571
40,2000-02-10,00:00:00.00,0.634416,0.018882,1.37,0.00603873
41,2000-02-11,00:00:00.00,8.0552,0.0171308,1.41,0.00551128
42,2000-02-12,00:00:00.00,2.17737,0.0157281,1.43,0.00509254
43,2000-02-13,00:00:00.00,0.168949,0.0146871,1.35,0.00477728
44,2000-02-14,00:00:00.00,6.5113,0.0136924,1.36,0.00446747
45,2000-02-15,00:00:00.00,3.27678,0.0126756,1.39,0.00414373
46,2000-02-16,00:00:00.00,0.744654,0.0115937,1.48,0.00379849
47,2000-02-17,00:00:00.00,5.22715,0.0104294,1.6,0.00339902
48,2000-02-18,00:00:00.00,0.204578,0.00944324,1.52,0.00303227
49,2000-02-19,00:00:00.00,5.97102,0.00866017,1.48,0.00276047
50,2000-02-20,00:00:00.00,0.21489,0.00786502,1.45,0.00251036
51,2000-02-21,00:00:00.00,0.844141,0.00703052,1.43,0.00224631
52,2000-02-22,00:00:00.00,0.192092,0.00613156,1.42,0.00196213
53,2000-02-23,00:00:00.00,0.397488,0.00519284,1.81,0.00167122
54,2000-02-24,00:00:00.00,0.687197,7.8898,9.51,2.72646
55,2000-02-25,00:00:00.00,7.65129,16.7173,33.7,5.91404
56,2000-02-26,00:00:00.00,8.65321,12.6651,76.1,4.63579
57,2000-02-27,00:00:00.00,0.187906,5.7409,44.2,2.1104
58,2000-02-28,00:00:00.00,4.5384,2.80208,26.5,1.00004
59,2000-02-29,00:00:00.00,0.303646,1.69063,20.1,0.635664
60,2000-03-01,00:00:00.00,0.268181,0.929102,10.9,0.347885
61,2000-03-02,00:00:00.00,2.21787,0.524672,8.3,0.167827
62,2000-03-03,00:00:00.00,0.332225,0.74045,6.56,0.225607
63,2000-03-04,00:00:00.00,0.0412732,0.465913,5.07,0.148489
64,2000-03-05,00:00:00.00,0.157212,0.215156,4.45,0.0772367
65,2000-03-06,00:00:00.00,0.0214487,0.187956,4.36,0.0674148
66,2000-03-07,00:00:00.00,0.0247518,0.167317,3.7,0.0601452
67,2000-03-08,00:00:00.00,0.227367,0.148447,3.67,0.0533569
68,2000-03-09,00:00:00.00,0.0555276,0.127933,3.62,0.0455531
69,2000-03-10,00:00:00.00,4.85346,0.263175,4.31,0.0679766
70,2000-03-11,00:00:00.00,0.250059,0.389664,5.45,0.0906084
71,2000-03-12,00:00:00.00,0.273457,0.239894,4.82,0.0617227
72,2000-03-13,00:00:00.00,0.946831,0.106767,4.69,0.0357561
73,2000-03-14,00:00:00.00,0.36062,0.101937,3.94,0.0340059
74,2000-03-15,00:00:00.00,1.20414,0.09977,3.81,0.0328746
75,2000-03-16,00:00:00.00,0.847014,0.119053,3.82,0.0366511
76,2000-03-17,00:00:00.00,2.44911,0.148996,4.59,0.0399569
77,2000-03-18,00:00:00.00,0.349686,0.14058,4.76,0.0353028
78,2000-03-19,00:00:00.00,0.384717,0.107451,3.93,0.0309248
79,2000-03-20,00:00:00.00,1.95383,0.0930702,3.49,0.0301162
80,2000-03-21,00:00:00.00,1.5589,0.20791,3.52,0.07393
