time,date,hour,precip [mm/day],sub7135 [m3/s],sub7135 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,24.1063,
1,2000-01-02,00:00:00.00,0.419332,21.4876,19
2,2000-01-03,00:00:00.00,12.443,20.3716,19
3,2000-01-04,00:00:00.00,5.7438,23.7789,18.9
4,2000-01-05,00:00:00.00,19.9539,27.6467,19
5,2000-01-06,00:00:00.00,0.280607,31.819,18.7
6,2000-01-07,00:00:00.00,0.391821,36.0118,20
7,2000-01-08,00:00:00.00,0.954333,38.5863,23.6
8,2000-01-09,00:00:00.00,0.320007,38.8653,25.3
9,2000-01-10,00:00:00.00,0.402589,37.8669,25.1
10,2000-01-11,00:00:00.00,9.45041,36.5342,25.3
11,2000-01-12,00:00:00.00,1.51773,35.7428,25.2
12,2000-01-13,00:00:00.00,0.31113,35.9031,25.1
13,2000-01-14,00:00:00.00,0.395523,36.2033,27.4
14,2000-01-15,00:00:00.00,0.182148,35.895,30.1
15,2000-01-16,00:00:00.00,2.0086,35.0625,29.5
16,2000-01-17,00:00:00.00,3.80034,33.9357,29.5
17,2000-01-18,00:00:00.00,0.191268,32.8153,29.3
18,2000-01-19,00:00:00.00,0.192193,31.8211,25.8
19,2000-01-20,00:00:00.00,0.444346,30.906,22.6
20,2000-01-21,00:00:00.00,3.70585,30.0527,20.8
21,2000-01-22,00:00:00.00,0.250329,29.2767,15.4
22,2000-01-23,00:00:00.00,0.376989,28.5626,19.6
23,2000-01-24,00:00:00.00,3.71529,27.8622,19.5
24,2000-01-25,00:00:00.00,0.72619,27.1728,18.1
25,2000-01-26,00:00:00.00,0.593449,26.5226,16.5
26,2000-01-27,00:00:00.00,0.310302,25.916,13.3
27,2000-01-28,00:00:00.00,0.196687,25.3614,9.93
28,2000-01-29,00:00:00.00,0.193898,24.8431,7.75
29,2000-01-30,00:00:00.00,0.268252,24.3065,7.14
30,2000-01-31,00:00:00.00,0.216881,23.7516,7.1
31,2000-02-01,00:00:00.00,5.54958,23.223,7.11
32,2000-02-02,00:00:00.00,1.11421,22.7761,7.04
33,2000-02-03,00:00:00.00,0.126328,22.4485,7.53
34,2000-02-04,00:00:00.00,0.885238,22.1256,8.33
35,2000-02-05,00:00:00.00,0.129605,21.7384,9.32
36,2000-02-06,00:00:00.00,1.38562,21.303,9.99
