time,date,hour,precip [mm/day],sub7142 [m3/s],sub7142 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,10.3125,
1,2000-01-02,00:00:00.00,0.346378,8.11741,6.77
2,2000-01-03,00:00:00.00,8.09522,6.2739,7.1
3,2000-01-04,00:00:00.00,5.24507,7.17822,8.34
4,2000-01-05,00:00:00.00,30.1492,9.7443,11.1
5,2000-01-06,00:00:00.00,0.216456,13.4647,11.7
6,2000-01-07,00:00:00.00,0.174875,12.1536,10.3
7,2000-01-08,00:00:00.00,1.13571,8.86354,9.96
8,2000-01-09,00:00:00.00,0.225798,8.48447,9.67
9,2000-01-10,00:00:00.00,0.529879,8.27203,9.52
10,2000-01-11,00:00:00.00,11.9868,9.23647,10.4
11,2000-01-12,00:00:00.00,0.460075,11.2347,12.8
12,2000-01-13,00:00:00.00,0.320792,10.7071,12.3
13,2000-01-14,00:00:00.00,0.198935,9.0582,11.5
14,2000-01-15,00:00:00.00,0.0741493,8.76999,10.8
15,2000-01-16,00:00:00.00,1.14841,8.58035,10.1
16,2000-01-17,00:00:00.00,3.74412,8.39161,9.5
17,2000-01-18,00:00:00.00,0.178773,8.22906,8.8
18,2000-01-19,00:00:00.00,0.153532,8.09045,8.1
19,2000-01-20,00:00:00.00,0.338636,7.94433,7.51
20,2000-01-21,00:00:00.00,5.67218,7.79547,7.15
21,2000-01-22,00:00:00.00,0.205387,7.65895,6.95
22,2000-01-23,00:00:00.00,0.14081,7.53238,6.78
23,2000-01-24,00:00:00.00,1.80786,7.39667,6.58
24,2000-01-25,00:00:00.00,0.781006,7.25644,6.48
25,2000-01-26,00:00:00.00,1.36826,7.1269,6.35
26,2000-01-27,00:00:00.00,0.769847,7.00962,6.28
27,2000-01-28,00:00:00.00,0.276713,6.90475,6.15
28,2000-01-29,00:00:00.00,0.13107,6.80316,6.04
29,2000-01-30,00:00:00.00,0.299537,6.68848,5.98
30,2000-01-31,00:00:00.00,0.347903,6.56212,5.94
31,2000-02-01,00:00:00.00,6.7718,6.56658,6.02
32,2000-02-02,00:00:00.00,0.932981,6.69963,6.2
33,2000-02-03,00:00:00.00,0.157065,6.56297,6.1
34,2000-02-04,00:00:00.00,0.306874,6.29854,6
35,2000-02-05,00:00:00.00,0.163417,6.18986,5.92
36,2000-02-06,00:00:00.00,1.34035,6.08875,5.84
37,2000-02-07,00:00:00.00,0.0637972,5.98195,5.78
38,2000-02-08,00:00:00.00,0.289659,5.88403,5.74
39,2000-02-09,00:00:00.00,0.0893065,5.80063,5.7
40,2000-02-10,00:00:00.00,1.25263,5.74822,5.64
41,2000-02-11,00:00:00.00,4.09676,5.73996,5.62
42,2000-02-12,00:00:00.00,3.61829,5.65702,5.61
43,2000-02-13,00:00:00.00,0.58073,5.53043,5.6
44,2000-02-14,00:00:00.00,3.56563,5.44432,5.59
45,2000-02-15,00:00:00.00,6.57646,5.36206,5.58
46,2000-02-16,00:00:00.00,0.109445,5.28109,5.64
47,2000-02-17,00:00:00.00,5.61714,5.44836,5.75
48,2000-02-18,00:00:00.00,0.35325,5.88803,5.85
49,2000-02-19,00:00:00.00,3.82034,5.71867,6.01
50,2000-02-20,00:00:00.00,0.338436,5.25798,6.1
51,2000-02-21,00:00:00.00,0.475242,5.13859,6.2
52,2000-02-22,00:00:00.00,0.23584,5.04114,6.35
53,2000-02-23,00:00:00.00,0.292533,4.94235,6.5
54,2000-02-24,00:00:00.00,0.456309,4.84617,6.7
55,2000-02-25,00:00:00.00,3.06743,5.42918,8
56,2000-02-26,00:00:00.00,10.5418,7.93831,20.3
57,2000-02-27,00:00:00.00,0.951,11.0226,21
58,2000-02-28,00:00:00.00,4.4183,13.4482,19
59,2000-02-29,00:00:00.00,3.31293,16.1556,21.7
60,2000-03-01,00:00:00.00,0.842435,15.7928,22.9
61,2000-03-02,00:00:00.00,4.18905,13.6931,23.7
62,2000-03-03,00:00:00.00,1.45964,14.0456,23.7
63,2000-03-04,00:00:00.00,0.0339083,13.4799,22.7
64,2000-03-05,00:00:00.00,0.0336868,11.9214,21.5
65,2000-03-06,00:00:00.00,0.307946,11.4465,19.8
66,2000-03-07,00:00:00.00,0.0808605,11.284,18.4
67,2000-03-08,00:00:00.00,0.32944,10.9907,17.3
68,2000-03-09,00:00:00.00,0.120688,10.6079,16.6
69,2000-03-10,00:00:00.00,7.05337,10.9696,16.5
70,2000-03-11,00:00:00.00,0.37195,12.0226,16.4
71,2000-03-12,00:00:00.00,1.3183,11.6845,15.8
72,2000-03-13,00:00:00.00,3.6977,11.0006,15.3
73,2000-03-14,00:00:00.00,0.00844933,11.3625,14.3
74,2000-03-15,00:00:00.00,1.85612,11.0841,13.9
75,2000-03-16,00:00:00.00,4.42592,10.9841,14.1
76,2000-03-17,00:00:00.00,5.54202,12.1165,15.5
77,2000-03-18,00:00:00.00,0.227763,12.8134,15.6
78,2000-03-19,00:00:00.00,0.308622,11.8974,15.1
79,2000-03-20,00:00:00.00,0.150258,10.8649,14.9
80,2000-03-21,00:00:00.00,0.909961,10.5344,14.9
81,2000-03-22,00:00:00.00,0.500704,10.2754,14.8
82,2000-03-23,00:00:00.00,0.264767,10.0061,14.6
83,2000-03-24,00:00:00.00,0.185245,9.7045,14.5
84,2000-03-25,00:00:00.00,0.0364221,9.42885,14.3
85,2000-03-26,00:00:00.00,1.19268,9.18203,14.1
86,2000-03-27,00:00:00.00,0.345894,9.00762,13.7
87,2000-03-28,00:00:00.00,3.27178,8.98832,13.2
88,2000-03-29,00:00:00.00,11.9814,10.2685,13.3
89,2000-03-30,00:00:00.00,3.04742,12.5738,13.8
90,2000-03-31,00:00:00.00,0.938563,12.3568,13.5
91,2000-04-01,00:00:00.00,0.0431232,10.5522,13
92,2000-04-02,00:00:00.00,0.000606077,9.79914,12.5
93,2000-04-03,00:00:00.00,0.942254,9.47306,12.3
94,2000-04-04,00:00:00.00,1.02765,9.24926,12.3
95,2000-04-05,00:00:00.00,7.16967,9.65162,13
96,2000-04-06,00:00:00.00,0.00622415,10.605,13.6
97,2000-04-07,00:00:00.00,3.19074,10.3114,13.6
98,2000-04-08,00:00:00.00,1.31463,9.54062,13.5
99,2000-04-09,00:00:00.00,28.3036,12.5798,18.3
100,2000-04-10,00:00:00.00,1.0504,18.4369,21.7
101,2000-04-11,00:00:00.00,0.52616,17.3187,21.2
102,2000-04-12,00:00:00.00,2.1909,13.0236,22.2
103,2000-04-13,00:00:00.00,0.401002,12.4308,23.1
104,2000-04-14,00:00:00.00,0.00476035,12.0216,23.1
105,2000-04-15,00:00:00.00,0.0111455,11.55,22.7
106,2000-04-16,00:00:00.00,0.350542,11.1113,22.1
107,2000-04-17,00:00:00.00,0.520153,10.7918,21.5
108,2000-04-18,00:00:00.00,0.017466,10.5409,20.6
109,2000-04-19,00:00:00.00,0.140993,10.3027,19.5
110,2000-04-20,00:00:00.00,0.547145,10.0154,18.7
111,2000-04-21,00:00:00.00,9.27976,10.4097,17.8
112,2000-04-22,00:00:00.00,31.695,15.2335,20.6
113,2000-04-23,00:00:00.00,4.67432,22.4628,24.7
114,2000-04-24,00:00:00.00,0.916029,21.5001,23.8
115,2000-04-25,00:00:00.00,0.0406619,16.4337,23.6
116,2000-04-26,00:00:00.00,0.11611,14.9547,23.3
117,2000-04-27,00:00:00.00,0.237576,14.343,22.7
118,2000-04-28,00:00:00.00,0.046519,13.8281,22
119,2000-04-29,00:00:00.00,0.160618,13.2995,21.1
120,2000-04-30,00:00:00.00,0.313629,12.7661,20.1
121,2000-05-01,00:00:00.00,0.0494079,12.3278,19
122,2000-05-02,00:00:00.00,2.27516,11.9085,18.1
123,2000-05-03,00:00:00.00,0.243833,11.5176,17.3
124,2000-05-04,00:00:00.00,0.0631359,11.1446,16.4
125,2000-05-05,00:00:00.00,0.102107,10.681,15.3
