time,date,hour,precip [mm/day],sub7108 [m3/s],sub7108 (observed) [m3/s],sub7109 [m3/s]
0,2000-01-01,00:00:00.00,---,112.066,,7.14487
1,2000-01-02,00:00:00.00,0.435534,56.3581,56.3505,3.57321
2,2000-01-03,00:00:00.00,0.330705,0.539077,55.501,0.00492134
3,2000-01-04,00:00:00.00,10.1835,1.07926,58.6159,0.0367638
4,2000-01-05,00:00:00.00,0.374681,4.15549,57.7664,0.153519
5,2000-01-06,00:00:00.00,0.344783,8.08569,59.4654,0.294264
6,2000-01-07,00:00:00.00,0.300639,6.87009,57.4832,0.248646
7,2000-01-08,00:00:00.00,0.121578,2.51111,58.899,0.0929138
8,2000-01-09,00:00:00.00,0.32273,0.69859,58.3327,0.0303475
9,2000-01-10,00:00:00.00,2.38523,0.711141,62.0139,0.0373517
10,2000-01-11,00:00:00.00,1.68647,1.89483,61.7307,0.112285
11,2000-01-12,00:00:00.00,1.17603,4.25002,62.5802,0.275932
12,2000-01-13,00:00:00.00,0.450646,5.35595,63.9961,0.391013
13,2000-01-14,00:00:00.00,2.31102,3.66625,62.8634,0.315795
14,2000-01-15,00:00:00.00,0.298859,1.51025,61.1644,0.151003
15,2000-01-16,00:00:00.00,0.276326,0.669166,60.0317,0.0552566
16,2000-01-17,00:00:00.00,0.152676,0.530337,60.3149,0.0327486
17,2000-01-18,00:00:00.00,2.19714,0.502963,57.7664,0.0302263
18,2000-01-19,00:00:00.00,0.762004,0.483642,53.2357,0.029019
19,2000-01-20,00:00:00.00,3.44032,0.467531,53.5188,0.0280233
20,2000-01-21,00:00:00.00,2.14259,0.453379,57.7664,0.0271703
21,2000-01-22,00:00:00.00,0.176032,0.440249,49.8376,0.0263919
22,2000-01-23,00:00:00.00,1.2825,0.429927,45.0238,0.025761
23,2000-01-24,00:00:00.00,0.218656,0.42258,48.4218,0.0252622
24,2000-01-25,00:00:00.00,0.276609,0.415972,55.501,0.0247753
25,2000-01-26,00:00:00.00,0.811741,0.408579,50.1208,0.0242451
26,2000-01-27,00:00:00.00,0.14053,0.401047,50.9703,0.0237178
27,2000-01-28,00:00:00.00,0.242361,0.393364,49.8376,0.0231791
28,2000-01-29,00:00:00.00,0.480632,0.385813,43.3248,0.0226293
29,2000-01-30,00:00:00.00,1.40199,0.378577,48.9881,0.0220744
30,2000-01-31,00:00:00.00,2.67315,0.369968,51.8198,0.0214535
31,2000-02-01,00:00:00.00,0.179226,0.359679,53.5188,0.0207979
32,2000-02-02,00:00:00.00,0.336299,0.349524,50.9703,0.0202162
33,2000-02-03,00:00:00.00,0.21713,0.340613,50.6872,0.0197165
34,2000-02-04,00:00:00.00,1.25665,0.334422,50.6872,0.0193595
35,2000-02-05,00:00:00.00,0.481302,0.335582,52.103,0.0194733
36,2000-02-06,00:00:00.00,0.226752,0.33891,53.5188,0.0197697
37,2000-02-07,00:00:00.00,0.249638,0.325865,52.103,0.0190378
38,2000-02-08,00:00:00.00,0.1669,0.302326,52.3862,0.0175846
39,2000-02-09,00:00:00.00,0.301595,0.286225,52.103,0.0165614
40,2000-02-10,00:00:00.00,0.223256,0.275377,51.8198,0.0158686
41,2000-02-11,00:00:00.00,1.18681,0.590543,54.0852,0.05374
42,2000-02-12,00:00:00.00,0.189991,2.09948,53.5188,0.232869
43,2000-02-13,00:00:00.00,0.211906,4.00712,53.2357,0.459041
44,2000-02-14,00:00:00.00,1.61725,3.37424,53.5188,0.384422
45,2000-02-15,00:00:00.00,0.312123,1.22778,55.7842,0.130684
46,2000-02-16,00:00:00.00,0.722759,0.3664,53.2357,0.0290708
47,2000-02-17,00:00:00.00,0.133164,0.293407,51.2535,0.0208678
48,2000-02-18,00:00:00.00,0.590085,0.279072,52.3862,0.0198086
49,2000-02-19,00:00:00.00,8.31249,0.262778,52.9525,0.0186229
50,2000-02-20,00:00:00.00,0.386734,0.248176,54.6515,0.0175793
51,2000-02-21,00:00:00.00,0.200107,0.236525,52.103,0.0167755
52,2000-02-22,00:00:00.00,0.158097,0.226176,52.6693,0.0160648
53,2000-02-23,00:00:00.00,0.216209,2.21914,55.501,0.276141
54,2000-02-24,00:00:00.00,0.280773,13.2979,62.8634,1.49258
55,2000-02-25,00:00:00.00,4.5696,33.7548,83.8179,3.06242
56,2000-02-26,00:00:00.00,0.706187,42.7288,87.7822,2.72195
57,2000-02-27,00:00:00.00,5.80313,30.466,87.7822,1.26661
58,2000-02-28,00:00:00.00,2.82687,16.7964,103.356,0.797002
59,2000-02-29,00:00:00.00,0.159654,13.9315,113.834,0.922174
60,2000-03-01,00:00:00.00,0.168476,12.1234,104.489,0.802949
61,2000-03-02,00:00:00.00,1.71407,6.38299,98.5426,0.39328
62,2000-03-03,00:00:00.00,0.0729046,2.62347,97.6931,0.149856
63,2000-03-04,00:00:00.00,0.06659,1.78552,91.7466,0.0984252
64,2000-03-05,00:00:00.00,0.0142692,1.5702,87.4991,0.0907973
65,2000-03-06,00:00:00.00,0.747674,1.31211,86.9327,0.0841239
66,2000-03-07,00:00:00.00,0.976128,1.14801,82.402,0.0760238
67,2000-03-08,00:00:00.00,2.03685,1.05996,80.1367,0.067047
68,2000-03-09,00:00:00.00,2.10696,1.05603,73.0575,0.0578197
69,2000-03-10,00:00:00.00,1.88902,1.22862,68.8099,0.0493418
70,2000-03-11,00:00:00.00,0.0540912,1.50673,69.3763,0.0427728
71,2000-03-12,00:00:00.00,2.05558,1.56819,70.2258,0.0382229
72,2000-03-13,00:00:00.00,0.0982131,1.22377,68.5268,0.0351898
73,2000-03-14,00:00:00.00,0.729434,0.82155,68.8099,0.0331
74,2000-03-15,00:00:00.00,0.466146,0.661495,61.7307,0.0312109
75,2000-03-16,00:00:00.00,1.93633,0.617537,63.7129,0.029245
76,2000-03-17,00:00:00.00,3.07504,0.695786,79.2872,0.029592
