time,date,hour,precip [mm/day],sub7161 [m3/s],sub7161 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,8.18057,
1,2000-01-02,00:00:00.00,0.274919,783.44,0.9061
2,2000-01-03,00:00:00.00,3.7028,814.656,0.9911
3,2000-01-04,00:00:00.00,10.7839,58.7503,1.1044
4,2000-01-05,00:00:00.00,3.55519,42.7804,1.4442
5,2000-01-06,00:00:00.00,0.228255,32.0735,1.8689
6,2000-01-07,00:00:00.00,0.463376,21.6894,1.6424
7,2000-01-08,00:00:00.00,0.191243,15.8753,1.3592
8,2000-01-09,00:00:00.00,0.422649,12.5175,1.3309
9,2000-01-10,00:00:00.00,2.08598,10.6253,1.1327
10,2000-01-11,00:00:00.00,3.41682,10.53,1.2459
11,2000-01-12,00:00:00.00,0.40739,10.7699,1.8123
12,2000-01-13,00:00:00.00,1.40715,9.44563,1.9822
13,2000-01-14,00:00:00.00,5.79591,7.80345,1.699
14,2000-01-15,00:00:00.00,0.191948,6.8414,1.4158
15,2000-01-16,00:00:00.00,1.18926,6.09205,1.2459
16,2000-01-17,00:00:00.00,0.0211156,5.48533,1.0477
17,2000-01-18,00:00:00.00,0.646503,4.98481,0.9345
18,2000-01-19,00:00:00.00,1.39119,4.56631,0.7929
19,2000-01-20,00:00:00.00,1.07198,4.21157,0.7079
20,2000-01-21,00:00:00.00,2.7575,3.90705,0.7079
21,2000-01-22,00:00:00.00,0.446531,3.64312,0.6513
22,2000-01-23,00:00:00.00,1.12974,3.4126,0.6513
23,2000-01-24,00:00:00.00,0.414531,3.20944,0.6513
24,2000-01-25,00:00:00.00,0.221364,3.02872,0.6513
25,2000-01-26,00:00:00.00,0.509405,2.86698,0.6513
26,2000-01-27,00:00:00.00,0.676053,2.72151,0.623
27,2000-01-28,00:00:00.00,0.134289,2.59007,0.6513
28,2000-01-29,00:00:00.00,0.20582,2.47063,0.6513
29,2000-01-30,00:00:00.00,0.733638,2.36134,0.6513
30,2000-01-31,00:00:00.00,2.33607,2.26075,0.6513
31,2000-02-01,00:00:00.00,0.158428,2.16768,0.6513
32,2000-02-02,00:00:00.00,0.319423,2.08134,0.6513
33,2000-02-03,00:00:00.00,0.261914,2.00122,0.6796
34,2000-02-04,00:00:00.00,2.67633,1.92652,0.6796
35,2000-02-05,00:00:00.00,0.739693,1.85648,0.6796
36,2000-02-06,00:00:00.00,0.057497,1.79062,0.6796
37,2000-02-07,00:00:00.00,0.120442,1.72853,0.6796
38,2000-02-08,00:00:00.00,0.083004,1.67,0.6513
39,2000-02-09,00:00:00.00,0.517258,1.6148,0.623
40,2000-02-10,00:00:00.00,0.247124,1.56257,0.6796
41,2000-02-11,00:00:00.00,4.08101,1.51309,0.6796
42,2000-02-12,00:00:00.00,0.419461,1.46621,0.6796
43,2000-02-13,00:00:00.00,0.313698,1.42181,0.6796
44,2000-02-14,00:00:00.00,5.12462,1.37968,0.6796
45,2000-02-15,00:00:00.00,0.135828,1.33966,0.6796
46,2000-02-16,00:00:00.00,2.81087,1.30155,0.6796
47,2000-02-17,00:00:00.00,1.11996,1.26505,0.6796
48,2000-02-18,00:00:00.00,0.294614,1.23008,0.7079
49,2000-02-19,00:00:00.00,6.08883,1.19668,0.7079
50,2000-02-20,00:00:00.00,0.448606,1.16477,0.7079
51,2000-02-21,00:00:00.00,0.107283,1.13419,0.7079
52,2000-02-22,00:00:00.00,0.0598637,1.10472,0.7362
53,2000-02-23,00:00:00.00,0.537839,1.07623,0.8495
54,2000-02-24,00:00:00.00,0.702208,10.3861,2.86
55,2000-02-25,00:00:00.00,9.15405,46.4403,23.6446
56,2000-02-26,00:00:00.00,1.08172,60.3724,58.899
57,2000-02-27,00:00:00.00,2.50103,38.2021,59.1822
58,2000-02-28,00:00:00.00,9.59553,31.3942,52.9525
59,2000-02-29,00:00:00.00,0.147001,34.5743,46.1565
60,2000-03-01,00:00:00.00,0.120196,28.569,22.88
61,2000-03-02,00:00:00.00,1.60032,19.4941,15.0646
62,2000-03-03,00:00:00.00,0.0964087,15.612,12.2895
63,2000-03-04,00:00:00.00,0.0321145,12.9327,8.9481
64,2000-03-05,00:00:00.00,0.0396033,10.834,6.7394
65,2000-03-06,00:00:00.00,0.157972,9.34572,5.6917
66,2000-03-07,00:00:00.00,0.150813,8.20186,4.8139
67,2000-03-08,00:00:00.00,0.0256589,7.28501,4.0776
68,2000-03-09,00:00:00.00,0.178943,6.525,3.6812
69,2000-03-10,00:00:00.00,4.12478,6.28537,3.4547
70,2000-03-11,00:00:00.00,0.345656,6.54656,3.1998
71,2000-03-12,00:00:00.00,0.539538,6.12518,2.8883
72,2000-03-13,00:00:00.00,0.340855,5.30171,2.5202
73,2000-03-14,00:00:00.00,0.737681,4.85423,2.322
74,2000-03-15,00:00:00.00,1.2837,4.49148,2.2653
75,2000-03-16,00:00:00.00,1.02077,4.18998,2.237
76,2000-03-17,00:00:00.00,5.41092,4.41798,2.2653
77,2000-03-18,00:00:00.00,0.841387,5.21702,2.2937
78,2000-03-19,00:00:00.00,0.372823,5.02933,2.1804
79,2000-03-20,00:00:00.00,4.04369,4.75343,2.0105
80,2000-03-21,00:00:00.00,1.33564,5.62411,2.0954
81,2000-03-22,00:00:00.00,0.149826,5.59116,2.3503
82,2000-03-23,00:00:00.00,0.175478,4.71923,2.4636
83,2000-03-24,00:00:00.00,0.560706,4.23838,2.3786
84,2000-03-25,00:00:00.00,0.0548978,3.92098,2.2653
85,2000-03-26,00:00:00.00,1.28834,3.64804,2.1804
86,2000-03-27,00:00:00.00,0.119901,3.41828,2.0954
87,2000-03-28,00:00:00.00,4.28117,3.50894,2.0105
88,2000-03-29,00:00:00.00,2.57364,4.12354,1.9822
89,2000-03-30,00:00:00.00,0.108484,4.25887,1.9822
90,2000-03-31,00:00:00.00,0.045747,3.69457,1.8406
91,2000-04-01,00:00:00.00,0.0466529,3.29928,1.6424
92,2000-04-02,00:00:00.00,0.0885998,3.08324,1.5857
93,2000-04-03,00:00:00.00,1.92819,2.91009,1.5574
94,2000-04-04,00:00:00.00,1.20864,2.78652,1.5291
95,2000-04-05,00:00:00.00,1.3512,2.64516,1.5857
96,2000-04-06,00:00:00.00,0.133415,2.48934,1.6141
97,2000-04-07,00:00:00.00,0.480697,2.35742,1.5857
98,2000-04-08,00:00:00.00,12.57,3.33373,1.5291
99,2000-04-09,00:00:00.00,8.61481,7.0493,1.699
100,2000-04-10,00:00:00.00,1.78705,9.86071,1.8689
101,2000-04-11,00:00:00.00,0.751232,8.46955,2.237
102,2000-04-12,00:00:00.00,1.6561,6.60733,2.7184
103,2000-04-13,00:00:00.00,0.618829,6.11573,3.1149
104,2000-04-14,00:00:00.00,0.00470383,5.58328,3.1149
105,2000-04-15,00:00:00.00,0.0963925,4.96463,3.0299
106,2000-04-16,00:00:00.00,0.945726,4.51303,3.0016
107,2000-04-17,00:00:00.00,0.592227,4.1273,2.6901
108,2000-04-18,00:00:00.00,1.19555,3.79974,2.2653
109,2000-04-19,00:00:00.00,0.161734,3.51855,2.0388
110,2000-04-20,00:00:00.00,1.31165,3.26991,1.9539
111,2000-04-21,00:00:00.00,26.8433,7.26998,8.6083
112,2000-04-22,00:00:00.00,7.14582,19.5344,56.6337
113,2000-04-23,00:00:00.00,0.093235,24.4152,43.8911
114,2000-04-24,00:00:00.00,0.0412692,17.711,20.9261
