time,date,hour,precip [mm/day],sub7023 [m3/s],sub7024 [m3/s],sub7024 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,10.8025,179.213,
1,2000-01-02,00:00:00.00,0.390682,699.951,11863.7,14.7248
2,2000-01-03,00:00:00.00,1.05329,703.087,11784.3,14.1584
3,2000-01-04,00:00:00.00,15.1011,12.8692,19.7234,19.8218
4,2000-01-05,00:00:00.00,4.3756,6.49258,14.102,25.7117
5,2000-01-06,00:00:00.00,0.298946,3.15188,8.32403,30.299
6,2000-01-07,00:00:00.00,0.17692,1.50636,5.83579,31.7149
7,2000-01-08,00:00:00.00,0.106665,0.797384,3.64686,61.4476
8,2000-01-09,00:00:00.00,0.19573,0.447673,3.10849,44.7406
9,2000-01-10,00:00:00.00,0.917775,0.282952,2.876,41.6258
10,2000-01-11,00:00:00.00,1.54901,0.216048,2.82222,40.7763
11,2000-01-12,00:00:00.00,0.676163,0.191954,2.91261,46.7228
12,2000-01-13,00:00:00.00,0.253094,0.183438,3.03034,23.2764
13,2000-01-14,00:00:00.00,2.36677,0.17275,2.98629,19.8218
14,2000-01-15,00:00:00.00,0.413436,0.162043,2.83374,17.5564
15,2000-01-16,00:00:00.00,0.183631,0.157259,2.7312,16.4238
16,2000-01-17,00:00:00.00,0.113694,0.154853,2.68185,15.2911
17,2000-01-18,00:00:00.00,2.22304,0.153451,2.65433,14.4416
18,2000-01-19,00:00:00.00,0.777553,0.152504,2.63643,13.8753
19,2000-01-20,00:00:00.00,2.85285,0.151801,2.62351,13.0257
20,2000-01-21,00:00:00.00,3.65739,0.151218,2.61304,12.4594
21,2000-01-22,00:00:00.00,0.14896,0.150691,2.60366,11.8931
22,2000-01-23,00:00:00.00,2.211,0.150209,2.5951,11.3267
23,2000-01-24,00:00:00.00,0.183331,0.149764,2.58724,10.7604
24,2000-01-25,00:00:00.00,0.188968,0.149335,2.5797,10.4772
25,2000-01-26,00:00:00.00,0.424052,0.148899,2.57207,9.9109
26,2000-01-27,00:00:00.00,0.230665,0.148464,2.56451,9.6277
27,2000-01-28,00:00:00.00,0.316621,0.148035,2.55707,9.3446
28,2000-01-29,00:00:00.00,0.440808,0.147614,2.54974,9.0614
29,2000-01-30,00:00:00.00,2.30749,0.1472,2.54257,8.7782
30,2000-01-31,00:00:00.00,2.11913,0.146766,2.53516,8.6366
31,2000-02-01,00:00:00.00,0.267757,0.146303,2.52714,8.4951
32,2000-02-02,00:00:00.00,0.304091,0.145823,2.51867,8.2119
33,2000-02-03,00:00:00.00,0.278813,0.145344,2.5102,7.9287
34,2000-02-04,00:00:00.00,1.57,0.144871,2.50364,7.7871
35,2000-02-05,00:00:00.00,0.568683,0.144391,2.50433,7.6455
36,2000-02-06,00:00:00.00,0.347427,0.143889,2.50986,7.504
37,2000-02-07,00:00:00.00,0.181133,0.143374,2.49978,7.3624
38,2000-02-08,00:00:00.00,0.189652,0.142866,2.47904,7.2208
39,2000-02-09,00:00:00.00,0.191702,0.142365,2.46471,7.0792
40,2000-02-10,00:00:00.00,0.108717,0.14187,2.45336,7.0792
41,2000-02-11,00:00:00.00,1.88711,0.141888,2.45572,14.1584
42,2000-02-12,00:00:00.00,0.363287,0.14406,2.51013,19.8218
43,2000-02-13,00:00:00.00,0.139686,0.147785,2.60147,25.4852
44,2000-02-14,00:00:00.00,3.02298,0.14695,2.59704,42.4753
45,2000-02-15,00:00:00.00,1.94458,0.142909,2.56954,82.1189
46,2000-02-16,00:00:00.00,0.568655,0.140712,2.61951,65.1287
47,2000-02-17,00:00:00.00,0.129835,0.139353,2.57651,56.6337
48,2000-02-18,00:00:00.00,0.628175,0.138365,2.47114,50.9703
49,2000-02-19,00:00:00.00,12.0698,0.137551,2.42478,45.307
50,2000-02-20,00:00:00.00,0.413735,0.136861,2.42313,56.6337
51,2000-02-21,00:00:00.00,0.189224,0.13626,2.43832,101.941
52,2000-02-22,00:00:00.00,0.12746,0.135699,2.41317,127.426
53,2000-02-23,00:00:00.00,0.252188,0.135122,2.36886,116.099
54,2000-02-24,00:00:00.00,0.500186,0.166777,2.91379,263.913
55,2000-02-25,00:00:00.00,3.01865,0.725242,16.2737,424.753
56,2000-02-26,00:00:00.00,1.78956,2.83797,52.3994,472.891
57,2000-02-27,00:00:00.00,2.43862,3.36142,57.1853,407.763
58,2000-02-28,00:00:00.00,2.65506,1.19689,20.1741,328.475
59,2000-02-29,00:00:00.00,0.11855,0.12296,2.06113,328.475
60,2000-03-01,00:00:00.00,0.115248,0.157109,2.53676,275.523
61,2000-03-02,00:00:00.00,0.989286,0.158829,2.62284,183.21
62,2000-03-03,00:00:00.00,0.0680824,0.152047,2.57686,136.487
63,2000-03-04,00:00:00.00,0.0909007,0.148685,2.55265,116.099
64,2000-03-05,00:00:00.00,0.048015,0.146763,2.53397,99.3921
65,2000-03-06,00:00:00.00,0.311181,0.14543,2.51584,72.208
66,2000-03-07,00:00:00.00,0.221683,0.1443,2.49849,43.6079
67,2000-03-08,00:00:00.00,0.781577,0.143217,2.48063,38.7941
68,2000-03-09,00:00:00.00,0.360725,0.142127,2.46196,32.2812
69,2000-03-10,00:00:00.00,0.54488,0.141026,2.44258,44.4574
70,2000-03-11,00:00:00.00,0.0345673,0.139931,2.42297,33.9802
71,2000-03-12,00:00:00.00,11.0138,0.138916,2.49297,37.0951
72,2000-03-13,00:00:00.00,0.662115,0.138052,2.81528,41.6258
73,2000-03-14,00:00:00.00,0.101605,0.1373,3.01561,35.3961
74,2000-03-15,00:00:00.00,0.210879,0.136581,2.8004,31.7149
75,2000-03-16,00:00:00.00,1.45631,0.139585,2.61675,34.8297
76,2000-03-17,00:00:00.00,4.1991,0.159845,2.78408,35.1129
77,2000-03-18,00:00:00.00,0.202799,0.194455,3.0827,53.802
78,2000-03-19,00:00:00.00,0.215115,0.20322,3.10665,59.7485
79,2000-03-20,00:00:00.00,7.0038,0.180984,2.90898,69.3763
80,2000-03-21,00:00:00.00,9.41339,0.179194,3.1146,79.004
81,2000-03-22,00:00:00.00,0.473186,0.208908,3.5431,273.258
82,2000-03-23,00:00:00.00,0.461553,0.22769,3.70537,351.129
83,2000-03-24,00:00:00.00,1.54588,0.201131,3.35268,275.523
84,2000-03-25,00:00:00.00,0.700472,0.163814,2.82731,199.067
85,2000-03-26,00:00:00.00,0.355992,0.148843,2.64073,163.671
86,2000-03-27,00:00:00.00,0.0897917,0.141558,2.52459,121.196
87,2000-03-28,00:00:00.00,5.48044,0.14034,2.47957,95.7109
88,2000-03-29,00:00:00.00,1.80306,0.151975,2.68419,112.418
89,2000-03-30,00:00:00.00,0.139192,0.17186,3.05418,131.957
90,2000-03-31,00:00:00.00,0.130258,0.168387,3.02532,149.513
91,2000-04-01,00:00:00.00,0.531923,0.149366,2.68226,108.737
92,2000-04-02,00:00:00.00,0.0244799,0.140214,2.48564,102.507
93,2000-04-03,00:00:00.00,0.953844,0.13521,2.38755,78.4377
94,2000-04-04,00:00:00.00,1.64083,0.132157,2.3487,66.2614
95,2000-04-05,00:00:00.00,0.949928,0.130177,2.36137,63.7129
96,2000-04-06,00:00:00.00,1.07261,0.128779,2.37813,52.6693
97,2000-04-07,00:00:00.00,0.0528846,0.127671,2.343,62.8634
98,2000-04-08,00:00:00.00,32.0596,0.14563,2.68506,35.6792
99,2000-04-09,00:00:00.00,15.5247,0.185109,7.42119,65.6951
100,2000-04-10,00:00:00.00,0.0731786,0.91885,35.5533,236.446
101,2000-04-11,00:00:00.00,0.0166331,0.894598,42.7011,353.961
102,2000-04-12,00:00:00.00,2.02871,0.152676,14.9346,314.317
103,2000-04-13,00:00:00.00,0.192263,0.150472,3.12431,211.244
104,2000-04-14,00:00:00.00,0.627036,0.157032,2.51588,174.149
105,2000-04-15,00:00:00.00,0.208986,0.153575,2.52857,143
106,2000-04-16,00:00:00.00,0.401204,0.142607,2.45521,108.17
107,2000-04-17,00:00:00.00,3.98122,0.136778,2.43145,86.0832
108,2000-04-18,00:00:00.00,9.94812,0.137452,2.62241,69.6594
109,2000-04-19,00:00:00.00,0.213679,0.15609,3.18962,79.5703
110,2000-04-20,00:00:00.00,1.55786,0.184656,3.6647,112.418
111,2000-04-21,00:00:00.00,20.3833,0.195447,3.56844,210.96
112,2000-04-22,00:00:00.00,2.09436,0.198806,3.5875,968.436
113,2000-04-23,00:00:00.00,0.0561794,0.40919,3.82833,971.268
114,2000-04-24,00:00:00.00,0.683865,0.371881,3.30755,662.614
115,2000-04-25,00:00:00.00,0.0715062,0.129877,2.66333,430.416
