time,date,hour,precip [mm/day],sub6531 [m3/s],sub6531 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,1.00795,128.551,
2,2000-01-03,00:00:00.00,22.9346,259.318,
3,2000-01-04,00:00:00.00,3.85122,260.4,
4,2000-01-05,00:00:00.00,18.4655,259.676,
5,2000-01-06,00:00:00.00,0.249707,261.615,
6,2000-01-07,00:00:00.00,0.964366,264.182,
7,2000-01-08,00:00:00.00,2.03975,264.874,
8,2000-01-09,00:00:00.00,0.352289,263.318,
9,2000-01-10,00:00:00.00,0.53701,260.553,
10,2000-01-11,00:00:00.00,7.76553,258.668,
11,2000-01-12,00:00:00.00,6.50852,257.527,
12,2000-01-13,00:00:00.00,0.572397,255.443,
13,2000-01-14,00:00:00.00,0.220572,253.285,
14,2000-01-15,00:00:00.00,0.240997,251.785,
15,2000-01-16,00:00:00.00,3.20365,249.886,
16,2000-01-17,00:00:00.00,4.08776,246.683,
17,2000-01-18,00:00:00.00,0.499469,242.607,
18,2000-01-19,00:00:00.00,0.273743,238.352,
19,2000-01-20,00:00:00.00,0.413405,234.231,
20,2000-01-21,00:00:00.00,0.484889,230.213,
21,2000-01-22,00:00:00.00,0.0600627,226.21,
22,2000-01-23,00:00:00.00,0.141936,222.266,
23,2000-01-24,00:00:00.00,4.39474,218.47,
24,2000-01-25,00:00:00.00,1.07809,214.73,
25,2000-01-26,00:00:00.00,0.340844,210.831,
26,2000-01-27,00:00:00.00,0.184391,207.218,
27,2000-01-28,00:00:00.00,0.343947,204.133,
28,2000-01-29,00:00:00.00,0.240134,201.234,
29,2000-01-30,00:00:00.00,0.334035,198.488,
30,2000-01-31,00:00:00.00,0.43064,195.841,
31,2000-02-01,00:00:00.00,2.10917,193.267,
32,2000-02-02,00:00:00.00,1.21509,190.8,
33,2000-02-03,00:00:00.00,0.238255,188.358,
34,2000-02-04,00:00:00.00,1.03393,186,
35,2000-02-05,00:00:00.00,0.36588,183.837,
36,2000-02-06,00:00:00.00,2.48476,181.77,
37,2000-02-07,00:00:00.00,0.223774,179.682,
38,2000-02-08,00:00:00.00,1.18642,177.572,
39,2000-02-09,00:00:00.00,0.494813,175.508,
40,2000-02-10,00:00:00.00,3.58807,173.472,
41,2000-02-11,00:00:00.00,3.36352,171.418,
42,2000-02-12,00:00:00.00,3.40851,169.415,
43,2000-02-13,00:00:00.00,0.303304,167.519,
44,2000-02-14,00:00:00.00,3.21054,165.634,
45,2000-02-15,00:00:00.00,0.334927,163.739,
46,2000-02-16,00:00:00.00,2.05636,161.881,
47,2000-02-17,00:00:00.00,7.57393,160.003,
48,2000-02-18,00:00:00.00,0.457345,158.105,
49,2000-02-19,00:00:00.00,0.518084,156.305,
50,2000-02-20,00:00:00.00,0.191716,154.538,
51,2000-02-21,00:00:00.00,1.11134,152.727,
52,2000-02-22,00:00:00.00,0.338026,150.93,
53,2000-02-23,00:00:00.00,0.617402,149.112,
54,2000-02-24,00:00:00.00,1.50989,148.518,
55,2000-02-25,00:00:00.00,6.0813,150.219,
56,2000-02-26,00:00:00.00,6.23623,152.769,
57,2000-02-27,00:00:00.00,2.54837,157.331,
58,2000-02-28,00:00:00.00,11.4535,167.449,
59,2000-02-29,00:00:00.00,1.41865,175.255,
60,2000-03-01,00:00:00.00,1.19914,179.076,
61,2000-03-02,00:00:00.00,4.00201,188.703,
62,2000-03-03,00:00:00.00,4.21755,198.273,
63,2000-03-04,00:00:00.00,0.0927745,203.169,
64,2000-03-05,00:00:00.00,0.269716,207.305,
65,2000-03-06,00:00:00.00,0.111528,211.072,
66,2000-03-07,00:00:00.00,0.0617351,212.65,
67,2000-03-08,00:00:00.00,1.05436,212.361,
68,2000-03-09,00:00:00.00,0.408504,210.659,
69,2000-03-10,00:00:00.00,5.94857,208.009,
70,2000-03-11,00:00:00.00,0.157607,205.166,
71,2000-03-12,00:00:00.00,0.137633,201.254,
72,2000-03-13,00:00:00.00,0.193346,196.61,
73,2000-03-14,00:00:00.00,0.755311,191.294,
74,2000-03-15,00:00:00.00,2.19839,186.105,
75,2000-03-16,00:00:00.00,4.0039,181.209,
76,2000-03-17,00:00:00.00,1.60839,175.967,
77,2000-03-18,00:00:00.00,0.296632,170.97,
78,2000-03-19,00:00:00.00,0.371624,166.823,
79,2000-03-20,00:00:00.00,1.27658,163.33,
80,2000-03-21,00:00:00.00,2.26227,160.022,
81,2000-03-22,00:00:00.00,0.177129,156.06,
82,2000-03-23,00:00:00.00,0.7548,152.435,
83,2000-03-24,00:00:00.00,0.431826,149.664,
84,2000-03-25,00:00:00.00,0.27297,146.75,
85,2000-03-26,00:00:00.00,1.32358,143.917,
86,2000-03-27,00:00:00.00,1.04967,141.417,
87,2000-03-28,00:00:00.00,3.86108,139.582,
88,2000-03-29,00:00:00.00,6.62458,138.891,
89,2000-03-30,00:00:00.00,5.73018,138.768,
90,2000-03-31,00:00:00.00,0.265875,138.08,
91,2000-04-01,00:00:00.00,0.0514441,137.179,
92,2000-04-02,00:00:00.00,0.114333,136.627,
93,2000-04-03,00:00:00.00,1.16472,135.818,
94,2000-04-04,00:00:00.00,0.146557,134.447,
95,2000-04-05,00:00:00.00,4.14518,133.13,
96,2000-04-06,00:00:00.00,0.221668,131.637,
97,2000-04-07,00:00:00.00,6.74827,130.834,
98,2000-04-08,00:00:00.00,1.22329,130.323,
99,2000-04-09,00:00:00.00,5.13957,128.715,
100,2000-04-10,00:00:00.00,1.71914,127.431,
101,2000-04-11,00:00:00.00,0.395249,126.11,
102,2000-04-12,00:00:00.00,0.368245,124.225,
103,2000-04-13,00:00:00.00,0.388584,122.164,
104,2000-04-14,00:00:00.00,0.10957,120.406,
105,2000-04-15,00:00:00.00,0.418602,119.258,
106,2000-04-16,00:00:00.00,0.897922,117.528,
107,2000-04-17,00:00:00.00,0.0491345,115.149,
108,2000-04-18,00:00:00.00,0.37573,113.181,
109,2000-04-19,00:00:00.00,0.157987,111.353,
110,2000-04-20,00:00:00.00,0.191428,109.39,
111,2000-04-21,00:00:00.00,8.09328,108.729,
112,2000-04-22,00:00:00.00,13.406,110.494,
113,2000-04-23,00:00:00.00,0.0841536,111.093,
114,2000-04-24,00:00:00.00,0.0161232,109.774,
115,2000-04-25,00:00:00.00,0.0234782,108.877,
116,2000-04-26,00:00:00.00,0.025667,108.034,
117,2000-04-27,00:00:00.00,0.0249641,106.852,
118,2000-04-28,00:00:00.00,0.143563,105.156,
119,2000-04-29,00:00:00.00,0.197167,103.169,
120,2000-04-30,00:00:00.00,0.0540457,100.849,
121,2000-05-01,00:00:00.00,0.0544182,98.4594,
122,2000-05-02,00:00:00.00,0.56651,96.1433,
123,2000-05-03,00:00:00.00,0.199652,93.6641,
124,2000-05-04,00:00:00.00,0.449204,91.0838,
125,2000-05-05,00:00:00.00,0.617628,88.3107,
126,2000-05-06,00:00:00.00,3.67397,86.0044,
127,2000-05-07,00:00:00.00,0.218777,83.8092,
128,2000-05-08,00:00:00.00,0.920809,81.1847,
129,2000-05-09,00:00:00.00,6.22096,80.1777,
130,2000-05-10,00:00:00.00,10.7587,81.7635,
131,2000-05-11,00:00:00.00,19.5159,86.1916,
132,2000-05-12,00:00:00.00,0.0593904,88.6127,
133,2000-05-13,00:00:00.00,1.87514,87.836,
134,2000-05-14,00:00:00.00,10.9346,89.6375,
135,2000-05-15,00:00:00.00,0.422967,91.3773,
136,2000-05-16,00:00:00.00,0.0464745,91.3885,
137,2000-05-17,00:00:00.00,0.166712,91.5035,
138,2000-05-18,00:00:00.00,0.04887,91.3084,
139,2000-05-19,00:00:00.00,9.67535,92.4171,
140,2000-05-20,00:00:00.00,0.0250848,92.9777,
141,2000-05-21,00:00:00.00,0.0555075,91.4304,
142,2000-05-22,00:00:00.00,0.118142,89.5092,
143,2000-05-23,00:00:00.00,0.257429,87.2372,
144,2000-05-24,00:00:00.00,6.9285,86.1799,
145,2000-05-25,00:00:00.00,2.47146,85.2431,
146,2000-05-26,00:00:00.00,0.401762,82.829,
147,2000-05-27,00:00:00.00,0.179043,80.4516,
148,2000-05-28,00:00:00.00,0.0283348,78.2433,
149,2000-05-29,00:00:00.00,0.0330637,75.8507,
150,2000-05-30,00:00:00.00,0.100823,73.4721,
151,2000-05-31,00:00:00.00,0.256739,71.103,
152,2000-06-01,00:00:00.00,3.16061,69.2228,
153,2000-06-02,00:00:00.00,0.558292,67.4362,
154,2000-06-03,00:00:00.00,26.8391,70.6222,
155,2000-06-04,00:00:00.00,0.162372,73.8095,
156,2000-06-05,00:00:00.00,3.65899,72.4155,
157,2000-06-06,00:00:00.00,0.182678,71.4542,
158,2000-06-07,00:00:00.00,0.283136,70.1826,
159,2000-06-08,00:00:00.00,0.0598553,68.9202,
160,2000-06-09,00:00:00.00,0.133336,67.6575,
161,2000-06-10,00:00:00.00,14.8413,69.4047,
162,2000-06-11,00:00:00.00,7.69134,72.5796,
163,2000-06-12,00:00:00.00,18.5123,76.2551,
164,2000-06-13,00:00:00.00,0.121151,78.4588,
165,2000-06-14,00:00:00.00,14.9416,80.3631,
166,2000-06-15,00:00:00.00,1.94976,82.9216,
167,2000-06-16,00:00:00.00,7.20187,84.012,
168,2000-06-17,00:00:00.00,0.237943,85.2628,
169,2000-06-18,00:00:00.00,0.0762039,85.337,
170,2000-06-19,00:00:00.00,0.222425,85.298,
171,2000-06-20,00:00:00.00,0.504239,85.0636,
172,2000-06-21,00:00:00.00,0.239844,83.911,
173,2000-06-22,00:00:00.00,16.9156,85.043,
174,2000-06-23,00:00:00.00,2.0099,86.0752,
175,2000-06-24,00:00:00.00,0.238077,83.9384,
176,2000-06-25,00:00:00.00,1.49179,81.8068,
177,2000-06-26,00:00:00.00,9.79969,81.3676,
178,2000-06-27,00:00:00.00,1.44738,80.791,
179,2000-06-28,00:00:00.00,0.496122,78.3415,
180,2000-06-29,00:00:00.00,0.0307916,75.9805,
181,2000-06-30,00:00:00.00,9.41367,75.7741,
182,2000-07-01,00:00:00.00,0.0654329,75.56,
183,2000-07-02,00:00:00.00,0.0795074,73.3616,
184,2000-07-03,00:00:00.00,4.24525,71.7093,
185,2000-07-04,00:00:00.00,2.5381,70.7198,
186,2000-07-05,00:00:00.00,0.32452,69.0576,
