time,date,hour,precip [mm/day],sub6542 [m3/s],sub6542 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.393417,13.4727,
2,2000-01-03,00:00:00.00,11.5839,28.5451,
3,2000-01-04,00:00:00.00,8.97974,30.1536,
4,2000-01-05,00:00:00.00,16.986,31.3752,
5,2000-01-06,00:00:00.00,0.533819,32.2901,
6,2000-01-07,00:00:00.00,0.405982,31.3776,
7,2000-01-08,00:00:00.00,1.64429,30.0983,
8,2000-01-09,00:00:00.00,0.18913,28.8104,
9,2000-01-10,00:00:00.00,0.191766,27.6581,
10,2000-01-11,00:00:00.00,7.15507,27.738,
11,2000-01-12,00:00:00.00,2.44693,28.3631,
12,2000-01-13,00:00:00.00,0.535768,28.029,
13,2000-01-14,00:00:00.00,1.18412,27.2752,
14,2000-01-15,00:00:00.00,0.169517,26.4697,
15,2000-01-16,00:00:00.00,0.92839,25.6949,
16,2000-01-17,00:00:00.00,1.19143,25.0209,
17,2000-01-18,00:00:00.00,0.307544,24.4632,
18,2000-01-19,00:00:00.00,0.706803,24.0178,
19,2000-01-20,00:00:00.00,0.936155,23.671,
20,2000-01-21,00:00:00.00,2.76748,23.3751,
21,2000-01-22,00:00:00.00,0.494465,23.1148,
22,2000-01-23,00:00:00.00,0.490816,22.8783,
23,2000-01-24,00:00:00.00,3.48942,22.6494,
24,2000-01-25,00:00:00.00,0.781015,22.4325,
25,2000-01-26,00:00:00.00,0.788713,22.2346,
26,2000-01-27,00:00:00.00,0.240849,22.0438,
27,2000-01-28,00:00:00.00,0.125403,21.8554,
28,2000-01-29,00:00:00.00,0.346635,21.6704,
29,2000-01-30,00:00:00.00,0.700296,21.4868,
30,2000-01-31,00:00:00.00,0.220608,21.3017,
31,2000-02-01,00:00:00.00,1.67017,21.1155,
32,2000-02-02,00:00:00.00,1.31464,20.9313,
33,2000-02-03,00:00:00.00,0.331874,20.7495,
34,2000-02-04,00:00:00.00,2.62017,20.5704,
35,2000-02-05,00:00:00.00,0.622471,20.3928,
36,2000-02-06,00:00:00.00,1.899,20.2165,
37,2000-02-07,00:00:00.00,0.325162,20.0393,
38,2000-02-08,00:00:00.00,0.54612,19.8616,
39,2000-02-09,00:00:00.00,0.150695,19.6869,
40,2000-02-10,00:00:00.00,1.28051,19.5218,
41,2000-02-11,00:00:00.00,6.23796,19.3565,
42,2000-02-12,00:00:00.00,2.35745,19.1846,
43,2000-02-13,00:00:00.00,0.328882,19.0164,
44,2000-02-14,00:00:00.00,5.26293,18.8496,
45,2000-02-15,00:00:00.00,1.4079,18.6827,
46,2000-02-16,00:00:00.00,1.3148,18.5176,
47,2000-02-17,00:00:00.00,6.46797,18.3528,
48,2000-02-18,00:00:00.00,0.17058,18.188,
49,2000-02-19,00:00:00.00,4.08286,18.028,
50,2000-02-20,00:00:00.00,0.441525,17.8699,
51,2000-02-21,00:00:00.00,1.50176,17.711,
52,2000-02-22,00:00:00.00,0.389542,17.5528,
53,2000-02-23,00:00:00.00,0.479946,17.3936,
54,2000-02-24,00:00:00.00,1.97037,18.1854,
55,2000-02-25,00:00:00.00,7.79639,21.0725,
56,2000-02-26,00:00:00.00,9.25017,24.9548,
57,2000-02-27,00:00:00.00,0.271337,29.2065,
58,2000-02-28,00:00:00.00,6.15641,34.9786,
59,2000-02-29,00:00:00.00,1.01965,37.5528,
60,2000-03-01,00:00:00.00,0.911158,35.0764,
61,2000-03-02,00:00:00.00,3.61841,32.0585,
62,2000-03-03,00:00:00.00,1.55842,29.044,
63,2000-03-04,00:00:00.00,0.0658103,25.8908,
64,2000-03-05,00:00:00.00,0.0917529,23.2155,
65,2000-03-06,00:00:00.00,0.0678264,21.2824,
66,2000-03-07,00:00:00.00,0.0426257,19.8995,
67,2000-03-08,00:00:00.00,0.169507,18.8506,
68,2000-03-09,00:00:00.00,0.0199796,18.064,
69,2000-03-10,00:00:00.00,4.4538,17.9743,
70,2000-03-11,00:00:00.00,0.717842,18.048,
71,2000-03-12,00:00:00.00,0.351061,17.5882,
72,2000-03-13,00:00:00.00,0.249946,17.1225,
73,2000-03-14,00:00:00.00,0.936504,16.7063,
74,2000-03-15,00:00:00.00,2.06345,16.8452,
75,2000-03-16,00:00:00.00,3.22522,17.4673,
76,2000-03-17,00:00:00.00,2.16366,17.5755,
77,2000-03-18,00:00:00.00,0.078455,17.1548,
78,2000-03-19,00:00:00.00,0.114641,16.6457,
79,2000-03-20,00:00:00.00,2.52706,16.4304,
80,2000-03-21,00:00:00.00,1.8274,16.7894,
81,2000-03-22,00:00:00.00,0.150453,16.944,
82,2000-03-23,00:00:00.00,0.427475,16.5704,
83,2000-03-24,00:00:00.00,0.471843,16.1529,
84,2000-03-25,00:00:00.00,0.137632,15.7143,
85,2000-03-26,00:00:00.00,1.95905,15.4682,
86,2000-03-27,00:00:00.00,0.277506,15.3034,
87,2000-03-28,00:00:00.00,3.51966,15.3457,
88,2000-03-29,00:00:00.00,1.9087,15.597,
89,2000-03-30,00:00:00.00,3.63015,15.8587,
90,2000-03-31,00:00:00.00,0.134602,15.8787,
91,2000-04-01,00:00:00.00,0.0528876,15.4311,
92,2000-04-02,00:00:00.00,0.00831237,14.8974,
93,2000-04-03,00:00:00.00,2.05416,14.5858,
94,2000-04-04,00:00:00.00,0.278427,14.3855,
95,2000-04-05,00:00:00.00,2.3062,14.2622,
96,2000-04-06,00:00:00.00,0.0189109,14.1384,
97,2000-04-07,00:00:00.00,3.10875,14.1094,
98,2000-04-08,00:00:00.00,3.31166,14.4121,
99,2000-04-09,00:00:00.00,10.5369,14.9648,
100,2000-04-10,00:00:00.00,0.134598,15.1483,
101,2000-04-11,00:00:00.00,0.70865,14.6731,
102,2000-04-12,00:00:00.00,1.10979,14.1771,
103,2000-04-13,00:00:00.00,0.112584,13.703,
104,2000-04-14,00:00:00.00,0.295992,13.5042,
105,2000-04-15,00:00:00.00,0.0615694,13.7176,
106,2000-04-16,00:00:00.00,0.475603,13.7247,
107,2000-04-17,00:00:00.00,0.0741065,13.3573,
108,2000-04-18,00:00:00.00,0.0387511,12.9237,
109,2000-04-19,00:00:00.00,0.00661453,12.5112,
110,2000-04-20,00:00:00.00,0.155637,12.1551,
111,2000-04-21,00:00:00.00,18.5682,13.4902,
112,2000-04-22,00:00:00.00,17.2171,16.6486,
113,2000-04-23,00:00:00.00,0.380741,18.1309,
114,2000-04-24,00:00:00.00,0.00192182,17.3711,
115,2000-04-25,00:00:00.00,0.0302835,16.1411,
116,2000-04-26,00:00:00.00,0.0359825,14.8803,
117,2000-04-27,00:00:00.00,0.0132531,13.755,
118,2000-04-28,00:00:00.00,0.176116,12.8533,
119,2000-04-29,00:00:00.00,0.0363343,12.1713,
120,2000-04-30,00:00:00.00,0.0576445,11.6461,
121,2000-05-01,00:00:00.00,0.00183935,11.2451,
122,2000-05-02,00:00:00.00,0.748689,11.0036,
123,2000-05-03,00:00:00.00,0.0868156,10.8334,
124,2000-05-04,00:00:00.00,0.339143,10.6426,
125,2000-05-05,00:00:00.00,0.203135,10.4563,
126,2000-05-06,00:00:00.00,0.99589,10.3409,
127,2000-05-07,00:00:00.00,0.0624006,10.2392,
128,2000-05-08,00:00:00.00,2.78283,10.2572,
129,2000-05-09,00:00:00.00,6.94745,10.7922,
130,2000-05-10,00:00:00.00,10.6127,11.9419,
131,2000-05-11,00:00:00.00,22.3506,14.3406,
132,2000-05-12,00:00:00.00,0.14868,15.8078,
133,2000-05-13,00:00:00.00,3.22211,15.3229,
134,2000-05-14,00:00:00.00,11.6888,15.5384,
135,2000-05-15,00:00:00.00,0.236555,15.5141,
136,2000-05-16,00:00:00.00,0.0461807,14.3751,
137,2000-05-17,00:00:00.00,0.786561,13.2364,
138,2000-05-18,00:00:00.00,0.0421965,12.244,
139,2000-05-19,00:00:00.00,25.2107,13.5786,
140,2000-05-20,00:00:00.00,0.0878091,15.2018,
141,2000-05-21,00:00:00.00,0.00181781,14.4728,
142,2000-05-22,00:00:00.00,0.0047214,13.3833,
143,2000-05-23,00:00:00.00,0.134928,12.3182,
144,2000-05-24,00:00:00.00,4.39038,11.7816,
145,2000-05-25,00:00:00.00,1.78036,11.6106,
146,2000-05-26,00:00:00.00,0.72948,11.2273,
147,2000-05-27,00:00:00.00,0.0625813,10.7137,
148,2000-05-28,00:00:00.00,0.075609,10.1962,
149,2000-05-29,00:00:00.00,0.0260181,9.73622,
150,2000-05-30,00:00:00.00,0.16308,9.35497,
151,2000-05-31,00:00:00.00,0.0823132,9.04515,
152,2000-06-01,00:00:00.00,4.65579,9.11758,
153,2000-06-02,00:00:00.00,0.5568,9.30286,
154,2000-06-03,00:00:00.00,8.90977,9.81276,
155,2000-06-04,00:00:00.00,0.00617915,10.2376,
156,2000-06-05,00:00:00.00,0.226479,9.90684,
157,2000-06-06,00:00:00.00,0.30497,9.47847,
158,2000-06-07,00:00:00.00,0.334606,9.06949,
159,2000-06-08,00:00:00.00,0.00237205,8.68478,
160,2000-06-09,00:00:00.00,0.134427,8.34152,
161,2000-06-10,00:00:00.00,18.511,9.28625,
162,2000-06-11,00:00:00.00,0.246429,10.3334,
163,2000-06-12,00:00:00.00,6.89277,10.5193,
164,2000-06-13,00:00:00.00,0.0317436,10.4925,
165,2000-06-14,00:00:00.00,29.7564,12.1324,
166,2000-06-15,00:00:00.00,1.53284,13.9562,
167,2000-06-16,00:00:00.00,2.53869,13.5186,
168,2000-06-17,00:00:00.00,0.224525,12.5969,
169,2000-06-18,00:00:00.00,0.00848423,11.4475,
170,2000-06-19,00:00:00.00,0.849175,10.4417,
171,2000-06-20,00:00:00.00,0.0753004,9.63456,
172,2000-06-21,00:00:00.00,0.00593675,8.92476,
173,2000-06-22,00:00:00.00,15.2014,9.54018,
174,2000-06-23,00:00:00.00,0.336277,10.3658,
175,2000-06-24,00:00:00.00,0.0204068,9.95717,
176,2000-06-25,00:00:00.00,2.05799,9.51501,
177,2000-06-26,00:00:00.00,57.2716,13.7368,
178,2000-06-27,00:00:00.00,0.140463,18.0263,
179,2000-06-28,00:00:00.00,1.26944,17.2226,
180,2000-06-29,00:00:00.00,0.00598973,15.5556,
181,2000-06-30,00:00:00.00,6.87752,14.4481,
182,2000-07-01,00:00:00.00,0.0113622,13.5476,
183,2000-07-02,00:00:00.00,0.0233836,12.0959,
184,2000-07-03,00:00:00.00,0.0227968,10.7849,
185,2000-07-04,00:00:00.00,0.295236,9.75463,
186,2000-07-05,00:00:00.00,0.0625997,8.96811,
187,2000-07-06,00:00:00.00,0.0271919,8.35229,
188,2000-07-07,00:00:00.00,0.0292473,7.89164,
189,2000-07-08,00:00:00.00,0.00248967,7.53446,
190,2000-07-09,00:00:00.00,0.00798933,7.21499,
191,2000-07-10,00:00:00.00,21.2294,8.80244,
192,2000-07-11,00:00:00.00,0.00326031,10.5592,
193,2000-07-12,00:00:00.00,0.0472977,10.2628,
194,2000-07-13,00:00:00.00,0.0414683,9.58204,
195,2000-07-14,00:00:00.00,0.0178074,8.84639,
196,2000-07-15,00:00:00.00,6.04597,8.68774,
197,2000-07-16,00:00:00.00,1.55073,8.80403,
198,2000-07-17,00:00:00.00,0.839056,8.53442,
199,2000-07-18,00:00:00.00,0.148221,8.12039,
200,2000-07-19,00:00:00.00,0.0732351,7.64868,
201,2000-07-20,00:00:00.00,0.0479181,7.21728,
202,2000-07-21,00:00:00.00,0.54032,6.90152,
203,2000-07-22,00:00:00.00,0.55441,6.67834,
204,2000-07-23,00:00:00.00,0.0599415,6.45573,
205,2000-07-24,00:00:00.00,0.00188262,6.23846,
206,2000-07-25,00:00:00.00,0.00943514,6.0542,
207,2000-07-26,00:00:00.00,0.0690058,5.8904,
208,2000-07-27,00:00:00.00,0.0911976,5.74626,
209,2000-07-28,00:00:00.00,0.0322503,5.60581,
210,2000-07-29,00:00:00.00,0.424848,5.49646,
211,2000-07-30,00:00:00.00,0.654977,5.43867,
212,2000-07-31,00:00:00.00,0.141187,5.37049,
213,2000-08-01,00:00:00.00,2.46648,5.39016,
214,2000-08-02,00:00:00.00,3.11873,5.57159,
215,2000-08-03,00:00:00.00,1.63217,5.70457,
216,2000-08-04,00:00:00.00,1.55681,5.7103,
217,2000-08-05,00:00:00.00,0.0282555,5.59815,
218,2000-08-06,00:00:00.00,0.00989834,5.38887,
219,2000-08-07,00:00:00.00,0.270833,5.18174,
220,2000-08-08,00:00:00.00,2.46429,5.11997,
221,2000-08-09,00:00:00.00,0.580441,5.10638,
222,2000-08-10,00:00:00.00,6.29583,5.25205,
223,2000-08-11,00:00:00.00,0.613011,5.39795,
224,2000-08-12,00:00:00.00,0.101921,5.24702,
225,2000-08-13,00:00:00.00,0.00859333,5.02924,
226,2000-08-14,00:00:00.00,0.0615529,4.8131,
227,2000-08-15,00:00:00.00,0.488122,4.6388,
228,2000-08-16,00:00:00.00,1.75109,4.56471,
229,2000-08-17,00:00:00.00,0.104575,4.49443,
230,2000-08-18,00:00:00.00,0.045827,4.36806,
231,2000-08-19,00:00:00.00,0.153267,4.25664,
232,2000-08-20,00:00:00.00,0.0182522,4.14484,
233,2000-08-21,00:00:00.00,0.607857,4.05883,
234,2000-08-22,00:00:00.00,0.819618,4.00672,
235,2000-08-23,00:00:00.00,0.243383,3.93669,
236,2000-08-24,00:00:00.00,19.0247,4.38124,
237,2000-08-25,00:00:00.00,0.015949,4.82409,
238,2000-08-26,00:00:00.00,0.010292,4.66458,
239,2000-08-27,00:00:00.00,3.66471,4.58742,
240,2000-08-28,00:00:00.00,0.758726,4.56488,
241,2000-08-29,00:00:00.00,0.00885213,4.41003,
242,2000-08-30,00:00:00.00,0.0945576,4.22058,
243,2000-08-31,00:00:00.00,0.669606,4.06791,
244,2000-09-01,00:00:00.00,0.070377,3.94368,
245,2000-09-02,00:00:00.00,0.255517,3.81964,
246,2000-09-03,00:00:00.00,0.938238,3.73094,
247,2000-09-04,00:00:00.00,2.92037,3.75136,
248,2000-09-05,00:00:00.00,2.10708,3.81565,
249,2000-09-06,00:00:00.00,0.321509,3.78481,
250,2000-09-07,00:00:00.00,0.361961,3.6912,
251,2000-09-08,00:00:00.00,0.111888,3.58815,
252,2000-09-09,00:00:00.00,0.464222,3.48815,
253,2000-09-10,00:00:00.00,0.114977,3.40602,
254,2000-09-11,00:00:00.00,0.924259,3.34025,
255,2000-09-12,00:00:00.00,0.620404,3.28512,
256,2000-09-13,00:00:00.00,11.027,3.48112,
257,2000-09-14,00:00:00.00,0.00780525,3.66288,
258,2000-09-15,00:00:00.00,12.9004,3.95717,
259,2000-09-16,00:00:00.00,2.91834,4.35367,
260,2000-09-17,00:00:00.00,1.05705,4.35747,
261,2000-09-18,00:00:00.00,0.150186,4.19408,
262,2000-09-19,00:00:00.00,0.143095,3.98282,
263,2000-09-20,00:00:00.00,0.0219063,3.78141,
264,2000-09-21,00:00:00.00,1.93858,3.67584,
265,2000-09-22,00:00:00.00,7.62139,3.89104,
266,2000-09-23,00:00:00.00,1.51265,4.12591,
267,2000-09-24,00:00:00.00,9.94307,4.48059,
268,2000-09-25,00:00:00.00,0.0623081,4.73167,
269,2000-09-26,00:00:00.00,0.214587,4.50401,
270,2000-09-27,00:00:00.00,0.320126,4.24806,
271,2000-09-28,00:00:00.00,0.303054,4.01881,
272,2000-09-29,00:00:00.00,0.219228,3.82173,
273,2000-09-30,00:00:00.00,0.0785033,3.65639,
274,2000-10-01,00:00:00.00,0.00142023,3.50852,
275,2000-10-02,00:00:00.00,0.205176,3.38683,
276,2000-10-03,00:00:00.00,0.475911,3.3055,
277,2000-10-04,00:00:00.00,0.192092,3.2368,
278,2000-10-05,00:00:00.00,1.40235,3.21582,
279,2000-10-06,00:00:00.00,0.0517254,3.20019,
280,2000-10-07,00:00:00.00,1.07533,3.1665,
281,2000-10-08,00:00:00.00,12.2348,3.60555,
282,2000-10-09,00:00:00.00,0.998902,4.06147,
283,2000-10-10,00:00:00.00,0.113285,3.98391,
284,2000-10-11,00:00:00.00,0.101607,3.79043,
285,2000-10-12,00:00:00.00,0.12151,3.59872,
286,2000-10-13,00:00:00.00,0.265934,3.43775,
287,2000-10-14,00:00:00.00,1.31221,3.35569,
288,2000-10-15,00:00:00.00,0.379,3.30298,
289,2000-10-16,00:00:00.00,0.506773,3.22762,
290,2000-10-17,00:00:00.00,4.69483,3.3452,
291,2000-10-18,00:00:00.00,1.00992,3.49883,
292,2000-10-19,00:00:00.00,0.42686,3.453,
293,2000-10-20,00:00:00.00,0.168831,3.34134,
294,2000-10-21,00:00:00.00,0.11324,3.21146,
295,2000-10-22,00:00:00.00,0.0813537,3.08546,
296,2000-10-23,00:00:00.00,0.0763026,2.97783,
297,2000-10-24,00:00:00.00,0.903315,2.9281,
298,2000-10-25,00:00:00.00,0.892867,2.92328,
299,2000-10-26,00:00:00.00,0.0136014,2.88457,
300,2000-10-27,00:00:00.00,0.0756823,2.81158,
301,2000-10-28,00:00:00.00,6.04235,2.96964,
302,2000-10-29,00:00:00.00,0.53692,3.1525,
303,2000-10-30,00:00:00.00,0.349905,3.09756,
304,2000-10-31,00:00:00.00,0.306014,3.00669,
305,2000-11-01,00:00:00.00,0.0762149,2.90633,
306,2000-11-02,00:00:00.00,0.067681,2.80456,
307,2000-11-03,00:00:00.00,0.110299,2.71492,
308,2000-11-04,00:00:00.00,0.0524634,2.63668,
309,2000-11-05,00:00:00.00,0.138826,2.57152,
310,2000-11-06,00:00:00.00,0.104247,2.52271,
311,2000-11-07,00:00:00.00,0.0523919,2.48138,
312,2000-11-08,00:00:00.00,0.0543346,2.44042,
313,2000-11-09,00:00:00.00,0.171752,2.40456,
314,2000-11-10,00:00:00.00,12.4653,2.79659,
315,2000-11-11,00:00:00.00,21.8051,4.1595,
316,2000-11-12,00:00:00.00,0.00983559,5.04672,
317,2000-11-13,00:00:00.00,0.0194008,4.76645,
318,2000-11-14,00:00:00.00,4.50952,4.6194,
319,2000-11-15,00:00:00.00,2.53215,4.6699,
320,2000-11-16,00:00:00.00,1.55516,4.57598,
321,2000-11-17,00:00:00.00,3.37582,4.5428,
322,2000-11-18,00:00:00.00,2.20088,4.57348,
323,2000-11-19,00:00:00.00,2.60079,4.54133,
324,2000-11-20,00:00:00.00,0.493185,4.38828,
325,2000-11-21,00:00:00.00,6.64808,4.50548,
326,2000-11-22,00:00:00.00,1.35181,4.63574,
327,2000-11-23,00:00:00.00,5.6576,4.33974,
328,2000-11-24,00:00:00.00,0.555658,4.00887,
329,2000-11-25,00:00:00.00,0.514218,3.72669,
330,2000-11-26,00:00:00.00,0.0366052,3.50202,
331,2000-11-27,00:00:00.00,13.4878,4.38421,
332,2000-11-28,00:00:00.00,3.06978,5.86588,
333,2000-11-29,00:00:00.00,2.98962,6.70608,
334,2000-11-30,00:00:00.00,0.264831,6.81197,
335,2000-12-01,00:00:00.00,0.285751,6.23489,
336,2000-12-02,00:00:00.00,0.308439,5.56154,
337,2000-12-03,00:00:00.00,0.384503,4.94633,
338,2000-12-04,00:00:00.00,0.405836,4.43786,
339,2000-12-05,00:00:00.00,0.654929,4.04901,
340,2000-12-06,00:00:00.00,5.06239,3.76702,
341,2000-12-07,00:00:00.00,3.21517,3.56388,
342,2000-12-08,00:00:00.00,1.54153,3.41935,
343,2000-12-09,00:00:00.00,1.85471,3.31521,
344,2000-12-10,00:00:00.00,0.839331,3.22832,
345,2000-12-11,00:00:00.00,0.827218,3.15694,
346,2000-12-12,00:00:00.00,7.54628,3.10296,
347,2000-12-13,00:00:00.00,9.21528,3.06209,
348,2000-12-14,00:00:00.00,1.59577,3.03171,
349,2000-12-15,00:00:00.00,5.76701,3.00187,
350,2000-12-16,00:00:00.00,0.322702,2.97149,
351,2000-12-17,00:00:00.00,10.0384,3.28417,
352,2000-12-18,00:00:00.00,14.2011,4.81694,
353,2000-12-19,00:00:00.00,1.15969,6.00242,
354,2000-12-20,00:00:00.00,4.82173,5.74371,
355,2000-12-21,00:00:00.00,0.705779,5.23625,
356,2000-12-22,00:00:00.00,3.61301,4.71614,
357,2000-12-23,00:00:00.00,0.536834,4.25148,
358,2000-12-24,00:00:00.00,1.66783,3.87602,
359,2000-12-25,00:00:00.00,4.91896,3.59445,
360,2000-12-26,00:00:00.00,1.61456,3.3896,
361,2000-12-27,00:00:00.00,1.18723,3.24387,
362,2000-12-28,00:00:00.00,2.02293,3.13917,
363,2000-12-29,00:00:00.00,0.273133,3.05982,
364,2000-12-30,00:00:00.00,0.455306,2.99528,
365,2000-12-31,00:00:00.00,4.35583,2.93495,
366,2001-01-01,00:00:00.00,0.335704,2.89078,
367,2001-01-02,00:00:00.00,0.331277,2.86344,1.98
368,2001-01-03,00:00:00.00,0.326491,2.83721,1.96
369,2001-01-04,00:00:00.00,2.02914,2.80974,1.94
370,2001-01-05,00:00:00.00,0.451847,2.78198,1.93
371,2001-01-06,00:00:00.00,11.3169,2.75557,1.94
372,2001-01-07,00:00:00.00,0.315724,2.72772,1.96
373,2001-01-08,00:00:00.00,1.57099,2.69929,1.94
374,2001-01-09,00:00:00.00,0.229606,2.67187,1.91
375,2001-01-10,00:00:00.00,1.11907,2.64541,1.93
376,2001-01-11,00:00:00.00,0.210753,2.61889,1.94
377,2001-01-12,00:00:00.00,0.126326,2.59042,1.96
378,2001-01-13,00:00:00.00,0.667473,2.56132,1.95
379,2001-01-14,00:00:00.00,0.225745,2.5335,1.92
380,2001-01-15,00:00:00.00,0.215427,2.50488,1.88
381,2001-01-16,00:00:00.00,5.47667,2.63497,1.9
382,2001-01-17,00:00:00.00,2.80096,2.77112,1.92
383,2001-01-18,00:00:00.00,1.28989,2.72636,1.94
384,2001-01-19,00:00:00.00,0.465838,2.65302,1.9
385,2001-01-20,00:00:00.00,0.553933,2.57667,1.84
386,2001-01-21,00:00:00.00,0.617228,2.5042,1.8
387,2001-01-22,00:00:00.00,0.684422,2.44437,1.77
388,2001-01-23,00:00:00.00,0.349064,2.39445,1.74
389,2001-01-24,00:00:00.00,0.423803,2.35029,1.71
390,2001-01-25,00:00:00.00,2.10444,2.31103,1.69
