time,date,hour,precip [mm/day],sub6548 [m3/s],sub6548 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.403739,4.51193,
2,2000-01-03,00:00:00.00,17.539,10.756,
3,2000-01-04,00:00:00.00,11.4239,14.588,
4,2000-01-05,00:00:00.00,14.038,18.5133,
5,2000-01-06,00:00:00.00,0.513196,21.5899,
6,2000-01-07,00:00:00.00,1.07305,22.4904,
7,2000-01-08,00:00:00.00,1.86391,21.0669,
8,2000-01-09,00:00:00.00,0.321631,18.8224,
9,2000-01-10,00:00:00.00,0.142879,16.7099,
10,2000-01-11,00:00:00.00,5.62385,16.651,
11,2000-01-12,00:00:00.00,3.81447,19.5278,
12,2000-01-13,00:00:00.00,1.91177,22.3166,
13,2000-01-14,00:00:00.00,2.71188,22.7002,
14,2000-01-15,00:00:00.00,0.412443,21.394,
15,2000-01-16,00:00:00.00,1.84263,19.5105,
16,2000-01-17,00:00:00.00,1.39133,17.74,
17,2000-01-18,00:00:00.00,0.854066,16.3214,
18,2000-01-19,00:00:00.00,1.72222,15.2872,
19,2000-01-20,00:00:00.00,2.28382,14.6023,
20,2000-01-21,00:00:00.00,4.12508,14.0948,
21,2000-01-22,00:00:00.00,0.509959,13.6765,
22,2000-01-23,00:00:00.00,0.722529,13.2809,
23,2000-01-24,00:00:00.00,5.38913,12.8244,
24,2000-01-25,00:00:00.00,1.75069,12.3374,
25,2000-01-26,00:00:00.00,1.37827,11.8897,
26,2000-01-27,00:00:00.00,0.619603,11.4091,
27,2000-01-28,00:00:00.00,0.417388,10.96,
28,2000-01-29,00:00:00.00,0.274757,10.5625,
29,2000-01-30,00:00:00.00,0.238689,10.2123,
30,2000-01-31,00:00:00.00,0.913233,9.94832,
31,2000-02-01,00:00:00.00,1.09541,9.71918,
32,2000-02-02,00:00:00.00,2.3301,9.52858,
33,2000-02-03,00:00:00.00,0.621,9.37084,
34,2000-02-04,00:00:00.00,2.59459,9.1974,
35,2000-02-05,00:00:00.00,0.809758,9.04548,
36,2000-02-06,00:00:00.00,2.57279,8.96718,
37,2000-02-07,00:00:00.00,0.387308,8.90379,
38,2000-02-08,00:00:00.00,0.608228,8.83498,
39,2000-02-09,00:00:00.00,0.357171,8.76843,
40,2000-02-10,00:00:00.00,1.89692,8.69856,
41,2000-02-11,00:00:00.00,7.59807,8.62351,
42,2000-02-12,00:00:00.00,3.27227,8.55599,
43,2000-02-13,00:00:00.00,0.507935,8.5016,
44,2000-02-14,00:00:00.00,7.12227,8.44704,
45,2000-02-15,00:00:00.00,0.798055,8.39062,
46,2000-02-16,00:00:00.00,3.12755,8.33633,
47,2000-02-17,00:00:00.00,6.91159,8.27508,
48,2000-02-18,00:00:00.00,0.285741,8.20753,
49,2000-02-19,00:00:00.00,4.17041,8.14842,
50,2000-02-20,00:00:00.00,0.579528,8.09163,
