time,date,hour,precip [mm/day],sub6581 [m3/s],sub6581 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,0,
1,2000-01-02,00:00:00.00,0.0862822,1.40692,
2,2000-01-03,00:00:00.00,3.4501,3.15732,
3,2000-01-04,00:00:00.00,6.55477,4.90795,
4,2000-01-05,00:00:00.00,2.37276,6.45109,
5,2000-01-06,00:00:00.00,0.0543303,5.82043,
6,2000-01-07,00:00:00.00,0.0568871,4.47984,
7,2000-01-08,00:00:00.00,0.0610441,3.63426,
8,2000-01-09,00:00:00.00,0.0553765,3.68985,
9,2000-01-10,00:00:00.00,0.621577,6.49896,
10,2000-01-11,00:00:00.00,3.05964,11.1871,
11,2000-01-12,00:00:00.00,0.436847,13.7022,
12,2000-01-13,00:00:00.00,1.21682,12.3703,
13,2000-01-14,00:00:00.00,2.49978,8.95311,
14,2000-01-15,00:00:00.00,0.198041,6.11416,
15,2000-01-16,00:00:00.00,0.0724186,4.5741,
16,2000-01-17,00:00:00.00,0.099336,3.86193,
17,2000-01-18,00:00:00.00,2.25827,3.50527,
18,2000-01-19,00:00:00.00,0.0396696,3.27696,
19,2000-01-20,00:00:00.00,4.07841,3.08853,
20,2000-01-21,00:00:00.00,1.13558,2.94471,
21,2000-01-22,00:00:00.00,0.0910715,2.83861,
22,2000-01-23,00:00:00.00,0.762055,2.76328,
23,2000-01-24,00:00:00.00,0.0318105,2.70827,
24,2000-01-25,00:00:00.00,0.0194817,2.66235,
25,2000-01-26,00:00:00.00,0.0255611,2.62621,
26,2000-01-27,00:00:00.00,0.0332373,2.60208,
27,2000-01-28,00:00:00.00,0.138459,2.58713,
28,2000-01-29,00:00:00.00,0.664241,2.57559,
29,2000-01-30,00:00:00.00,1.00333,2.56267,
30,2000-01-31,00:00:00.00,3.89733,2.5502,
31,2000-02-01,00:00:00.00,0.0679324,2.53877,
32,2000-02-02,00:00:00.00,0.127226,2.52722,
33,2000-02-03,00:00:00.00,1.33236,2.51557,
34,2000-02-04,00:00:00.00,0.650611,2.50375,
35,2000-02-05,00:00:00.00,0.229893,2.4913,
36,2000-02-06,00:00:00.00,0.0861024,2.47896,
37,2000-02-07,00:00:00.00,0.0444218,2.46545,
38,2000-02-08,00:00:00.00,0.0971047,2.45106,
39,2000-02-09,00:00:00.00,0.0552659,2.43776,
40,2000-02-10,00:00:00.00,0.136456,2.62348,
41,2000-02-11,00:00:00.00,0.123153,3.68537,
42,2000-02-12,00:00:00.00,0.118195,4.64783,
43,2000-02-13,00:00:00.00,0.157498,4.26962,
44,2000-02-14,00:00:00.00,6.08455,3.44334,
45,2000-02-15,00:00:00.00,0.120937,2.91999,
46,2000-02-16,00:00:00.00,1.21073,2.65654,
47,2000-02-17,00:00:00.00,0.055803,2.53117,
48,2000-02-18,00:00:00.00,1.26283,2.475,
49,2000-02-19,00:00:00.00,6.93195,2.42398,
50,2000-02-20,00:00:00.00,0.073385,2.38052,
51,2000-02-21,00:00:00.00,0.033848,2.34516,
52,2000-02-22,00:00:00.00,0.0584802,2.31515,
53,2000-02-23,00:00:00.00,0.286,3.90843,
54,2000-02-24,00:00:00.00,0.37887,13.6692,
55,2000-02-25,00:00:00.00,4.1297,27.7103,
56,2000-02-26,00:00:00.00,0.140621,31.8634,
57,2000-02-27,00:00:00.00,3.5108,25.2669,
58,2000-02-28,00:00:00.00,0.308096,17.6902,
59,2000-02-29,00:00:00.00,0.173746,13.0116,
60,2000-03-01,00:00:00.00,0.429801,9.53397,
61,2000-03-02,00:00:00.00,0.794045,7.24284,
62,2000-03-03,00:00:00.00,0.0320427,6.1619,
63,2000-03-04,00:00:00.00,0.142787,5.40212,
64,2000-03-05,00:00:00.00,0.0526302,4.52713,
65,2000-03-06,00:00:00.00,0.757998,3.91542,
66,2000-03-07,00:00:00.00,0.142726,3.79374,
67,2000-03-08,00:00:00.00,0.990091,3.84469,
68,2000-03-09,00:00:00.00,1.33254,4.00791,
69,2000-03-10,00:00:00.00,0.340239,4.47077,
70,2000-03-11,00:00:00.00,0.0158757,4.60721,
71,2000-03-12,00:00:00.00,0.112075,4.05199,
72,2000-03-13,00:00:00.00,0.0787856,3.31659,
73,2000-03-14,00:00:00.00,0.886971,2.8476,
74,2000-03-15,00:00:00.00,0.179745,2.8284,
75,2000-03-16,00:00:00.00,3.5317,3.40978,
76,2000-03-17,00:00:00.00,0.0489788,4.85587,
77,2000-03-18,00:00:00.00,0.185778,5.75121,
78,2000-03-19,00:00:00.00,0.0623101,4.92926,
79,2000-03-20,00:00:00.00,1.29678,3.69153,
80,2000-03-21,00:00:00.00,1.45783,3.14803,
81,2000-03-22,00:00:00.00,1.24524,3.98751,
82,2000-03-23,00:00:00.00,0.195163,5.30122,
83,2000-03-24,00:00:00.00,0.0634126,5.30989,
84,2000-03-25,00:00:00.00,3.70023,4.53612,
85,2000-03-26,00:00:00.00,0.0193481,4.88378,
86,2000-03-27,00:00:00.00,2.64612,5.64379,
87,2000-03-28,00:00:00.00,1.79501,5.9151,
88,2000-03-29,00:00:00.00,0.703636,6.25877,
89,2000-03-30,00:00:00.00,0.0296773,5.99361,
90,2000-03-31,00:00:00.00,0.0254122,4.91816,
91,2000-04-01,00:00:00.00,0.0337597,3.77276,
92,2000-04-02,00:00:00.00,0.0499052,2.9935,
93,2000-04-03,00:00:00.00,0.253822,2.56953,
94,2000-04-04,00:00:00.00,0.00917904,2.4214,
95,2000-04-05,00:00:00.00,0.0476018,2.34075,
96,2000-04-06,00:00:00.00,0.617326,2.24312,
97,2000-04-07,00:00:00.00,0.12937,2.29565,
98,2000-04-08,00:00:00.00,19.8065,3.542,
99,2000-04-09,00:00:00.00,2.82641,9.4483,
100,2000-04-10,00:00:00.00,0.256944,14.804,
101,2000-04-11,00:00:00.00,0.315674,13.5692,
102,2000-04-12,00:00:00.00,1.60809,9.97433,
103,2000-04-13,00:00:00.00,0.451948,7.36643,
104,2000-04-14,00:00:00.00,0.108841,5.83926,
105,2000-04-15,00:00:00.00,0.0484189,4.66237,
106,2000-04-16,00:00:00.00,0.538139,3.74089,
107,2000-04-17,00:00:00.00,0.776574,3.22527,
108,2000-04-18,00:00:00.00,2.18318,3.28772,
109,2000-04-19,00:00:00.00,0.515861,3.85976,
110,2000-04-20,00:00:00.00,10.4715,4.82883,
111,2000-04-21,00:00:00.00,40.1759,9.94421,
112,2000-04-22,00:00:00.00,4.403,25.0722,
113,2000-04-23,00:00:00.00,0.102541,36.5701,
114,2000-04-24,00:00:00.00,2.23844,31.1375,
115,2000-04-25,00:00:00.00,0.0150217,20.0579,
116,2000-04-26,00:00:00.00,0.0159331,12.6385,
117,2000-04-27,00:00:00.00,0.152707,8.18216,
118,2000-04-28,00:00:00.00,0.0982185,5.75631,
119,2000-04-29,00:00:00.00,0.288729,4.69192,
120,2000-04-30,00:00:00.00,0.144041,4.03372,
121,2000-05-01,00:00:00.00,0.195286,3.57253,
122,2000-05-02,00:00:00.00,11.9862,3.954,
