time,date,hour,precip [mm/day],sub28 [m3/s],sub28 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.0130321,0.00318824,0.329
2,2010-01-03,00:00:00.00,0.0425105,0.00636986,0.2
3,2010-01-04,00:00:00.00,0.174987,0.00635633,0.131
4,2010-01-05,00:00:00.00,1.62153,0.00634217,0.13
5,2010-01-06,00:00:00.00,0.427038,0.0063274,0.132
6,2010-01-07,00:00:00.00,0.0758961,0.00631216,0.14
7,2010-01-08,00:00:00.00,5.22316,0.00629657,0.148
8,2010-01-09,00:00:00.00,2.57451,0.00628077,0.144
9,2010-01-10,00:00:00.00,0.105917,0.00626486,0.139
10,2010-01-11,00:00:00.00,0.0192568,0.0062489,0.122
11,2010-01-12,00:00:00.00,1.39196,0.00623291,0.117
12,2010-01-13,00:00:00.00,0.0421964,0.00621691,0.115
13,2010-01-14,00:00:00.00,0.000199349,0.00620092,0.117
14,2010-01-15,00:00:00.00,0.00100986,0.00618494,0.114
15,2010-01-16,00:00:00.00,0.00330704,0.006169,0.121
16,2010-01-17,00:00:00.00,0.000157661,0.00615309,0.129
17,2010-01-18,00:00:00.00,0.00303316,0.00613724,0.137
18,2010-01-19,00:00:00.00,0.00404597,0.00612145,0.139
19,2010-01-20,00:00:00.00,0.164392,0.00610572,0.137
20,2010-01-21,00:00:00.00,0.0810496,0.00609005,0.136
21,2010-01-22,00:00:00.00,0.0023649,0.00607445,0.128
22,2010-01-23,00:00:00.00,0.0158523,0.0060589,0.127
23,2010-01-24,00:00:00.00,0.166621,0.00604342,0.137
24,2010-01-25,00:00:00.00,18.3453,1.07,1.54
25,2010-01-26,00:00:00.00,2.67655,3.1772,18.3
26,2010-01-27,00:00:00.00,1.66095,2.32708,8.95
27,2010-01-28,00:00:00.00,0.431961,0.427157,2.9
28,2010-01-29,00:00:00.00,0.471163,0.414059,2.13
29,2010-01-30,00:00:00.00,0.000317001,0.401223,0.7
30,2010-01-31,00:00:00.00,0.00361416,0.38878,0.25
31,2010-02-01,00:00:00.00,0.0289125,0.37668,0.19
32,2010-02-02,00:00:00.00,0.0223426,0.364918,0.155
33,2010-02-03,00:00:00.00,0.567226,0.353516,0.123
34,2010-02-04,00:00:00.00,0.274979,0.342498,0.128
35,2010-02-05,00:00:00.00,0.000109768,0.331909,0.12
36,2010-02-06,00:00:00.00,0.0197786,0.321766,0.116
37,2010-02-07,00:00:00.00,0.0231204,0.31208,0.113
38,2010-02-08,00:00:00.00,0.0310596,0.302847,0.11
39,2010-02-09,00:00:00.00,0.0276778,0.294044,0.109
40,2010-02-10,00:00:00.00,8.50456,0.285646,0.109
41,2010-02-11,00:00:00.00,10.5913,0.279122,0.11
42,2010-02-12,00:00:00.00,1.4299,0.272901,0.113
43,2010-02-13,00:00:00.00,0.00681523,0.265474,0.117
44,2010-02-14,00:00:00.00,0.0225077,0.258372,0.121
45,2010-02-15,00:00:00.00,0.0331407,0.251577,0.119
46,2010-02-16,00:00:00.00,0.169991,0.245073,0.117
47,2010-02-17,00:00:00.00,0.324524,0.238843,0.119
48,2010-02-18,00:00:00.00,0.00729452,0.232872,0.119
49,2010-02-19,00:00:00.00,0.00351954,0.227145,0.119
50,2010-02-20,00:00:00.00,0.000354514,0.221648,0.129
51,2010-02-21,00:00:00.00,0.000168917,0.21637,0.142
52,2010-02-22,00:00:00.00,0.00212569,0.211297,0.157
53,2010-02-23,00:00:00.00,11.4462,0.211157,0.171
54,2010-02-24,00:00:00.00,0.106337,0.211034,0.179
55,2010-02-25,00:00:00.00,0.00839081,0.206184,0.203
56,2010-02-26,00:00:00.00,0.0673831,0.201507,0.19
57,2010-02-27,00:00:00.00,4.05645,0.197002,0.16
58,2010-02-28,00:00:00.00,0.603145,0.19266,0.139
59,2010-03-01,00:00:00.00,0.0108521,0.188473,0.157
60,2010-03-02,00:00:00.00,0.00364637,0.184434,0.484
61,2010-03-03,00:00:00.00,0.00124981,0.180537,1.92
62,2010-03-04,00:00:00.00,2.1565e-308,0.176774,3.02
63,2010-03-05,00:00:00.00,0,0.17314,4.5
64,2010-03-06,00:00:00.00,0,0.169628,3.45
65,2010-03-07,00:00:00.00,0.000134391,0.166233,3.09
66,2010-03-08,00:00:00.00,0.000363511,0.162949,3.41
67,2010-03-09,00:00:00.00,0.000152961,0.159771,4.22
68,2010-03-10,00:00:00.00,0.0133347,4.00068,3.72
69,2010-03-11,00:00:00.00,0.131024,4.97397,3.78
70,2010-03-12,00:00:00.00,0.000461667,1.99611,3.76
71,2010-03-13,00:00:00.00,7.32211,2.14254,6.16
72,2010-03-14,00:00:00.00,18.299,5.72775,9.12
