time,date,hour,precip [mm/day],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s]
0,2010-01-01,00:00:00.00,---,43.9681,,4.58812,9.32909
1,2010-01-02,00:00:00.00,0.719123,35.7394,9.6277,3.02831,6.59994
2,2010-01-03,00:00:00.00,0.0991164,18.7484,8.7782,0.735537,2.32025
3,2010-01-04,00:00:00.00,0.39498,7.27122,7.9287,0.0242537,0.492028
4,2010-01-05,00:00:00.00,2.04352,3.52564,7.3624,0.0634968,0.171508
5,2010-01-06,00:00:00.00,0.666896,1.96272,6.796,0.093265,0.172691
6,2010-01-07,00:00:00.00,0.803026,1.17972,6.2297,0.109093,0.202373
7,2010-01-08,00:00:00.00,5.6444,0.985113,5.9465,0.112888,0.217207
8,2010-01-09,00:00:00.00,1.41831,1.04449,6.2297,0.112688,0.222602
9,2010-01-10,00:00:00.00,0.242319,1.05944,5.6634,0.111992,0.221134
10,2010-01-11,00:00:00.00,0.165591,1.0662,5.2386,0.111366,0.221103
11,2010-01-12,00:00:00.00,1.69092,1.06226,4.9554,0.110764,0.21883
12,2010-01-13,00:00:00.00,0.280647,1.05774,4.8139,0.110207,0.218709
13,2010-01-14,00:00:00.00,0.0138437,1.05146,4.5307,0.109664,0.216644
14,2010-01-15,00:00:00.00,0.0178309,1.04681,4.2475,0.109103,0.216459
15,2010-01-16,00:00:00.00,0.0557218,1.04087,4.8139,0.108503,0.214417
16,2010-01-17,00:00:00.00,0.0086597,1.03552,4.5307,0.107853,0.213995
17,2010-01-18,00:00:00.00,0.455925,1.02923,4.2475,0.107145,0.21184
18,2010-01-19,00:00:00.00,0.0547047,1.0228,3.9644,0.106391,0.211133
19,2010-01-20,00:00:00.00,0.0350892,1.01583,5.6634,0.105629,0.208916
20,2010-01-21,00:00:00.00,0.0196473,1.0088,11.3267,0.104892,0.208115
21,2010-01-22,00:00:00.00,1.42252,1.00175,16.9901,0.104181,0.206032
22,2010-01-23,00:00:00.00,0.423711,0.994891,14.1584,0.103492,0.205256
23,2010-01-24,00:00:00.00,0.0634131,0.988265,11.8931,0.102839,0.203347
24,2010-01-25,00:00:00.00,11.9706,1.05262,22.6535,0.127099,0.238193
25,2010-01-26,00:00:00.00,0.865423,1.48749,109.869,0.259699,0.432285
26,2010-01-27,00:00:00.00,1.4952,2.73557,141.018,0.560416,0.902937
27,2010-01-28,00:00:00.00,0.48043,4.64594,104.489,0.8384,1.42073
28,2010-01-29,00:00:00.00,0.850356,6.12182,59.1822,0.785477,1.51687
29,2010-01-30,00:00:00.00,0.018668,6.1979,24.2675,0.469952,1.12989
30,2010-01-31,00:00:00.00,0.00228967,4.99566,22.6535,0.217017,0.649118
31,2010-02-01,00:00:00.00,7.56564e-308,3.38336,21.2376,0.130289,0.360892
32,2010-02-02,00:00:00.00,6.57432e-308,2.13745,18.6891,0.120187,0.262108
33,2010-02-03,00:00:00.00,0.505944,1.47808,14.1584,0.120721,0.241099
34,2010-02-04,00:00:00.00,0.444286,1.22834,11.3267,0.119983,0.237958
35,2010-02-05,00:00:00.00,0.0065529,1.15955,8.2119,0.119359,0.236009
36,2010-02-06,00:00:00.00,4.81119,1.14484,8.7782,0.119697,0.236396
37,2010-02-07,00:00:00.00,4.11653,1.15461,27.1842,0.124588,0.242895
38,2010-02-08,00:00:00.00,0.135506,1.2001,19.8218,0.136589,0.26152
39,2010-02-09,00:00:00.00,0.0250976,1.27411,14.7248,0.147706,0.281723
40,2010-02-10,00:00:00.00,12.259,1.33014,12.7426,0.144946,0.284843
41,2010-02-11,00:00:00.00,2.82275,1.32765,11.3267,0.131136,0.267361
42,2010-02-12,00:00:00.00,0.237832,1.27171,9.6277,0.119922,0.246345
43,2010-02-13,00:00:00.00,0.30078,1.19856,11.3267,0.115657,0.232907
44,2010-02-14,00:00:00.00,0.562911,1.14067,9.9109,0.114601,0.227728
45,2010-02-15,00:00:00.00,0.126763,1.10724,8.4951,0.114007,0.225457
46,2010-02-16,00:00:00.00,1.34412,1.09096,7.0792,0.113384,0.224312
47,2010-02-17,00:00:00.00,2.58825,1.08238,7.3624,0.112785,0.222923
48,2010-02-18,00:00:00.00,0.433226,1.07607,6.5129,0.112188,0.221894
49,2010-02-19,00:00:00.00,0.105888,1.07019,5.6634,0.111577,0.220533
50,2010-02-20,00:00:00.00,7.649e-308,1.0643,4.8139,0.110939,0.219432
51,2010-02-21,00:00:00.00,0.000161417,1.05825,4.3891,0.110271,0.217989
52,2010-02-22,00:00:00.00,0.959212,1.05201,3.9644,0.109588,0.216782
53,2010-02-23,00:00:00.00,5.67301,1.05186,4.5307,0.111098,0.218428
54,2010-02-24,00:00:00.00,0.351919,1.0843,5.6634,0.122164,0.234419
55,2010-02-25,00:00:00.00,0.93898,1.18851,7.9287,0.148091,0.27445
56,2010-02-26,00:00:00.00,1.60975,1.35135,18.944,0.172103,0.319059
57,2010-02-27,00:00:00.00,4.89444,1.47644,25.74,0.167102,0.326562
58,2010-02-28,00:00:00.00,1.93021,1.47919,22.5968,0.139067,0.292121
59,2010-03-01,00:00:00.00,0.254075,1.37011,19.3687,0.116479,0.249157
60,2010-03-02,00:00:00.00,0.135031,1.22499,17.698,0.108422,0.223202
61,2010-03-03,00:00:00.00,0.213227,1.11182,17.4149,0.107068,0.213533
62,2010-03-04,00:00:00.00,0.201173,1.04972,21.0394,0.106608,0.210851
63,2010-03-05,00:00:00.00,0.0414891,1.0231,26.1364,0.105985,0.209428
64,2010-03-06,00:00:00.00,0.0310691,1.01203,25.825,0.105357,0.20825
65,2010-03-07,00:00:00.00,0.00116381,1.00523,25.0604,0.104736,0.206944
66,2010-03-08,00:00:00.00,0.000601001,0.99916,27.4673,0.104124,0.205786
67,2010-03-09,00:00:00.00,0.0126181,0.993162,46.7228,0.103492,0.204479
68,2010-03-10,00:00:00.00,0.0789958,1.09905,95.1446,0.142224,0.25952
69,2010-03-11,00:00:00.00,0.461991,1.79264,179.812,0.353004,0.568883
70,2010-03-12,00:00:00.00,0.682389,3.78467,272.408,0.833455,1.31948
71,2010-03-13,00:00:00.00,0.887601,7.11135,257.966,1.27952,2.14937
72,2010-03-14,00:00:00.00,11.1494,9.91111,219.456,1.20835,2.32192
73,2010-03-15,00:00:00.00,2.70424,9.62186,215.774,0.762863,1.79173
74,2010-03-16,00:00:00.00,0.217015,7.55207,191.139,0.485258,1.22215
75,2010-03-17,00:00:00.00,7.46285e-308,6.06408,143.85,0.46854,0.987333
76,2010-03-18,00:00:00.00,0,5.11723,94.5783,0.446891,0.893598
77,2010-03-19,00:00:00.00,0.000325231,4.24578,58.0495,0.329892,0.725957
78,2010-03-20,00:00:00.00,0.000178091,3.37602,38.7941,0.223227,0.529594
79,2010-03-21,00:00:00.00,0.0825642,2.6596,27.5523,0.180569,0.40281
80,2010-03-22,00:00:00.00,0.00617719,2.10364,21.266,0.172716,0.353566
81,2010-03-23,00:00:00.00,13.5127,1.83977,18.944,0.183473,0.357384
82,2010-03-24,00:00:00.00,0.414402,1.91894,31.1485,0.245193,0.446096
83,2010-03-25,00:00:00.00,0.00184651,2.47258,45.5901,0.387498,0.667633
84,2010-03-26,00:00:00.00,13.7927,3.4036,42.7584,0.532599,0.931582
85,2010-03-27,00:00:00.00,0.0159692,4.32977,33.1307,0.576796,1.07869
