DATE	cout
UNITS	m3/s
2010-01-01	10.066
2010-01-02	9.531
2010-01-03	9.011
2010-01-04	8.513
2010-01-05	8.038
2010-01-06	7.589
2010-01-07	7.163
2010-01-08	6.761
2010-01-09	6.382
2010-01-10	6.023
2010-01-11	5.685
2010-01-12	5.365
2010-01-13	5.064
2010-01-14	4.786
2010-01-15	4.826
2010-01-16	5.01
2010-01-17	5.175
2010-01-18	5.622
2010-01-19	6.016
2010-01-20	6.068
2010-01-21	5.924
2010-01-22	5.703
2010-01-23	5.466
2010-01-24	10.818
2010-01-25	40.023
2010-01-26	52.46
2010-01-27	34.495
2010-01-28	22.52
2010-01-29	16.086
2010-01-30	12.593
2010-01-31	10.592
2010-02-01	9.352
2010-02-02	8.504
2010-02-03	7.866
2010-02-04	7.344
2010-02-05	6.891
2010-02-06	6.484
2010-02-07	6.11
2010-02-08	5.761
2010-02-09	5.435
2010-02-10	5.133
2010-02-11	4.846
2010-02-12	4.571
2010-02-13	4.313
2010-02-14	4.069
2010-02-15	3.881
2010-02-16	3.689
2010-02-17	3.457
2010-02-18	3.247
2010-02-19	3.056
2010-02-20	2.884
2010-02-21	2.734
2010-02-22	2.616
2010-02-23	2.836
2010-02-24	3.221
2010-02-25	3.359
2010-02-26	3.465
2010-02-27	3.468
2010-02-28	3.304
2010-03-01	3.156
2010-03-02	3.036
2010-03-03	2.939
2010-03-04	2.851
2010-03-05	2.767
2010-03-06	2.694
2010-03-07	2.712
2010-03-08	3.027
2010-03-09	4.241
2010-03-10	13.14
2010-03-11	28.169
2010-03-12	34.31
2010-03-13	28.915
2010-03-14	21.914
2010-03-15	17.872
2010-03-16	15.674
2010-03-17	14.46
2010-03-18	13.695
2010-03-19	13.064
2010-03-20	12.439
2010-03-21	11.798
2010-03-22	11.504
2010-03-23	11.9
2010-03-24	12.358
2010-03-25	13.018
2010-03-26	13.523
2010-03-27	13.262
2010-03-28	13.016
2010-03-29	13.001
2010-03-30	12.852
2010-03-31	12.444
2010-04-01	11.903
2010-04-02	11.313
2010-04-03	10.716
2010-04-04	10.134
2010-04-05	9.575
2010-04-06	9.149
2010-04-07	8.865
2010-04-08	8.911
2010-04-09	9.091
2010-04-10	8.986
2010-04-11	8.689
2010-04-12	8.305
2010-04-13	7.89
2010-04-14	7.473
2010-04-15	7.066
2010-04-16	6.78
2010-04-17	6.565
2010-04-18	6.291
2010-04-19	5.986
2010-04-20	5.674
2010-04-21	5.367
2010-04-22	5.072
2010-04-23	4.79
2010-04-24	4.522
2010-04-25	4.305
2010-04-26	4.439
2010-04-27	4.721
2010-04-28	4.757
2010-04-29	4.643
2010-04-30	4.459
2010-05-01	4.247
2010-05-02	4.027
2010-05-03	3.81
2010-05-04	3.601
2010-05-05	3.401
2010-05-06	5.961
2010-05-07	7.917
2010-05-08	9.664
2010-05-09	10.946
2010-05-10	9.29
2010-05-11	8.144
2010-05-12	7.847
2010-05-13	7.911
2010-05-14	9.134
2010-05-15	10.146
2010-05-16	9.697
2010-05-17	9.136
2010-05-18	8.609
2010-05-19	8.119
2010-05-20	7.659
2010-05-21	7.227
2010-05-22	6.82
2010-05-23	6.437
2010-05-24	6.075
2010-05-25	5.733
2010-05-26	5.411
2010-05-27	5.107
2010-05-28	4.82
2010-05-29	4.549
2010-05-30	4.294
2010-05-31	4.052
2010-06-01	3.825
2010-06-02	3.61
2010-06-03	3.416
2010-06-04	3.376
2010-06-05	3.938
2010-06-06	30.405
2010-06-07	47.845
2010-06-08	33.449
2010-06-09	22.355
2010-06-10	16.623
2010-06-11	13.729
2010-06-12	12.009
2010-06-13	10.863
2010-06-14	10.031
2010-06-15	9.372
2010-06-16	8.956
2010-06-17	8.696
2010-06-18	8.366
2010-06-19	7.979
2010-06-20	7.572
2010-06-21	7.168
2010-06-22	6.91
2010-06-23	6.738
2010-06-24	8.649
2010-06-25	10.123
2010-06-26	9.187
2010-06-27	8.33
2010-06-28	8.179
2010-06-29	8.405
2010-06-30	8.333
2010-07-01	8.068
2010-07-02	7.716
2010-07-03	7.333
2010-07-04	6.947
2010-07-05	6.569
2010-07-06	6.206
2010-07-07	5.861
2010-07-08	5.533
2010-07-09	5.55
2010-07-10	5.75
2010-07-11	5.72
2010-07-12	5.548
2010-07-13	5.31
2010-07-14	5.049
2010-07-15	4.784
2010-07-16	4.525
2010-07-17	4.275
2010-07-18	4.037
2010-07-19	3.811
2010-07-20	3.598
2010-07-21	3.396
2010-07-22	3.205
2010-07-23	5.213
2010-07-24	6.843
2010-07-25	7.426
2010-07-26	8.02
2010-07-27	7.406
2010-07-28	6.83
2010-07-29	6.361
2010-07-30	5.961
2010-07-31	5.605
2010-08-01	5.279
2010-08-02	4.977
2010-08-03	4.695
2010-08-04	4.43
2010-08-05	4.18
2010-08-06	3.945
2010-08-07	3.723
2010-08-08	3.514
2010-08-09	3.317
2010-08-10	3.216
2010-08-11	3.169
2010-08-12	3.068
2010-08-13	2.935
2010-08-14	2.789
2010-08-15	2.642
2010-08-16	2.499
2010-08-17	2.361
2010-08-18	2.229
2010-08-19	2.105
2010-08-20	1.987
2010-08-21	1.875
2010-08-22	10.581
2010-08-23	16.665
2010-08-24	12.322
2010-08-25	8.997
2010-08-26	7.111
2010-08-27	6.018
2010-08-28	5.334
2010-08-29	4.861
2010-08-30	4.502
2010-08-31	4.206
2010-09-01	3.948
2010-09-02	3.716
2010-09-03	3.502
2010-09-04	3.302
2010-09-05	3.115
2010-09-06	2.94
2010-09-07	2.774
2010-09-08	2.902
2010-09-09	3.183
2010-09-10	3.258
2010-09-11	3.204
2010-09-12	3.208
2010-09-13	3.247
2010-09-14	3.187
2010-09-15	3.07
2010-09-16	3.346
2010-09-17	4.023
2010-09-18	4.487
2010-09-19	4.605
2010-09-20	4.532
2010-09-21	4.371
2010-09-22	4.172
2010-09-23	3.961
2010-09-24	3.75
2010-09-25	3.545
2010-09-26	3.348
2010-09-27	3.162
2010-09-28	3.492
2010-09-29	4.131
2010-09-30	8.676
2010-10-01	11.751
2010-10-02	9.762
2010-10-03	9.885
2010-10-04	10.796
2010-10-05	12.132
2010-10-06	13.556
2010-10-07	13.438
2010-10-08	13.019
2010-10-09	12.459
2010-10-10	11.845
2010-10-11	11.395
2010-10-12	11.209
2010-10-13	10.999
2010-10-14	10.692
2010-10-15	10.404
2010-10-16	10.059
2010-10-17	9.622
2010-10-18	9.146
2010-10-19	8.665
2010-10-20	8.194
2010-10-21	9.589
2010-10-22	10.752
2010-10-23	10.063
2010-10-24	9.537
2010-10-25	9.126
2010-10-26	8.707
2010-10-27	9.089
2010-10-28	9.635
2010-10-29	9.445
2010-10-30	9.066
2010-10-31	8.631
2010-11-01	8.183
2010-11-02	7.742
2010-11-03	7.316
2010-11-04	7.152
2010-11-05	7.562
2010-11-06	8.055
2010-11-07	8.153
2010-11-08	7.987
2010-11-09	7.686
2010-11-10	7.328
2010-11-11	6.953
2010-11-12	6.581
2010-11-13	6.22
2010-11-14	5.875
2010-11-15	5.548
2010-11-16	5.523
2010-11-17	9.857
2010-11-18	12.936
2010-11-19	11.103
2010-11-20	9.588
2010-11-21	8.583
2010-11-22	10.156
2010-11-23	11.883
2010-11-24	11.379
2010-11-25	10.753
2010-11-26	11.914
2010-11-27	12.889
2010-11-28	12.084
2010-11-29	11.384
2010-11-30	13.721
2010-12-01	30.037
2010-12-02	37.927
2010-12-03	28.336
2010-12-04	21.398
2010-12-05	17.415
2010-12-06	15.041
2010-12-07	13.5
2010-12-08	12.393
2010-12-09	11.523
2010-12-10	10.789
2010-12-11	10.422
2010-12-12	10.854
2010-12-13	11.358
2010-12-14	11.279
2010-12-15	10.921
2010-12-16	10.445
2010-12-17	9.927
2010-12-18	9.404
2010-12-19	8.893
2010-12-20	8.401
2010-12-21	7.934
2010-12-22	7.49
2010-12-23	7.07
2010-12-24	6.674
2010-12-25	6.299
