time,date,hour,precip [mm/day],sub26 [m3/s],sub26 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.401543,4.69996,0.42
2,2010-01-03,00:00:00.00,0.579459,6.8274,0.3
3,2010-01-04,00:00:00.00,3.43505,3.46946,0.22
4,2010-01-05,00:00:00.00,11.7917,2.31235,0.18
5,2010-01-06,00:00:00.00,3.52092,1.72728,0.15
6,2010-01-07,00:00:00.00,0.0482007,1.37688,0.13
7,2010-01-08,00:00:00.00,4.10252,1.1451,0.115
8,2010-01-09,00:00:00.00,3.65256,0.981302,0.1
9,2010-01-10,00:00:00.00,0.555439,0.859931,0.087
10,2010-01-11,00:00:00.00,0.0665271,0.766742,0.078
11,2010-01-12,00:00:00.00,1.78023,0.693161,0.07
12,2010-01-13,00:00:00.00,0.188412,0.633709,0.064
13,2010-01-14,00:00:00.00,0,0.584747,0.058
14,2010-01-15,00:00:00.00,0.00224486,0.543746,0.055
15,2010-01-16,00:00:00.00,0.00833782,0.508883,0.053
16,2010-01-17,00:00:00.00,0.000805775,0.478853,0.051
17,2010-01-18,00:00:00.00,0.00132535,0.452724,0.049
18,2010-01-19,00:00:00.00,0.03505,0.429785,0.047
19,2010-01-20,00:00:00.00,0.740326,0.409494,0.045
20,2010-01-21,00:00:00.00,0.195403,0.391449,0.044
21,2010-01-22,00:00:00.00,0.000528448,0.375292,0.043
22,2010-01-23,00:00:00.00,0.00534061,0.360713,0.042
23,2010-01-24,00:00:00.00,0.0145358,0.347462,0.041
24,2010-01-25,00:00:00.00,11.8298,0.463471,0.18
25,2010-01-26,00:00:00.00,4.38304,1.42795,3
26,2010-01-27,00:00:00.00,1.12631,3.31511,15.8
27,2010-01-28,00:00:00.00,0.248949,3.49444,19.1
28,2010-01-29,00:00:00.00,0.240394,2.22759,9.69
29,2010-01-30,00:00:00.00,0.00183152,1.64327,3.8
30,2010-01-31,00:00:00.00,0.00962283,1.33944,2.2
31,2010-02-01,00:00:00.00,0.136246,1.13383,1.3
32,2010-02-02,00:00:00.00,0.000122576,0.986115,0.95
33,2010-02-03,00:00:00.00,1.64189,0.875216,0.7
34,2010-02-04,00:00:00.00,0.440758,0.789067,0.5
35,2010-02-05,00:00:00.00,0.000806144,0.720284,0.38
36,2010-02-06,00:00:00.00,3.1243e-308,0.664139,0.3
37,2010-02-07,00:00:00.00,0,0.617468,0.24
38,2010-02-08,00:00:00.00,0.00809479,0.578144,0.19
39,2010-02-09,00:00:00.00,0.000308763,0.544621,0.15
40,2010-02-10,00:00:00.00,6.78614,0.515665,0.125
41,2010-02-11,00:00:00.00,8.23184,0.490678,0.105
42,2010-02-12,00:00:00.00,0.722442,0.469379,0.09
43,2010-02-13,00:00:00.00,0.0724735,0.450298,0.08
44,2010-02-14,00:00:00.00,0.0282677,0.432642,0.07
45,2010-02-15,00:00:00.00,0.0823511,0.416711,0.064
46,2010-02-16,00:00:00.00,0.48398,0.402221,0.057
47,2010-02-17,00:00:00.00,1.32502,0.388956,0.054
48,2010-02-18,00:00:00.00,0.0712313,0.376739,0.052
49,2010-02-19,00:00:00.00,0.000746927,0.365409,0.05
50,2010-02-20,00:00:00.00,0,0.354834,0.048
51,2010-02-21,00:00:00.00,2.29255e-308,0.344927,0.046
52,2010-02-22,00:00:00.00,6.897e-308,0.335607,0.045
53,2010-02-23,00:00:00.00,13.2154,0.368224,0.044
54,2010-02-24,00:00:00.00,0.283504,0.526505,0.043
55,2010-02-25,00:00:00.00,0.276149,0.588781,0.042
56,2010-02-26,00:00:00.00,1.95947,0.492385,0.041
57,2010-02-27,00:00:00.00,6.13935,0.446294,0.05
58,2010-02-28,00:00:00.00,1.07058,0.433443,0.06
59,2010-03-01,00:00:00.00,0.0222964,0.419526,0.074
60,2010-03-02,00:00:00.00,0.00340198,0.401202,0.11
61,2010-03-03,00:00:00.00,0.00124099,0.384588,0.14
62,2010-03-04,00:00:00.00,0.000826541,0.36945,0.18
63,2010-03-05,00:00:00.00,1.83356e-308,0.355587,0.24
64,2010-03-06,00:00:00.00,9.1678e-308,0.342828,0.3
65,2010-03-07,00:00:00.00,0,0.331021,0.4
66,2010-03-08,00:00:00.00,0,0.320016,0.5
67,2010-03-09,00:00:00.00,0,1.03739,0.72
68,2010-03-10,00:00:00.00,0.00897291,8.37621,2
69,2010-03-11,00:00:00.00,0.0160281,15.2201,6.5
70,2010-03-12,00:00:00.00,0.00402315,10.4879,20
71,2010-03-13,00:00:00.00,4.99525,4.52603,31.5
72,2010-03-14,00:00:00.00,11.7941,4.12055,32.2
73,2010-03-15,00:00:00.00,2.14216,5.78023,27.4
74,2010-03-16,00:00:00.00,0.0792352,5.42562,22.3
75,2010-03-17,00:00:00.00,0,3.31509,13.9
76,2010-03-18,00:00:00.00,0,2.31807,6.84
77,2010-03-19,00:00:00.00,0,1.82906,3.66
78,2010-03-20,00:00:00.00,0.000335602,1.5207,2.16
79,2010-03-21,00:00:00.00,0.0578117,1.3085,1.4
80,2010-03-22,00:00:00.00,0.0590582,1.15402,0.937
81,2010-03-23,00:00:00.00,3.75325,1.09511,0.673
82,2010-03-24,00:00:00.00,0.147242,1.22063,0.545
83,2010-03-25,00:00:00.00,0.0123678,1.23417,0.49
84,2010-03-26,00:00:00.00,0.632989,1.05782,0.43
85,2010-03-27,00:00:00.00,1.25164e-308,0.943954,0.357
86,2010-03-28,00:00:00.00,0.00995495,0.867079,0.327
87,2010-03-29,00:00:00.00,7.4775,0.959192,0.303
88,2010-03-30,00:00:00.00,0.487252,1.51651,0.299
89,2010-03-31,00:00:00.00,0,1.71685,0.334
90,2010-04-01,00:00:00.00,0.00790687,1.33692,0.376
91,2010-04-02,00:00:00.00,0,1.11646,0.357
92,2010-04-03,00:00:00.00,0,0.990075,0.323
93,2010-04-04,00:00:00.00,0.382068,0.889923,0.273
94,2010-04-05,00:00:00.00,0.11806,0.808483,0.262
95,2010-04-06,00:00:00.00,1.56045,0.741127,0.228
96,2010-04-07,00:00:00.00,22.8725,1.24063,0.691
97,2010-04-08,00:00:00.00,20.4894,5.65709,10.4
98,2010-04-09,00:00:00.00,9.6359,12.0548,22
