DATE	cout
UNITS	m3/s
2010-01-01	23.204
2010-01-02	20.706
2010-01-03	18.41
2010-01-04	16.401
2010-01-05	14.719
2010-01-06	13.267
2010-01-07	12.057
2010-01-08	11.055
2010-01-09	10.111
2010-01-10	9.281
2010-01-11	8.64
2010-01-12	8.018
2010-01-13	7.457
2010-01-14	7.792
2010-01-15	10.026
2010-01-16	11.317
2010-01-17	11.159
2010-01-18	10.452
2010-01-19	9.746
2010-01-20	8.977
2010-01-21	8.173
2010-01-22	7.441
2010-01-23	6.816
2010-01-24	11.511
2010-01-25	139.265
2010-01-26	171.878
2010-01-27	126.474
2010-01-28	82.478
2010-01-29	55.629
2010-01-30	40.882
2010-01-31	32.679
2010-02-01	27.581
2010-02-02	24.054
2010-02-03	21.657
2010-02-04	19.837
2010-02-05	18.525
2010-02-06	17.282
2010-02-07	15.998
2010-02-08	14.78
2010-02-09	13.689
2010-02-10	13.097
2010-02-11	12.418
2010-02-12	11.668
2010-02-13	10.934
2010-02-14	10.356
2010-02-15	10.045
2010-02-16	9.675
2010-02-17	9.395
2010-02-18	9.365
2010-02-19	9.408
2010-02-20	9.397
2010-02-21	9.363
2010-02-22	10.39
2010-02-23	11.778
2010-02-24	12.267
2010-02-25	12.034
2010-02-26	13.399
2010-02-27	15.226
2010-02-28	16.63
2010-03-01	16.674
2010-03-02	15.578
2010-03-03	14.439
2010-03-04	13.43
2010-03-05	12.49
2010-03-06	12.074
2010-03-07	13.008
2010-03-08	22.962
2010-03-09	145.042
2010-03-10	338.572
2010-03-11	428.897
2010-03-12	415.307
2010-03-13	405.36
2010-03-14	413.585
2010-03-15	359.283
2010-03-16	278.405
2010-03-17	215.349
2010-03-18	168.968
2010-03-19	131.368
2010-03-20	100.602
2010-03-21	77.592
2010-03-22	63.399
2010-03-23	55.017
2010-03-24	48.686
2010-03-25	43.363
2010-03-26	38.961
2010-03-27	35.21
2010-03-28	33.891
2010-03-29	37.748
2010-03-30	39.668
2010-03-31	37.314
2010-04-01	33.856
2010-04-02	30.609
2010-04-03	27.866
2010-04-04	25.597
2010-04-05	23.668
2010-04-06	31.425
2010-04-07	37.469
2010-04-08	120.905
2010-04-09	136.003
2010-04-10	101.751
2010-04-11	72.398
2010-04-12	54.968
2010-04-13	44.543
2010-04-14	37.799
2010-04-15	33.036
2010-04-16	29.438
2010-04-17	26.664
2010-04-18	24.859
2010-04-19	23.244
2010-04-20	21.348
2010-04-21	19.563
2010-04-22	18.026
2010-04-23	16.707
2010-04-24	15.558
2010-04-25	20.559
2010-04-26	23.661
2010-04-27	21.079
2010-04-28	17.659
2010-04-29	15.194
2010-04-30	13.555
2010-05-01	13.862
2010-05-02	14.355
2010-05-03	24.055
2010-05-04	30.586
2010-05-05	33.501
2010-05-06	32.924
2010-05-07	36.789
2010-05-08	89.973
2010-05-09	108.186
2010-05-10	87.925
2010-05-11	65.441
2010-05-12	50.95
2010-05-13	52.308
2010-05-14	58.382
2010-05-15	55.38
2010-05-16	46.855
2010-05-17	38.96
2010-05-18	33.219
2010-05-19	29.119
2010-05-20	26.045
2010-05-21	23.636
2010-05-22	22.586
2010-05-23	21.595
2010-05-24	19.923
2010-05-25	18.186
2010-05-26	16.704
2010-05-27	15.468
2010-05-28	14.436
2010-05-29	13.551
2010-05-30	12.708
2010-05-31	11.928
2010-06-01	12.76
2010-06-02	20.894
2010-06-03	33.55
2010-06-04	36.477
2010-06-05	36.425
2010-06-06	91.686
2010-06-07	103.1
2010-06-08	78.737
2010-06-09	64.588
2010-06-10	60.249
2010-06-11	53.528
2010-06-12	45.945
2010-06-13	39.55
2010-06-14	34.449
2010-06-15	30.365
2010-06-16	34.32
2010-06-17	36.854
2010-06-18	33.44
2010-06-19	28.884
2010-06-20	25.225
2010-06-21	22.486
2010-06-22	25.226
2010-06-23	26.618
2010-06-24	40.582
2010-06-25	48.708
2010-06-26	48.853
2010-06-27	45.614
2010-06-28	107.766
2010-06-29	137.104
2010-06-30	112.635
2010-07-01	78.988
2010-07-02	55.465
2010-07-03	41.722
2010-07-04	33.765
2010-07-05	28.836
2010-07-06	25.486
2010-07-07	23.037
2010-07-08	22.309
2010-07-09	40.634
2010-07-10	53.286
2010-07-11	48.039
2010-07-12	45.587
2010-07-13	43.553
2010-07-14	37.107
2010-07-15	31.641
2010-07-16	38.842
2010-07-17	44.775
2010-07-18	40.408
2010-07-19	36.606
2010-07-20	33.392
2010-07-21	29.741
2010-07-22	26.456
2010-07-23	94.572
2010-07-24	158.473
2010-07-25	152.603
2010-07-26	113.382
2010-07-27	77.764
2010-07-28	64.795
2010-07-29	52.122
2010-07-30	40.865
2010-07-31	34.004
2010-08-01	29.656
2010-08-02	26.355
2010-08-03	23.682
2010-08-04	21.736
2010-08-05	20.156
2010-08-06	18.644
2010-08-07	17.266
2010-08-08	17.652
2010-08-09	19.686
2010-08-10	20.448
2010-08-11	18.98
2010-08-12	16.649
2010-08-13	14.67
2010-08-14	13.25
2010-08-15	12.44
2010-08-16	12.281
2010-08-17	11.943
2010-08-18	11.117
2010-08-19	10.566
2010-08-20	10.123
2010-08-21	9.806
2010-08-22	13.993
2010-08-23	16.076
2010-08-24	14.886
2010-08-25	12.662
2010-08-26	10.849
2010-08-27	9.6
2010-08-28	8.72
2010-08-29	8.058
2010-08-30	7.515
2010-08-31	7.063
2010-09-01	6.655
2010-09-02	6.929
2010-09-03	10.748
2010-09-04	16.706
2010-09-05	20.596
2010-09-06	20.051
2010-09-07	16.724
2010-09-08	15.331
2010-09-09	15.342
2010-09-10	14.235
2010-09-11	12.362
2010-09-12	13.333
2010-09-13	14.848
2010-09-14	14.023
2010-09-15	12.147
2010-09-16	41.636
2010-09-17	53.594
2010-09-18	43.953
2010-09-19	33.036
2010-09-20	25.721
2010-09-21	21.151
2010-09-22	23.928
2010-09-23	26.31
2010-09-24	23.599
2010-09-25	20.848
2010-09-26	18.665
2010-09-27	17.343
2010-09-28	114.942
2010-09-29	147.841
2010-09-30	111.162
2010-10-01	73.398
2010-10-02	53.478
2010-10-03	43.153
2010-10-04	35.685
2010-10-05	30.743
2010-10-06	31.268
2010-10-07	31.341
2010-10-08	28.694
2010-10-09	25.539
2010-10-10	22.835
2010-10-11	20.987
2010-10-12	19.472
2010-10-13	17.939
2010-10-14	70.927
2010-10-15	79.885
2010-10-16	59.362
2010-10-17	42.812
2010-10-18	33.127
2010-10-19	27.403
2010-10-20	23.642
2010-10-21	27.036
2010-10-22	30.29
2010-10-23	33.46
2010-10-24	41.157
2010-10-25	44.573
2010-10-26	48.774
2010-10-27	51
2010-10-28	46.878
2010-10-29	41.171
2010-10-30	36.053
2010-10-31	31.524
2010-11-01	27.871
2010-11-02	25.004
2010-11-03	23.054
2010-11-04	22.353
2010-11-05	23.148
2010-11-06	22.84
2010-11-07	21.444
2010-11-08	19.893
2010-11-09	18.392
2010-11-10	16.947
2010-11-11	15.644
2010-11-12	14.497
2010-11-13	13.491
2010-11-14	13.382
2010-11-15	13.129
2010-11-16	12.316
2010-11-17	52.691
2010-11-18	66.926
2010-11-19	54.996
2010-11-20	41.66
2010-11-21	32.771
2010-11-22	34.599
2010-11-23	46.585
2010-11-24	52.083
2010-11-25	47.34
2010-11-26	41.908
2010-11-27	36.822
2010-11-28	32.238
2010-11-29	29.456
2010-11-30	123.854
2010-12-01	174.505
2010-12-02	150.304
2010-12-03	108.129
2010-12-04	75.976
2010-12-05	56.17
2010-12-06	44.642
2010-12-07	37.305
2010-12-08	32.219
2010-12-09	28.376
2010-12-10	25.685
2010-12-11	24.264
2010-12-12	28.975
2010-12-13	30.93
2010-12-14	29.022
2010-12-15	25.96
2010-12-16	23.11
2010-12-17	20.752
2010-12-18	18.759
2010-12-19	17.058
2010-12-20	15.652
2010-12-21	14.437
2010-12-22	13.358
2010-12-23	12.691
2010-12-24	12.193
2010-12-25	11.561
2010-12-26	10.837
2010-12-27	10.121
2010-12-28	9.576
2010-12-29	9.208
2010-12-30	9.164
2010-12-31	47.616
2011-01-01	246.892
2011-01-02	320.918
2011-01-03	254.954
2011-01-04	169.406
2011-01-05	107.323
2011-01-06	70.663
2011-01-07	50.584
2011-01-08	39.356
2011-01-09	32.651
2011-01-10	28.284
2011-01-11	25.187
2011-01-12	23.032
2011-01-13	21.104
2011-01-14	19.464
2011-01-15	18.343
2011-01-16	17.121
2011-01-17	15.954
2011-01-18	17.447
2011-01-19	17.725
2011-01-20	16.828
2011-01-21	15.766
2011-01-22	14.633
2011-01-23	13.556
2011-01-24	12.592
2011-01-25	11.828
2011-01-26	11.469
2011-01-27	11.49
2011-01-28	11.433
2011-01-29	11.024
2011-01-30	10.364
2011-01-31	9.649
2011-02-01	8.987
2011-02-02	8.748
2011-02-03	8.201
2011-02-04	7.632
2011-02-05	7.211
2011-02-06	6.934
2011-02-07	7.838
2011-02-08	8.303
2011-02-09	8.039
2011-02-10	7.501
2011-02-11	6.932
2011-02-12	6.557
2011-02-13	7.272
2011-02-14	17.11
2011-02-15	18.89
2011-02-16	17.846
2011-02-17	95.711
2011-02-18	253.951
2011-02-19	284.211
2011-02-20	214.559
2011-02-21	140.155
2011-02-22	89.802
2011-02-23	61.033
2011-02-24	45.925
2011-02-25	37.969
2011-02-26	32.908
2011-02-27	31.104
2011-02-28	37.59
2011-03-01	37.68
2011-03-02	34.168
2011-03-03	30.328
2011-03-04	28.309
2011-03-05	273.536
2011-03-06	367.374
2011-03-07	291.006
2011-03-08	192.62
2011-03-09	124.653
2011-03-10	187.49
2011-03-11	238.242
2011-03-12	208.468
2011-03-13	154.045
2011-03-14	109.803
2011-03-15	81.987
2011-03-16	86.687
2011-03-17	183.921
2011-03-18	350.989
2011-03-19	374.898
2011-03-20	292.253
2011-03-21	225.158
2011-03-22	180.033
2011-03-23	143.559
2011-03-24	108.374
2011-03-25	81.564
2011-03-26	64.074
2011-03-27	52.849
2011-03-28	45.313
2011-03-29	40.395
2011-03-30	37.719
2011-03-31	37.378
2011-04-01	41.023
2011-04-02	46.521
2011-04-03	53.229
2011-04-04	189.343
2011-04-05	266.333
2011-04-06	238.469
2011-04-07	181.749
2011-04-08	137.022
2011-04-09	111.006
2011-04-10	105.081
2011-04-11	104.485
2011-04-12	93.264
2011-04-13	74.72
2011-04-14	58.348
2011-04-15	47.095
2011-04-16	65.131
2011-04-17	74.669
2011-04-18	67.78
2011-04-19	56.739
2011-04-20	105.213
2011-04-21	125.584
2011-04-22	107.669
2011-04-23	103.506
2011-04-24	100.795
2011-04-25	86.918
2011-04-26	77.966
2011-04-27	104.325
2011-04-28	130.644
2011-04-29	125.297
2011-04-30	99.718
2011-05-01	76.548
2011-05-02	61.02
2011-05-03	54.782
2011-05-04	50.378
2011-05-05	44.593
2011-05-06	42.902
2011-05-07	42.363
2011-05-08	39.026
2011-05-09	34.688
2011-05-10	30.932
2011-05-11	27.893
2011-05-12	25.395
2011-05-13	24.86
2011-05-14	50.843
2011-05-15	109.326
2011-05-16	131.835
2011-05-17	116.917
2011-05-18	94.729
2011-05-19	138.935
2011-05-20	152.105
2011-05-21	123.093
2011-05-22	90.878
2011-05-23	72.492
2011-05-24	63.244
2011-05-25	55.34
2011-05-26	72.971
2011-05-27	80.774
2011-05-28	72.716
2011-05-29	61.301
2011-05-30	84.746
2011-05-31	81.552
2011-06-01	63.662
2011-06-02	50.259
2011-06-03	41.705
2011-06-04	50.002
