time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.269962,0,2.75806
2,2010-01-03,00:00:00.00,0.0803578,0,2.26818
3,2010-01-04,00:00:00.00,0.294547,0,2.13792
4,2010-01-05,00:00:00.00,0.716348,0,2.288
5,2010-01-06,00:00:00.00,0.536307,0,2.14925
6,2010-01-07,00:00:00.00,0.16809,0,2.03881
7,2010-01-08,00:00:00.00,3.55424,0,1.91422
8,2010-01-09,00:00:00.00,1.20771,0,2.00766
9,2010-01-10,00:00:00.00,0.094799,0,1.93687
10,2010-01-11,00:00:00.00,0.0128425,0,1.69901
11,2010-01-12,00:00:00.00,1.73179,0,1.81794
12,2010-01-13,00:00:00.00,0.298716,0,2.01616
13,2010-01-14,00:00:00.00,0.00540773,0,1.93404
14,2010-01-15,00:00:00.00,0.0602574,0,2.02182
15,2010-01-16,00:00:00.00,0.130542,0,2.11527
16,2010-01-17,00:00:00.00,0.0176645,0.0676676,2.34464
17,2010-01-18,00:00:00.00,0.000474803,0.097619,2.09828
18,2010-01-19,00:00:00.00,0.0553388,0.0416429,1.95103
19,2010-01-20,00:00:00.00,0.214533,0.0165037,1.80945
20,2010-01-21,00:00:00.00,0.058753,0.00713126,1.75848
21,2010-01-22,00:00:00.00,0.0255588,0.0037435,1.60273
22,2010-01-23,00:00:00.00,0.110234,0.00251419,1.68202
23,2010-01-24,00:00:00.00,0.064035,0.00203954,1.58858
24,2010-01-25,00:00:00.00,7.18608,0.312631,3.3697
25,2010-01-26,00:00:00.00,1.73384,0.798292,9.28793
26,2010-01-27,00:00:00.00,0.660906,0.701252,5.91822
27,2010-01-28,00:00:00.00,0.344555,0.300941,3.28475
28,2010-01-29,00:00:00.00,0.213859,0.124883,2.3503
29,2010-01-30,00:00:00.00,0.0179279,0.0600052,2.12093
30,2010-01-31,00:00:00.00,0.0734746,0.0365839,1.98501
31,2010-02-01,00:00:00.00,0.265814,0.0278597,1.84626
32,2010-02-02,00:00:00.00,0.0294402,0.0242573,1.66503
33,2010-02-03,00:00:00.00,1.65717,0.0224482,1.64804
34,2010-02-04,00:00:00.00,0.418498,0.0212679,1.74998
35,2010-02-05,00:00:00.00,0,0.0203132,1.94254
36,2010-02-06,00:00:00.00,0.0487645,0.0194764,1.67636
37,2010-02-07,00:00:00.00,0.0715555,0.0190087,1.64238
38,2010-02-08,00:00:00.00,0.243457,0.0188785,1.48663
39,2010-02-09,00:00:00.00,0,0.0187652,1.39036
40,2010-02-10,00:00:00.00,10.9137,0.0186457,1.51778
41,2010-02-11,00:00:00.00,5.88464,0.0185269,1.52628
42,2010-02-12,00:00:00.00,0.196243,0.0184061,1.5376
43,2010-02-13,00:00:00.00,0.198855,0.0182848,1.51495
44,2010-02-14,00:00:00.00,0.248544,0.018171,1.49513
45,2010-02-15,00:00:00.00,0.0250869,0.0180563,1.48097
46,2010-02-16,00:00:00.00,0.0650443,0.0179331,1.45832
47,2010-02-17,00:00:00.00,1.77942,0.017807,1.52911
48,2010-02-18,00:00:00.00,0.210108,0.0176808,1.52911
49,2010-02-19,00:00:00.00,0.0083083,0.0175447,1.5999
50,2010-02-20,00:00:00.00,0.000214143,0.0173966,1.67636
51,2010-02-21,00:00:00.00,7.37576e-308,0.0172493,1.79812
52,2010-02-22,00:00:00.00,0.166451,0.0171029,1.65654
53,2010-02-23,00:00:00.00,12.8927,0.456508,2.13792
54,2010-02-24,00:00:00.00,0.932669,0.631443,2.54285
55,2010-02-25,00:00:00.00,3.44426,0.294035,2.53436
56,2010-02-26,00:00:00.00,2.01565,0.161491,2.36162
57,2010-02-27,00:00:00.00,8.70848,0.0804611,2.09545
58,2010-02-28,00:00:00.00,1.38261,0.0631316,2.22004
59,2010-03-01,00:00:00.00,0.147932,0.0939433,2.17473
60,2010-03-02,00:00:00.00,0.0124682,0.181314,3.11485
61,2010-03-03,00:00:00.00,0.0622595,0.176988,3.93604
62,2010-03-04,00:00:00.00,0.0589166,0.0888453,2.88832
63,2010-03-05,00:00:00.00,6.57251e-308,0.0573179,3.0299
64,2010-03-06,00:00:00.00,0,0.0459988,2.94495
65,2010-03-07,00:00:00.00,9.6576e-308,0.0417776,3.22812
66,2010-03-08,00:00:00.00,2.89146e-308,0.30316,3.62456
67,2010-03-09,00:00:00.00,2.40732e-308,1.26345,4.47406
68,2010-03-10,00:00:00.00,0.0388259,3.24738,5.0404
69,2010-03-11,00:00:00.00,0.376371,3.27193,5.57842
70,2010-03-12,00:00:00.00,2.63759,1.92663,6.42792
71,2010-03-13,00:00:00.00,4.82628,2.23206,9.25961
72,2010-03-14,00:00:00.00,9.77371,3.74729,9.06139
73,2010-03-15,00:00:00.00,2.2493,3.89202,19.2555
74,2010-03-16,00:00:00.00,0.0592137,2.11637,13.5921
75,2010-03-17,00:00:00.00,0,1.00897,7.53228
76,2010-03-18,00:00:00.00,0,0.582696,5.40852
77,2010-03-19,00:00:00.00,0,0.427493,4.44574
78,2010-03-20,00:00:00.00,9.69948e-308,0.368201,3.82277
79,2010-03-21,00:00:00.00,0.598859,0.447251,3.45466
80,2010-03-22,00:00:00.00,0.798383,0.596957,3.14317
81,2010-03-23,00:00:00.00,1.55712,0.864093,2.91664
82,2010-03-24,00:00:00.00,0.0567425,0.849887,3.1998
83,2010-03-25,00:00:00.00,0,0.524601,2.86
84,2010-03-26,00:00:00.00,1.46488,0.686622,2.67311
85,2010-03-27,00:00:00.00,0.00564353,0.743087,2.68161
86,2010-03-28,00:00:00.00,0.00549215,0.468265,2.32198
87,2010-03-29,00:00:00.00,8.61311,2.0996,2.8062
88,2010-03-30,00:00:00.00,0.372681,2.78617,5.66337
89,2010-03-31,00:00:00.00,0.000356086,1.31488,3.90772
90,2010-04-01,00:00:00.00,3.98809e-308,0.696117,2.88832
91,2010-04-02,00:00:00.00,0,0.471058,2.60232
92,2010-04-03,00:00:00.00,0,0.384926,2.3418
93,2010-04-04,00:00:00.00,1.01742,0.55474,2.24553
94,2010-04-05,00:00:00.00,0.0730801,0.624382,2.05863
95,2010-04-06,00:00:00.00,3.15477,1.07265,2.27667
96,2010-04-07,00:00:00.00,13.5795,3.96788,4.61565
97,2010-04-08,00:00:00.00,11.073,6.82629,6.0598
98,2010-04-09,00:00:00.00,1.10748,5.45919,11.8648
99,2010-04-10,00:00:00.00,0.00323908,2.57088,5.57842
100,2010-04-11,00:00:00.00,0.0740846,1.24615,3.45466
101,2010-04-12,00:00:00.00,0.316956,0.837547,2.88832
102,2010-04-13,00:00:00.00,0.380312,0.755631,2.54852
103,2010-04-14,00:00:00.00,4.92521,1.77428,3.3697
104,2010-04-15,00:00:00.00,0.0390338,2.06432,3.99268
105,2010-04-16,00:00:00.00,0,1.04314,2.70426
106,2010-04-17,00:00:00.00,0.002456,0.660679,2.38994
107,2010-04-18,00:00:00.00,0.00217818,0.516855,2.16624
108,2010-04-19,00:00:00.00,0.000129781,0.459687,2.05297
109,2010-04-20,00:00:00.00,6.7551e-308,0.433558,1.99917
110,2010-04-21,00:00:00.00,3.3776e-308,0.417142,1.88873
111,2010-04-22,00:00:00.00,0.0732313,0.419618,1.86325
112,2010-04-23,00:00:00.00,0.000532964,0.412774,1.79529
113,2010-04-24,00:00:00.00,1.78519e-308,0.387628,1.74998
114,2010-04-25,00:00:00.00,1.15274,0.616416,1.66786
115,2010-04-26,00:00:00.00,13.6364,3.56357,7.41901
116,2010-04-27,00:00:00.00,0.634388,4.57875,5.94654
117,2010-04-28,00:00:00.00,0,2.09695,3.1998
118,2010-04-29,00:00:00.00,0.000629802,1.02514,2.30216
119,2010-04-30,00:00:00.00,0.837183,0.823661,1.9397
120,2010-05-01,00:00:00.00,8.7288e-308,0.745775,1.81794
121,2010-05-02,00:00:00.00,7.42413,2.1513,4.7006
122,2010-05-03,00:00:00.00,28.7444,9.09756,10.6188
123,2010-05-04,00:00:00.00,0.795052,10.4821,20.3598
124,2010-05-05,00:00:00.00,0.101361,4.64917,9.11802
125,2010-05-06,00:00:00.00,1.03021,2.37075,4.50238
126,2010-05-07,00:00:00.00,0.0193246,1.50795,3.22812
127,2010-05-08,00:00:00.00,27.381,7.90179,5.5501
128,2010-05-09,00:00:00.00,1.55515,10.8567,16.6786
129,2010-05-10,00:00:00.00,0.0118439,5.02856,7.41901
130,2010-05-11,00:00:00.00,0.00118786,2.33589,4.19089
131,2010-05-12,00:00:00.00,28.0659,9.30131,9.96753
132,2010-05-13,00:00:00.00,0.100532,12.0756,30.299
133,2010-05-14,00:00:00.00,13.2078,9.30544,19.7935
134,2010-05-15,00:00:00.00,0.222288,8.24459,19.2555
135,2010-05-16,00:00:00.00,0.000281521,3.76898,8.86317
136,2010-05-17,00:00:00.00,7.12357e-308,2.04096,5.8899
137,2010-05-18,00:00:00.00,2.47195,2.19266,4.67228
138,2010-05-19,00:00:00.00,2.64973,3.06531,6.88099
139,2010-05-20,00:00:00.00,0.00565136,2.58471,5.40852
140,2010-05-21,00:00:00.00,0.00308635,1.56839,3.90772
141,2010-05-22,00:00:00.00,16.486,6.20972,3.25644
142,2010-05-23,00:00:00.00,3.00631,8.86886,12.6576
143,2010-05-24,00:00:00.00,0.2088,4.89147,8.15525
144,2010-05-25,00:00:00.00,3.2325e-308,2.47585,4.55901
145,2010-05-26,00:00:00.00,0,1.52309,3.39802
146,2010-05-27,00:00:00.00,0.021588,1.16754,2.94495
147,2010-05-28,00:00:00.00,0.020212,1.01989,2.68444
148,2010-05-29,00:00:00.00,0.0187885,0.93788,2.35596
149,2010-05-30,00:00:00.00,0.000174027,0.876832,2.17473
150,2010-05-31,00:00:00.00,3.5824e-308,0.82512,2.02465
151,2010-06-01,00:00:00.00,9.92362,3.52753,3.76614
152,2010-06-02,00:00:00.00,0.203024,4.55147,5.35188
153,2010-06-03,00:00:00.00,8.14313,4.44239,3.34139
154,2010-06-04,00:00:00.00,0.717953,4.55238,3.85109
155,2010-06-05,00:00:00.00,5.23258,3.79763,3.11485
156,2010-06-06,00:00:00.00,17.9144,8.38014,11.2984
157,2010-06-07,00:00:00.00,33.6133,18.6008,39.0772
158,2010-06-08,00:00:00.00,0.0132595,17.738,41.9089
159,2010-06-09,00:00:00.00,0.951945,7.8662,11.6949
160,2010-06-10,00:00:00.00,6.10258,5.97965,8.72159
161,2010-06-11,00:00:00.00,0.139037,5.00859,6.76773
162,2010-06-12,00:00:00.00,0.339141,2.71893,4.21921
163,2010-06-13,00:00:00.00,0.348465,1.94721,3.51129
164,2010-06-14,00:00:00.00,0.392351,1.65918,3.25644
165,2010-06-15,00:00:00.00,0.4828,1.5674,3.14317
166,2010-06-16,00:00:00.00,0.0691402,1.40243,2.91664
167,2010-06-17,00:00:00.00,2.21777,1.84693,2.55984
168,2010-06-18,00:00:00.00,0.000326066,1.95735,2.32481
169,2010-06-19,00:00:00.00,1.42606,1.71854,2.13226
170,2010-06-20,00:00:00.00,8.88104,4.23865,5.77664
171,2010-06-21,00:00:00.00,9.12216e-308,4.7067,3.0299
172,2010-06-22,00:00:00.00,0.0549439,2.26028,1.98501
173,2010-06-23,00:00:00.00,14.859,5.69118,8.52337
174,2010-06-24,00:00:00.00,2.89723,7.81052,6.22971
175,2010-06-25,00:00:00.00,3.34952,5.26691,5.63505
176,2010-06-26,00:00:00.00,0.00365117,3.45912,3.00159
177,2010-06-27,00:00:00.00,0.0383774,1.81185,2.15491
178,2010-06-28,00:00:00.00,4.95355,2.64774,3.87941
179,2010-06-29,00:00:00.00,0.531243,3.07274,6.31466
180,2010-06-30,00:00:00.00,0.00106309,1.77007,2.25685
181,2010-07-01,00:00:00.00,0,1.13932,1.63955
182,2010-07-02,00:00:00.00,0,0.900721,1.4385
183,2010-07-03,00:00:00.00,0,0.797594,1.29974
184,2010-07-04,00:00:00.00,0,0.740652,1.20347
185,2010-07-05,00:00:00.00,0.00323903,0.699541,1.14683
186,2010-07-06,00:00:00.00,0.00148929,0.662584,1.06755
187,2010-07-07,00:00:00.00,0.000147752,0.626311,1.05622
188,2010-07-08,00:00:00.00,0.247604,0.653843,1.05622
189,2010-07-09,00:00:00.00,9.44031,2.95201,1.82077
190,2010-07-10,00:00:00.00,0.535573,3.84933,1.62539
191,2010-07-11,00:00:00.00,0.00666455,1.86642,1.31956
192,2010-07-12,00:00:00.00,6.31164,2.55166,1.17515
193,2010-07-13,00:00:00.00,6.06729,4.29002,3.0299
194,2010-07-14,00:00:00.00,5.1372,4.67026,4.24753
195,2010-07-15,00:00:00.00,0.0644686,3.34541,3.82277
196,2010-07-16,00:00:00.00,25.2044,7.91952,2.88832
197,2010-07-17,00:00:00.00,0.731094,9.92665,15.4044
198,2010-07-18,00:00:00.00,0.00224541,4.36486,3.85109
199,2010-07-19,00:00:00.00,0.297866,2.10155,1.89157
200,2010-07-20,00:00:00.00,0.204331,1.32577,1.47531
201,2010-07-21,00:00:00.00,13.9493,4.64538,4.84218
202,2010-07-22,00:00:00.00,0.0151619,5.82412,2.88832
203,2010-07-23,00:00:00.00,3.89704,3.63034,1.58291
204,2010-07-24,00:00:00.00,14.2527,6.69545,6.25802
205,2010-07-25,00:00:00.00,2.72597,7.56333,12.4028
206,2010-07-26,00:00:00.00,4.29489,5.23516,7.61723
207,2010-07-27,00:00:00.00,0.0078428,3.60358,4.13426
208,2010-07-28,00:00:00.00,0.000745319,1.7935,2.03881
209,2010-07-29,00:00:00.00,10.314,4.00144,3.90772
210,2010-07-30,00:00:00.00,1.11415,5.11723,8.43842
211,2010-07-31,00:00:00.00,0.00400236,2.65081,2.36729
212,2010-08-01,00:00:00.00,0.722623,1.63699,1.64238
213,2010-08-02,00:00:00.00,0.0307176,1.26793,1.46964
214,2010-08-03,00:00:00.00,0.00424278,0.920306,1.32806
215,2010-08-04,00:00:00.00,0.00841731,0.772524,1.19497
216,2010-08-05,00:00:00.00,0.0836209,0.72081,1.0817
217,2010-08-06,00:00:00.00,0.407118,0.785069,1.06755
218,2010-08-07,00:00:00.00,0.0225035,0.773708,1.12418
219,2010-08-08,00:00:00.00,0.0199148,0.654835,0.925961
220,2010-08-09,00:00:00.00,0.00148525,0.593499,0.920297
221,2010-08-10,00:00:00.00,1.22444,0.847471,0.843842
222,2010-08-11,00:00:00.00,0.0197375,0.92732,0.925961
223,2010-08-12,00:00:00.00,3.13591,1.3855,0.917466
224,2010-08-13,00:00:00.00,0.193502,1.58132,0.911802
225,2010-08-14,00:00:00.00,0.0484762,0.917844,0.906139
226,2010-08-15,00:00:00.00,0.00829491,0.629183,0.812693
227,2010-08-16,00:00:00.00,1.25226,0.786528,1.00808
228,2010-08-17,00:00:00.00,0.0107115,0.831985,1.5999
229,2010-08-18,00:00:00.00,0.00898756,0.55975,1.1525
230,2010-08-19,00:00:00.00,0.379518,0.535411,0.835347
231,2010-08-20,00:00:00.00,0.111767,0.539868,0.758891
232,2010-08-21,00:00:00.00,3.7827e-308,0.450118,0.73907
233,2010-08-22,00:00:00.00,2.1992,0.845246,0.832515
234,2010-08-23,00:00:00.00,0.101571,1.00039,1.09869
235,2010-08-24,00:00:00.00,0.0204568,0.595494,0.877822
236,2010-08-25,00:00:00.00,0.0383192,0.432875,0.792872
237,2010-08-26,00:00:00.00,0.030334,0.370509,0.931624
238,2010-08-27,00:00:00.00,5.53214e-308,0.333514,0.832515
239,2010-08-28,00:00:00.00,0,0.307796,0.724911
240,2010-08-29,00:00:00.00,0,0.292381,0.642792
241,2010-08-30,00:00:00.00,0,0.280052,0.634297
242,2010-08-31,00:00:00.00,0.0314314,0.274425,0.676773
243,2010-09-01,00:00:00.00,0.00702954,0.266557,0.597485
244,2010-09-02,00:00:00.00,0.508894,0.344552,0.727743
245,2010-09-03,00:00:00.00,3.95715,1.08381,1.50646
246,2010-09-04,00:00:00.00,2.19327,1.65875,3.22812
247,2010-09-05,00:00:00.00,0.658517,1.27352,1.35638
248,2010-09-06,00:00:00.00,0.429105,0.81385,0.937288
249,2010-09-07,00:00:00.00,1.70487,0.841733,0.812693
250,2010-09-08,00:00:00.00,0.0402418,0.778225,0.781545
