time,date,hour,precip [mm/day],sub703 [m3/s],sub703 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,9.02335,
1,2010-01-02,00:00:00.00,1.59525,7.29182,6.3
2,2010-01-03,00:00:00.00,0.122748,4.15511,5.78
3,2010-01-04,00:00:00.00,0.758853,2.10764,5.2
4,2010-01-05,00:00:00.00,0.338675,1.30741,5.12
5,2010-01-06,00:00:00.00,4.15977,1.01529,5.08
6,2010-01-07,00:00:00.00,0.132435,0.779865,5.05
7,2010-01-08,00:00:00.00,4.89944,0.609847,5.02
8,2010-01-09,00:00:00.00,3.69359,0.497571,4.95
9,2010-01-10,00:00:00.00,0.0108352,0.428259,4.9
10,2010-01-11,00:00:00.00,0.159826,0.388175,4.8
11,2010-01-12,00:00:00.00,2.5242,0.366863,4.85
12,2010-01-13,00:00:00.00,0.0742968,0.357155,4.75
13,2010-01-14,00:00:00.00,0.000947797,0.354471,4.7
14,2010-01-15,00:00:00.00,0.110456,0.355983,4.65
15,2010-01-16,00:00:00.00,0.32407,0.36001,4.6
16,2010-01-17,00:00:00.00,0.00550294,0.365605,4.52
17,2010-01-18,00:00:00.00,0.00139424,0.372223,4.5
18,2010-01-19,00:00:00.00,0.00263677,0.379548,4.48
19,2010-01-20,00:00:00.00,0.0632442,0.38743,4.45
20,2010-01-21,00:00:00.00,0.0245559,0.395803,4.42
21,2010-01-22,00:00:00.00,0.000693695,0.40464,4.41
22,2010-01-23,00:00:00.00,0.00684303,0.413919,4.4
23,2010-01-24,00:00:00.00,0.000442741,0.423601,4.39
24,2010-01-25,00:00:00.00,12.0889,0.530186,4.7
25,2010-01-26,00:00:00.00,10.4073,1.12258,10.2
26,2010-01-27,00:00:00.00,1.19567,2.28328,12.8
27,2010-01-28,00:00:00.00,1.38285,3.03499,10.4
28,2010-01-29,00:00:00.00,2.55672,2.90272,9.5
29,2010-01-30,00:00:00.00,0.349632,2.49221,6.75
30,2010-01-31,00:00:00.00,0.0419653,2.21065,5.8
31,2010-02-01,00:00:00.00,0.705876,2.08322,5.3
32,2010-02-02,00:00:00.00,0.255381,2.0261,5.2
33,2010-02-03,00:00:00.00,2.31469,2.00713,5.1
34,2010-02-04,00:00:00.00,0.427045,2.00454,4.98
35,2010-02-05,00:00:00.00,0.140378,2.01115,4.83
36,2010-02-06,00:00:00.00,0.000449792,2.02295,4.7
37,2010-02-07,00:00:00.00,0.0195705,2.03733,4.63
38,2010-02-08,00:00:00.00,1.75231e-308,2.05278,4.57
39,2010-02-09,00:00:00.00,2.907e-308,2.06838,4.51
40,2010-02-10,00:00:00.00,2.1421,2.08355,4.42
41,2010-02-11,00:00:00.00,4.89535,2.09801,4.37
42,2010-02-12,00:00:00.00,0.00638558,2.11166,4.33
43,2010-02-13,00:00:00.00,0.118284,2.12437,4.29
44,2010-02-14,00:00:00.00,0.637792,2.136,4.24
45,2010-02-15,00:00:00.00,1.14142,2.14654,4.2
46,2010-02-16,00:00:00.00,0.166427,2.15597,4.15
47,2010-02-17,00:00:00.00,0.41513,2.16429,4.13
48,2010-02-18,00:00:00.00,0.343208,2.17155,4.1
49,2010-02-19,00:00:00.00,0.00751969,2.17776,4.05
50,2010-02-20,00:00:00.00,0.0042669,2.18291,4.02
51,2010-02-21,00:00:00.00,0.000282639,2.18702,3.98
52,2010-02-22,00:00:00.00,1.4256e-308,2.19014,3.97
53,2010-02-23,00:00:00.00,11.5802,2.21981,3.96
54,2010-02-24,00:00:00.00,1.11327,2.28967,3.95
55,2010-02-25,00:00:00.00,0.349316,2.33206,3.94
56,2010-02-26,00:00:00.00,2.08102,2.32602,3.93
57,2010-02-27,00:00:00.00,4.66546,2.32626,3.92
58,2010-02-28,00:00:00.00,1.30898,2.34747,3.91
59,2010-03-01,00:00:00.00,0.0291766,2.35867,3.9
