time,date,hour,precip [mm/day],sub722 [m3/s],sub722 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,13.0865,
1,2010-01-02,00:00:00.00,0.931374,11.151,6.4846
2,2010-01-03,00:00:00.00,1.38693,8.33013,4.644
3,2010-01-04,00:00:00.00,3.06597,7.04986,4.4741
4,2010-01-05,00:00:00.00,2.98441,6.17741,4.1909
5,2010-01-06,00:00:00.00,3.4232,5.48562,4.021
6,2010-01-07,00:00:00.00,2.48481,4.97641,4.021
7,2010-01-08,00:00:00.00,3.11529,4.54529,3.9927
8,2010-01-09,00:00:00.00,5.03144,4.21154,3.8794
9,2010-01-10,00:00:00.00,0.373967,3.91847,3.9644
10,2010-01-11,00:00:00.00,0.221171,3.6829,3.9644
11,2010-01-12,00:00:00.00,2.22955,3.47152,3.9644
12,2010-01-13,00:00:00.00,0.805237,3.29612,3.9644
13,2010-01-14,00:00:00.00,0.0943322,3.13626,3.9644
14,2010-01-15,00:00:00.00,0.0154638,2.99978,4.4741
15,2010-01-16,00:00:00.00,0.166285,2.874,4.8139
16,2010-01-17,00:00:00.00,0.0365104,4.14064,6.6828
17,2010-01-18,00:00:00.00,0.130409,8.97363,6.881
18,2010-01-19,00:00:00.00,0.0584118,10.7354,8.5234
19,2010-01-20,00:00:00.00,0.220516,7.99926,8.3252
20,2010-01-21,00:00:00.00,0.112348,6.8377,7.2774
21,2010-01-22,00:00:00.00,0.00566242,6.09207,6.5978
22,2010-01-23,00:00:00.00,1.73606,5.58341,6.4279
23,2010-01-24,00:00:00.00,0.0318724,5.6692,6.4279
24,2010-01-25,00:00:00.00,11.4393,10.2569,11.3551
25,2010-01-26,00:00:00.00,8.89491,17.6644,101.657
26,2010-01-27,00:00:00.00,7.97577,17.0973,40.7763
27,2010-01-28,00:00:00.00,1.81117,12.0041,17.9529
28,2010-01-29,00:00:00.00,2.31142,9.62718,12.2612
29,2010-01-30,00:00:00.00,0.197982,8.16763,8.2685
30,2010-01-31,00:00:00.00,0.0570457,7.10052,6.9659
31,2010-02-01,00:00:00.00,0.0939354,6.36036,6.4846
32,2010-02-02,00:00:00.00,0.0559905,5.7583,5.9749
33,2010-02-03,00:00:00.00,0.302401,5.31041,5.3802
34,2010-02-04,00:00:00.00,1.71256,4.92509,4.9554
35,2010-02-05,00:00:00.00,0.0288639,4.62499,4.0493
36,2010-02-06,00:00:00.00,1.25201,4.3578,3.5962
37,2010-02-07,00:00:00.00,1.64585,4.14207,3.5113
38,2010-02-08,00:00:00.00,0.253972,3.94579,3.3697
39,2010-02-09,00:00:00.00,0.00288334,3.78183,3.4263
40,2010-02-10,00:00:00.00,7.94333,3.63245,3.4263
41,2010-02-11,00:00:00.00,10.8039,3.50523,3.4263
42,2010-02-12,00:00:00.00,2.24482,3.3862,3.4263
43,2010-02-13,00:00:00.00,0.609637,3.28152,3.4263
44,2010-02-14,00:00:00.00,1.40435,3.18353,3.5679
45,2010-02-15,00:00:00.00,0.896811,3.09557,3.5962
46,2010-02-16,00:00:00.00,1.65186,3.0127,3.5113
47,2010-02-17,00:00:00.00,5.2421,2.9372,3.6246
48,2010-02-18,00:00:00.00,1.00585,2.86568,3.5679
49,2010-02-19,00:00:00.00,0.394055,2.79959,3.9644
50,2010-02-20,00:00:00.00,0.0620958,2.7364,4.559
51,2010-02-21,00:00:00.00,0.00264367,2.67723,4.7572
52,2010-02-22,00:00:00.00,0.0684033,2.62018,4.7006
53,2010-02-23,00:00:00.00,7.67295,8.28608,10.6755
54,2010-02-24,00:00:00.00,0.493798,11.925,27.6372
55,2010-02-25,00:00:00.00,1.48738,8.50575,26.5329
56,2010-02-26,00:00:00.00,3.26488,7.21765,20.2465
57,2010-02-27,00:00:00.00,10.6782,6.48856,14.8947
58,2010-02-28,00:00:00.00,5.48995,6.01129,12.2046
59,2010-03-01,00:00:00.00,1.86663,5.74623,11.2135
60,2010-03-02,00:00:00.00,0.406524,5.15882,9.9392
61,2010-03-03,00:00:00.00,0.0922064,4.82127,8.7499
62,2010-03-04,00:00:00.00,0.101549,4.48005,7.8721
63,2010-03-05,00:00:00.00,0.00483009,4.23993,7.9287
64,2010-03-06,00:00:00.00,0.00145904,3.99502,7.419
65,2010-03-07,00:00:00.00,0.0372281,3.81341,7.5323
66,2010-03-08,00:00:00.00,0,3.62803,8.042
67,2010-03-09,00:00:00.00,0,11.6691,8.8349
68,2010-03-10,00:00:00.00,0.020391,54.6233,23.8711
69,2010-03-11,00:00:00.00,0.332929,62.8731,55.7842
70,2010-03-12,00:00:00.00,0.063082,25.6129,90.3307
71,2010-03-13,00:00:00.00,0.43127,16.1251,99.3921
72,2010-03-14,00:00:00.00,8.25649,18.7418,66.2614
73,2010-03-15,00:00:00.00,3.63398,20.7632,71.3585
74,2010-03-16,00:00:00.00,0.372134,16.4382,36.8119
75,2010-03-17,00:00:00.00,0.0241565,12.1919,21.3509
76,2010-03-18,00:00:00.00,0,10.4859,14.9796
77,2010-03-19,00:00:00.00,0,8.81804,12.1196
78,2010-03-20,00:00:00.00,0,8.05488,10.5056
79,2010-03-21,00:00:00.00,0.0307221,7.12212,9.4012
80,2010-03-22,00:00:00.00,0.11492,6.6789,8.5234
81,2010-03-23,00:00:00.00,16.9198,15.8832,16.9618
82,2010-03-24,00:00:00.00,2.02641,21.9698,35.3961
83,2010-03-25,00:00:00.00,0.000303148,15.1013,18.4626
84,2010-03-26,00:00:00.00,18.5588,28.7235,14.0168
85,2010-03-27,00:00:00.00,0.0113263,35.2955,22.9366
86,2010-03-28,00:00:00.00,0.00168843,19.9626,15.2628
87,2010-03-29,00:00:00.00,6.47849,18.5977,13.8186
88,2010-03-30,00:00:00.00,1.5092,18.5443,24.8056
89,2010-03-31,00:00:00.00,0.00235321,13.4246,15.6875
90,2010-04-01,00:00:00.00,0.00388126,11.1077,11.6665
91,2010-04-02,00:00:00.00,0,9.48336,9.741
92,2010-04-03,00:00:00.00,0,8.40768,8.5517
93,2010-04-04,00:00:00.00,5.452e-308,7.51586,7.8154
94,2010-04-05,00:00:00.00,0,6.87119,7.0509
95,2010-04-06,00:00:00.00,0.0165361,6.29709,6.6828
96,2010-04-07,00:00:00.00,0.00268869,5.85202,6.4562
97,2010-04-08,00:00:00.00,0.0522755,5.43562,6.1164
98,2010-04-09,00:00:00.00,4.62376,5.93999,6.0881
99,2010-04-10,00:00:00.00,0.353426,6.20642,5.1537
100,2010-04-11,00:00:00.00,0,5.51061,4.2192
101,2010-04-12,00:00:00.00,0.0109031,5.10843,3.7095
102,2010-04-13,00:00:00.00,0.00559412,4.80522,3.398
103,2010-04-14,00:00:00.00,5.08709,5.45013,4.2475
104,2010-04-15,00:00:00.00,6.15404e-308,5.84924,5.0687
105,2010-04-16,00:00:00.00,0.00115446,5.10366,3.9077
106,2010-04-17,00:00:00.00,4.21019,5.09821,4.0493
107,2010-04-18,00:00:00.00,0.126078,5.05432,4.9271
108,2010-04-19,00:00:00.00,0.0793402,4.59215,4.0493
109,2010-04-20,00:00:00.00,0,4.30398,3.8228
110,2010-04-21,00:00:00.00,0,4.05539,3.4263
111,2010-04-22,00:00:00.00,2.36906e-308,3.83046,3.1715
112,2010-04-23,00:00:00.00,0.000474005,3.63232,3.1149
113,2010-04-24,00:00:00.00,0,3.45101,2.9166
114,2010-04-25,00:00:00.00,2.06555,3.29215,2.86
115,2010-04-26,00:00:00.00,24.4936,11.4538,14.2151
116,2010-04-27,00:00:00.00,15.3549,25.9209,73.907
117,2010-04-28,00:00:00.00,0.00646155,25.2474,27.8355
118,2010-04-29,00:00:00.00,0,15.4768,11.1002
119,2010-04-30,00:00:00.00,0.00354138,11.5717,7.3057
120,2010-05-01,00:00:00.00,0.000255721,9.40863,5.7483
121,2010-05-02,00:00:00.00,0.00475635,7.88249,4.8705
122,2010-05-03,00:00:00.00,0.194985,6.87372,4.559
123,2010-05-04,00:00:00.00,0.350799,6.05123,4.1909
124,2010-05-05,00:00:00.00,0.453422,5.46287,3.8228
125,2010-05-06,00:00:00.00,8.71314,6.55389,3.4263
126,2010-05-07,00:00:00.00,4.08417,7.57566,7.5606
127,2010-05-08,00:00:00.00,4.57011,6.98047,5.2386
128,2010-05-09,00:00:00.00,14.8555,12.1409,27.3824
129,2010-05-10,00:00:00.00,0.502825,14.8688,10.279
130,2010-05-11,00:00:00.00,1.70067e-308,10.5689,6.6261
131,2010-05-12,00:00:00.00,16.4921,16.8518,8.4384
132,2010-05-13,00:00:00.00,0.273817,20.371,20.8978
133,2010-05-14,00:00:00.00,9.87983,17.7394,9.7976
134,2010-05-15,00:00:00.00,9.10094,21.2898,59.4654
135,2010-05-16,00:00:00.00,0,18.6252,19.0289
136,2010-05-17,00:00:00.00,8.9837e-308,12.8888,8.7216
137,2010-05-18,00:00:00.00,2.99984,10.2761,6.3996
138,2010-05-19,00:00:00.00,21.1993,22.0976,45.5901
139,2010-05-20,00:00:00.00,0.0728076,28.0675,33.697
140,2010-05-21,00:00:00.00,0.00155412,16.6551,11.8648
141,2010-05-22,00:00:00.00,0.555236,12.1283,7.3057
142,2010-05-23,00:00:00.00,9.12723,13.1437,7.7871
143,2010-05-24,00:00:00.00,0.0632689,13.3245,10.9303
144,2010-05-25,00:00:00.00,0.00300709,10.2529,6.9659
145,2010-05-26,00:00:00.00,1.133e-308,8.37936,5.0687
146,2010-05-27,00:00:00.00,0.00107694,7.36314,4.1059
147,2010-05-28,00:00:00.00,0,6.35874,3.5679
148,2010-05-29,00:00:00.00,0,5.77694,3.1998
149,2010-05-30,00:00:00.00,0,5.14896,2.9733
150,2010-05-31,00:00:00.00,0,4.7613,2.7411
151,2010-06-01,00:00:00.00,31.4438,17.8548,33.4139
152,2010-06-02,00:00:00.00,5.13416,25.8422,62.2971
153,2010-06-03,00:00:00.00,0.314302,16.063,12.4028
154,2010-06-04,00:00:00.00,0.0035366,11.5845,7.1925
155,2010-06-05,00:00:00.00,0.0122647,9.46945,5.5784
156,2010-06-06,00:00:00.00,2.63777,7.76989,6.343
157,2010-06-07,00:00:00.00,29.6292,23.4536,67.9604
158,2010-06-08,00:00:00.00,0.506155,31.1465,17.8679
159,2010-06-09,00:00:00.00,0.0358613,17.6066,8.3818
160,2010-06-10,00:00:00.00,9.92463,16.0728,13.5355
161,2010-06-11,00:00:00.00,0.0381387,15.9961,12.0063
162,2010-06-12,00:00:00.00,0.133151,11.3389,6.3713
163,2010-06-13,00:00:00.00,0.210285,9.30784,4.7572
164,2010-06-14,00:00:00.00,0.190687,7.73266,4.021
165,2010-06-15,00:00:00.00,0.83535,6.79108,3.6812
166,2010-06-16,00:00:00.00,0.380723,5.93272,3.6812
167,2010-06-17,00:00:00.00,0.0614935,5.37931,3.3131
168,2010-06-18,00:00:00.00,1.6208e-308,4.83388,2.945
169,2010-06-19,00:00:00.00,4.921e-308,4.46085,2.6958
170,2010-06-20,00:00:00.00,0.00265362,4.08225,2.557
171,2010-06-21,00:00:00.00,0,3.80794,2.373
172,2010-06-22,00:00:00.00,0.0685676,3.53004,2.2569
173,2010-06-23,00:00:00.00,6.19411,3.61369,2.8204
174,2010-06-24,00:00:00.00,3.58015,3.59501,3.1149
175,2010-06-25,00:00:00.00,1.98835,3.27284,3.4547
176,2010-06-26,00:00:00.00,0.0232565,3.06796,2.945
177,2010-06-27,00:00:00.00,0.00145081,2.90887,2.3928
178,2010-06-28,00:00:00.00,6.89351,3.06871,2.4749
179,2010-06-29,00:00:00.00,2.1126,3.14051,5.72
180,2010-06-30,00:00:00.00,0.03618,2.82973,5.182
181,2010-07-01,00:00:00.00,0,2.67923,3.0016
182,2010-07-02,00:00:00.00,0.000216034,2.54866,2.4154
183,2010-07-03,00:00:00.00,0,2.42586,2.1804
184,2010-07-04,00:00:00.00,0,2.31678,2.0615
185,2010-07-05,00:00:00.00,0,2.21403,1.985
186,2010-07-06,00:00:00.00,0.00023433,2.12109,1.9057
187,2010-07-07,00:00:00.00,8.95598e-308,2.03382,1.8972
188,2010-07-08,00:00:00.00,2.0085e-308,1.954,1.8066
189,2010-07-09,00:00:00.00,0.000771288,1.87927,1.7302
190,2010-07-10,00:00:00.00,3.91648,1.81112,1.7443
191,2010-07-11,00:00:00.00,0.101766,1.74793,2.3899
192,2010-07-12,00:00:00.00,0.0436005,1.68868,2.0247
193,2010-07-13,00:00:00.00,9.77136,1.99778,2.019
194,2010-07-14,00:00:00.00,6.49111,2.30865,10.6188
195,2010-07-15,00:00:00.00,0,2.12804,4.0493
196,2010-07-16,00:00:00.00,0.109099,1.95269,2.54
197,2010-07-17,00:00:00.00,0.213258,1.8801,2.1323
198,2010-07-18,00:00:00.00,0.0320286,1.80675,1.985
199,2010-07-19,00:00:00.00,0.0782474,1.74384,1.9595
200,2010-07-20,00:00:00.00,1.2799,1.68144,1.9793
201,2010-07-21,00:00:00.00,1.95401,1.62699,2.0331
202,2010-07-22,00:00:00.00,0.0615436,1.57345,2.019
203,2010-07-23,00:00:00.00,0.0177374,1.52553,1.801
204,2010-07-24,00:00:00.00,14.2129,1.963,2.0388
205,2010-07-25,00:00:00.00,5.16686,2.20672,5.5784
206,2010-07-26,00:00:00.00,4.34783,1.88823,5.7483
207,2010-07-27,00:00:00.00,0.0119906,1.80194,3.9077
208,2010-07-28,00:00:00.00,0.00253465,1.73995,2.5259
209,2010-07-29,00:00:00.00,8.27444,1.88242,2.322
210,2010-07-30,00:00:00.00,7.83736,2.1946,3.9077
211,2010-07-31,00:00:00.00,2.9585e-308,2.14678,3.0299
212,2010-08-01,00:00:00.00,0.0392651,1.93317,2.1323
213,2010-08-02,00:00:00.00,0.00395614,1.85266,1.9312
214,2010-08-03,00:00:00.00,0.00192878,1.78687,1.8151
215,2010-08-04,00:00:00.00,1.02055,1.71947,1.7641
216,2010-08-05,00:00:00.00,6.48398,1.76721,1.75
217,2010-08-06,00:00:00.00,0.156981,1.76736,3.3414
218,2010-08-07,00:00:00.00,0.0789227,1.65194,3.1432
219,2010-08-08,00:00:00.00,0.00742992,1.59344,2.1294
220,2010-08-09,00:00:00.00,0.000255429,1.54563,1.8094
221,2010-08-10,00:00:00.00,0.00833492,1.49565,1.699
222,2010-08-11,00:00:00.00,0.00386159,1.45297,1.648
223,2010-08-12,00:00:00.00,2.794,1.40982,1.5688
224,2010-08-13,00:00:00.00,3.46796,1.37195,5.2953
225,2010-08-14,00:00:00.00,0.000593001,1.33437,4.559
226,2010-08-15,00:00:00.00,0.90949,1.30031,4.8988
227,2010-08-16,00:00:00.00,0.220727,1.26703,7.2774
228,2010-08-17,00:00:00.00,0.0560465,1.23635,3.2564
229,2010-08-18,00:00:00.00,1.9486e-308,1.20669,2.0388
230,2010-08-19,00:00:00.00,0.00359034,1.17896,1.7783
231,2010-08-20,00:00:00.00,0.000813202,1.15235,1.5829
232,2010-08-21,00:00:00.00,0.0253275,1.1272,1.5121
233,2010-08-22,00:00:00.00,29.1935,2.01626,1.985
234,2010-08-23,00:00:00.00,1.20291,2.47311,7.7588
235,2010-08-24,00:00:00.00,0.513977,1.86534,3.0299
236,2010-08-25,00:00:00.00,0.0931163,1.77037,2.1323
237,2010-08-26,00:00:00.00,0.052941,1.72565,1.767
238,2010-08-27,00:00:00.00,0.0854029,1.65014,1.6254
239,2010-08-28,00:00:00.00,0,1.60725,1.5319
240,2010-08-29,00:00:00.00,8.9737e-308,1.54569,1.4357
241,2010-08-30,00:00:00.00,0,1.50549,1.3705
242,2010-08-31,00:00:00.00,0,1.45411,1.3309
243,2010-09-01,00:00:00.00,0.000409523,1.41696,1.2884
244,2010-09-02,00:00:00.00,0.000232366,1.37327,1.2403
245,2010-09-03,00:00:00.00,7.6884e-308,1.33923,1.2091
246,2010-09-04,00:00:00.00,4.39907,1.33314,1.3026
247,2010-09-05,00:00:00.00,12.1633,1.6487,3.0299
248,2010-09-06,00:00:00.00,0.0455508,1.76676,2.1577
249,2010-09-07,00:00:00.00,0.00618236,1.52276,1.5631
250,2010-09-08,00:00:00.00,1.97569,1.46741,1.396
251,2010-09-09,00:00:00.00,0.00315892,1.43211,1.5178
252,2010-09-10,00:00:00.00,0.00241769,1.38581,1.3932
253,2010-09-11,00:00:00.00,0.00702826,1.3528,1.2856
254,2010-09-12,00:00:00.00,5.65628,1.41262,1.2686
255,2010-09-13,00:00:00.00,0.340182,1.43282,1.6537
256,2010-09-14,00:00:00.00,0.153434,1.33367,1.7358
257,2010-09-15,00:00:00.00,0.00732309,1.29839,1.5404
258,2010-09-16,00:00:00.00,2.05606e-308,1.2663,1.396
259,2010-09-17,00:00:00.00,20.1471,1.95744,1.8123
260,2010-09-18,00:00:00.00,0.210284,2.31254,6.1448
261,2010-09-19,00:00:00.00,0.00105791,1.82524,2.4862
262,2010-09-20,00:00:00.00,0.0176278,1.73902,1.7953
263,2010-09-21,00:00:00.00,0.000634957,1.69292,1.5744
264,2010-09-22,00:00:00.00,0.0116041,1.62349,1.4357
265,2010-09-23,00:00:00.00,4.12892,1.63796,1.4158
266,2010-09-24,00:00:00.00,0.260842,1.6117,1.767
267,2010-09-25,00:00:00.00,0.00366634,1.53541,1.9086
268,2010-09-26,00:00:00.00,0.00362682,1.48242,1.5178
269,2010-09-27,00:00:00.00,0.00228058,1.44422,1.3677
270,2010-09-28,00:00:00.00,1.84855,1.3994,1.3366
271,2010-09-29,00:00:00.00,28.7561,3.02978,7.2774
272,2010-09-30,00:00:00.00,0.671033,3.95095,9.1747
273,2010-10-01,00:00:00.00,0.0283493,2.91686,3.5113
274,2010-10-02,00:00:00.00,0.00871845,2.69781,2.3899
275,2010-10-03,00:00:00.00,11.6867,3.53985,2.1861
276,2010-10-04,00:00:00.00,8.49568,4.84074,9.0614
277,2010-10-05,00:00:00.00,3.15887,4.96087,6.0032
278,2010-10-06,00:00:00.00,4.77085,4.79271,4.4174
279,2010-10-07,00:00:00.00,5.38394,5.22371,6.2014
280,2010-10-08,00:00:00.00,0.105586,5.00735,5.0121
281,2010-10-09,00:00:00.00,0.0433645,4.34349,3.3131
282,2010-10-10,00:00:00.00,0.00234465,3.94864,2.6165
283,2010-10-11,00:00:00.00,0.0449987,3.64414,2.2823
