DATE	cout
UNITS	m3/s
2010-01-01	23.426
2010-01-02	21.064
2010-01-03	18.807
2010-01-04	16.793
2010-01-05	15.089
2010-01-06	13.609
2010-01-07	12.372
2010-01-08	11.345
2010-01-09	10.378
2010-01-10	9.527
2010-01-11	8.868
2010-01-12	8.229
2010-01-13	7.653
2010-01-14	7.938
2010-01-15	10.045
2010-01-16	11.291
2010-01-17	11.187
2010-01-18	10.537
2010-01-19	9.86
2010-01-20	9.105
2010-01-21	8.305
2010-01-22	7.57
2010-01-23	6.938
2010-01-24	10.293
2010-01-25	114.357
2010-01-26	145.282
2010-01-27	112.807
2010-01-28	78.527
2010-01-29	55.573
2010-01-30	41.748
2010-01-31	33.607
2010-02-01	28.407
2010-02-02	24.777
2010-02-03	22.297
2010-02-04	20.409
2010-02-05	19.011
2010-02-06	17.705
2010-02-07	16.401
2010-02-08	15.173
2010-02-09	14.067
2010-02-10	13.456
2010-02-11	12.755
2010-02-12	11.986
2010-02-13	11.232
2010-02-14	10.634
2010-02-15	10.279
2010-02-16	9.877
2010-02-17	9.563
2010-02-18	9.485
2010-02-19	9.534
2010-02-20	9.576
2010-02-21	9.562
2010-02-22	10.578
2010-02-23	11.89
2010-02-24	12.343
2010-02-25	12.153
2010-02-26	13.46
2010-02-27	15.086
2010-02-28	16.213
2010-03-01	16.266
2010-03-02	15.402
2010-03-03	14.346
2010-03-04	13.373
2010-03-05	12.513
2010-03-06	11.934
2010-03-07	12.418
2010-03-08	20.222
2010-03-09	120.708
2010-03-10	272.096
2010-03-11	357.374
2010-03-12	366.559
2010-03-13	370.881
2010-03-14	380.477
2010-03-15	337.898
2010-03-16	271.92
2010-03-17	217.285
2010-03-18	174.434
2010-03-19	138.361
2010-03-20	107.74
2010-03-21	83.551
2010-03-22	67.02
2010-03-23	56.338
2010-03-24	48.987
2010-03-25	43.496
2010-03-26	39.167
2010-03-27	35.518
2010-03-28	33.283
2010-03-29	34.972
2010-03-30	36.477
2010-03-31	35.511
2010-04-01	33.359
2010-04-02	30.938
2010-04-03	28.636
2010-04-04	26.569
2010-04-05	24.71
2010-04-06	36.864
2010-04-07	40.319
2010-04-08	109.059
2010-04-09	124.78
2010-04-10	98.785
2010-04-11	73.047
2010-04-12	55.896
2010-04-13	45.361
2010-04-14	38.593
2010-04-15	33.817
2010-04-16	30.188
2010-04-17	27.342
2010-04-18	24.963
2010-04-19	22.891
2010-04-20	21.09
2010-04-21	19.519
2010-04-22	18.121
2010-04-23	16.869
2010-04-24	15.745
2010-04-25	19.444
2010-04-26	21.273
2010-04-27	19.076
2010-04-28	16.468
2010-04-29	14.567
2010-04-30	13.23
2010-05-01	12.303
2010-05-02	11.537
