DATE	cout
UNITS	m3/s
2010-01-01	11.031
2010-01-02	10.435
2010-01-03	9.97
2010-01-04	9.569
2010-01-05	9.188
2010-01-06	8.819
2010-01-07	8.48
2010-01-08	8.172
2010-01-09	7.839
2010-01-10	7.506
2010-01-11	7.197
2010-01-12	6.89
2010-01-13	6.589
2010-01-14	6.327
2010-01-15	6.498
2010-01-16	6.645
2010-01-17	6.582
2010-01-18	6.415
2010-01-19	6.21
2010-01-20	5.984
2010-01-21	5.746
2010-01-22	5.538
2010-01-23	5.356
2010-01-24	22.136
2010-01-25	36.321
2010-01-26	28.429
2010-01-27	18.356
2010-01-28	13.602
2010-01-29	11.508
2010-01-30	10.452
2010-01-31	9.798
2010-02-01	9.307
2010-02-02	8.901
2010-02-03	8.534
2010-02-04	8.18
2010-02-05	7.85
2010-02-06	7.529
2010-02-07	7.213
2010-02-08	6.902
2010-02-09	6.65
2010-02-10	6.48
2010-02-11	6.234
2010-02-12	5.961
2010-02-13	5.692
2010-02-14	5.433
2010-02-15	5.188
2010-02-16	4.97
2010-02-17	4.764
2010-02-18	4.591
2010-02-19	4.445
2010-02-20	4.314
2010-02-21	4.546
2010-02-22	7.338
2010-02-23	7.528
2010-02-24	6.187
2010-02-25	5.352
2010-02-26	4.909
2010-02-27	4.994
2010-02-28	5.02
2010-03-01	4.876
2010-03-02	4.733
2010-03-03	4.609
2010-03-04	4.503
2010-03-05	4.416
2010-03-06	4.502
2010-03-07	7.492
2010-03-08	36.035
2010-03-09	73.535
2010-03-10	74.727
2010-03-11	52.727
2010-03-12	35.098
2010-03-13	26.833
2010-03-14	23.886
2010-03-15	22.554
2010-03-16	21.555
2010-03-17	20.65
2010-03-18	19.785
2010-03-19	18.944
2010-03-20	18.142
2010-03-21	17.363
2010-03-22	16.609
2010-03-23	15.862
2010-03-24	15.126
2010-03-25	14.421
2010-03-26	13.747
2010-03-27	13.095
2010-03-28	12.957
2010-03-29	12.8
2010-03-30	12.428
2010-03-31	11.937
2010-04-01	11.404
2010-04-02	10.865
2010-04-03	10.35
2010-04-04	9.853
2010-04-05	9.402
2010-04-06	25.257
2010-04-07	26.758
2010-04-08	20.504
2010-04-09	16.938
2010-04-10	15.087
2010-04-11	13.97
2010-04-12	13.149
2010-04-13	12.492
2010-04-14	11.876
2010-04-15	11.281
2010-04-16	10.718
2010-04-17	10.201
2010-04-18	9.71
2010-04-19	9.235
2010-04-20	8.78
2010-04-21	8.343
2010-04-22	7.926
2010-04-23	7.528
2010-04-24	7.156
2010-04-25	7.521
2010-04-26	7.416
2010-04-27	7.043
2010-04-28	6.669
2010-04-29	6.323
2010-04-30	5.985
2010-05-01	5.708
2010-05-02	7.408
2010-05-03	11.231
2010-05-04	11.177
2010-05-05	9.907
2010-05-06	9.112
2010-05-07	25.936
2010-05-08	26.872
2010-05-09	19.895
2010-05-10	15.925
2010-05-11	51.858
2010-05-12	49.315
2010-05-13	35.844
2010-05-14	27.997
2010-05-15	23.061
2010-05-16	20.386
2010-05-17	18.792
2010-05-18	17.71
2010-05-19	16.775
2010-05-20	15.92
2010-05-21	15.136
2010-05-22	14.523
2010-05-23	13.852
2010-05-24	13.177
2010-05-25	12.524
2010-05-26	11.898
2010-05-27	11.308
2010-05-28	10.734
2010-05-29	10.186
2010-05-30	9.656
2010-05-31	9.24
2010-06-01	8.797
2010-06-02	8.955
2010-06-03	9.073
2010-06-04	8.926
2010-06-05	8.659
2010-06-06	73.38
2010-06-07	70.911
2010-06-08	41.406
2010-06-09	26.154
2010-06-10	19.486
2010-06-11	16.299
2010-06-12	14.541
2010-06-13	13.384
2010-06-14	12.516
2010-06-15	11.783
2010-06-16	11.165
2010-06-17	10.559
2010-06-18	9.972
2010-06-19	9.455
2010-06-20	8.947
2010-06-21	8.46
2010-06-22	8.106
2010-06-23	7.696
2010-06-24	7.301
2010-06-25	6.904
2010-06-26	6.522
2010-06-27	6.173
2010-06-28	5.869
2010-06-29	5.554
2010-06-30	5.255
2010-07-01	4.969
2010-07-02	4.696
2010-07-03	4.436
2010-07-04	4.183
2010-07-05	3.947
2010-07-06	3.725
2010-07-07	3.52
2010-07-08	3.376
2010-07-09	3.217
2010-07-10	3.045
