time,date,hour,precip [mm/day],sub34 [m3/s],sub34 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,1.59525,0.00390176,6.3
2,2010-01-03,00:00:00.00,0.122748,0.0255292,5.78
3,2010-01-04,00:00:00.00,0.758853,0.0809975,5.2
4,2010-01-05,00:00:00.00,0.338675,0.156303,5.12
5,2010-01-06,00:00:00.00,4.15977,0.211143,5.08
6,2010-01-07,00:00:00.00,0.132435,0.231656,5.05
7,2010-01-08,00:00:00.00,4.89944,0.234266,5.02
8,2010-01-09,00:00:00.00,3.69359,0.232985,4.95
9,2010-01-10,00:00:00.00,0.0108352,0.231666,4.9
10,2010-01-11,00:00:00.00,0.159826,0.230367,4.8
11,2010-01-12,00:00:00.00,2.5242,0.229143,4.85
12,2010-01-13,00:00:00.00,0.0742968,0.227989,4.75
13,2010-01-14,00:00:00.00,0.000947813,0.226846,4.7
14,2010-01-15,00:00:00.00,0.110456,0.225667,4.65
15,2010-01-16,00:00:00.00,0.32407,0.224427,4.6
16,2010-01-17,00:00:00.00,0.00550295,0.223108,4.52
17,2010-01-18,00:00:00.00,0.00139426,0.221725,4.5
18,2010-01-19,00:00:00.00,0.00263679,0.220301,4.48
19,2010-01-20,00:00:00.00,0.0632442,0.218836,4.45
20,2010-01-21,00:00:00.00,0.0245559,0.217341,4.42
21,2010-01-22,00:00:00.00,0.000693711,0.215863,4.41
22,2010-01-23,00:00:00.00,0.00684305,0.214439,4.4
23,2010-01-24,00:00:00.00,0.000442757,0.213061,4.39
24,2010-01-25,00:00:00.00,12.0889,0.24277,4.7
25,2010-01-26,00:00:00.00,10.4073,0.481661,10.2
26,2010-01-27,00:00:00.00,1.19567,1.20431,12.8
27,2010-01-28,00:00:00.00,1.38285,2.22851,10.4
28,2010-01-29,00:00:00.00,2.55672,2.58572,9.5
29,2010-01-30,00:00:00.00,0.349632,1.8267,6.75
30,2010-01-31,00:00:00.00,0.0419653,0.845143,5.8
31,2010-02-01,00:00:00.00,0.705876,0.374857,5.3
32,2010-02-02,00:00:00.00,0.255381,0.279392,5.2
33,2010-02-03,00:00:00.00,2.31469,0.278267,5.1
34,2010-02-04,00:00:00.00,0.427045,0.277066,4.98
35,2010-02-05,00:00:00.00,0.140378,0.275735,4.83
36,2010-02-06,00:00:00.00,0.000449808,0.274294,4.7
37,2010-02-07,00:00:00.00,0.0195705,0.272791,4.63
38,2010-02-08,00:00:00.00,1.75231e-308,0.271293,4.57
39,2010-02-09,00:00:00.00,2.907e-308,0.269887,4.51
40,2010-02-10,00:00:00.00,2.1421,0.268621,4.42
41,2010-02-11,00:00:00.00,4.89535,0.267457,4.37
42,2010-02-12,00:00:00.00,0.00638559,0.266348,4.33
43,2010-02-13,00:00:00.00,0.118284,0.265294,4.29
44,2010-02-14,00:00:00.00,0.637792,0.264267,4.24
45,2010-02-15,00:00:00.00,1.14142,0.263175,4.2
46,2010-02-16,00:00:00.00,0.166427,0.261982,4.15
47,2010-02-17,00:00:00.00,0.41513,0.260717,4.13
48,2010-02-18,00:00:00.00,0.343208,0.259408,4.1
49,2010-02-19,00:00:00.00,0.0075197,0.258077,4.05
50,2010-02-20,00:00:00.00,0.00426691,0.256731,4.02
51,2010-02-21,00:00:00.00,0.000282655,0.255353,3.98
52,2010-02-22,00:00:00.00,1.4256e-308,0.253936,3.97
53,2010-02-23,00:00:00.00,11.5802,0.25736,3.96
54,2010-02-24,00:00:00.00,1.11327,0.278659,3.95
55,2010-02-25,00:00:00.00,0.349316,0.321241,3.94
56,2010-02-26,00:00:00.00,2.08102,0.346736,3.93
57,2010-02-27,00:00:00.00,4.66546,0.323496,3.92
58,2010-02-28,00:00:00.00,1.30898,0.289884,3.91
59,2010-03-01,00:00:00.00,0.0291766,0.285437,3.9
60,2010-03-02,00:00:00.00,0.00140308,0.291183,3.86
61,2010-03-03,00:00:00.00,0.0029731,0.280092,3.85
62,2010-03-04,00:00:00.00,0.000312387,0.261159,4
63,2010-03-05,00:00:00.00,4.86025e-308,0.250537,4.55
64,2010-03-06,00:00:00.00,2.39026e-308,0.247218,4.88
65,2010-03-07,00:00:00.00,0.00136268,0.245932,5.19
66,2010-03-08,00:00:00.00,0.000691576,0.244667,5.75
67,2010-03-09,00:00:00.00,0,0.243405,6.84
68,2010-03-10,00:00:00.00,0.10134,0.346896,8.06
69,2010-03-11,00:00:00.00,0.0327188,0.836134,8.57
70,2010-03-12,00:00:00.00,0.00497092,1.78795,8.91
71,2010-03-13,00:00:00.00,2.27398,2.36575,9.25
72,2010-03-14,00:00:00.00,20.2591,1.90384,9.91
73,2010-03-15,00:00:00.00,7.13722,1.30161,13.9
74,2010-03-16,00:00:00.00,0.114203,1.46267,16.3
75,2010-03-17,00:00:00.00,0,1.85819,18.3
76,2010-03-18,00:00:00.00,6.1625e-308,1.6622,22.9
77,2010-03-19,00:00:00.00,1.57328e-308,1.05204,21
78,2010-03-20,00:00:00.00,0.000377634,0.616414,13.6
79,2010-03-21,00:00:00.00,0.029248,0.470428,11.4
80,2010-03-22,00:00:00.00,0.177251,0.451022,10.2
81,2010-03-23,00:00:00.00,3.91201,0.457205,9.47
82,2010-03-24,00:00:00.00,3.0507,0.492677,9.24
83,2010-03-25,00:00:00.00,0.0533602,0.578066,8.95
84,2010-03-26,00:00:00.00,0.519099,0.66747,8.69
85,2010-03-27,00:00:00.00,0.000915562,0.671258,8.49
86,2010-03-28,00:00:00.00,0.000760337,0.592622,8.36
87,2010-03-29,00:00:00.00,9.46254,0.545292,7.85
88,2010-03-30,00:00:00.00,1.53801,0.642361,8.47
89,2010-03-31,00:00:00.00,0.000463569,0.887675,8.41
90,2010-04-01,00:00:00.00,0.000140485,1.04199,8.29
91,2010-04-02,00:00:00.00,0.000147254,0.913864,8.05
92,2010-04-03,00:00:00.00,8.5606e-308,0.689078,7.6
93,2010-04-04,00:00:00.00,0.0713208,0.571229,7.18
94,2010-04-05,00:00:00.00,0.0333266,0.545764,6.89
