time,date,hour,precip [mm/day],sub40 [m3/s],sub40 (observed) [m3/s]
0,2010-01-01,00:00:00.00,---,0,
1,2010-01-02,00:00:00.00,0.159434,0.0161912,24.4374
2,2010-01-03,00:00:00.00,0.0314224,0.105943,21.9456
3,2010-01-04,00:00:00.00,0.218772,0.33615,19.8784
4,2010-01-05,00:00:00.00,1.45669,0.648728,18.0661
5,2010-01-06,00:00:00.00,0.437882,0.876428,16.9335
6,2010-01-07,00:00:00.00,0.128979,0.961633,16.0273
7,2010-01-08,00:00:00.00,1.05608,0.972402,15.3477
8,2010-01-09,00:00:00.00,0.400693,0.966906,15.0362
9,2010-01-10,00:00:00.00,0.0232093,0.961252,14.7248
10,2010-01-11,00:00:00.00,0.0294818,0.955744,14.5832
11,2010-01-12,00:00:00.00,1.61969,0.950596,14.2717
12,2010-01-13,00:00:00.00,0.166476,0.945781,13.9602
13,2010-01-14,00:00:00.00,0.0176277,0.941035,13.7903
14,2010-01-15,00:00:00.00,0.0399638,0.936089,13.3372
15,2010-01-16,00:00:00.00,0.105147,0.930819,12.8842
16,2010-01-17,00:00:00.00,0.00828207,0.925162,12.2612
17,2010-01-18,00:00:00.00,0.00534738,0.91913,11.5533
18,2010-01-19,00:00:00.00,0.0274885,0.912894,10.9869
19,2010-01-20,00:00:00.00,0.107523,0.906648,10.8737
20,2010-01-21,00:00:00.00,0.0216937,0.900482,10.5622
21,2010-01-22,00:00:00.00,0.0462324,0.894441,10.3073
22,2010-01-23,00:00:00.00,0.159237,0.888542,10.0242
23,2010-01-24,00:00:00.00,0.0659775,0.882716,9.8826
24,2010-01-25,00:00:00.00,8.89534,0.977436,11.0719
25,2010-01-26,00:00:00.00,0.673182,1.4707,22.6252
26,2010-01-27,00:00:00.00,0.396618,2.50791,29.4495
27,2010-01-28,00:00:00.00,0.325086,3.31436,36.2456
28,2010-01-29,00:00:00.00,0.303434,2.95847,32.2812
29,2010-01-30,00:00:00.00,0.0262168,1.91811,24.041
30,2010-01-31,00:00:00.00,0.0151269,1.1893,20.4164
31,2010-02-01,00:00:00.00,0.129081,0.948505,18.236
32,2010-02-02,00:00:00.00,0.112841,0.914807,16.5654
33,2010-02-03,00:00:00.00,0.612906,0.910431,14.8663
34,2010-02-04,00:00:00.00,0.528783,0.905689,13.7903
35,2010-02-05,00:00:00.00,0.00268322,0.900509,13.0541
36,2010-02-06,00:00:00.00,0.748486,0.894991,12.2895
37,2010-02-07,00:00:00.00,0.233434,0.88932,11.5533
38,2010-02-08,00:00:00.00,0.0585243,0.883698,10.9869
39,2010-02-09,00:00:00.00,0.00435685,0.878264,10.4206
40,2010-02-10,00:00:00.00,12.9657,0.873001,10.0242
41,2010-02-11,00:00:00.00,4.518,0.867769,9.7693
42,2010-02-12,00:00:00.00,0.105964,0.862456,9.4861
43,2010-02-13,00:00:00.00,0.227966,0.857065,9.3729
44,2010-02-14,00:00:00.00,0.190135,0.851685,9.3729
45,2010-02-15,00:00:00.00,0.0349534,0.846378,9.4861
46,2010-02-16,00:00:00.00,0.113155,0.841133,9.4861
47,2010-02-17,00:00:00.00,1.0022,0.835894,9.3729
48,2010-02-18,00:00:00.00,0.252731,0.830615,9.2313
49,2010-02-19,00:00:00.00,0.0272869,0.825249,8.9764
50,2010-02-20,00:00:00.00,0,0.819741,9.118
51,2010-02-21,00:00:00.00,0.00218011,0.814062,9.2313
52,2010-02-22,00:00:00.00,1.18925,0.808297,9.118
53,2010-02-23,00:00:00.00,13.89,0.846757,9.3729
54,2010-02-24,00:00:00.00,0.764407,1.0474,10.4206
55,2010-02-25,00:00:00.00,3.62756,1.43956,11.6949
56,2010-02-26,00:00:00.00,0.846822,1.67456,12.601
57,2010-02-27,00:00:00.00,9.19945,1.44696,12.2895
58,2010-02-28,00:00:00.00,0.58395,1.0563,11.3267
59,2010-03-01,00:00:00.00,0.0269667,0.849503,11.1002
60,2010-03-02,00:00:00.00,0.0306001,0.80099,11.5533
61,2010-03-03,00:00:00.00,0.0208419,0.795526,12.9691
62,2010-03-04,00:00:00.00,0.0264258,0.789713,16.2822
63,2010-03-05,00:00:00.00,0.000543267,0.783819,22.342
64,2010-03-06,00:00:00.00,0.000703302,0.778063,26.3913
65,2010-03-07,00:00:00.00,4.29265e-308,0.772434,30.8654
66,2010-03-08,00:00:00.00,2.7467e-308,0.766733,37.0951
67,2010-03-09,00:00:00.00,0.0105676,1.06032,44.7406
68,2010-03-10,00:00:00.00,0.0514863,2.745,52.103
69,2010-03-11,00:00:00.00,0.900041,6.80733,59.7485
70,2010-03-12,00:00:00.00,9.49632,11.178,64.8456
71,2010-03-13,00:00:00.00,3.50487,11.7503,80.4198
72,2010-03-14,00:00:00.00,8.36262,8.76662,88.3486
73,2010-03-15,00:00:00.00,2.72946,6.04931,98.5426
74,2010-03-16,00:00:00.00,0.375862,4.95312,99.9585
75,2010-03-17,00:00:00.00,0,4.3453,102.224
76,2010-03-18,00:00:00.00,5.7479e-308,3.32111,97.6931
77,2010-03-19,00:00:00.00,0.000136588,2.21851,80.9862
78,2010-03-20,00:00:00.00,7.74425e-308,1.61201,62.5802
79,2010-03-21,00:00:00.00,0.0864741,1.43129,47.5723
80,2010-03-22,00:00:00.00,0.0844254,1.40444,37.6614
